event,iteration,timestamp
start,1,2025-10-02T06:08:22.855
end,1,2025-10-02T06:08:23.383
start,2,2025-10-02T06:08:23.383
end,2,2025-10-02T06:08:23.556
start,3,2025-10-02T06:08:23.556
end,3,2025-10-02T06:08:23.564
start,4,2025-10-02T06:08:23.564
end,4,2025-10-02T06:08:23.565
start,5,2025-10-02T06:08:23.565
end,5,2025-10-02T06:08:23.566
start,6,2025-10-02T06:08:23.566
end,6,2025-10-02T06:08:23.567
start,7,2025-10-02T06:08:23.567
end,7,2025-10-02T06:08:23.567
start,8,2025-10-02T06:08:23.568
end,8,2025-10-02T06:08:23.568
start,9,2025-10-02T06:08:23.568
end,9,2025-10-02T06:08:23.569
start,10,2025-10-02T06:08:23.569
end,10,2025-10-02T06:08:23.57
