n_heads,status,theta_real,empirical_rate,prior_b,iterations,prior_a,execution_time,posterior_mean,converged,posterior_std,n_samples
14.0,success,0.3,0.28,1.0,10,1.0,5.326986074447632,0.28846153846153844,true,0.06223077550991086,50
29.0,success,0.5,0.58,1.0,10,1.0,0.0031480789184570312,0.5769230769230769,true,0.06786263042528905,50
35.0,success,0.7,0.7,1.0,10,1.0,0.0013580322265625,0.6923076923076923,true,0.06339718336093339,50
40.0,success,0.8,0.8,1.0,10,1.0,0.0011188983917236328,0.7884615384615384,true,0.05609795019098499,50
14.0,success,0.3,0.28,1.0,10,2.0,0.0010211467742919922,0.3018867924528302,true,0.06247238752935572,50
29.0,success,0.5,0.58,1.0,10,2.0,0.0008821487426757812,0.5849056603773585,true,0.06705318906381331,50
35.0,success,0.7,0.7,1.0,10,2.0,0.0008690357208251953,0.6981132075471698,true,0.06247238752935572,50
40.0,success,0.8,0.8,1.0,10,2.0,0.0009019374847412109,0.7924528301886793,true,0.05518845526661712,50
14.0,success,0.3,0.28,1.0,10,4.0,0.0008530616760253906,0.32727272727272727,true,0.06270185820557564,50
29.0,success,0.5,0.58,1.0,10,4.0,0.0008349418640136719,0.6,true,0.06546536707079771,50
35.0,success,0.7,0.7,1.0,10,4.0,0.0012969970703125,0.7090909090909091,true,0.06069257893791129,50
40.0,success,0.8,0.8,1.0,10,4.0,0.0010139942169189453,0.8,true,0.05345224838248488,50
14.0,success,0.3,0.28,1.0,10,8.0,0.0009379386901855469,0.3728813559322034,true,0.062428739419485964,50
29.0,success,0.5,0.58,1.0,10,8.0,0.0009500980377197266,0.6271186440677966,true,0.062428739419485964,50
35.0,success,0.7,0.7,1.0,10,8.0,0.0010411739349365234,0.7288135593220338,true,0.05739401174779794,50
40.0,success,0.8,0.8,1.0,10,8.0,0.0008740425109863281,0.8135593220338984,true,0.05027931177691975,50
22.0,success,0.3,0.22,1.0,10,1.0,0.0016701221466064453,0.22549019607843138,true,0.041177377089728864,100
48.0,success,0.5,0.48,1.0,10,1.0,0.0017461776733398438,0.4803921568627451,true,0.049228566622676995,100
61.0,success,0.7,0.61,1.0,10,1.0,0.001605987548828125,0.6078431372549019,true,0.04810686503570259,100
77.0,success,0.8,0.77,1.0,10,1.0,0.0016949176788330078,0.7647058823529411,true,0.04179594394867387,100
22.0,success,0.3,0.22,1.0,10,2.0,0.0018801689147949219,0.23300970873786409,true,0.04145388823413866,100
48.0,success,0.5,0.48,1.0,10,2.0,0.00174713134765625,0.4854368932038835,true,0.049008232817052605,100
61.0,success,0.7,0.61,1.0,10,2.0,0.0016717910766601562,0.6116504854368932,true,0.04779102839664274,100
77.0,success,0.8,0.77,1.0,10,2.0,0.001750946044921875,0.7669902912621359,true,0.04145388823413866,100
22.0,success,0.3,0.22,1.0,10,4.0,0.0016739368438720703,0.24761904761904763,true,0.04192354394083685,100
48.0,success,0.5,0.48,1.0,10,4.0,0.0016331672668457031,0.49523809523809526,true,0.04856209060564557,100
61.0,success,0.7,0.61,1.0,10,4.0,0.0016810894012451172,0.6190476190476191,true,0.047167672051776056,100
77.0,success,0.8,0.77,1.0,10,4.0,0.001689910888671875,0.7714285714285715,true,0.04078551012264741,100
22.0,success,0.3,0.22,1.0,10,8.0,0.0018410682678222656,0.27522935779816515,true,0.04258447843609589,100
48.0,success,0.5,0.48,1.0,10,8.0,0.0016810894012451172,0.5137614678899083,true,0.04765506955780494,100
61.0,success,0.7,0.61,1.0,10,8.0,0.0018260478973388672,0.6330275229357798,true,0.045954886785507625,100
77.0,success,0.8,0.77,1.0,10,8.0,0.0017628669738769531,0.7798165137614679,true,0.03950865482010679,100
59.0,success,0.3,0.295,1.0,10,1.0,0.005575895309448242,0.297029702970297,true,0.03207158392082488,200
101.0,success,0.5,0.505,1.0,10,1.0,0.003370046615600586,0.504950495049505,true,0.03509140019266259,200
141.0,success,0.7,0.705,1.0,10,1.0,0.003139972686767578,0.7029702970297029,true,0.03207158392082488,200
162.0,success,0.8,0.81,1.0,10,1.0,0.0030679702758789062,0.806930693069307,true,0.02770299459653664,200
59.0,success,0.3,0.295,1.0,10,2.0,0.0031058788299560547,0.30049261083743845,true,0.032099477858249445,200
101.0,success,0.5,0.505,1.0,10,2.0,0.003367900848388672,0.5073891625615764,true,0.0350031791466958,200
