t,obs_term,prior_term,dyn_term,total
1,1.669613909047917,9.682080685490927,0.0,11.351694594538845
2,0.5025584132284713,0.0,3.1334546205230826e8,3.133454625548667e8
3,0.7169097051761898,0.0,2.409198310356036e8,2.4091983175251332e8
4,0.34851524147471996,0.0,1.846681779053044e8,1.8466817825381964e8
5,0.6624061511226875,0.0,1.4182478398519626e8,1.418247846476024e8
6,0.49846352162629004,0.0,1.0990968512180637e8,1.099096856202699e8
7,0.95860212263428,0.0,8.672671475245537e7,8.672671571105748e7
8,0.35397846285649087,0.0,7.036322636315551e7,7.036322671713398e7
9,0.3193522466347709,0.0,5.9186765057150654e7,5.91867653765029e7
10,1.9476850057950161,0.0,5.183611390684893e7,5.183611585453393e7
11,1.624580575546483,0.0,4.7205864084610075e7,4.720586570919065e7
12,0.32649667726082476,0.0,4.442493447225286e7,4.442493479874954e7
13,0.265316792782405,0.0,4.283031082382088e7,4.283031108913767e7
14,0.644620277405974,0.0,4.1937729510999e7,4.193773015561928e7
15,0.2846859610944349,0.0,4.1411161303550065e7,4.141116158823603e7
16,0.8013466092728367,0.0,4.103283383721854e7,4.1032834638565145e7
17,0.4416407830352284,0.0,4.067524740981722e7,4.0675247851458e7
18,0.26686817863902196,0.0,4.027626227435004e7,4.027626254121822e7
19,0.9274333872549383,0.0,3.981793032876542e7,3.981793125619881e7
20,0.6933723854446037,0.0,3.930935931871279e7,3.930936001208518e7
21,1.4988495585129078,0.0,3.8773567330143884e7,3.877356882899344e7
22,1.3801823614704005,0.0,3.823802887744957e7,3.8238030257631935e7
23,0.48371303846736174,0.0,3.772843808433943e7,3.772843856805247e7
24,0.3370225401128811,0.0,3.7265116311723046e7,3.726511664874559e7
25,0.4685731879649231,0.0,3.6861461342091456e7,3.686146181066465e7
26,0.2626787190310498,0.0,3.652385895059935e7,3.652385921327807e7
27,0.36634341138671495,0.0,3.625253995865937e7,3.625254032500278e7
28,0.4637607028586143,0.0,3.604295166484536e7,3.6042952128606066e7
29,0.9946389591163265,0.0,3.5887308496478856e7,3.588730949111781e7
30,0.5041291475354659,0.0,3.577608209138027e7,3.577608259550942e7
31,0.2660135208464445,0.0,3.5699277913950965e7,3.569927817996448e7
32,0.5680254360463592,0.0,3.564741891159853e7,3.5647419479623966e7
33,0.6697348213527188,0.0,3.561221418786886e7,3.5612214857603684e7
34,0.3135437853481617,0.0,3.558693183588031e7,3.558693214942409e7
35,0.6242865597177534,0.0,3.556652113595487e7,3.5566521760241434e7
36,1.632282947057402,0.0,3.5547542461067565e7,3.5547544093350515e7
37,0.26315699222596184,0.0,3.5527966211294554e7,3.552796647445155e7
38,0.29056752768567173,0.0,3.550689777411162e7,3.5506898064679146e7
39,0.6418822887007456,0.0,3.5484276560618095e7,3.548427720250038e7
40,0.3589615175925268,0.0,3.546058592289538e7,3.5460586281856894e7
41,0.37881703946349554,0.0,3.543659906561096e7,3.5436599444428e7
42,0.4484904148949167,0.0,3.541317524238939e7,3.541317569087981e7
43,0.3170070202830903,0.0,3.5391111413477644e7,3.5391111730484664e7
44,0.2604057885015848,0.0,3.537104756286849e7,3.537104782327428e7
45,0.970110542905218,0.0,3.535341909011876e7,3.53534200602293e7
46,0.4714157972425487,0.0,3.5338446957397215e7,3.533844742881301e7
47,0.686691388336008,0.0,3.532615526222549e7,3.5326155948916875e7
48,0.3986479067367711,0.0,3.531640620470987e7,3.531640660335778e7
49,0.7057704634097438,0.0,3.53089436202467e7,3.530894432601716e7
50,0.6166257370956262,0.0,3.5303437991177015e7,3.530343860780275e7
51,0.6397653066043596,0.0,3.529952777958662e7,3.529952841935193e7
52,0.567049252174886,0.0,3.529685380664902e7,3.529685437369827e7
53,0.25704855948810473,0.0,3.529508505657168e7,3.529508531362024e7
54,2.606108263977347,0.0,3.529393562573588e7,3.529393823184414e7
55,0.2548946514700499,0.0,3.529317351724417e7,3.529317377213882e7
56,0.2873264685813871,0.0,3.529262259477018e7,3.529262288209665e7
57,0.3693217505505059,0.0,3.529215933586167e7,3.529215970518342e7
58,0.45217301649376174,0.0,3.5291706075844906e7,3.529170652801792e7
59,0.3156611528469015,0.0,3.529122230542433e7,3.529122262108549e7
60,0.26242697114070196,0.0,3.529069534405498e7,3.5290695606481954e7
61,0.3003219133888729,0.0,3.529013140205673e7,3.5290131702378646e7
62,0.26806530463287487,0.0,3.52895477269315e7,3.52895479949968e7
63,0.3862788544525276,0.0,3.528896623292907e7,3.5288966619207926e7
64,0.3075441181006965,0.0,3.528840876049192e7,3.528840906803604e7
65,0.265110583078513,0.0,3.528789391830739e7,3.528789418341797e7
66,0.2857338707663622,0.0,3.52874353261791e7,3.528743561191297e7
67,0.2549815601581287,0.0,3.528704099660629e7,3.528704125158785e7
68,0.29772335315461185,0.0,3.528671356241392e7,3.528671386013728e7
69,0.31325865657457413,0.0,3.528645106455725e7,3.52864513778159e7
70,0.3341526216849647,0.0,3.5286248044169225e7,3.528624837832185e7
71,0.32694366122943574,0.0,3.528609672983941e7,3.5286097056783065e7
72,0.29158382732114685,0.0,3.52859881653185e7,3.5285988456902325e7
73,0.36152546549549486,0.0,3.528591317490859e7,3.528591353643406e7
74,1.8068704537916038,0.0,3.528586311100257e7,3.5285864917873025e7
75,1.1983250784171282,0.0,3.5285830368133165e7,3.528583156645824e7
76,0.37639139687365814,0.0,3.528580867309265e7,3.5285809049484044e7
77,0.4951213565750002,0.0,3.5285793184729904e7,3.5285793679851264e7
78,0.672686545577869,0.0,3.528578044546612e7,3.528578111815267e7
79,0.2564353438423111,0.0,3.5285768227378845e7,3.528576848381419e7
80,1.764066503427347,0.0,3.528575531716687e7,3.5285757081233375e7
81,0.4044118294461455,0.0,3.528574127585963e7,3.528574168027146e7
82,0.8113593229604444,0.0,3.5285726201458484e7,3.528572701281781e7
83,0.5531989160717685,0.0,3.5285710516998634e7,3.528571107019755e7
