t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
1,-0.05086098379670384,1.5373259834226576,-0.25845700607975114,0.07209869353264764,0.3329087841610033,0.6641958582898981
2,0.10157932629021639,1.5114802831525502,-0.25972242044360977,0.051574039728877905,0.26177143083019316,0.6027963513565618
3,0.25142874045684416,1.4855080416506954,-0.26373901213549633,0.03768794657446935,0.20323189414111287,0.5423152951641871
4,0.39866084569111165,1.4591341413666683,-0.272355697837173,0.028685337723158837,0.15598285094964615,0.4836871172828071
5,0.5432124781915345,1.4318985728271785,-0.287765347049674,0.023155194922026986,0.11866960083492598,0.42793367413186234
6,0.6849635073589881,1.403122039504439,-0.31138267044137224,0.019992298620312595,0.0899173991917113,0.37602799997905245
7,0.8237187979415768,1.3719837738440948,-0.34364381318547227,0.018357205503964188,0.0683695227671132,0.32878860115723835
8,0.9591989586042343,1.3376193936749214,-0.3838211102906233,0.0176354881596284,0.05272775245700717,0.28680854212719714
9,1.091041793902284,1.2992372836470318,-0.4307188783304488,0.017397630273278186,0.04178914967691978,0.2504197435063099
10,1.2188119286716907,1.2561653967355264,-0.4836251282559132,0.017361005969727294,0.0344751233746166,0.2196892669739893
11,1.3420103398264425,1.2078028851192242,-0.5431902253285551,0.01735518110736297,0.029850698866049602,0.1944416520629311
12,1.4600746776376263,1.153483863753071,-0.6101803004294856,0.017291451771153828,0.027133498953501017,0.17429986349895213
13,1.5723721622093805,1.0924658349069647,-0.6845564477323384,0.01713715865297733,0.025693168707820204,0.15873706091503795
14,1.6781959633649706,1.0240101913402166,-0.7664429953948295,0.016894944970744445,0.025042801292145547,0.14713199510205835
15,1.7767647691806547,0.947365892841356,-0.8553517582079833,0.016586801184169137,0.024824377027768584,0.13882207085436327
16,1.8672246017860064,0.861830717849956,-0.9501043326891909,0.0162424862291757,0.024790364626292645,0.13314969494148138
17,1.948657151935449,0.7668202854076465,-1.050031923082959,0.015891742166032827,0.02478352233490679,0.1294991861081355
18,2.0200890221021695,0.6618170938018245,-1.1547378848492262,0.015559625669929373,0.024716653740361878,0.12732306061476806
19,2.0804970435817167,0.5463433058670123,-1.2633581610857334,0.01526425647313008,0.024553691017259068,0.12615778807702635
20,2.1288145825695115,0.4200074903878999,-1.3756645850041205,0.015016315767409907,0.024293060725133687,0.12563006892882744
21,2.163937009760737,0.2824410324092016,-1.4915684142777454,0.014819700773241826,0.023953883734476433,0.12545530133759147
22,2.1847232751616645,0.13328419107999748,-1.609410633385106,0.014672839412421293,0.02356520664477161,0.1254302068859352
23,2.1900046423340735,-0.02765687228307349,-1.7274841388023665,0.014570277200615926,0.023158178067008102,0.12542162219141978
24,2.178601536995957,-0.20040528644629074,-1.8445965749634106,0.01450425563832181,0.02276087786235655,0.12535330272589265
25,2.1493380272496765,-0.3848649444029301,-1.9593862645109303,0.014466099084200603,0.022395379455811628,0.1251922931447144
26,2.101054601952019,-0.5808035713608367,-2.071153721233973,0.014447309933622273,0.022076566226150937,0.12493605817429927
27,2.0326184764220874,-0.7879189440122836,-2.179687222022974,0.014440337218677234,0.02181221996168106,0.12460119218429797
28,1.9429281451778855,-1.0058876666693446,-2.2851494345776384,0.014439031065205655,0.021603937834170032,0.12421417397408652
29,1.8309136318985426,-1.2344026106379191,-2.3875942273279547,0.014438826042261835,0.021448499701680963,0.12380433281082147
30,1.6955354026916467,-1.4731620341808778,-2.485910969838154,0.014436712685806437,0.021339386667507218,0.12339895690466572
31,1.5357896488306018,-1.7217531324154811,-2.5777872337427117,0.014431061327748195,0.021268233865334753,0.12302031052714986
32,1.3507254035251104,-1.9795318574510181,-2.660563330033921,0.01442135892790491,0.021226077282221992,0.1226842272288504
33,1.139469403651217,-2.2455881923678143,-2.7321685871802814,0.014407910834223738,0.02120432067175685,0.1223999051145171
