t,obs_term,prior_term,dyn_term,total
1,1.1337863351133408,9.680517200683138,0.0,10.814303535796478
2,0.9185296614068499,0.0,3.133454620522966e8,3.1334546297082627e8
3,0.4751360955414703,0.0,2.409198310355019e8,2.40919831510638e8
4,0.6402840652159458,0.0,1.84668177904836e8,1.8466817854512006e8
5,0.5291261223650141,0.0,1.418247839836323e8,1.418247845127584e8
6,0.29716557395981225,0.0,1.0990968511791068e8,1.0990968541507626e8
7,0.3116469792990488,0.0,8.672671474484837e7,8.672671505649535e7
8,0.9417745442555605,0.0,7.036322635104673e7,7.036322729282127e7
9,0.3668764767296403,0.0,5.918676504028195e7,5.918676540715843e7
10,0.3728417916660308,0.0,5.183611388484388e7,5.183611425768567e7
11,1.0689613522187056,0.0,4.720586405626949e7,4.720586512523084e7
12,0.9755104353593183,0.0,4.4424934436436996e7,4.442493541194743e7
13,2.655661447786257,0.0,4.283031078033321e7,4.283031343599466e7
14,0.4704797287077561,0.0,4.193772945956365e7,4.193772993004338e7
15,2.2216372779264693,0.0,4.141116124446131e7,4.141116346609859e7
16,0.2936341593332196,0.0,4.1032833771418974e7,4.1032834065053135e7
17,0.25875574932335194,0.0,4.0675247336916655e7,4.0675247595672406e7
18,0.6290898448012714,0.0,4.027626219347345e7,4.02762628225633e7
19,0.36318589159465375,0.0,3.981793024019847e7,3.981793060338436e7
20,0.26803243158976603,0.0,3.930935922227888e7,3.930935949031131e7
21,0.4092148605188314,0.0,3.877356722568258e7,3.877356763489744e7
22,0.512477990594307,0.0,3.8238028768036924e7,3.823802928051492e7
23,1.562383927452746,0.0,3.772843797343543e7,3.772843953581936e7
24,0.45253870561686593,0.0,3.726511620207311e7,3.726511665461182e7
25,0.38763584141037605,0.0,3.6861461236724176e7,3.686146162436002e7
26,0.2547481334203045,0.0,3.652385885118883e7,3.652385910593697e7
27,0.8479763191655596,0.0,3.625253986608417e7,3.625254071406049e7
28,0.44906389893544746,0.0,3.604295157927275e7,3.6042952028336644e7
29,0.8052820010659841,0.0,3.5887308418129675e7,3.588730922341168e7
30,0.36513562117761444,0.0,3.577608202276415e7,3.5776082387899764e7
31,0.764778931441549,0.0,3.569927785996369e7,3.569927862474263e7
32,0.8926527137064258,0.0,3.564741887724138e7,3.564741976989409e7
33,0.6122783689806379,0.0,3.561221417559306e7,3.5612214787871435e7
34,0.5058723992439208,0.0,3.558693184571634e7,3.558693235158874e7
35,1.5593951348679234,0.0,3.556652116514861e7,3.556652272454374e7
36,0.42396136122871353,0.0,3.554754250474411e7,3.5547542928705476e7
37,1.0407513912604374,0.0,3.552796626439091e7,3.55279673051423e7
38,0.5739908417290238,0.0,3.550689783094416e7,3.5506898404935e7
39,0.7702236979557637,0.0,3.548427661553042e7,3.5484277385754116e7
40,0.4342436389927133,0.0,3.5460585972412e7,3.546058640665564e7
41,0.501095026760553,0.0,3.543659910756602e7,3.543659960866105e7
42,0.2659559977823646,0.0,3.541317527427609e7,3.541317554023209e7
43,0.36878676635907226,0.0,3.539111143388661e7,3.539111180267338e7
44,0.38404353853646805,0.0,3.5371047571298115e7,3.537104795534165e7
45,0.6606478340855955,0.0,3.535341908654336e7,3.535341974719119e7
46,0.7270086206549002,0.0,3.533844694319851e7,3.533844767020713e7
47,1.1464869401148199,0.0,3.532615523973084e7,3.532615638621778e7
48,0.5826112623675919,0.0,3.531640617698387e7,3.531640675959513e7
49,0.32827299858330083,0.0,3.530894359084618e7,3.530894391911918e7
50,0.3062692196623187,0.0,3.530343796284202e7,3.530343826911124e7
51,0.7993187818603867,0.0,3.5299527754941106e7,3.529952855425989e7
52,0.847535544266074,0.0,3.529685378720516e7,3.52968546347407e7
53,0.647303942445913,0.0,3.5295085043148756e7,3.5295085690452695e7
54,0.6304368769441736,0.0,3.529393561961649e7,3.529393625005337e7
55,2.353204342110329,0.0,3.5293173518040076e7,3.5293175871244416e7
56,1.3851126534679443,0.0,3.529262260035803e7,3.529262398547068e7
57,0.2724091897340484,0.0,3.529215934414687e7,3.529215961655606e7
58,1.1351483025156104,0.0,3.5291706085590184e7,3.5291707220738485e7
59,1.2320772610289468,0.0,3.5291222315561086e7,3.529122354763835e7
60,0.2560105823299783,0.0,3.529069535289465e7,3.529069560890523e7
61,0.323202528322431,0.0,3.529013140746279e7,3.529013173066532e7
62,0.2596069235800509,0.0,3.528954772720638e7,3.52895479868133e7
63,0.35376264404364194,0.0,3.528896622702135e7,3.528896658078399e7
64,0.2698033933574472,0.0,3.528840874827337e7,3.528840901807676e7
65,2.295734145199873,0.0,3.5287893900827006e7,3.528789619656115e7
66,1.5857419827668924,0.0,3.528743530465797e7,3.5287436890399955e7
67,1.1282853930549652,0.0,3.528704097266242e7,3.528704210094781e7
68,0.48838514850486947,0.0,3.528671353845087e7,3.5286714026836015e7
69,2.0864739729095967,0.0,3.528645104277306e7,3.528645312924703e7
70,0.28788519103524174,0.0,3.52862480260494e7,3.528624831393459e7
71,0.8490297613009705,0.0,3.52860967157319e7,3.528609756476166e7
72,0.2569502533139283,0.0,3.528598815477701e7,3.5285988411727265e7
73,0.844934905873288,0.0,3.5285913167185545e7,3.528591401212045e7
74,0.2560632084102261,0.0,3.528586310556878e7,3.528586336163199e7
75,0.26839223012004226,0.0,3.5285830364317365e7,3.528583063270959e7
76,0.28690800145073864,0.0,3.528580867025849e7,3.528580895716649e7
77,0.978439140033266,0.0,3.528579318273505e7,3.5285794161174186e7
78,0.26111246360257717,0.0,3.52857804445983e7,3.528578070571077e7
79,0.3564513949956245,0.0,3.528576822835215e7,3.5285768584803544e7
80,1.2628579279452534,0.0,3.52857553206242e7,3.528575658348213e7
81,1.6527125521792685,0.0,3.5285741281606324e7,3.528574293431888e7
82,3.2238918692345324,0.0,3.5285726209155396e7,3.5285729433047265e7
83,0.3007461646345206,0.0,3.528571052620184e7,3.5285710826948e7
84,0.7057689085618482,0.0,3.5285694804890245e7,3.528569551065915e7
85,0.33214935801299966,0.0,3.5285679635546036e7,3.528567996769539e7
86,0.2753064721474972,0.0,3.5285665535052024e7,3.5285665810358495e7
87,0.754054273331221,0.0,3.5285652893024355e7,3.5285653647078626e7
88,0.5955312017016454,0.0,3.5285641951048054e7,3.528564254657926e7
89,1.384908160926256,0.0,3.528563280455042e7,3.528563418945858e7
90,4.735356929021669,0.0,3.528562542204129e7,3.528563015739822e7
91,1.2061533963038078,0.0,3.5285619671576925e7,3.528562087773032e7
92,0.8022103104402076,0.0,3.528561535135107e7,3.5285616153561376e7
93,0.27385101505362613,0.0,3.528561222479043e7,3.5285612498641446e7
94,0.2633911900906934,0.0,3.5285610045983896e7,3.5285610309375085e7
95,1.0627417469142286,0.0,3.5285608579443015e7,3.5285609642184764e7
96,0.2885599917023891,0.0,3.528560761512143e7,3.528560790368142e7
97,0.7675876002772963,0.0,3.528560697833545e7,3.528560774592305e7
98,0.6468444560555522,0.0,3.528560653398332e7,3.5285607180827774e7
99,1.9241288124557594,0.0,3.528560618420465e7,3.528560810833347e7
100,0.27067090164724605,0.0,3.528560586513737e7,3.528560613580827e7
101,0.3277959859282592,0.0,3.5285605540343955e7,3.528560586813994e7
102,1.7093591349949389,0.0,3.528560519475895e7,3.528560690411808e7
103,0.8465054971546533,0.0,3.5285604827145405e7,3.5285605673650905e7
104,0.5713093592704487,0.0,3.5285604443552144e7,3.52856050148615e7
105,0.4115215860811988,0.0,3.528560405608935e7,3.528560446761093e7
106,0.25662972869000783,0.0,3.528560367884596e7,3.5285603935475685e7
107,1.2175639380500614,0.0,3.5285603323730335e7,3.528560454129427e7
108,0.4426147105200495,0.0,3.528560300271215e7,3.5285603445326865e7
109,0.2605807663850089,0.0,3.52856027235265e7,3.528560298410726e7
110,0.3132074863083123,0.0,3.528560248811903e7,3.528560280132651e7
111,1.2193807434541863,0.0,3.528560229661657e7,3.528560351599731e7
112,1.4350028711572802,0.0,3.528560214887382e7,3.528560358387669e7
113,0.6056109018807778,0.0,3.5285602039582476e7,3.5285602645193376e7
114,0.3363326433841338,0.0,3.528560195799667e7,3.528560229432931e7
115,0.3612777477378528,0.0,3.528560189652214e7,3.5285602257799886e7
116,0.2677887556803856,0.0,3.528560185040199e7,3.528560211819074e7
117,0.4128582898993557,0.0,3.5285601815151416e7,3.528560222800971e7
118,0.34314363964316,0.0,3.528560178530736e7,3.5285602128451005e7
119,0.2665599515129174,0.0,3.528560175552381e7,3.528560202208376e7
120,0.6180090304921726,0.0,3.5285601722557954e7,3.5285602340566985e7
121,1.2348762473483808,0.0,3.52856016865634e7,3.528560292143965e7
122,1.0772398793991913,0.0,3.5285601650703676e7,3.5285602727943555e7
123,0.6432344624758595,0.0,3.5285601614928685e7,3.528560225816315e7
124,0.2706396749066504,0.0,3.528560157895876e7,3.528560184959843e7
125,0.28460801608868835,0.0,3.5285601544246145e7,3.528560182885416e7
126,0.3073062569230704,0.0,3.5285601510952525e7,3.5285601818258785e7
127,1.150315506825365,0.0,3.52856014799524e7,3.528560263026791e7
128,0.2931163578177205,0.0,3.528560145317064e7,3.5285601746287e7
129,0.3433377271943987,0.0,3.528560143122587e7,3.52856017745636e7
130,0.25471411399207605,0.0,3.528560141372933e7,3.528560166844345e7
