t,obs_term,prior_term,dyn_term,total
1,0.7825121055126603,9.669690713579108,0.0,10.452202819091768
2,1.135737366490794,0.0,2.163954557440408e8,2.1639545687977815e8
3,0.1085768832076158,0.0,1.8443630274229407e8,1.8443630285087097e8
4,0.08510467156257388,0.0,1.5668271153267372e8,1.566827116177784e8
5,0.04748249588534635,0.0,1.32745994105623e8,1.327459941531055e8
6,0.9141619009967019,0.0,1.1225462505818234e8,1.1225462597234425e8
7,1.9625027122566163,0.0,9.485400547935227e7,9.485400744185498e7
8,0.15410141747666434,0.0,8.020685732506867e7,8.020685747917008e7
9,0.25478950153344554,0.0,6.79940000089117e7,6.79940002637012e7
10,0.6792180125428734,0.0,5.791530308044057e7,5.791530375965858e7
11,0.026928544847762137,0.0,4.969064893556902e7,4.969064896249756e7
12,0.15131991518079316,0.0,4.30607772103062e7,4.306077736162611e7
13,0.06438933690460412,0.0,3.778791739168324e7,3.7787917456072584e7
14,0.11188789974153451,0.0,3.365614775240302e7,3.365614786429092e7
15,0.032580349239649795,0.0,3.0471446559623994e7,3.0471446592204344e7
16,1.5126255707983263,0.0,2.80614253243564e7,2.806142683698197e7
17,0.31999557973762816,0.0,2.627475349542773e7,2.627475381542331e7
18,0.9410865261443734,0.0,2.498029946308954e7,2.4980300404176068e7
19,1.4548678751233288,0.0,2.406602416671641e7,2.4066025621584285e7
20,0.05648224483997946,0.0,2.343767126788315e7,2.3437671324365396e7
21,1.1425425857837275,0.0,2.3017302120824534e7,2.301730326336712e7
22,0.04486140069810486,0.0,2.2741725084537067e7,2.274172512939847e7
23,0.11685501158411146,0.0,2.2560867553504586e7,2.2560867670359597e7
24,0.4053886604708762,0.0,2.2436135933255363e7,2.2436136338644024e7
25,0.08012002527531953,0.0,2.2338804142811395e7,2.2338804222931422e7
26,0.28611283011278943,0.0,2.2248465552723926e7,2.2248465838836756e7
27,0.108319610279728,0.0,2.215157698936183e7,2.215157709768144e7
28,0.025058319241030382,0.0,2.204011692708205e7,2.204011695214037e7
29,0.07877549154702969,0.0,2.19103735663329e7,2.191037364510839e7
30,0.023748875728742052,0.0,2.176187241387173e7,2.1761872437620606e7
31,0.08226472652494787,0.0,2.1596447437086925e7,2.159644751935165e7
32,0.8314218902758227,0.0,2.1417454996375974e7,2.1417455827797864e7
33,1.9511009276319826,0.0,2.1229125653043754e7,2.122912760414468e7
34,0.25014105304837947,0.0,2.1036045644207343e7,2.1036045894348398e7
35,0.02905167654299988,0.0,2.0842757308247205e7,2.084275733729888e7
36,0.17906226666815006,0.0,2.0653466001344092e7,2.0653466180406358e7
37,0.9789160102189828,0.0,2.04718400076212e7,2.047184098653721e7
38,0.11767735804672014,0.0,2.0300889533673987e7,2.0300889651351344e7
39,0.12354912890374048,0.0,2.0142911004407853e7,2.0142911127956983e7
40,1.0317355047805794,0.0,1.9999483445169214e7,1.999948447690472e7
41,0.05023437807607515,0.0,1.9871504649273846e7,1.9871504699508224e7
42,0.5593016043874441,0.0,1.9759255996147465e7,1.975925655544907e7
43,0.2002397895408614,0.0,1.9662486117241323e7,1.966248631748111e7
