t,obs_term,prior_term,dyn_term,total
1,0.24734023524692939,10.30189547268915,0.0,10.549235707936079
2,1.082962311453306,0.0,8.696526829071079e7,8.69652693736731e7
3,-0.22330356531311166,0.0,7.55594085302042e7,7.555940830690064e7
4,1.4560396095360826,0.0,6.549959317021834e7,6.549959462625795e7
5,-0.24228688007564533,0.0,5.6671250894795984e7,5.66712506525091e7
6,-0.24221001504732967,0.0,4.8965282874058716e7,4.89652826318487e7
7,-0.23711049046461505,0.0,4.2277848986519694e7,4.2277848749409206e7
8,0.09422504883427785,0.0,3.651028319854835e7,3.6510283292773396e7
9,-0.19580227672229022,0.0,3.1569097719044693e7,3.1569097523242418e7
10,0.8949537397030245,0.0,2.7366041558845453e7,2.736604245379919e7
11,1.0994086831798233,0.0,2.381818478735555e7,2.3818185886764232e7
12,-0.18932279665316284,0.0,2.084800510427445e7,2.0848004914951656e7
13,-0.2443982362476089,0.0,1.838345831523325e7,1.8383458070835013e7
14,-0.009513213691273614,0.0,1.6358018885745283e7,1.6358018876232069e7
15,-0.037033456352681876,0.0,1.4710680913284622e7,1.4710680876251167e7
16,4.859094057386335,0.0,1.3385913571228176e7,1.3385918430322234e7
17,0.5577907528134888,0.0,1.2333568318545273e7,1.2333568876336025e7
18,-0.13828212247627578,0.0,1.1508737922137609e7,1.1508737783855487e7
19,0.14148629472628355,0.0,1.0871569605850587e7,1.0871569747336881e7
20,0.9585893369792418,0.0,1.0387036433472117e7,1.0387037392061455e7
21,0.7818986260221189,0.0,1.002467237239993e7,1.0024673154298555e7
22,0.031747186780580694,0.0,9.758277401727103e6,9.75827743347429e6
23,0.13093264846747493,0.0,9.565599567944895e6,9.565599698877543e6
24,0.4942215755261,0.0,9.428001093288653e6,9.428001587510228e6
25,0.19889344117852636,0.0,9.330115548047073e6,9.330115746940514e6
26,1.5626792958705602,0.0,9.25950277490796e6,9.259504337587256e6
27,0.063021525653629,0.0,9.206307734787062e6,9.206307797808588e6
28,0.4487412342964016,0.0,9.162928782298297e6,9.162929231039532e6
29,-0.24000463209020145,0.0,9.123700117893139e6,9.123699877888506e6
30,-0.18207943757226924,0.0,9.084592350701325e6,9.084592168621887e6
31,0.3563137125081887,0.0,9.042934271477299e6,9.042934627791012e6
32,-0.2064207354523209,0.0,8.99715810120968e6,8.997157894788945e6
33,1.021699498291793,0.0,8.94656969743543e6,8.946570719134927e6
34,2.523590521682405,0.0,8.891144458908597e6,8.891146982499119e6
35,-0.2665005425383808,0.0,8.83134900840241e6,8.831348741901869e6
36,3.0236001127841385,0.0,8.767988158774927e6,8.76799118237504e6
37,1.6923741110091886,0.0,8.702076159348892e6,8.702077851723002e6
38,0.40483443732509705,0.0,8.63473083242467e6,8.634731237259109e6
39,1.4372773145720634,0.0,8.567088901682988e6,8.567090338960303e6
40,-0.18177591538250917,0.0,8.500240572629185e6,8.50024039085327e6
41,0.6645450573441767,0.0,8.435181300081436e6,8.435181964626493e6
42,0.09024786807613794,0.0,8.372778597800761e6,8.372778688048629e6
43,2.365759151781378,0.0,8.313751743581267e6,8.313754109340419e6
44,1.6643133732506763,0.0,8.258662285114849e6,8.258663949428222e6
45,0.27851006853275173,0.0,8.207913346900167e6,8.2079136254102355e6
46,-0.16465688320944627,0.0,8.161755874897267e6,8.161755710240384e6
47,2.662752589294417,0.0,8.120300104380852e6,8.120302767133441e6
48,-0.252333100126804,0.0,8.083530719378143e6,8.083530467045043e6
49,-0.15888530115207036,0.0,8.051324376210088e6,8.051324217324787e6
50,1.2589974774040695,0.0,8.023468436753338e6,8.023469695750816e6
51,-0.2634747308293722,0.0,7.999679945179914e6,7.999679681705183e6
52,-0.13448396682331812,0.0,7.979624093468544e6,7.979623958984577e6
53,-0.22490634542447716,0.0,7.9629315642783195e6,7.962931339371974e6
54,3.015873501208932,0.0,7.949214302345058e6,7.949217318218559e6
55,-0.2598791128155988,0.0,7.938079418335371e6,7.938079158456258e6
56,-0.26914726869999867,0.0,7.92914106154832e6,7.929140792401051e6
57,0.07409438095646192,0.0,7.922030181637007e6,7.922030255731388e6
58,0.9303283933189426,0.0,7.916402189553934e6,7.9164031198823275e6
59,0.8164102242774501,0.0,7.911942619192936e6,7.91194343560316e6
60,-0.24612018269189448,0.0,7.9083709278389e6,7.908370681718717e6
61,-0.2606932716092885,0.0,7.905442620229207e6,7.905442359535935e6
62,0.1931009063329066,0.0,7.902949910473877e6,7.902950103574783e6
63,1.4734463034707923,0.0,7.900721144447893e6,7.900722617894196e6
64,-0.23322357222764098,0.0,7.898619204411381e6,7.898618971187809e6
65,2.245193095511448,0.0,7.896539115708691e6,7.896541360901787e6
66,1.2590718534684187,0.0,7.894405075432335e6,7.894406334504188e6
67,-0.17787743844726456,0.0,7.892167091623549e6,7.892166913746111e6
68,5.1912800145983855,0.0,7.889797402778236e6,7.889802594058251e6
69,1.5102615006583675,0.0,7.887286840167293e6,7.887288350428794e6
70,-0.11620496006337733,0.0,7.884641249185195e6,7.884641132980235e6
71,3.162061188880323,0.0,7.881878074784148e6,7.881881236845337e6
72,-0.2489950324507109,0.0,7.8790232019785e6,7.879022952983468e6
73,-0.0480767058967804,0.0,7.876108097840192e6,7.876108049763486e6
74,0.840496937959867,0.0,7.87316729799087e6,7.8731681384878075e6
75,-0.1356441352788646,0.0,7.870236260771818e6,7.870236125127683e6
76,3.9383943098219603,0.0,7.867349589984117e6,7.867353528378427e6
77,-0.19778600005140395,0.0,7.864539621851896e6,7.864539424065896e6
78,1.4544650028692543,0.0,7.861835357053113e6,7.861836811518116e6
79,-0.24697357618055082,0.0,7.859261712847329e6,7.859261465873753e6
80,-0.19392447726583628,0.0,7.856839062502776e6,7.856838868578299e6
81,0.39259962174186086,0.0,7.854583027124922e6,7.854583419724544e6
82,0.3269984729287486,0.0,7.852504478843965e6,7.852504805842438e6
83,2.0537467624960035,0.0,7.850609719983105e6,7.850611773729867e6
84,-0.2647392442857163,0.0,7.848900801045881e6,7.848900536306636e6
85,-0.26285277484804825,0.0,7.847375943712371e6,7.8473756808595965e6
86,-0.0962778201120818,0.0,7.846030034203765e6,7.846029937925945e6
87,0.4935583905061007,0.0,7.8448551542409e6,7.84485564779929e6
88,0.3484666851412465,0.0,7.843841129070647e6,7.843841477537332e6
89,0.8534272902680228,0.0,7.842976070880837e6,7.842976924308127e6
90,1.7041115965020073,0.0,7.842246898675187e6,7.842248602786783e6
91,0.08937042319806093,0.0,7.841639819791374e6,7.841639909161797e6
92,1.35991511628095,0.0,7.841140767094312e6,7.841142127009428e6
93,0.9456756321982649,0.0,7.840735779371728e6,7.84073672504736e6
94,2.940379232073692,0.0,7.840411322676422e6,7.840414263055654e6
95,1.2010168751249681,0.0,7.840154553486739e6,7.840155754503614e6
96,2.6978263059772347,0.0,7.839953524494679e6,7.839956222320985e6
97,-0.09755901930645125,0.0,7.839797334244033e6,7.839797236685014e6
98,-0.16880992297295117,0.0,7.839676228715169e6,7.839676059905246e6
99,1.8244641615816113,0.0,7.839581653535089e6,7.839583477999251e6
100,-0.21212141404961807,0.0,7.839506261308291e6,7.839506049186877e6
101,-0.2070279710131593,0.0,7.8394438823056165e6,7.839443675277646e6
102,1.1511768600315715,0.0,7.839389469077022e6,7.839390620253881e6
103,0.5188186694299558,0.0,7.839339027504239e6,7.839339546322908e6
104,0.13593039146449137,0.0,7.839289522225547e6,7.839289658155938e6
105,-0.19648897471714705,0.0,7.839238766637301e6,7.839238570148326e6
106,-0.26843126695342584,0.0,7.839185316555562e6,7.839185048124296e6
