t,obs_term,prior_term,dyn_term,total
1,-0.08692440767531862,10.33776518125542,0.0,10.250840773580101
2,-0.1655616677150048,0.0,8.696526829071018e7,8.696526812514852e7
3,-0.21719448208867104,0.0,7.555940853020325e7,7.555940831300877e7
4,-0.219215560633613,0.0,6.5499593170224674e7,6.549959295100912e7
5,-0.09137240330582883,0.0,5.6671250894825295e7,5.6671250803452894e7
6,0.006192799715289937,0.0,4.896528287412374e7,4.896528288031654e7
7,2.4244763785688277,0.0,4.227784898660487e7,4.227785141108125e7
8,-0.12199748954818701,0.0,3.6510283198587425e7,3.6510283076589935e7
9,-0.2603297471923025,0.0,3.156909771892674e7,3.1569097458596993e7
10,2.438627568402949,0.0,2.736604155845453e7,2.7366043997082096e7
11,-0.06317035341336141,0.0,2.381818478657812e7,2.3818184723407764e7
12,1.0067362546729774,0.0,2.084800510299683e7,2.0848006109733086e7
13,-0.2609862329879547,0.0,1.838345831335459e7,1.8383458052368358e7
14,0.5563448112065967,0.0,1.6358018883253548e7,1.635801943959836e7
15,0.8008452705478595,0.0,1.4710680910310827e7,1.4710681711156098e7
16,0.016385445644558738,0.0,1.3385913568180406e7,1.3385913584565852e7
17,-0.04427686774087475,0.0,1.233356831600989e7,1.2333568271733023e7
18,-0.2624882195224533,0.0,1.1508737920532992e7,1.1508737658044772e7
19,-0.25563675215228376,0.0,1.0871569605437595e7,1.0871569349800844e7
20,-0.0815201122944317,0.0,1.0387036434600433e7,1.0387036353080321e7
21,0.10046340899924316,0.0,1.0024672375319757e7,1.0024672475783166e7
22,-0.21447835458212433,0.0,9.75827740690829e6,9.758277192429936e6
23,1.3158880183380037,0.0,9.565599576857233e6,9.56560089274525e6
24,-0.1979520551491532,0.0,9.42800110733895e6,9.428000909386896e6
25,-0.20333775321711706,0.0,9.33011556851762e6,9.330115365179867e6
26,0.49685841459070407,0.0,9.259502804507578e6,9.259503301365992e6
27,0.3674457169733713,0.0,9.20630777783403e6,9.206308145279747e6
28,1.051906138674297,0.0,9.162928843418626e6,9.162929895324765e6
29,0.6328158234621017,0.0,9.12370020108874e6,9.123700833904563e6
30,1.6091343856824318,0.0,9.084592459323553e6,9.084594068457939e6
31,1.1199680530323044,0.0,9.042934406992162e6,9.042935526960215e6
32,0.3621218548722566,0.0,8.997158262893524e6,8.997158625015378e6
33,0.7264899352734436,0.0,8.946569882434692e6,8.946570608924627e6
34,0.26065812586841935,0.0,8.891144662533201e6,8.891144923191328e6
35,2.625910867093335,0.0,8.831349226046085e6,8.831351851956952e6
36,1.5484408408000243,0.0,8.767988383445604e6,8.767989931886444e6
37,1.4734395730984677,0.0,8.702076380590787e6,8.70207785403036e6
