t,obs_term,prior_term,dyn_term,total
1,-0.19719333462351124,9.767237251847062,0.0,9.57004391722355
2,1.796105301631613,0.0,1.2398089444587976e8,1.2398089624198505e8
3,-0.11190987704233969,0.0,1.0818605769644485e8,1.0818605758453497e8
4,3.7038921908387854,0.0,9.414827908357193e7,9.414828278746411e7
5,0.08730975072856278,0.0,8.173380266775979e7,8.173380275506954e7
6,1.0272626614521054,0.0,7.081336166433384e7,7.08133626915965e7
7,-0.25215227410238034,0.0,6.126204625457085e7,6.126204600241858e7
8,0.8450405506027602,0.0,5.295935886547153e7,5.295935971051208e7
9,-0.19292599193178112,0.0,4.578940143809169e7,4.57894012451657e7
10,1.8459954743806568,0.0,3.9641146472286634e7,3.9641148318282105e7
11,0.10117744351290087,0.0,3.4408750666593e7,3.440875076777045e7
12,-0.25762521789207676,0.0,2.9991876756639697e7,2.999187649901448e7
13,0.02007031761106076,0.0,2.6295995648134246e7,2.6295995668204565e7
14,0.16898031676151765,0.0,2.3232647074834216e7,2.323264724381453e7
15,-0.19700687209592355,0.0,2.0719642716419205e7,2.071964251941233e7
16,-0.24199819990865906,0.0,1.868120091948238e7,1.868120067748418e7
17,1.0959247022971035,0.0,1.7048006822860174e7,1.7048007918784875e7
18,1.533048541585505,0.0,1.575719575690418e7,1.5757197289952721e7
19,0.22817262203592553,0.0,1.4752261242523292e7,1.4752261470695915e7
20,0.7131988366333191,0.0,1.3982891756647976e7,1.3982892469846813e7
21,1.1633453472126238,0.0,1.3404742663902253e7,1.3404743827247601e7
22,-0.2438571187476312,0.0,1.2979151376027528e7,1.2979151132170409e7
23,2.808070302757667,0.0,1.2672804925151149e7,1.267280773322145e7
24,0.0757229540345829,0.0,1.2457369766470438e7,1.2457369842193391e7
25,0.5127956029982811,0.0,1.2309093835523e7,1.2309094348318603e7
26,-0.260679873103877,0.0,1.2208390718833614e7,1.2208390458153741e7
27,0.24552128735973688,0.0,1.2139415322909087e7,1.2139415568430373e7
28,2.692920234619044,0.0,1.208963971406358e7,1.2089642406983813e7
29,0.2873982817429418,0.0,1.2049436902143624e7,1.2049437189541906e7
30,-0.03544359639780942,0.0,1.2011679321947666e7,1.201167928650407e7
31,0.1953693872540173,0.0,1.19713576639418e7,1.1971357859311188e7
32,-0.16965538425012844,0.0,1.1925224581586836e7,1.1925224411931451e7
33,1.0729907166583494,0.0,1.1871466694864567e7,1.1871467767855285e7
34,1.055840217509288,0.0,1.1809407239576388e7,1.1809408295416607e7
35,-0.010012014600006114,0.0,1.173924072036994e7,1.1739240710357927e7
36,0.6794141288052287,0.0,1.1661800024862504e7,1.1661800704276633e7
37,-0.15394236911055292,0.0,1.1578355657312036e7,1.1578355503369667e7
38,-0.26568733345769796,0.0,1.149044607660902e7,1.1490445810921686e7
39,-0.21310602088030725,0.0,1.1399737559239388e7,1.1399737346133366e7
40,0.24582920947446635,0.0,1.1307911566959886e7,1.1307911812789096e7
41,-0.178480593608205,0.0,1.1216577273888411e7,1.1216577095407818e7
42,0.3344522733585623,0.0,1.1127206681165302e7,1.1127207015617575e7
43,-0.07850310471493938,0.0,1.1041089630698832e7,1.1041089552195728e7
44,0.19938850343857778,0.0,1.095930598840202e7,1.0959306187790524e7
45,-0.253007325518695,0.0,1.0882712306710716e7,1.088271205370339e7
46,1.0169083098114726,0.0,1.0811940380363917e7,1.0811941397272227e7
47,0.17173774139005765,0.0,1.0747405260624202e7,1.0747405432361944e7
48,1.8489984137669335,0.0,1.0689320482076233e7,1.0689322331074648e7
49,1.2511476995935202,0.0,1.0637718476238435e7,1.0637719727386136e7
50,-0.17793164362769112,0.0,1.0592474382520698e7,1.0592474204589054e7
51,0.24632211363488687,0.0,1.0553331709117081e7,1.0553331955439195e7
52,-0.05873053060831404,0.0,1.0519928542654866e7,1.0519928483924335e7
53,-0.2481998626487266,0.0,1.0491823239702474e7,1.0491822991502611e7
54,1.3331972751605343,0.0,1.0468518759528264e7,1.046852009272554e7
55,0.982353460453594,0.0,1.0449485006590687e7,1.0449485988944147e7
56,2.1866686324875393,0.0,1.0434178739110267e7,1.04341809257789e7
57,-0.18545349047818616,0.0,1.0422060769062923e7,1.0422060583609432e7
58,2.7432477483577697,0.0,1.0412610323692964e7,1.0412613066940714e7
59,0.07861830623872096,0.0,1.040533655886414e7,1.0405336637482448e7
60,0.09999757189049846,0.0,1.0399787315527502e7,1.0399787415525075e7
61,-0.059149894102309114,0.0,1.0395555289885012e7,1.0395555230735118e7
62,-0.1974240341491973,0.0,1.0392281842344617e7,1.0392281644920584e7
63,0.4500601021309568,0.0,1.0389658714124087e7,1.0389659164184188e7
64,0.32032519825229455,0.0,1.0387427940574827e7,1.0387428260900024e7
65,1.8943800392213663,0.0,1.0385380263258355e7,1.0385382157638393e7
66,0.5285710095326848,0.0,1.0383352340393646e7,1.0383352868964655e7
67,0.7838076500554977,0.0,1.0381223042711146e7,1.0381223826518796e7
68,-0.26252328446344175,0.0,1.0378909103224602e7,1.0378908840701317e7
69,-0.23745407404760804,0.0,1.0376360364662882e7,1.0376360127208808e7
70,1.7764532262770123,0.0,1.0373554840133796e7,1.0373556616587022e7
71,0.24478767321147094,0.0,1.0370493770458493e7,1.0370494015246166e7
72,0.27546746639418884,0.0,1.0367196837312754e7,1.036719711278022e7
73,0.00280371317180772,0.0,1.036369765335991e7,1.0363697656163624e7
74,0.10235320532085546,0.0,1.0360039620874822e7,1.0360039723228028e7
75,0.1720138974902347,0.0,1.03562722270969e7,1.0356272399110798e7
76,0.7635962554660347,0.0,1.0352447818192696e7,1.0352448581788952e7
77,-0.10534519115447438,0.0,1.0348618869161472e7,1.034861876381628e7
78,1.3675145510480893,0.0,1.0344835748419287e7,1.0344837115933837e7
79,0.18882521869846253,0.0,1.0341144966183826e7,1.0341145155009044e7
80,0.916078720738702,0.0,1.0337587875765529e7,1.0337588791844249e7
81,-0.25572639040525796,0.0,1.0334199790349979e7,1.033419953462359e7
82,0.7131933384829241,0.0,1.0331009471548822e7,1.033101018474216e7
83,-0.17556666029329537,0.0,1.0328038941650786e7,1.0328038766084125e7
84,0.12085923053842484,0.0,1.0325303568240652e7,1.0325303689099882e7
85,3.729044701477113,0.0,1.0322812370505752e7,1.0322816099550454e7
86,0.016499007765375384,0.0,1.0320568499995872e7,1.032056851649488e7
87,0.873603191265387,0.0,1.0318569846695825e7,1.0318570720299017e7
88,1.7637886470628346,0.0,1.0316809731285645e7,1.0316811495074293e7
89,0.915533302182731,0.0,1.0315277645554049e7,1.0315278561087351e7
90,1.3618717816809478,0.0,1.0313960006692031e7,1.0313961368563812e7
91,0.5277510364068153,0.0,1.031284089919039e7,1.0312841426941426e7
92,1.1624379335579194,0.0,1.0311902781578396e7,1.031190394401633e7
93,-0.15455734281766043,0.0,1.0311127140435234e7,1.031112698587789e7
94,1.5233100835910387,0.0,1.0310495079330534e7,1.0310496602640618e7
95,3.5655966105564265,0.0,1.0309987833148224e7,1.0309991398744835e7
96,0.6068780210654428,0.0,1.0309587202543788e7,1.030958780942181e7
97,0.6652938441804687,0.0,1.0309275910436098e7,1.0309276575729942e7
98,0.41689898638776174,0.0,1.0309037879773958e7,1.0309038296672944e7
99,0.6439864813919456,0.0,1.0308858435539108e7,1.030885907952559e7
100,-0.07143491395303589,0.0,1.030872443767966e7,1.0308724366244746e7
101,-0.11307760238058612,0.0,1.0308624351917373e7,1.030862423883977e7
102,4.002908542546576,0.0,1.0308548265650716e7,1.0308552268559258e7
103,2.8733788359121224,0.0,1.0308487854797795e7,1.0308490728176631e7
104,-0.2695287301211166,0.0,1.0308436314224835e7,1.0308436044696106e7
105,0.014065195280364484,0.0,1.0308388261604475e7,1.030838827566967e7
106,0.10739047454827666,0.0,1.0308339615865098e7,1.0308339723255573e7
107,-0.07087216134145799,0.0,1.0308287456558594e7,1.0308287385686433e7
108,-0.2075240472612747,0.0,1.0308229876872275e7,1.0308229669348227e7
109,-0.24455124926261548,0.0,1.0308165835497815e7,1.0308165590946566e7
110,2.2803999925474416,0.0,1.0308095009036532e7,1.0308097289436525e7
111,0.9213297552195387,0.0,1.0308017651141616e7,1.030801857247137e7
112,0.22010283312153778,0.0,1.0307934458055504e7,1.0307934678158337e7
113,0.44123369449362637,0.0,1.0307846444582406e7,1.0307846885816101e7
114,2.168521538849311,0.0,1.0307754834244393e7,1.0307757002765931e7
115,0.41751579893410634,0.0,1.030766096727176e7,1.030766138478756e7
116,2.1931650228442128,0.0,1.0307566220524728e7,1.0307568413689751e7
117,1.2461999630468255,0.0,1.0307471939420275e7,1.0307473185620239e7
118,-0.251721814630642,0.0,1.030737938565267e7,1.0307379133930856e7
119,2.0245398740412237,0.0,1.0307289696333649e7,1.0307291720873524e7
120,0.4964640440302315,0.0,1.0307203857749091e7,1.0307204354213135e7
121,0.02078350557234282,0.0,1.0307122688376652e7,1.0307122709160158e7
122,-0.17250718917449986,0.0,1.0307046830091663e7,1.0307046657584473e7
123,3.6046243511689067,0.0,1.0306976748646785e7,1.0306980353271136e7
124,2.377815798481954,0.0,1.0306912740651287e7,1.0306915118467085e7
125,0.39070428975232424,0.0,1.0306854944310453e7,1.0306855335014742e7
126,0.1503837186649591,0.0,1.0306803353948208e7,1.0306803504331926e7
127,0.013081979656459741,0.0,1.0306757838223256e7,1.0306757851305235e7
128,0.08173215488280688,0.0,1.030671815968421e7,1.0306718241416365e7
129,1.2378390202453298,0.0,1.0306683994675769e7,1.030668523251479e7
130,3.409745471803183,0.0,1.030665495277743e7,1.0306658362522902e7
131,5.075887138090282,0.0,1.030663059512494e7,1.0306635671012077e7
132,-0.26956197169247603,0.0,1.0306610451611442e7,1.030661018204947e7
133,-0.12064798671179072,0.0,1.0306594038188538e7,1.030659391754055e7
134,0.7583599144707853,0.0,1.0306580871660486e7,1.03065816300204e7
135,1.4116372957404832,0.0,1.0306570480252061e7,1.0306571891889356e7
136,-0.25282179250105685,0.0,1.0306562413220685e7,1.0306562160398893e7
137,-0.24330271509333937,0.0,1.0306556250043912e7,1.0306556006741196e7
138,0.1365973784159984,0.0,1.030655160675722e7,1.0306551743354598e7
139,-0.16012205940478125,0.0,1.0306548139292985e7,1.0306547979170926e7
140,-0.267684504670007,0.0,1.030654554480315e7,1.0306545277118646e7
141,0.006574214305525683,0.0,1.030654356206719e7,1.0306543568641404e7
142,-0.23085252675082543,0.0,1.030654197128447e7,1.0306541740431942e7
143,-0.19291261612685934,0.0,1.0306540592853496e7,1.030654039994088e7
144,0.08641209379335701,0.0,1.0306539284946809e7,1.0306539371358903e7
145,0.2861741271715554,0.0,1.0306537939480655e7,1.0306538225654783e7
146,-0.1468465816531055,0.0,1.0306536480272617e7,1.0306536333426036e7
147,-0.1952289042866222,0.0,1.0306534859133294e7,1.030653466390439e7
148,-0.2532838048435557,0.0,1.0306533050174415e7,1.030653279689061e7
149,0.057677679931320724,0.0,1.030653104648871e7,1.030653110416639e7
