t,obs_term,prior_term,dyn_term,total
1,8.148092344854666,9.732353168129489,0.0,17.880445512984153
2,2.627456621537163,0.0,1.2398089444587041e8,1.2398089707332703e8
3,0.8004464875201522,0.0,1.0818605769643967e8,1.0818605849688615e8
4,0.09004532746874438,0.0,9.414827908367443e7,9.414827917371976e7
5,0.3083916510113651,0.0,8.173380266828895e7,8.173380297668059e7
6,0.7930373258514478,0.0,7.081336166597252e7,7.081336245900984e7
7,0.40984466738774855,0.0,6.126204625857728e7,6.126204666842195e7
8,0.36857576275417925,0.0,5.2959358873828955e7,5.2959359242404714e7
9,0.7852436973858734,0.0,4.578940145353544e7,4.5789402238779135e7
10,1.0167552294198814,0.0,3.964114649829457e7,3.96411475150498e7
11,1.570253202438741,0.0,3.4408750707128905e7,3.4408752277382106e7
12,-0.2642793507096976,0.0,2.999187681571499e7,2.999187655143564e7
13,0.5132374208891411,0.0,2.6295995729705248e7,2.629599624294267e7
14,-0.1204782998346006,0.0,2.3232647182764407e7,2.323264706228611e7
15,0.5127943558590699,0.0,2.0719642854123104e7,2.071964336691746e7
16,6.797841596420692,0.0,1.8681201089507427e7,1.8681207887349024e7
17,6.110015122255185,0.0,1.7048007025649454e7,1.704801313566458e7
18,1.8154616341606196,0.0,1.575719598965443e7,1.5757197805116063e7
19,-0.027690620041288083,0.0,1.4752261499452446e7,1.4752261471761826e7
20,0.10801024296358941,0.0,1.3982892029293705e7,1.3982892137303948e7
21,-0.2469637933525987,0.0,1.340474294140249e7,1.3404742694438696e7
22,-0.11713520934342447,0.0,1.2979151646293076e7,1.2979151529157866e7
23,-0.21838861386045205,0.0,1.2672805174985688e7,1.2672804956597075e7
24,2.9502733760200814,0.0,1.2457369981965672e7,1.2457372932239048e7
25,-0.19069277429956577,0.0,1.2309094002018033e7,1.2309093811325258e7
26,1.5734890757830098,0.0,1.2208390820960628e7,1.2208392394449703e7
27,-0.174659023621291,0.0,1.2139415346762294e7,1.213941517210327e7
28,-0.24202764220984466,0.0,1.2089639647892151e7,1.2089639405864509e7
29,-0.2494950024812267,0.0,1.2049436737070771e7,1.2049436487575768e7
30,1.5814571334189689,0.0,1.2011679052421441e7,1.2011680633878576e7
31,0.6615117676093403,0.0,1.1971357287942102e7,1.197135794945387e7
32,2.0761361555086526,0.0,1.1925224101119988e7,1.1925226177256143e7
33,0.7013687830708337,0.0,1.187146611580795e7,1.1871466817176733e7
34,0.10039293019393913,0.0,1.1809406571806166e7,1.1809406672199097e7
35,2.5074034904220572,0.0,1.1739239977688642e7,1.1739242485092133e7
36,2.8719030303884927,0.0,1.166179922441402e7,1.1661802096317051e7
37,0.25137957037531106,0.0,1.1578354819295151e7,1.1578355070674721e7
38,3.0469374615282803,0.0,1.1490445222440446e7,1.1490448269377908e7
39,-0.2641159224174048,0.0,1.1399736710097661e7,1.139973644598174e7
40,0.333245093388473,0.0,1.1307910743010497e7,1.130791107625559e7
41,1.1337270403573625,0.0,1.1216576492505508e7,1.1216577626232548e7
42,0.09879414564986588,0.0,1.1127205956891162e7,1.1127206055685308e7
43,0.5543912218756475,0.0,1.1041088975417718e7,1.104108952980894e7
44,0.9157155468255738,0.0,1.0959305411069192e7,1.095930632678474e7
45,0.010836509273856765,0.0,1.0882711813304035e7,1.0882711824140545e7
46,0.10648182913374449,0.0,1.081193997383604e7,1.081194008031787e7
47,2.445842084145235,0.0,1.0747404940379811e7,1.0747407386221895e7
48,0.30510089021460784,0.0,1.0689320243658623e7,1.0689320548759513e7
49,0.019301791730447604,0.0,1.0637718311630692e7,1.0637718330932485e7
50,-0.0024423541342635247,0.0,1.0592474280660441e7,1.0592474278218087e7
51,4.2746387584368915,0.0,1.0553331656877158e7,1.0553335931515917e7
52,0.6283261444031057,0.0,1.0519928525224548e7,1.0519929153550692e7
53,0.10340029088208663,0.0,1.0491823240942664e7,1.0491823344342954e7
54,1.9243804976441243,0.0,1.0468518762540592e7,1.046852068692109e7
55,0.26075043828793193,0.0,1.044948499399598e7,1.0449485254746418e7
56,-0.2661054021078447,0.0,1.0434178693817513e7,1.043417842771211e7
57,2.6074770988191402,0.0,1.0422060675340632e7,1.042206328281773e7
58,-0.05769943558956975,0.0,1.0412610167774413e7,1.0412610110074976e7
59,-0.13324006947842826,0.0,1.0405336329709807e7,1.0405336196469737e7
60,-0.25667312734419506,0.0,1.0399787005840272e7,1.0399786749167144e7
61,-0.23773949744785572,0.0,1.0395554896374434e7,1.0395554658634936e7
62,-0.18246311118200326,0.0,1.0392281366046952e7,1.039228118358384e7
63,3.7212086249538356,0.0,1.0389658160122916e7,1.038966188133154e7
64,0.7706208636278048,0.0,1.0387427317729527e7,1.0387428088350391e7
65,-0.22217954349908917,0.0,1.038537958437573e7,1.0385379362196187e7
66,11.057135347352965,0.0,1.038335162332274e7,1.0383362680458087e7
67,3.493920090335588,0.0,1.038122230936225e7,1.038122580328234e7
68,2.6042023975343502,0.0,1.0378908377304507e7,1.0378910981506905e7
69,1.4772128059835805,0.0,1.0376359670616163e7,1.0376361147828968e7
70,3.091599747787413,0.0,1.0373554201639136e7,1.0373557293238884e7
71,1.666670070994695,0.0,1.037049321057498e7,1.0370494877245052e7
72,1.9469310482024604,0.0,1.0367196377991421e7,1.0367198324922469e7
73,3.998271922828514,0.0,1.0363697314094665e7,1.0363701312366588e7
74,2.1847356543180423,0.0,1.0360039416991169e7,1.0360041601726823e7
75,3.6843060670661534,0.0,1.0356272168606216e7,1.0356275852912283e7
76,-0.23212624970141493,0.0,1.0352447907944709e7,1.035244767581846e7
77,0.20108409772758695,0.0,1.0348619102646964e7,1.0348619303731062e7
78,1.5430879465365115,0.0,1.0344836115475794e7,1.034483765856374e7
79,1.3366444313938752,0.0,1.0341145449675674e7,1.0341146786320105e7
80,1.0927637120933722,0.0,1.0337588451517269e7,1.0337589544280982e7
81,0.47867642220735424,0.0,1.0334200428616593e7,1.0334200907293014e7
82,-0.26179424216012237,0.0,1.0331010139249431e7,1.0331009877455188e7
83,-0.26941861078934837,0.0,1.0328039605175344e7,1.0328039335756734e7
84,1.32077210784227,0.0,1.0325304195681091e7,1.03253055164532e7
85,3.039760802270495,0.0,1.032281293426339e7,1.0322815974024191e7
86,-0.25133441451122235,0.0,1.0320568978520857e7,1.0320568727186443e7
87,10.75257574072269,0.0,1.0318570224791966e7,1.0318580977367707e7
88,2.647151539537672,0.0,1.0316810002025971e7,1.031681264917751e7
89,2.973374578500009,0.0,1.031527781069445e7,1.031528078406903e7
90,6.852414565723148,0.0,1.0313960075600402e7,1.0313966928014968e7
91,6.480767646137664,0.0,1.0312840888610873e7,1.031284736937852e7
