iteration,free_energy
1,15682.880788991228
2,15682.880788991228
3,15682.880788991228
4,15682.880788991228
5,15682.880788991228
6,15682.880788991228
7,15682.880788991228
8,15682.880788991228
9,15682.880788991228
10,15682.880788991228
11,15682.880788991228
12,15682.880788991228
13,15682.880788991228
14,15682.880788991228
15,15682.880788991228
16,15682.880788991228
17,15682.880788991228
18,15682.880788991228
19,15682.880788991228
20,15682.880788991228
21,15682.880788991228
22,15682.880788991228
23,15682.880788991228
24,15682.880788991228
25,15682.880788991228
26,15682.880788991228
27,15682.880788991228
28,15682.880788991228
29,15682.880788991228
30,15682.880788991228
31,15682.880788991228
32,15682.880788991228
33,15682.880788991228
34,15682.880788991228
35,15682.880788991228
36,15682.880788991228
37,15682.880788991228
38,15682.880788991228
39,15682.880788991228
40,15682.880788991228
41,15682.880788991228
42,15682.880788991228
43,15682.880788991228
44,15682.880788991228
45,15682.880788991228
46,15682.880788991228
47,15682.880788991228
48,15682.880788991228
49,15682.880788991228
50,15682.880788991228
51,15682.880788991228
52,15682.880788991228
53,15682.880788991228
54,15682.880788991228
55,15682.880788991228
56,15682.880788991228
57,15682.880788991228
58,15682.880788991228
59,15682.880788991228
60,15682.880788991228
61,15682.880788991228
62,15682.880788991228
63,15682.880788991228
64,15682.880788991228
65,15682.880788991228
66,15682.880788991228
67,15682.880788991228
68,15682.880788991228
69,15682.880788991228
70,15682.880788991228
71,15682.880788991228
72,15682.880788991228
73,15682.880788991228
74,15682.880788991228
75,15682.880788991228
76,15682.880788991228
77,15682.880788991228
78,15682.880788991228
79,15682.880788991228
80,15682.880788991228
81,15682.880788991228
82,15682.880788991228
83,15682.880788991228
84,15682.880788991228
85,15682.880788991228
86,15682.880788991228
87,15682.880788991228
88,15682.880788991228
89,15682.880788991228
90,15682.880788991228
91,15682.880788991228
92,15682.880788991228
93,15682.880788991228
94,15682.880788991228
95,15682.880788991228
96,15682.880788991228
97,15682.880788991228
98,15682.880788991228
99,15682.880788991228
100,15682.880788991228
