t,obs_term,prior_term,dyn_term,total
1,0.3177788111485616,9.695457078889842,0.0,10.013235890038404
2,0.5799795635036799,0.0,2.1639545574404347e8,2.1639545632402304e8
3,0.2616846336453247,0.0,1.844363027423025e8,1.8443630300398713e8
4,0.12260307613683902,0.0,1.5668271153271103e8,1.5668271165531412e8
5,1.839093603069825,0.0,1.3274599410575058e8,1.3274599594484417e8
6,1.1739278030804123,0.0,1.122546250585433e8,1.122546262324711e8
7,0.04059171901856866,0.0,9.485400548021004e7,9.485400552080175e7
8,0.8446521314762865,0.0,8.020685732677862e7,8.020685817143075e7
9,0.43064781927994455,0.0,6.799400001190467e7,6.799400044255249e7
10,0.1340591940371337,0.0,5.7915303085124336e7,5.791530321918353e7
11,0.027178209626026514,0.0,4.969064894229035e7,4.9690648969468564e7
12,0.3614477483948982,0.0,4.306077721938064e7,4.306077758082839e7
13,4.004545844619339,0.0,3.7787917403481916e7,3.778792140802776e7
14,1.7023543638204437,0.0,3.365614776707044e7,3.365614946942481e7
15,0.4067094867771783,0.0,3.04714465766742e7,3.047144698338369e7
16,0.70025173258144,0.0,2.8061425342997212e7,2.8061426043248944e7
17,0.5510698670928261,0.0,2.6274753514735356e7,2.6274754065805223e7
18,1.1051062814151318,0.0,2.4980299482135154e7,2.4980300587241437e7
19,0.028057711101375626,0.0,2.406602418495835e7,2.406602421301606e7
20,0.2196206858635517,0.0,2.343767128498977e7,2.3437671504610457e7
21,0.3301015454384807,0.0,2.3017302136519115e7,2.301730246662066e7
22,0.1827377032829111,0.0,2.274172509852083e7,2.2741725281258535e7
23,0.1830947572695796,0.0,2.2560867565387856e7,2.2560867748482615e7
24,4.104319605079572,0.0,2.2436135942772474e7,2.243614004709208e7
25,0.19491462304387203,0.0,2.233880415011113e7,2.2338804345025755e7
26,0.15854848966412133,0.0,2.224846555814756e7,2.224846571669605e7
27,0.08146346111455476,0.0,2.2151576993210737e7,2.2151577074674197e7
28,0.4509790955132441,0.0,2.2040116929625787e7,2.204011738060488e7
29,0.22540860753373024,0.0,2.191037356781972e7,2.1910373793228325e7
30,0.06732114909437606,0.0,2.1761872414508834e7,2.1761872481829982e7
31,0.6361636242719809,0.0,2.1596447437015858e7,2.1596448073179483e7
32,0.07524805541158312,0.0,2.1417454995687805e7,2.141745507093586e7
33,0.02963365543221906,0.0,2.122912565185864e7,2.1229125681492295e7
34,0.030349484787224136,0.0,2.1036045642679736e7,2.103604567302922e7
35,0.9666372876033521,0.0,2.0842757306531824e7,2.084275827316911e7
36,0.6840244706295155,0.0,2.0653465999701712e7,2.0653466683726184e7
37,0.21667754560608088,0.0,2.0471840006452277e7,2.0471840223129824e7
38,0.27916866778747307,0.0,2.0300889533357e7,2.030088981252567e7
39,0.19134485004321855,0.0,2.0142911005254474e7,2.0142911196599323e7
40,0.19125558140007395,0.0,1.9999483447514422e7,1.9999483638770003e7
41,3.1308715195562393,0.0,1.9871504653618686e7,1.9871507784490205e7
42,1.6267311123475354,0.0,1.9759256002981335e7,1.9759257629712448e7
43,0.5578910533259199,0.0,1.9662486127098504e7,1.9662486684989557e7
44,0.2970635424681448,0.0,1.9580505041269585e7,1.9580505338333126e7
45,0.9171874568104962,0.0,1.9512281800396077e7,1.9512282717583533e7
46,0.02531803346478206,0.0,1.945654014503761e7,1.9456540170355644e7
47,0.07614785788250661,0.0,1.9411847927283056e7,1.9411848003430914e7
48,2.048411012052027,0.0,1.9376697318655934e7,1.9376699367066946e7
49,1.0479064217539593,0.0,1.9349573876837038e7,1.934957492474346e7
50,0.7962071581929416,0.0,1.932901347162467e7,1.932901426783183e7
51,0.04227292898036368,0.0,1.9313646841444675e7,1.9313646883717604e7
52,0.3728087007123662,0.0,1.9302232163254034e7,1.9302232536062736e7
53,0.08077300914883227,0.0,1.9293676484979838e7,1.929367656575285e7
54,0.029254108754133423,0.0,1.9287047202719923e7,1.928704723197403e7
55,2.1020431579228944,0.0,1.928157497294541e7,1.928157707498857e7
56,0.2599208036963275,0.0,1.9276649555742957e7,1.927664981566376e7
57,0.2436279197069571,0.0,1.9271810103059664e7,1.9271810346687585e7
58,0.11972860107528517,0.0,1.9266731351557385e7,1.9266731471285988e7
59,0.02781702937848534,0.0,1.9261207073079057e7,1.9261207100896087e7
60,0.05125182280779257,0.0,1.9255131995106366e7,1.9255132046358187e7
61,0.2247670090993263,0.0,1.9248483232250314e7,1.9248483457017325e7
62,0.2681900674327466,0.0,1.9241302089941833e7,1.92413023581319e7
63,0.04651653443881855,0.0,1.923367692071738e7,1.9233676967233915e7
64,0.05395701290086015,0.0,1.922572753742305e7,1.922572759138006e7
65,0.10452257280821783,0.0,1.9217591524506018e7,1.921759162902859e7
66,0.7005102239241152,0.0,1.920941264351658e7,1.9209413344026804e7
67,3.4169128823833006,0.0,1.920133140313297e7,1.9201334820045855e7
68,0.8704449133382947,0.0,1.919347775959413e7,1.9193478630039044e7
69,0.18476845952958385,0.0,1.9185965830731317e7,1.9185966015499778e7
70,0.51354628922527,0.0,1.917889044616607e7,1.9178890959712356e7
71,0.025802248508499676,0.0,1.9172325313708298e7,1.9172325339510545e7
72,0.309531470817566,0.0,1.916632255606685e7,1.916632286559832e7
73,0.0796136461757315,0.0,1.916091336356411e7,1.9160913443177756e7
74,0.022019621936963486,0.0,1.9156109511055674e7,1.9156109533075295e7
75,0.19861642016314768,0.0,1.9151905500302374e7,1.9151905698918793e7
76,1.5000902555006426,0.0,1.9148281109456055e7,1.914828260954631e7
77,0.5993346164672465,0.0,1.9145204156759024e7,1.914520475609364e7
78,0.13829921482945584,0.0,1.914263331470831e7,1.9142633453007527e7
79,0.03571989996720252,0.0,1.9140520840657726e7,1.9140520876377627e7
80,1.2087052670132643,0.0,1.9138815119385336e7,1.9138816328090604e7
81,0.3057133029759629,0.0,1.9137462942120504e7,1.9137463247833807e7
82,0.4849167726075351,0.0,1.913641147219284e7,1.913641195710961e7
83,0.020990344215099904,0.0,1.913560987037559e7,1.9135609891365934e7
84,2.4024029973856003,0.0,1.9135010573546812e7,1.913501297594981e7
85,0.709896020797665,0.0,1.9134570235393036e7,1.9134570945289057e7
86,0.05689609040463184,0.0,1.9134250351216294e7,1.9134250408112384e7
87,0.7800010379832693,0.0,1.913401759836477e7,1.9134018378365807e7
88,0.29713304110179994,0.0,1.9133843928667735e7,1.9133844225800775e7
89,0.06467161400849618,0.0,1.9133706454396784e7,1.9133706519068398e7
90,0.17049825418624984,0.0,1.9133587168995563e7,1.913358733949382e7
91,0.026360735257851882,0.0,1.9133472543146223e7,1.9133472569506958e7
92,0.8148688566902418,0.0,1.9133353035375707e7,1.9133353850244563e7
93,1.1836239697604776,0.0,1.9133222551435303e7,1.9133223735059272e7
94,0.1821297450451576,0.0,1.9133077882010173e7,1.9133078064139917e7
95,0.04796794734285638,0.0,1.9132918145508274e7,1.9132918193476222e7
96,0.032384972886513104,0.0,1.9132744256664906e7,1.913274428904988e7
