t,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,σ2_1,σ2_2,σ2_3,σ2_4,σ2_5,σ2_6
1,-0.08600079694590584,1.1205211743858356,0.8031578578550632,-0.022773806041390326,0.011359075946365864,-0.0006068822465441972,0.07382598011328166,0.35787498949608987,0.746226152899957,0.07012697300432966,0.00025549468306946144,4.0923308878645627e-7
2,0.030063362718149172,1.2007249816738232,0.8017727458495575,-0.021640932859176194,0.011298387721891446,-0.0006068822465641619,0.052311109752866874,0.2788510905603867,0.6705209367212243,0.06942718474723707,0.0002538202394425004,4.082330888205357e-7
3,0.15414116548997303,1.2807959319453404,0.8014476312305368,-0.020514128501448854,0.01123769949762342,-0.0006068822466108591,0.037923243351848726,0.21446401922007868,0.5972591449167406,0.06873421784490258,0.0002521539704855861,4.0723308890030164e-7
4,0.2862246204573652,1.3608399950755443,0.8010994826818908,-0.019393392969237543,0.011177011273829774,-0.0006068822467177146,0.028719859340271478,0.16301393787375065,0.5274035044152255,0.06804802231943058,0.00025049585620037394,4.0623308904903504e-7
5,0.4263109289828538,1.4408548371822043,0.7985968574339648,-0.018278726260450386,0.011116323050739634,-0.0006068822469461158,0.023157597123905742,0.12279723405389278,0.4619766580314413,0.06736854843772849,0.00024884587659001513,4.052330892964712e-7
6,0.5743863930357908,1.5206249803594645,0.7919237927469576,-0.017170128369872327,0.01105563482821499,-0.0006068822473654682,0.02004225734636069,0.09213517219746907,0.40191421898036217,0.06669574671091415,0.00024720401165999594,4.0423308968381425e-7
7,0.7304056916260389,1.5997333502163646,0.779047975421867,-0.016067599288886316,0.01099494660542565,-0.0006068822480011962,0.018478485757812593,0.06941252189954042,0.3479570483216462,0.06602956789370196,0.00024557024141894947,4.0323309027093607e-7
8,0.8942716308953803,1.6775596412172455,0.7580332247664199,-0.014971139005926918,0.010934258380529614,-0.0006068822487496461,0.017820206602389872,0.05311730302058365,0.30058458526329024,0.06536996298377934,0.0002439445458793904,4.0223309114573034e-7
9,1.065815309024442,1.7532899295828508,0.7270372492303542,-0.013880747506452696,0.010873570150377347,-0.0006068822492619178,0.017623202033108156,0.04187537659076867,0.2599873733164969,0.06471688322117494,0.00024232690505832024,4.012330924354661e-7
10,1.2447772195220812,1.82592606228812,0.6851405832939846,-0.012796424773944451,0.010812881910251392,-0.0006068822487970355,0.017601218113473593,0.034476008270886226,0.22607354728607104,0.06407028008761585,0.00024071729897762021,4.0023309431979547e-7
11,1.4307934441865866,1.8943779395733449,0.6332016000823473,-0.011718170792154646,0.01075219365377109,-0.000606882246053259,0.017586736056262972,0.029886615734193336,0.19850170087687788,0.06343010530589056,0.00023911570766428183,3.9923309704516493e-7
12,1.6233953429380819,1.9576412991854129,0.5738214318685841,-0.010645985548397867,0.01069150537308483,-0.0006068822389984742,0.01749718237779305,0.027256591856273694,0.17673146472006954,0.06279631083920341,0.00023752211115038408,3.98233100940161e-7
13,1.822026858225006,2.0149719919833475,0.51109777681064,-0.009579869036025083,0.010630817059356356,-0.0006068822247288553,0.017306946016005135,0.02591132813316927,0.16008319896860707,0.06216884889053541,0.00023593648947287354,3.972331064314598e-7
14,2.026077997670823,2.06603563936696,0.4487195183319713,-0.00851982125608677,0.010570128703482253,-0.0006068821993801769,0.017025185103464534,0.025338350744651836,0.1477991836844443,0.06154767190200697,0.00023435882267313366,3.962331140599804e-7
15,2.234923784930537,2.110866750855881,0.3883965836950124,-0.007465842214672645,0.010509440296757704,-0.0006068821581029238,0.016679081274267343,0.025167867661972102,0.13910025084036262,0.060932732554245965,0.00023278909079635726,3.952331244968778e-7
16,2.447951240464626,2.149670828851756,0.33006844020067544,-0.006417931920155601,0.010448751831250887,-0.0006068820950794647,0.016301957012711178,0.025150078485812216,0.13323362785489,0.060323983765759204,0.0002312272738907364,3.9423313855904704e-7
17,2.664567638812509,2.1826473219918148,0.2729624301468721,-0.00537609038059541,0.010388063299904382,-0.0006068820035553143,0.015925518400073724,0.02513140244869616,0.1295095877473351,0.059721378692311644,0.00022967335200650468,3.932331572238725e-7
18,2.8841963330936036,2.209918412948123,0.2177480590839755,-0.004340317604494627,0.010327374696535144,-0.0006068818758629685,0.015575417073321048,0.02503141969056964,0.12732612877248137,0.05912487072631124,0.00022812730519485166,3.9223318164297e-7
19,3.106276235327879,2.23167323544223,0.16560077705792245,-0.0033106136028052324,0.01026668601601855,-0.0006068817034445245,0.01526932902240355,0.024821875310030755,0.12618221447141145,0.05853441349619938,0.0002265891135067179,3.912332131547239e-7
20,3.3302710556041246,2.2482184679501005,0.1174382728792367,-0.0022869783884482756,0.010205997254558313,-0.0006068814768903817,0.015016807541312046,0.024508630918907003,0.12568103879409429,0.057949960865849776,0.00022505875699153276,3.902332532955152e-7
21,3.5556797554060195,2.2599525580682713,0.07395354381078212,-0.0012694119761170882,0.01014530840991475,-0.0006068811859934997,0.014820265363927486,0.02411701476728904,0.12552534055300332,0.057371466933969786,0.00022353621569587247,3.8923330380949257e-7
22,3.782044610310357,2.2673432529242885,0.03547620986249277,-0.0002579143813765885,0.01008461948159825,-0.0006068808198175373,0.014676559722834468,0.02368065270351767,0.12550701675217832,0.056798886033510326,0.00022202146966210376,3.8823336665688894e-7
