t,dim_1
1,-6.409510947364608e-5
2,-7.966713373867878e-5
3,-5.8734148459661946e-5
4,-7.825527302985713e-5
5,-9.422900275737092e-5
6,-0.000136365979196327
7,-0.0001727992665328433
8,-0.00018175219595717017
9,-0.00018759821899847837
10,-0.00023339671423645787
11,-0.0002464848508783262
12,-0.0001945210236088965
13,-0.00019135158957620755
14,-0.00015770899664306387
15,-0.0001312104277148039
16,-0.00012988707507508146
17,-0.00016626327714624217
18,-0.00014811035775558318
19,-0.00011246549254270637
20,-0.00011560246904789006
21,-0.00011302472410541172
22,-0.00011578961968820655
23,-0.0001333894602276768
24,-0.00012785944932410708
25,-0.0001217517281628777
26,-0.0001200855192166803
27,-0.00011267585073237277
28,-0.00013404383511054035
29,-0.00012388803200267398
30,-0.00016029755007818737
31,-0.00018544958950901508
32,-0.00018154910574767435
33,-0.00017698427631376962
34,-0.00018757565545610198
35,-0.00013374499043632067
36,-0.00014076567855199557
37,-0.00014697691342743452
38,-0.00019229935342839034
39,-0.00014935287053769236
40,-0.00013483526700808608
41,-0.00012264550426237673
42,-0.0001443667092275236
43,-0.00011063520346382962
44,-0.00012541520596611347
45,-0.00013075063345439935
46,-0.00014933834790401617
47,-0.00021658673301943723
48,-0.00023451403133432482
49,-0.0002497305546989894
50,-0.0002576000189773636
51,-0.0002736945653165895
52,-0.00029117640318802537
53,-0.0003068334290960483
54,-0.00029826331737292465
55,-0.00033305562965600064
56,-0.00029763547534959376
57,-0.00025911536542517994
58,-0.00023493144443548678
59,-0.00018683050864403875
60,-0.00012809731479016025
61,-9.767311612337957e-5
62,-5.50477325492947e-5
63,-5.1103651703219556e-5
64,-6.1647246004450725e-6
65,-2.4553432176913943e-5
66,7.619119949150851e-6
67,-3.914910025009768e-5
68,-1.5801026111610517e-5
69,-7.062111567001476e-5
70,-8.25374786387083e-5
71,-9.941989405026349e-5
72,-0.00012958779394360548
73,-8.57442337117151e-5
74,-8.794849487146978e-5
75,-0.0001043772937650478
76,-9.88672610341295e-5
77,-0.00014060843274384257
78,-7.895161939805144e-5
79,-5.1264431941578685e-5
80,-3.8844581484194186e-5
81,-5.110887833602633e-5
82,-6.62103257304019e-5
83,-8.73330049035488e-5
84,-0.00012055257800570033
85,-0.0001351848199921489
86,-0.00015071268884675804
87,-0.00015037917154332736
88,-0.00016640196536306655
89,-0.00022976902178918244
90,-0.0001803156144902677
91,-0.00014439035691663583
92,-0.00011918451159459075
93,-9.609175801512766e-5
94,-0.00010934115163339191
95,-0.00014961658178136038
96,-0.00010600658539437156
97,-0.00012535206919623765
98,-0.00012326029623458093
99,-0.00012171886311464836
100,-0.00010246650726890766
101,-0.00010622463834418901
102,-0.0001115595320667847
103,-9.520406628413995e-5
104,-0.00011347485578139431
105,-0.0001307471334269774
106,-0.00015334708075215956
107,-0.00015439253966378222
108,-0.00013643359824914243
