t,dim_1
1,8.066499320967765e-5
2,8.066399421959715e-5
3,8.066299623779776e-5
4,8.066199926425464e-5
5,8.066100329894282e-5
6,8.066000834183736e-5
7,8.065901439291343e-5
8,8.065802145214616e-5
9,8.065702951951079e-5
10,8.065603859498247e-5
11,8.065504867853641e-5
12,8.065405977014791e-5
13,8.065307186979222e-5
14,8.065208497744461e-5
15,8.065109909308046e-5
16,8.065011421667508e-5
17,8.064913034820388e-5
18,8.064814748764227e-5
19,8.064716563496567e-5
20,8.064618479014955e-5
21,8.064520495316937e-5
22,8.064422612400064e-5
23,8.064324830261886e-5
24,8.064227148899958e-5
25,8.064129568311841e-5
26,8.064032088495099e-5
27,8.063934709447289e-5
28,8.06383743116598e-5
29,8.063740253648733e-5
30,8.06364317689313e-5
31,8.063546200896734e-5
32,8.063449325657126e-5
33,8.063352551171886e-5
34,8.063255877438589e-5
35,8.063159304454821e-5
36,8.063062832218171e-5
37,8.06296646072622e-5
38,8.062870189976559e-5
39,8.062774019966786e-5
40,8.062677950694503e-5
41,8.062581982157293e-5
42,8.062486114352768e-5
43,8.062390347278528e-5
44,8.062294680932176e-5
45,8.062199115311325e-5
46,8.062103650413579e-5
47,8.062008286236561e-5
48,8.061913022777878e-5
49,8.061817860035153e-5
50,8.061722798006006e-5
51,8.061627836688063e-5
52,8.061532976078946e-5
53,8.061438216176284e-5
54,8.061343556977713e-5
55,8.061248998480861e-5
56,8.061154540683367e-5
57,8.061060183582865e-5
58,8.060965927177002e-5
59,8.060871771463421e-5
60,8.060777716439765e-5
61,8.06068376210368e-5
62,8.060589908452824e-5
63,8.06049615548485e-5
64,8.060402503197407e-5
65,8.060308951588158e-5
66,8.060215500654766e-5
67,8.060122150394894e-5
68,8.060028900806208e-5
69,8.059935751886372e-5
70,8.059842703633064e-5
71,8.059749756043957e-5
72,8.059656909116728e-5
73,8.059564162849052e-5
74,8.05947151723861e-5
75,8.059378972283088e-5
76,8.059286527980172e-5
77,8.059194184327553e-5
78,8.059101941322919e-5
79,8.059009798963965e-5
80,8.05891775724839e-5
81,8.058825816173889e-5
82,8.058733975738166e-5
83,8.05864223593892e-5
84,8.058550596773868e-5
85,8.058459058240712e-5
86,8.058367620337166e-5
87,8.058276283060936e-5
88,8.058185046409748e-5
89,8.05809391038132e-5
90,8.05800287497337e-5
91,8.057911940183623e-5
92,8.057821106009804e-5
93,8.057730372449647e-5
94,8.05763973950088e-5
95,8.05754920716124e-5
96,8.057458775428459e-5
97,8.057368444300282e-5
98,8.05727821377445e-5
99,8.057188083848701e-5
100,8.057098054520788e-5
101,8.05700812578846e-5
102,8.056918297649464e-5
103,8.056828570101556e-5
104,8.056738943142495e-5
105,8.056649416770041e-5
106,8.05655999098195e-5
107,8.056470665775995e-5
108,8.056381441149937e-5
109,8.056292317101547e-5
110,8.056203293628595e-5
111,8.056114370728861e-5
112,8.056025548400114e-5
113,8.055936826640137e-5
114,8.055848205446718e-5
115,8.055759684817629e-5
116,8.055671264750667e-5
117,8.055582945243618e-5
118,8.055494726294276e-5
119,8.05540660790043e-5
120,8.055318590059888e-5
121,8.055230672770442e-5
122,8.055142856029891e-5
123,8.055055139836044e-5
124,8.054967524186706e-5
125,8.054880009079688e-5
126,8.054792594512805e-5
127,8.054705280483865e-5
128,8.054618066990693e-5
129,8.054530954031105e-5
130,8.05444394160292e-5
131,8.054357029703966e-5
132,8.054270218332065e-5
133,8.054183507485059e-5
134,8.054096897160766e-5
135,8.054010387357032e-5
136,8.05392397807169e-5
137,8.053837669302574e-5
138,8.053751461047533e-5
139,8.053665353304412e-5
