t,dim_1
1,4.5664178913896145e-5
2,4.5663179929557845e-5
3,4.5662181959923526e-5
4,4.56611850049489e-5
5,4.566018906458961e-5
6,4.565919413880138e-5
7,4.5658200227539995e-5
8,4.565720733076134e-5
9,4.5656215448421214e-5
10,4.565522458047557e-5
11,4.565423472688037e-5
12,4.565324588759161e-5
13,4.565225806256533e-5
14,4.5651271251757635e-5
15,4.565028545512468e-5
16,4.564930067262264e-5
17,4.564831690420775e-5
18,4.5647334149836285e-5
19,4.564635240946459e-5
20,4.5645371683049004e-5
21,4.564439197054597e-5
22,4.56434132719119e-5
23,4.5642435587103335e-5
24,4.564145891607677e-5
25,4.5640483258788845e-5
26,4.5639508615196205e-5
27,4.563853498525548e-5
28,4.563756236892346e-5
29,4.563659076615688e-5
30,4.563562017691257e-5
31,4.563465060114738e-5
32,4.563368203881822e-5
33,4.563271448988206e-5
34,4.5631747954295895e-5
35,4.563078243201675e-5
36,4.562981792300173e-5
37,4.562885442720795e-5
38,4.5627891944592596e-5
39,4.562693047511291e-5
40,4.562597001872615e-5
41,4.562501057538958e-5
42,4.5624052145060624e-5
43,4.5623094727696695e-5
44,4.562213832325517e-5
45,4.5621182931693586e-5
46,4.5620228552969485e-5
47,4.561927518704043e-5
48,4.561832283386406e-5
49,4.561737149339807e-5
50,4.561642116560014e-5
51,4.561547185042806e-5
52,4.5614523547839604e-5
53,4.561357625779265e-5
54,4.561262998024511e-5
55,4.56116847151549e-5
56,4.5610740462480026e-5
57,4.560979722217853e-5
58,4.5608854994208456e-5
59,4.5607913778527955e-5
60,4.560697357509519e-5
61,4.560603438386838e-5
62,4.560509620480577e-5
63,4.560415903786567e-5
64,4.5603222883006414e-5
65,4.560228774018643e-5
66,4.560135360936411e-5
67,4.5600420490497955e-5
68,4.55994883835465e-5
69,4.5598557288468336e-5
70,4.559762720522206e-5
71,4.559669813376632e-5
72,4.5595770074059824e-5
73,4.559484302606137e-5
74,4.5593916989729736e-5
75,4.559299196502372e-5
76,4.559206795190227e-5
77,4.559114495032427e-5
78,4.5590222960248756e-5
79,4.558930198163471e-5
80,4.558838201444119e-5
81,4.5587463058627334e-5
82,4.558654511415229e-5
83,4.5585628180975246e-5
