t,dim_1
1,0.0
2,0.31395259764656686
3,0.6266661678215213
4,0.936906572928623
5,1.243449435824274
6,1.545084971874737
7,1.8406227634233896
8,2.128896457825363
9,2.4087683705085765
10,2.679133974894983
11,2.938926261462366
12,3.1871199487434487
13,3.422735529643443
14,3.644843137107058
15,3.8525662138789456
16,4.045084971874737
17,4.221639627510076
18,4.381533400219318
19,4.524135262330098
20,4.648882429441256
21,4.755282581475767
22,4.842915805643155
23,4.911436253643443
24,4.960573506572389
25,4.990133642141358
26,5.0
27,4.990133642141358
28,4.960573506572389
29,4.911436253643443
30,4.842915805643156
31,4.755282581475768
32,4.648882429441257
33,4.524135262330097
34,4.381533400219318
35,4.221639627510076
36,4.045084971874737
37,3.852566213878946
38,3.644843137107057
39,3.422735529643444
40,3.187119948743449
41,2.9389262614623664
42,2.679133974894985
43,2.408768370508576
44,2.1288964578253644
45,1.8406227634233887
46,1.5450849718747375
47,1.2434494358242763
48,0.9369065729286229
49,0.6266661678215226
50,0.3139525976465657
51,6.123233995736766e-16
52,-0.3139525976465645
53,-0.6266661678215214
54,-0.9369065729286217
55,-1.2434494358242751
56,-1.5450849718747364
57,-1.8406227634233874
58,-2.1288964578253635
59,-2.408768370508575
60,-2.6791339748949836
61,-2.938926261462365
62,-3.1871199487434465
63,-3.4227355296434436
64,-3.6448431371070567
65,-3.852566213878947
66,-4.045084971874736
67,-4.221639627510074
68,-4.381533400219318
69,-4.5241352623300966
70,-4.648882429441257
71,-4.755282581475767
72,-4.8429158056431545
73,-4.911436253643443
74,-4.960573506572389
75,-4.990133642141358
76,-5.0
77,-4.990133642141358
78,-4.9605735065723895
79,-4.911436253643443
80,-4.842915805643155
81,-4.755282581475768
82,-4.648882429441258
83,-4.524135262330099
84,-4.3815334002193165
85,-4.221639627510075
86,-4.045084971874738
87,-3.852566213878948
88,-3.6448431371070606
89,-3.4227355296434414
90,-3.1871199487434483
91,-2.938926261462367
92,-2.6791339748949854
93,-2.4087683705085805
94,-2.128896457825361
95,-1.8406227634233894
96,-1.5450849718747381
97,-1.2434494358242767
98,-0.9369065729286279
99,-0.626666167821519
100,-0.3139525976465663
101,-1.2246467991473533e-15
102,0.3139525976465639
103,0.6266661678215164
104,0.9369065729286253
105,1.2434494358242745
106,1.545084971874736
107,1.840622763423387
108,2.128896457825359
109,2.4087683705085783
110,2.679133974894983
111,2.9389262614623646
112,3.187119948743446
113,3.4227355296434396
114,3.6448431371070593
115,3.852566213878946
116,4.045084971874736
117,4.221639627510074
118,4.381533400219316
119,4.524135262330098
120,4.648882429441257
121,4.755282581475767
122,4.8429158056431545
123,4.911436253643442
124,4.9605735065723895
125,4.990133642141358
126,5.0
127,4.990133642141358
128,4.9605735065723895
129,4.911436253643443
130,4.842915805643155
131,4.755282581475768
132,4.648882429441258
133,4.5241352623301
134,4.3815334002193165
135,4.221639627510076
136,4.045084971874738
137,3.8525662138789487
138,3.644843137107061
139,3.422735529643442
140,3.1871199487434487
141,2.938926261462367
142,2.6791339748949863
143,2.408768370508581
144,2.1288964578253617
145,1.8406227634233898
146,1.545084971874739
147,1.2434494358242774
148,0.9369065729286284
149,0.6266661678215195
150,0.3139525976465669
151,1.8369701987210296e-15
152,-0.31395259764656325
153,-0.6266661678215159
154,-0.9369065729286248
155,-1.2434494358242738
156,-1.5450849718747353
157,-1.8406227634233863
158,-2.128896457825358
159,-2.408768370508578
160,-2.6791339748949827
161,-2.938926261462364
162,-3.1871199487434527
163,-3.422735529643439
164,-3.644843137107059
165,-3.8525662138789403
166,-4.045084971874736
167,-4.221639627510078
168,-4.381533400219315
169,-4.524135262330098
170,-4.648882429441254
171,-4.755282581475767
172,-4.842915805643157
173,-4.911436253643442
174,-4.9605735065723895
175,-4.990133642141357
176,-5.0
177,-4.990133642141357
178,-4.9605735065723895
179,-4.911436253643443
180,-4.842915805643158
181,-4.755282581475769
182,-4.648882429441255
183,-4.5241352623301
184,-4.381533400219317
185,-4.22163962751008
186,-4.045084971874738
187,-3.852566213878943
188,-3.6448431371070615
189,-3.4227355296434423
190,-3.187119948743456
191,-2.9389262614623672
192,-2.6791339748949787
193,-2.4087683705085814
194,-2.128896457825362
195,-1.8406227634233985
196,-1.5450849718747395
197,-1.2434494358242694
198,-0.936906572928629
199,-0.6266661678215201
200,-0.31395259764657635
201,-2.4492935982947065e-15
202,0.3139525976465715
203,0.6266661678215152
204,0.9369065729286242
205,1.2434494358242647
206,1.5450849718747348
207,1.840622763423394
208,2.1288964578253577
209,2.408768370508577
210,2.6791339748949747
211,2.9389262614623632
212,3.187119948743452
213,3.422735529643439
214,3.6448431371070584
215,3.8525662138789403
216,4.0450849718747355
217,4.221639627510077
218,4.381533400219315
219,4.524135262330098
220,4.648882429441254
221,4.755282581475767
222,4.842915805643156
223,4.911436253643442
224,4.9605735065723895
225,4.990133642141357
226,5.0
227,4.990133642141358
228,4.9605735065723895
229,4.911436253643443
230,4.842915805643158
231,4.755282581475769
232,4.648882429441255
233,4.524135262330101
234,4.381533400219318
235,4.221639627510081
236,4.045084971874739
237,3.8525662138789434
238,3.6448431371070624
239,3.422735529643443
240,3.1871199487434563
241,2.9389262614623677
242,2.679133974894979
243,2.4087683705085823
244,2.1288964578253626
245,1.840622763423399
246,1.54508497187474
247,1.24344943582427
248,0.9369065729286297
249,0.6266661678215207
250,0.313952597646577
251,3.061616997868383e-15
252,-0.3139525976465709
253,-0.6266661678215146
254,-0.9369065729286236
255,-1.243449435824264
256,-1.5450849718747257
257,-1.8406227634233936
258,-2.1288964578253653
259,-2.4087683705085765
260,-2.679133974894982
261,-2.938926261462363
262,-3.1871199487434447
263,-3.4227355296434387
264,-3.6448431371070518
265,-3.85256621387894
266,-4.045084971874741
267,-4.221639627510077
268,-4.381533400219319
269,-4.524135262330098
270,-4.648882429441256
271,-4.755282581475767
272,-4.8429158056431545
273,-4.911436253643442
274,-4.960573506572389
275,-4.990133642141357
276,-5.0
277,-4.990133642141358
278,-4.960573506572389
279,-4.911436253643443
280,-4.842915805643156
281,-4.755282581475769
282,-4.648882429441259
283,-4.524135262330101
284,-4.381533400219323
285,-4.221639627510081
286,-4.045084971874734
287,-3.8525662138789443
288,-3.6448431371070567
289,-3.4227355296434436
290,-3.18711994874345
291,-2.9389262614623686
292,-2.6791339748949876
293,-2.4087683705085827
294,-2.1288964578253715
295,-1.8406227634233998
296,-1.5450849718747488
297,-1.2434494358242705
298,-0.9369065729286215
299,-0.6266661678215213
300,-0.31395259764656874
301,-3.673940397442059e-15
302,0.31395259764656147
303,0.6266661678215141
304,0.9369065729286142
305,1.2434494358242634
306,1.545084971874742
307,1.840622763423393
308,2.128896457825365
309,2.408768370508576
310,2.679133974894982
311,2.9389262614623624
312,3.1871199487434443
313,3.422735529643438
314,3.644843137107051
315,3.852566213878939
316,4.045084971874729
317,4.221639627510077
318,4.381533400219318
319,4.524135262330097
320,4.648882429441256
321,4.755282581475766
322,4.8429158056431545
323,4.911436253643445
324,4.960573506572389
325,4.990133642141357
326,5.0
327,4.990133642141358
328,4.960573506572389
329,4.911436253643447
330,4.842915805643156
331,4.755282581475769
332,4.648882429441259
333,4.524135262330093
334,4.381533400219323
335,4.221639627510082
336,4.045084971874745
337,3.8525662138789443
338,3.644843137107057
339,3.422735529643457
340,3.1871199487434505
341,2.938926261462369
342,2.679133974894988
343,2.4087683705085676
344,2.128896457825372
345,1.8406227634234005
346,1.5450849718747328
347,1.2434494358242711
348,0.936906572928622
349,0.6266661678215396
350,0.31395259764656935
351,4.2862637970157365e-15
352,-0.3139525976465608
353,-0.6266661678215311
354,-0.9369065729286137
355,-1.243449435824263
356,-1.5450849718747244
357,-1.8406227634233923
358,-2.128896457825364
359,-2.40876837050856
360,-2.679133974894981
361,-2.9389262614623624
362,-3.187119948743444
363,-3.4227355296434503
364,-3.644843137107051
365,-3.8525662138789385
366,-4.04508497187474
367,-4.221639627510077
368,-4.381533400219318
369,-4.5241352623300894
370,-4.648882429441256
371,-4.755282581475766
372,-4.8429158056431545
373,-4.911436253643445
374,-4.960573506572388
375,-4.990133642141357
376,-5.0
377,-4.990133642141358
378,-4.960573506572389
379,-4.911436253643447
380,-4.842915805643156
381,-4.755282581475769
382,-4.64888242944126
383,-4.524135262330093
384,-4.381533400219323
385,-4.221639627510082
386,-4.045084971874735
387,-3.8525662138789447
388,-3.644843137107057
389,-3.422735529643457
390,-3.187119948743451
391,-2.9389262614623695
392,-2.679133974894989
393,-2.408768370508568
394,-2.1288964578253724
395,-1.840622763423401
396,-1.5450849718747504
397,-1.2434494358242718
398,-0.9369065729286228
399,-0.6266661678215402
400,-0.31395259764657
401,-4.898587196589413e-15
402,0.3139525976465602
403,0.6266661678215304
404,0.936906572928613
405,1.2434494358242623
406,1.5450849718747408
407,1.8406227634233918
408,2.1288964578253635
409,2.408768370508559
410,2.6791339748949805
411,2.938926261462362
412,3.187119948743443
413,3.4227355296434503
414,3.6448431371070504
415,3.8525662138789385
416,4.045084971874729
417,4.2216396275100765
418,4.381533400219318
419,4.5241352623300894
420,4.648882429441255
421,4.755282581475766
422,4.842915805643154
423,4.911436253643445
424,4.960573506572388
425,4.990133642141357
426,5.0
427,4.990133642141358
428,4.9605735065723895
429,4.911436253643447
430,4.842915805643156
431,4.755282581475769
432,4.64888242944126
433,4.524135262330094
434,4.381533400219323
435,4.221639627510082
436,4.045084971874745
437,3.852566213878945
438,3.644843137107058
439,3.4227355296434574
440,3.1871199487434514
441,2.9389262614623703
442,2.6791339748949894
443,2.4087683705085685
444,2.128896457825373
445,1.8406227634234016
446,1.545084971874734
447,1.2434494358242723
448,0.9369065729286232
449,0.6266661678215407
450,0.31395259764657063
451,5.5109105961630896e-15
452,-0.3139525976465596
453,-0.62666616782153
454,-0.9369065729286125
455,-1.2434494358242616
456,-1.5450849718747235
457,-1.8406227634233914
458,-2.128896457825363
459,-2.4087683705085587
460,-2.67913397489498
461,-2.9389262614623615
462,-3.1871199487434425
463,-3.42273552964345
464,-3.64484313710705
465,-3.852566213878938
466,-4.045084971874739
467,-4.221639627510076
468,-4.381533400219318
469,-4.5241352623300894
470,-4.648882429441255
471,-4.755282581475766
472,-4.842915805643154
473,-4.911436253643445
474,-4.960573506572388
475,-4.990133642141357
476,-5.0
477,-4.990133642141358
478,-4.9605735065723895
479,-4.911436253643447
480,-4.842915805643156
481,-4.75528258147577
482,-4.64888242944126
483,-4.524135262330094
484,-4.381533400219324
485,-4.221639627510083
486,-4.0450849718747355
487,-3.8525662138789456
488,-3.6448431371070584
489,-3.4227355296434583
490,-3.187119948743452
491,-2.938926261462371
492,-2.67913397489499
493,-2.408768370508569
494,-2.1288964578253737
495,-1.840622763423402
496,-1.5450849718747515
497,-1.243449435824273
498,-0.9369065729286239
499,-0.6266661678215414
500,-0.31395259764657124
501,-6.123233995736766e-15
502,0.313952597646559
503,0.6266661678215292
504,0.9369065729286119
505,1.2434494358242612
506,1.5450849718747397
507,1.8406227634233907
508,2.1288964578253626
509,2.4087683705085587
510,2.679133974894979
511,2.9389262614623464
512,3.1871199487434425
513,3.4227355296434494
514,3.64484313710705
515,3.852566213878949
516,4.045084971874728
517,4.221639627510076
518,4.381533400219326
519,4.5241352623300966
520,4.648882429441249
521,4.755282581475766
522,4.842915805643158
523,4.9114362536434415
524,4.960573506572386
525,4.990133642141357
526,5.0
527,4.990133642141359
528,4.9605735065723895
529,4.911436253643448
530,4.842915805643157
531,4.755282581475765
532,4.64888242944126
533,4.524135262330095
534,4.381533400219324
535,4.221639627510073
536,4.045084971874746
537,3.8525662138789456
538,3.644843137107046
539,3.422735529643446
540,3.187119948743466
541,2.9389262614623712
542,2.6791339748949747
543,2.4087683705085854
544,2.12889645782539
545,1.8406227634234027
546,1.545084971874735
547,1.2434494358242907
548,0.9369065729286246
549,0.6266661678215419
550,0.3139525976465718
551,2.4499125789312944e-14
552,-0.3139525976465584
553,-0.6266661678215286
554,-0.9369065729286112
555,-1.2434494358242778
556,-1.5450849718747222
557,-1.84062276342339
558,-2.128896457825378
559,-2.4087683705085734
560,-2.679133974894964
561,-2.93892626146236
562,-3.1871199487434554
563,-3.422735529643436
564,-3.644843137107037
565,-3.852566213878937
566,-4.045084971874738
567,-4.221639627510066
568,-4.381533400219317
569,-4.524135262330089
570,-4.648882429441255
571,-4.755282581475771
572,-4.842915805643154
573,-4.911436253643445
574,-4.960573506572388
575,-4.990133642141358
576,-5.0
577,-4.990133642141358
578,-4.960573506572387
579,-4.911436253643444
580,-4.842915805643162
581,-4.75528258147577
582,-4.648882429441254
583,-4.524135262330102
584,-4.3815334002193325
585,-4.221639627510083
586,-4.045084971874736
587,-3.8525662138789576
588,-3.644843137107059
589,-3.422735529643459
590,-3.1871199487434527
591,-2.9389262614623854
592,-2.6791339748949907
593,-2.4087683705085703
594,-2.1288964578253746
595,-1.8406227634233865
596,-1.5450849718747526
597,-1.243449435824274
598,-0.9369065729286076
599,-0.6266661678215251
600,-0.31395259764659017
601,-7.347880794884118e-15
602,0.31395259764657546
603,0.6266661678215103
604,0.9369065729285931
605,1.24344943582426
606,1.5450849718747386
607,1.840622763423373
608,2.1288964578253613
609,2.4087683705085574
610,2.6791339748949783
611,2.938926261462374
612,3.1871199487434416
613,3.422735529643448
614,3.644843137107049
615,3.852566213878948
616,4.0450849718747275
617,4.221639627510076
618,4.381533400219325
619,4.5241352623300966
620,4.648882429441248
621,4.7552825814757655
622,4.842915805643157
623,4.9114362536434415
624,4.960573506572386
625,4.990133642141357
626,5.0
627,4.990133642141359
628,4.9605735065723895
629,4.911436253643448
630,4.842915805643157
631,4.755282581475776
632,4.648882429441261
633,4.524135262330095
634,4.381533400219324
635,4.221639627510074
636,4.045084971874747
637,3.852566213878947
638,3.6448431371070473
639,3.4227355296434463
640,3.187119948743467
641,2.9389262614623717
642,2.679133974895006
643,2.4087683705085863
644,2.1288964578253915
