t,dim_1,dim_2
1,2.8518512050004876,-0.06622376084693418
2,2.8485400161498564,-0.06622376080718216
3,2.845228824962938,-0.06622376061010214
4,2.841917629778316,-0.06622376005531636
5,2.8386064315320585,-0.06622375898835589
6,2.8352952266774993,-0.06622375707613841
7,2.8319840111090206,-0.06622375377818741
8,2.8286727907150375,-0.0662237488449827
9,2.825361558799333,-0.06622374168810526
10,2.82205031948445,-0.0662237319197039
11,2.8187390680203084,-0.06622371890789466
12,2.8154278049365282,-0.06622370203916612
13,2.8121165323902515,-0.06622368079822166
14,2.80880524907163,-0.0662236545933418
15,2.8054939588946595,-0.06622362301609681
16,2.8021826591161623,-0.06622358550746725
17,2.7988713462717976,-0.06622354132038816
18,2.795560024180689,-0.0662234898820546
19,2.7922486884528586,-0.06622343038203461
20,2.7889373421229684,-0.0662233621414751
21,2.7856259818283693,-0.06622328429153934
22,2.7823146085195454,-0.06622319598689123
23,2.7790032232912583,-0.06622309641079599
24,2.7756918233540917,-0.0662229845788694
25,2.7723804111624273,-0.06622285959880678
26,2.7690689841096314,-0.0662227204151014
27,2.7657575491628847,-0.06622256628509646
28,2.7624461041255377,-0.0662223963189368
29,2.7591346502295404,-0.06622220964877469
30,2.7558231865271905,-0.06622200531761697
31,2.752511711012327,-0.06622178222401011
32,2.749200229141803,-0.06622153949243709
33,2.7458887414342628,-0.06622127622421817
34,2.7425772459767206,-0.06622099137368269
35,2.7392657481638985,-0.06622068411094031
36,2.735954248958524,-0.06622035359820659
37,2.7326427439703544,-0.06621999872006
38,2.729331240584844,-0.066219618669438
39,2.7260197372815482,-0.06621921250032489
40,2.7227082437947754,-0.06621877968812388
41,2.719396753912861,-0.06621831933104749
42,2.716085267768885,-0.06621783046509991
43,2.712773784446521,-0.06621731200919681
44,2.7094623044624715,-0.06621676283411426
45,2.7061508367535194,-0.06621618218066935
46,2.702839381262847,-0.06621556920814244
47,2.6995279385630524,-0.06621492302364614
48,2.6962165113156766,-0.06621424278434018
49,2.6929051015966388,-0.06621352766604312
50,2.6895937071788696,-0.06621277664602267
51,2.6862823342938,-0.06621198892336384
52,2.682970984307072,-0.06621116367367702
53,2.6796596614354,-0.06621030018959076
54,2.676348371019344,-0.06620939793517573
55,2.673037111774277,-0.06620845621334515
56,2.6697258905216783,-0.066207474569418
57,2.666414702979645,-0.06620645223481278
58,2.663103551786201,-0.0662053884711224
59,2.659792440573788,-0.06620428261798919
60,2.6564813697322753,-0.06620313392932531
61,2.6531703427677105,-0.06620194172725645
62,2.649859360853604,-0.06620070528380041
63,2.6465484255473375,-0.06619942383824073
64,2.6432375411003313,-0.06619809672992633
65,2.639926710529203,-0.06619672333488034
66,2.6366159370191298,-0.06619530307266798
67,2.6333052222590037,-0.06619383533013101
68,2.6299945704901146,-0.06619231958747487
69,2.626683981314027,-0.06619075518498305
70,2.6233734599325476,-0.06618914160137966
71,2.620063010431492,-0.06618747839672696
72,2.616752632317687,-0.06618576498237579
73,2.613442333597219,-0.06618400104445707
74,2.6101321198198666,-0.06618218642028185
75,2.6068219920602544,-0.0661803208741767
76,2.603511949280278,-0.06617840399125823
77,2.6002019960299623,-0.06617643545580205
78,2.5968921354298153,-0.06617441497897805
79,2.593582363701427,-0.06617234195318204
80,2.59027268553521,-0.06617021587395812
81,2.5869631075752784,-0.06616803643642245
82,2.583653631153456,-0.0661658032688868
83,2.5803442648399395,-0.06616351629384745
84,2.5770350078655437,-0.06616117526082294
85,2.5737258611545917,-0.06615877983040291
86,2.5704168302523227,-0.06615632980444544
87,2.5671079188554726,-0.0661538250331566
88,2.5637991247747913,-0.06615126512041661
89,2.5604904530544292,-0.06614864978445954
90,2.5571819094178774,-0.06614597889113591
91,2.553873492899578,-0.06614325211912517
92,2.550565206310361,-0.06614046914795135
93,2.547257056127305,-0.06613762984049458
94,2.543949044577144,-0.066134734030131
95,2.540641176208005,-0.06613178163638572
96,2.5373334514091423,-0.06612877245678828
97,2.5340258713638844,-0.06612570620607001
98,2.530718441516067,-0.06612258272847606
99,2.527411159520097,-0.06611940160790472
100,2.524104031491542,-0.06611616258992542
101,2.5207970588292956,-0.06611286534530858
102,2.517490246776419,-0.06610950966141113
103,2.514183594899216,-0.06610609515780702
104,2.5108771072380414,-0.06610262150903876
105,2.5075707883844394,-0.06609908847136306
106,2.504264638884609,-0.06609549567987423
107,2.5009586641600006,-0.06609184289135472
108,2.4976528703318897,-0.06608813001865803
109,2.4943472553278814,-0.06608435672080759
110,2.4910418245675,-0.06608052277674013
111,2.487736576067425,-0.06607662771461073
112,2.484431521609648,-0.06607267149887892
113,2.481126654937868,-0.06606865362830529
114,2.477821983686731,-0.06606457382924565
