t,dim_1,dim_2
1,0.00045538123611106075,7.136590843661964e-7
2,0.00045411501390582744,7.126590923119396e-7
3,0.00045285236313444895,7.11659116085557e-7
4,0.0004515932787370736,7.106591635610071e-7
5,0.0004503377556399849,7.096592425897313e-7
6,0.00044908578875571916,7.086593610005955e-7
7,0.00044783737298318506,7.07659526599832e-7
8,0.00044659250320777915,7.066597471709795e-7
9,0.0004453511743015025,7.056600304748288e-7
10,0.00044411338112308003,7.046603842493671e-7
11,0.00044287911851807196,7.036608162097194e-7
12,0.000441648381318996,7.026613340480997e-7
13,0.0004404211643454361,7.016619454337516e-7
14,0.0004391974624041648,7.006626580129023e-7
15,0.0004379772702892529,6.99663479408706e-7
16,0.0004367605827821847,6.986644172211939e-7
17,0.0004355473946519755,6.976654790272264e-7
18,0.0004343377006552815,6.966666723804427e-7
19,0.0004331314955365163,6.956680048112107e-7
20,0.0004319287740279619,6.946694838265816e-7
21,0.00043072953084988307,6.936711169102438e-7
22,0.00042953376071064043,6.926729115224746e-7
23,0.0004283414583068002,6.916748751000966e-7
24,0.0004271526183232486,6.906770150564332e-7
25,0.00042596723543330184,6.896793387812646e-7
26,0.0004247853042988178,6.886818536407855e-7
27,0.00042360681957030765,6.87684566977564e-7
28,0.000422431775887044,6.866874861104972e-7
29,0.0004212601678771732,6.856906183347751e-7
30,0.00042009199015782567,6.846939709218395e-7
31,0.00041892723733522237,6.836975511193429e-7
32,0.0004177659040047873,6.827013661511127e-7
33,0.0004166079847512536,6.817054232171142e-7
34,0.0004154534741487745,6.807097294934128e-7
35,0.00041430236676102863,6.797142921321389e-7
36,0.00041315465714133,6.787191182614516e-7
37,0.00041201033983273485,6.77724214985507e-7
38,0.0004108694093681478,6.767295893844214e-7
39,0.00040973186027042964,6.757352485142424e-7
40,0.0004085976870525038,6.747411994069122e-7
41,0.00040746688421746085,6.737474490702395e-7
42,0.0004063394462586671,6.727540044878687e-7
43,0.0004052153676598662,6.717608726192486e-7
44,0.0004040946428952869,6.707680603996039e-7
45,0.0004029772664297475,6.697755747399069e-7
46,0.00040186323271875873,6.687834225268487e-7
47,0.0004007525362086288,6.677916106228139e-7
48,0.0003996451713365679,6.668001458658541e-7
49,0.00039854113253078916,6.658090350696599e-7
50,0.00039744041421061317,6.648182850235379e-7
51,0.00039634301078657124,6.638279024923867e-7
52,0.0003952489166605057,6.628378942166719e-7
53,0.0003941581262256733,6.618482669124038e-7
54,0.00039307063386684695,6.608590272711172e-7
55,0.00039198643396041565,6.598701819598453e-7
56,0.0003909055208744862,6.588817376211026e-7
57,0.0003898278889689844,6.578937008728644e-7
58,0.000388753532595754,6.569060783085456e-7
59,0.0003876824460986576,6.55918876496983e-7
60,0.0003866146238136753,6.549321019824162e-7
61,0.0003855500600690049,6.539457612844711e-7
62,0.0003844887491851589,6.529598608981407e-7
63,0.00038343068547506677,6.519744072937746e-7
64,0.00038237586324416843,6.509894069170553e-7
65,0.00038132427679051526,6.500048661889883e-7
66,0.0003802759204048664,6.490207915058871e-7
67,0.00037923078837078655,6.480371892393592e-7
68,0.0003781888749647415,6.470540657362914e-7
69,0.00037715017445619627,6.460714273188406e-7
70,0.0003761146811077098,6.450892802844183e-7
71,0.0003750823891750316,6.441076309056816e-7
72,0.00037405329290719725,6.431264854305221e-7
73,0.00037302738654662257,6.421458500820564e-7
74,0.0003720046643291992,6.411657310586148e-7
75,0.0003709851204843884,6.401861345337333e-7
76,0.0003699687492353166,6.392070666561479e-7
77,0.00036895554479886717,6.382285335497835e-7
78,0.00036794550138577453,6.37250541313748e-7
79,0.0003669386132007181,6.362730960223262e-7
80,0.0003659348744424138,6.352962037249739e-7
81,0.0003649342793037064,6.343198704463118e-7
82,0.0003639368219716633,6.333441021861227e-7
83,0.0003629424966276648,6.32368904919345e-7
84,0.0003619512974474944,6.313942845960704e-7
85,0.00036096321860143237,6.304202471415415e-7
86,0.00035997825425434485,6.294467984561466e-7
87,0.00035899639856577423,6.284739444154215e-7
88,0.00035801764569003006,6.275016908700462e-7
89,0.0003570419897762771,6.265300436458434e-7
90,0.0003560694249686267,6.255590085437801e-7
91,0.0003550999454062242,6.245885913399669e-7
92,0.0003541335452233382,6.236187977856575e-7
93,0.00035317021854944843,6.226496336072536e-7
94,0.00035220995950933557,6.216811045063043e-7
95,0.0003512527622231663,6.207132161595081e-7
96,0.00035029862080658103,6.197459742187165e-7
97,0.00034934752937078436,6.187793843109403e-7
98,0.00034839948202262624,6.178134520383486e-7
99,0.00034745447286469247,6.168481829782768e-7
100,0.0003465124959953885,6.158835826832309e-7
101,0.00034557354550902733,6.149196566808935e-7
102,0.0003446376154959114,6.139564104741279e-7
103,0.00034370470004242107,6.129938495409874e-7
104,0.0003427747932310965,6.120319793347209e-7
105,0.00034184788914072475,6.110708052837814e-7
106,0.00034092398184641995,6.101103327918311e-7
107,0.00034000306541971177,6.091505672377554e-7
108,0.00033908513392862387,6.081915139756668e-7
109,0.0003381701814377604,6.072331783349177e-7
110,0.0003372582020083871,6.062755656201088e-7
111,0.0003363491896985142,6.053186811111006e-7
112,0.00033544313856297744,6.043625300630228e-7
113,0.00033454004265352023,6.03407117706288e-7
114,0.00033363989601887666,6.024524492466027e-7
115,0.00033274269270485026,6.014985298649798e-7
116,0.00033184842675439434,6.005453647177492e-7
117,0.000330957092207695,5.995929589365762e-7
118,0.0003300686831022486,5.9864131762847e-7
119,0.0003291831934729424,5.976904458758012e-7
120,0.0003283006173521349,5.967403487363165e-7
121,0.00032742094876973273,5.957910312431507e-7
122,0.00032654418175327086,5.948424984048462e-7
123,0.00032567031032799146,5.938947552053678e-7
124,0.0003247993285169196,5.92947806604117e-7
125,0.0003239312303409432,5.920016575359521e-7
126,0.0003230660098188899,5.910563129112033e-7
127,0.00032220366096760396,5.901117776156924e-7
128,0.00032134417780202234,5.891680565107479e-7
129,0.00032048755433525277,5.882251544332287e-7
130,0.000319633784578648,5.872830761955372e-7
131,0.00031878286254188285,5.863418265856436e-7
132,0.00031793478223302875,5.854014103671025e-7
133,0.00031708953765863,5.84461832279076e-7
134,0.00031624712282377824,5.835230970363529e-7
135,0.00031540753173218516,5.825852093293685e-7
136,0.00031457075838625925,5.816481738242292e-7
137,0.00031373679678717845,5.807119951627325e-7
138,0.00031290564093496346,5.797766779623887e-7
139,0.0003120772848285514,5.788422268164459e-7
140,0.0003112517224658684,5.779086462939108e-7
141,0.0003104289478439029,5.769759409395746e-7
142,0.00030960895495877607,5.760441152740331e-7
143,0.00030879173780581616,5.751131737937163e-7
144,0.00030797729037962776,5.741831209709075e-7
145,0.000307165606674165,5.732539612537728e-7
146,0.00030635668068280193,5.723256990663843e-7
147,0.0003055505063984024,5.713983388087464e-7
148,0.0003047470778133913,5.70471884856821e-7
149,0.00030394638891982433,5.695463415625564e-7
150,0.00030314843370945755,5.686217132539117e-7
151,0.0003023532061738169,5.676980042348855e-7
152,0.00030156070030426714,5.667752187855427e-7
153,0.0003007709100920811,5.658533611620432e-7
154,0.0002999838295285077,5.649324355966705e-7
155,0.00029919945260484,5.640124462978589e-7
156,0.00029841777331248326,5.630933974502235e-7
157,0.00029763878564302245,5.621752932145901e-7
158,0.00029686248358828986,5.612581377280242e-7
159,0.000296088861140431,5.603419351038608e-7
160,0.0002953179122919715,5.594266894317355e-7
161,0.0002945496310358843,5.585124047776145e-7
162,0.00029378401136565446,5.575990851838264e-7
163,0.00029302104727534583,5.566867346690942e-7
164,0.00029226073275966525,5.55775357228565e-7
165,0.00029150306181402886,5.548649568338433e-7
166,0.0002907480284346259,5.539555374330242e-7
167,0.0002899956266184832,5.530471029507241e-7
168,0.00028924585036352996,5.521396572881154e-7
169,0.000288498693668661,5.512332043229596e-7
170,0.0002877541505338004,5.503277479096396e-7
171,0.00028701221495996455,5.494232918791949e-7
172,0.0002862728809493259,5.48519840039357e-7
173,0.0002855361425052742,5.476173961745806e-7
174,0.00028480199363247995,5.467159640460819e-7
175,0.00028407042833695546,5.458155473918711e-7
176,0.0002833414406261177,5.449161499267904e-7
177,0.00028261502450884884,5.440177753425476e-7
178,0.0002818911739955569,5.43120427307753e-7
179,0.0002811698830982377,5.422241094679567e-7
180,0.00028045114583053474,5.413288254456828e-7
181,0.00027973495620780046,5.404345788404699e-7
182,0.00027902130824715313,5.395413732289039e-7
183,0.00027831019596754,5.386492121646591e-7
184,0.0002776016133897948,5.377580991785351e-7
185,0.00027689555453669725,5.368680377784938e-7
186,0.00027619201343303076,5.359790314496987e-7
187,0.0002754909841056418,5.350910836545521e-7
188,0.0002747924605834985,5.342041978327364e-7
189,0.00027409643689774746,5.333183774012508e-7
190,0.0002734029070817718,5.324336257544528e-7
191,0.0002727118651712475,5.315499462640954e-7
192,0.0002720233052042021,5.306673422793695e-7
193,0.0002713372212210699,5.297858171269425e-7
194,0.0002706536072647483,5.289053741109993e-7
195,0.00026997245738065494,5.280260165132824e-7
196,0.00026929376561678225,5.271477475931336e-7
197,0.00026861752602375436,5.26270570587535e-7
198,0.0002679437326548813,5.253944887111508e-7
199,0.00026727237956621384,5.245195051563668e-7
200,0.00026660346081659785,5.236456230933355e-7
201,0.0002659369704677297,5.227728456700153e-7
202,0.00026527290258420994,5.219011760122153e-7
203,0.0002646112512335968,5.210306172236369e-7
204,0.00026395201048645943,5.201611723859165e-7
205,0.0002632951744164318,5.192928445586682e-7
206,0.0002626407371002649,5.184256367795282e-7
207,0.00026198869261788015,5.175595520641976e-7
208,0.0002613390350524206,5.166945934064864e-7
209,0.00026069175849030384,5.158307637783568e-7
210,0.0002600468570212742,5.149680661299687e-7
211,0.0002594043247384529,5.141065033897233e-7
212,0.00025876415573839075,5.132460784643085e-7
213,0.0002581263441211174,5.123867942387415e-7
214,0.0002574908839901935,5.115286535764167e-7
215,0.0002568577694527608,5.1067165931915e-7
216,0.0002562269946195914,5.098158142872233e-7
217,0.00025559855360513857,5.089611212794315e-7
218,0.0002549724405275851,5.081075830731267e-7
219,0.0002543486495088945,5.072552024242673e-7
220,0.00025372717467485805,5.064039820674606e-7
221,0.00025310801015514424,5.05553924716012e-7
222,0.0002524911500833474,5.047050330619706e-7
223,0.0002518765885970357,5.038573097761759e-7
224,0.0002512643198377993,5.03010757508306e-7
225,0.0002506543379512976,5.021653788869233e-7
226,0.0002500466370873066,5.013211765195231e-7
227,0.0002494412113997662,5.004781529925805e-7
228,0.0002488380550468272,4.996363108715994e-7
229,0.00024823716219089646,4.987956527011579e-7
230,0.00024763852699868596,4.979561810049596e-7
