t,dim_1,dim_2
1,3.031088913245535,3.354424506661589
2,3.196637040186865,3.267122284573711
3,3.357764351456709,3.177612734484237
4,3.514363630103076,3.0860222532506736
5,3.666334040353151,2.9924796609963358
6,3.813581244221691,2.8971160183840414
7,3.9560175089057386,2.8000644408394235
8,4.093561804819745,2.7014599099877343
9,4.226139894138432,2.6014390825719564
10,4.3536844097282374,2.5001400971235657
11,4.476134924361844,2.3977023786604765
12,4.593438010124036,2.2942664416894383
13,4.705547287931119,2.1899736917925643
14,4.812423467100137,2.084966226079617
15,4.914034374918237,1.979386632789284
16,5.010354976176749,1.8733777903238344
17,5.101367382648775,1.7670826660023264
18,5.187060852503349,1.6606441148179094
19,5.267431779663509,1.5542046784847043
20,5.342483673129902,1.4479063850593419
21,5.412227126305746,1.3418905494213367
22,5.476679776373185,1.2362975748952747
23,5.535866253785164,1.1312667562960992
24,5.589818121950961,1.0269360846767426
25,5.63857380720744,0.9234420540549084
26,5.6821785191818295,0.8209194703929343
27,5.720684161665474,0.7195012631014799
28,5.754149234131436,0.6193182993341095
29,5.782638724042079,0.5204992013359002
30,5.8062239901058526,0.4231701671047867
31,5.824982636655244,0.3274547946196493
32,5.838998379330522,0.23347390988404193
33,5.84836090226611,0.14134539902898213
34,5.85316570698857,0.05118404471248139
35,5.8535139532468,-0.03689863295270035
36,5.849512292006535,-0.12279453071802737
37,5.841272690852287,-0.2063991115466124
38,5.828912252050616,-0.2876115487779418
39,5.81255302353901,-0.3663348649061131
40,5.7923218031145876,-0.44247606477550994
41,5.768349936106544,-0.5159462630057665
42,5.740773106825369,-0.5866608054661313
43,5.709731124090706,-0.6545393846278089
44,5.675367701148044,-0.7195061486315855
45,5.637830230292377,-0.7814898039170122
46,5.5972695525244,-0.8404237112685797
47,5.553839722571787,-0.896245975143712
48,5.507697769614685,-0.9488995261569793
49,5.459003454060511,-0.9983321966046697
50,5.40791902071875,-1.0444967889237868
51,5.354608948731444,-1.0873511369896067
52,5.2992396986196635,-1.126858160166111
53,5.241979456810222,-1.1629859100339597
54,5.182997878010418,-1.1957076097310835
55,5.122465825801596,-1.2250016858514936
56,5.060555111824749,-1.2508517928585172
57,4.997438233933302,-1.2732468299793163
58,4.933288113689636,-1.292180950558262
59,4.868277833582729,-1.307653563857466
60,4.802580374344641,-1.3196693293035373
61,4.736368352743328,-1.3282381431903778
62,4.669813760228482,-1.3333751178585727
63,4.603087702805903,-1.3351005533826523
64,4.536360142513906,-1.3334399018081564
65,4.469799640873117,-1.3284237239910475
66,4.403573104677888,-1.3200876391025402
67,4.337845534494365,-1.3084722668728817
68,4.272779776226156,-1.2936231626579107
69,4.208536276104156,-1.2755907454224866
70,4.145272839452141,-1.254430218744929
71,4.083144393574251,-1.2302014849565626
72,4.022302755104569,-1.2029690525402228
73,3.9628964021525093,-1.1728019369211733
74,3.905070251570939,-1.139773554793305
75,3.8489654416664227,-1.1039616121326694
76,3.79471912066328,-1.0654479860593973
77,3.7424642412248277,-1.0243186007178067
78,3.6923293613264456,-0.9806632973530088
79,3.6444384517660526,-0.9345756987706126
80,3.5989107105879583,-0.8861530683740589
81,3.555860384686235,-0.835496163981925
82,3.515396598843338,-0.7827090866348679
83,3.477623192449169,-0.7278991246091083
84,3.442638564134633,-0.6711765928600727
85,3.4105355245424844,-0.6126546681264287
86,3.3814011574465526,-0.552449219930824
87,3.3553166894184696,-0.4906786377195338
88,3.332357368228806,-0.42746365438873635
89,3.3125923501569563,-0.3629271664501935
90,3.2960845963714163,-0.29719405109401364
91,3.282890778529024,-0.23039098041048633
92,3.2730611937286067,-0.16264623303707193
93,3.2666396889410425,-0.0940895035003248
94,3.2636635950241653,-0.024851709525721077
95,3.264163670417229,0.04493520240866766
96,3.2681640545958155,0.11513845299621334
97,3.27568223135403,0.1856246272230141
98,3.2867290019668247,0.25625987240416115
99,3.3013084682711016,0.32691009685145056
100,3.319418025690063,0.3974411688881482
101,3.3410483662110435,0.467719115925859
102,3.3661834913127957,0.5376103233184724
103,3.394800734823974,0.6069817327085316
104,3.4268707956803253,0.675701039581991
105,3.4623577805339236,0.7436368897485598
106,3.501219256153719,0.8106590744662822
107,3.5434063115425714,0.8766387239309436
108,3.5888636296821095,0.9414484988532641
109,3.6375295688029277,1.0049627798494962
110,3.6893362530639777,1.0670578543742109
111,3.7442096725115737,1.127612100927477
112,3.8020697921751188,1.1865061702726412
113,3.8628306701435458,1.2436231634049943
114,3.926400584453667,1.2988488060164176
115,3.99268216860892,1.3520716192059434
116,4.061572555534683,1.40318308619156
117,4.132963529764219,1.4520778147843088
118,4.20674168763753,1.4986536953916993
119,4.282788605283857,1.5428120543238384
120,4.360981014147473,1.5844578021823867
121,4.441190983805551,1.6234995771194172
122,4.523286111816404,1.6598498827605508
123,4.607129720326355,1.6934252205943559
124,4.692581059153772,1.72414621663787
125,4.779495515059438,1.7519377421961995
126,4.867724826903656,1.7767290285426478
127,4.9571173063818925,1.7984537753543741
128,5.047518064022827,1.8170502527475323
129,5.1387692401250815,1.8324613967649477
130,5.230710240301738,1.8446348981786502
131,5.323177975295164,1.853523284479174
132,5.41600710471852,1.859083994933168
133,5.509030284374523,1.8612794486007487
134,5.602078416797027,1.8600771052140577
135,5.694980904656202,1.855449518828624
136,5.7875659066639225,1.8473743841694221
137,5.879660595612441,1.8358345756039376
138,5.9710914181761225,1.820818178685005
139,6.061684356103617,1.8023185142167943
140,6.151265188425615,1.7803341548079454
141,6.239659754301883,1.7548689338865557
142,6.326694216130286,1.7259319471624373
143,6.412195322540012,1.6935375465328408
144,6.495990670891239,1.6577053264385697
145,6.577908968904279,1.618460102688179
146,6.6577802950421665,1.575831883778668
147,6.73543635727249,1.5298558347517517
148,6.8107107498364385,1.4805722336354492
149,6.883439207655827,1.4280264205312363
150,6.953459858012002,1.3722687394175543
151,7.0206134691345845,1.3133544727507596
152,7.084743695342001,1.2513437689549294
153,7.145697318380882,1.1863015629020022
154,7.203324484616488,1.1182974894937663
155,7.257478937732302,1.0474057904670155
156,7.308018246603173,0.9737052145528362
157,7.354804028013179,0.8972789111304702
158,7.397702163896642,0.8182143175254812
159,7.436583012788448,0.7366030401109613
160,7.471321615178002,0.6525407293794059
161,7.501797892469649,0.5661269491614453
162,7.527896839261581,0.47746504017594726
163,7.549508708664494,0.3866619781041474
164,7.566529190391222,0.29382822638819817
165,7.578859581358744,0.19907758396210085
166,7.586406948554478,0.10252702813021819
167,7.589084283929848,0.00429655281543595
168,7.5868106510952105,-0.09549099759430124
169,7.579511323601977,-0.19671009856606658
170,7.567117914609561,-0.2992327196677331
171,7.549568497747034,-0.40292850249289835
172,7.526807718991773,-0.5076649420131194
173,7.498786899400162,-0.6133075711007965
174,7.465464128538326,-0.7197201479614382
175,7.426804348474006,-0.8267648462098871
176,7.382779428204171,-0.9343024473213626
177,7.333368228406344,-1.042192535184662
178,7.278556656415455,-1.1502936924819598
179,7.218337711341854,-1.258463698616937
180,7.152711519260013,-1.3665597289107574
181,7.081685358411644,-1.4744385547836159
182,7.0052736743809945,-1.581956744638109
183,6.923498085214346,-1.6889708651596451
184,6.836387376470045,-1.7953376827485357
185,6.743977486199547,-1.9009143647981492
186,6.646311479874388,-2.005558680533684
187,6.543439515288111,-2.109129201126766
188,6.435418797476485,-2.2114854988020327
189,6.322313523713497,-2.312488344653242
190,6.204194818654631,-2.4119999048883214
191,6.081140659713007,-2.5098839352248774
192,5.9532357927677,-2.606005973160405
193,5.820571638317387,-2.700233527844266
194,5.683246188205991,-2.792436267282007
195,5.541363893060309,-2.882486202606338
196,5.3950355405929065,-2.970257869153122
197,5.244378124936469,-3.0556285040853437
198,5.089514707188462,-3.1384782203128916
199,4.930574267357623,-3.21869017646112
200,4.767691547915833,-3.2961507426468364
201,4.601006889170884,-3.3707496618262938
202,4.430666056687391,-3.4423802064859115
203,4.2568200609942135,-3.5109393304531507
204,4.0796249698278455,-3.576327815611851
205,3.899241713171787,-3.638450413313471
206,3.715835881362182,-3.6972159802832483
207,3.5295775165397836,-3.7525376088281006
208,3.3406408977378543,-3.8043327511610663
209,3.1492043199046886,-3.852523337665482
210,2.9554498671678706,-3.8970358889306858
211,2.759563180655862,-3.9378016213997684
212,2.5617332212000568,-3.974756546479029
213,2.3621520272477117,-4.007841562968008
214,2.1610144683232013,-4.037002542678424
215,1.9585179943811204,-4.062190409120005
216,1.7548623814008149,-4.083361209141007
217,1.5502494735771224,-4.100476177421235
218,1.3448829224671224,-4.113501793725421
219,1.138967923456955,-4.122409832835162
220,0.9327109499165243,-4.127177407087933
221,0.7263194854134281,-4.127787001462195
222,0.5200017543600294,-4.1242265011581445
223,0.31396645146995605,-4.116489211634329
224,0.10842247040198044,-4.104573871071002
225,-0.0964213680295116,-4.088484655241833
226,-0.300356587697632,-4.068231174786367
227,-0.5031753286798799,-4.043828464886358
228,-0.7046706180691239,-4.015296967359886
229,-0.904636639700236,-3.982662505197928
230,-1.1028690024153993,-3.9459562495787055
231,-1.2991650064929279,-3.905214679405864
232,-1.4933239078672893,-3.8604795334270827
233,-1.685147179770965,-3.811797755000219
234,-1.8744387714323607,-3.759221429584576
235,-2.0610053634682224,-3.7028077150451093
236,-2.2446566196136395,-3.6426187648676205
237,-2.425205434437795,-3.5787216443930157
238,-2.602468176699309,-3.5111882401886283
239,-2.7762649280012823,-3.440095162684244
240,-2.946419716412553,-3.365523642210129
241,-3.112760744728922,-3.287559418583625
242,-3.275120613055712,-3.2062926244000107
243,-3.4333365354008403,-3.121817662192324
244,-3.5872505499761855,-3.0342330756334652
245,-3.7367097229139534,-2.9436414149622983
246,-3.8815663451138067,-2.850149096823798
247,-4.021678121946529,-2.753866258721019
248,-4.156908355549794,-2.65490660828445
249,-4.287126119462302,-2.5533872675715195
250,-4.41220642535318,-2.4494286126161926
251,-4.532030381614817,-2.3431541084552263
252,-4.64648534359882,-2.2346901398640497
253,-4.755465055286407,-2.124165838041401
254,-4.858869782196874,-2.0117129034875094
255,-4.956606435350025,-1.897465425325961
256,-5.048588686111058,-1.781559697324552
257,-5.134737071759387,-1.664134030874979
258,-5.214979091635952,-1.5453285651955198
259,-5.289249293736749,-1.4252850750248942
260,-5.357489351634033,-1.3041467760789245
261,-5.419648131620142,-1.1820581285447682
262,-5.475681749982721,-1.0591646388903881
263,-5.5255536203341435,-0.9356126602691817
264,-5.569234490931936,-0.8115491918016455
265,-5.606702471941073,-0.6871216770176882
266,-5.637943052603372,-0.5624778017442187
267,-5.66294910829331,-0.4377652917234274
268,-5.681720897454009,-0.31313171024765696
269,-5.694266048421316,-0.18872425609660087
270,-5.700599536158239,-0.06468956206211351
271,-5.700743648936269,0.05882650565479974
272,-5.694727945014234,0.18167904689167036
273,-5.682589199379536,0.3037243255353048
274,-5.664371340630594,0.42481996581615844
275,-5.640125378093259,0.5448251466091834
276,-5.609909319277764,0.6636007934670056
277,-5.573788077796303,0.7810097681144952
278,-5.531833371874989,0.8969170551373087
279,-5.484123613606998,1.0111899456010933
280,-5.430743789106886,1.123698217342423
281,-5.371785329738888,1.2343143116771604
282,-5.3073459746045675,1.3429135062771576
283,-5.237529624487481,1.4493740839716533
284,-5.162446187464665,1.5535774972354477
285,-5.082211416406363,1.6554085281321353
286,-4.996946738596907,1.7547554434871855
287,-4.906779077720793,1.8515101450723312
288,-4.811840668468674,1.9455683145899183
289,-4.712268864028363,2.0368295532532783
290,-4.608205936736061,2.1251975157667626
291,-4.4997988721725335,2.2105800385171595
292,-4.387199156998166,2.292889261796417
293,-4.270562560829717,2.3720417458840184
294,-4.150048912469895,2.447958580826178
295,-4.025821870808727,2.5205654897579497
296,-3.898048690723323,2.5897929256234864
297,-3.7668999843095072,2.655576161159145
298,-3.6325494777853695,2.7178553720136414
299,-3.495173764412775,2.7765757128892767
300,-3.3549520537885815,2.8316873865981163
301,-3.212065917862163,2.8831457059371153
302,-3.0666990340405023,2.9309111482963885
303,-2.9190369257461466,2.97494940292511
304,-2.769266700796835,3.015231410790029
305,-2.6175767879784746,3.0517333969720486
306,-2.4641566721858332,3.0844368955569554
307,-2.309196628507051,3.1133287669870473
308,-2.1528874556294917,3.138401207851113
309,-1.9954202089454542,3.159651753100963
310,-1.836985933736449,3.17708327069347
311,-1.6777753988144766,3.190703948667836
312,-1.5179788309982372,3.2005272746785582
313,-1.3577856508006652,3.2065720080152733
314,-1.1973842097023844,3.2088621441513343
315,-1.0369615293835133,3.207426871873581
316,-0.8767030432831471,3.2023005230563286
317,-0.7167923408524948,3.1935225151529814
318,-0.5574109148637973,3.1811372864891196
319,-0.39873791213263576,3.1651942244510316
320,-0.24094988800621597,3.145747586673798
321,-0.08422056496497321,3.122856415342996
322,0.07127940432135094,3.0965844447338116
323,0.22538266914825122,3.0670000021210098
324,0.3779254078137715,3.034175902202551
325,0.5287475492179534,2.9981893351889437
326,0.6776929887117147,2.9591217487193298
327,0.8246097978907878,2.9170587237740815
328,0.9693504280388336,2.872089844762253
329,1.111771906933178,2.8243085639704484
330,1.2517360287361106,2.77381206056765
331,1.3891095367044777,2.7207010943683567
332,1.5237642984607285,2.6650798545637384
333,1.6555774735793034,2.607055803637655
334,1.7844316732530041,2.5467395166912814
335,1.9102151118156376,2.484244516406529
336,2.032821749908699,2.4196871038846126
337,2.15215142909192,2.353186185602068
338,2.268109997709664,2.2848630967319123
339,2.3806094278377996,2.214841421082815
340,2.489567923148332,2.143246807913998
341,2.594910017542116,2.0702067858879443
342,2.696566664413195,1.9958505744270072
343,2.794475316421681,1.9203088927438223
344,2.8885799956656824,1.8437137668185717
345,2.9788313541565126,1.7661983345990655
346,3.0651867245152635,1.687896649702225
347,3.1476101608228384,1.6089434838975407
348,3.226072469569583,1.5294741286547866
349,3.300551230664815,1.4496241960397036
350,3.3710308084807643,1.3695294192421295
351,3.437502352919671,1.289325453021654
352,3.499963790507031,1.209147674355861
353,3.558419805528281,1.129130983576078
354,3.612881811240352,1.049409606274675
355,3.663367911203793,0.970116896266877
356,3.7099028507951943,0.8913851398886266
357,3.752517958973769,0.8133453619099973
358,3.791251080389736,0.7361271333413337
359,3.826146497936077,0.6598583814067134
360,3.85725484585881,0.5846652019560785
361,3.8846330135544145,0.5106716745839204
362,3.9083440401963525,0.4379996807186135
363,3.9284570003458033,0.36676872494217627
364,3.9450468807143877,0.297095759795563
365,3.9581944482595817,0.22909501431977564
366,3.9679861098056817,0.16287782657760297
367,3.9745137633953385,0.0985524803951301
368,3.97787464158856,0.03622404655623046
369,3.978171146937507,-0.02400577132319892
370,3.975510679876565,-0.08203878602118442
371,3.9700054592780885,-0.13778047082260492
372,3.961772335934628,-0.19114009831333467
373,3.9509325992385635,-0.24203087365735798
374,3.9376117773397814,-0.29037006216644645
375,3.9219394310713858,-0.3360791109802188
376,3.9040489419422757,-0.37908376468270344
377,3.8840772945039292,-0.41931417469027865
378,3.8621648534067985,-0.4567050022546266
379,3.8384551354692844,-0.4911955149335401
380,3.8130945770893114,-0.5227296763917024
381,3.7862322973353586,-0.5512562294030321
382,3.758019857059818,-0.5767287719359349
