t,dim_1,dim_2
1,0.2774505726832408,-0.008446735511299892
2,0.27702824195354586,-0.008446735813677862
3,0.276605912697806,-0.008446736492803027
4,0.276183575651486,-0.00844673716084421
5,0.27576122912603246,-0.00844673734551483
6,0.2753388755876476,-0.008446736696629983
7,0.27491650794242667,-0.008446734507225672
8,0.27449412674914464,-0.00844673009442532
9,0.2740717257402144,-0.008446722456414526
10,0.27364930367483276,-0.008446710521275684
11,0.2732268545609532,-0.008446692906746047
12,0.27280437330879576,-0.0084466679618754
13,0.272381863163803,-0.008446634179659797
14,0.2719593222235675,-0.008446589935881571
15,0.27153674919018467,-0.008446533515273904
16,0.2711141398449273,-0.008446462961191545
17,0.2706914964077698,-0.008446376392654291
18,0.2702688163427598,-0.008446271761848156
19,0.26984609229287787,-0.008446146607952544
20,0.26942333041520006,-0.008445998726692931
21,0.26900053088621273,-0.008445825865800682
22,0.2685776853787577,-0.00844562529420017
23,0.2681548032594163,-0.008445394679868086
24,0.2677318823840623,-0.008445131508467965
25,0.2673089157924044,-0.00844483283625612
26,0.2668859113267494,-0.008444496022852159
27,0.26646287114604084,-0.008444118440469899
28,0.2660397956869943,-0.008443697381236483
29,0.26561668392388355,-0.008443229977300617
30,0.2651935426536081,-0.008442713584794221
31,0.2647703753186676,-0.008442145609502776
32,0.26434718492096,-0.008441523478349687
33,0.2639239759147408,-0.008440844705581488
34,0.2635007502033803,-0.008440106759009205
35,0.2630775152160116,-0.008439307329966002
36,0.26265427873977576,-0.00843844434543592
37,0.2622310444976839,-0.008437515759664834
38,0.2618078133579369,-0.008436519406305583
39,0.2613845901240388,-0.00843545318976719
40,0.2609613839999706,-0.008434315299999804
41,0.26053820639044895,-0.008433104318006346
42,0.2601150648388482,-0.008431819019227852
43,0.2596919489354101,-0.008430457472825493
44,0.25926888458781133,-0.008429018852725255
45,0.25884587750281696,-0.008427502425507116
46,0.2584229250779666,-0.008425907133110236
47,0.2580000381292327,-0.008424232261109459
48,0.2575772190624971,-0.008422477016424693
49,0.2571544794849885,-0.008420640985405571
50,0.2567318255985723,-0.008418723862529183
51,0.25630926927990244,-0.008416725733375648
52,0.2558868218247767,-0.008414647045799277
53,0.2554644795820868,-0.008412487863702892
54,0.2550422479041833,-0.008410248317370594
55,0.25462014957953866,-0.008407929475599511
56,0.25419818129572835,-0.008405532043326914
57,0.25377635224802153,-0.008403056988777306
58,0.25335467047174326,-0.008400505487885753
59,0.2529331528711077,-0.008397879370682156
60,0.25251179378077204,-0.008395179997388483
61,0.25209060261747634,-0.008392409015923481
62,0.25166958731033867,-0.0083895682916414
63,0.2512487516797596,-0.008386659706559467
64,0.2508280993251527,-0.008383685153013604
65,0.25040763840117475,-0.008380646766151398
66,0.24998737643683788,-0.008377546897987715
67,0.2495673135366362,-0.008374387752058895
68,0.24914745479629977,-0.008371171638493397
69,0.24872781050206555,-0.008367901239312409
70,0.2483083864254164,-0.008364579389397237
71,0.24788918220084288,-0.008361208776726881
72,0.2474701979494797,-0.008357791973430177
73,0.24705143159746867,-0.008354331332466498
74,0.24663289160678775,-0.008350829520299936
75,0.2462145853009848,-0.00834728946664398
76,0.2457965134517611,-0.008343714044193432
77,0.24537867861198762,-0.0083401061648647
78,0.24496108302890673,-0.008336468771794092
79,0.2445437313975534,-0.008332804969085316
80,0.24412662649862968,-0.008329117933853075
81,0.2437097648136951,-0.008325410609208748
82,0.24329314456464962,-0.008321685798635167
83,0.24287676237244996,-0.0083179460929482
84,0.2424606186772323,-0.00831419406773272
85,0.2420447084721729,-0.008310432017433589
86,0.24162904000955954,-0.008306662624047374
87,0.2412136125476173,-0.008302888514124182
88,0.2407984246901338,-0.008299112232612132
89,0.24038346910662703,-0.008295335952506276
90,0.23996874220144856,-0.00829156166702275
91,0.2395542423683435,-0.00828779129405153
92,0.2391399672677404,-0.008284026644285293
93,0.23872591396103043,-0.008280269395794267
94,0.2383120815451258,-0.00827652119999748
95,0.23789846270134077,-0.00827278336501143
96,0.2374850505628051,-0.008269056881511134
97,0.23707184433969675,-0.00826534272905921
98,0.2366588454009299,-0.008261641986491585
99,0.23624604604890076,-0.008257955381288729
100,0.23583343665833234,-0.00825428319501066
101,0.23542101501941418,-0.008250625634774205
102,0.23500877415681973,-0.008246982595494966
103,0.23459670672256033,-0.008243353640991503
104,0.2341848070949362,-0.008239738089209315
105,0.23377307897753288,-0.008236135476779984
106,0.23336152438809254,-0.008232545473570604
107,0.23295013588823024,-0.008228967409052036
108,0.23253890411481518,-0.00822540017438534
109,0.23212783074431198,-0.00822184277162944
110,0.23171691555209997,-0.008218294216192015
111,0.2313061518224522,-0.008214753209812686
112,0.23089553890701725,-0.008211218440686141
113,0.2304850692710806,-0.008207688235864484
114,0.23007473928338076,-0.008204160752247494
115,0.22966454872815997,-0.008200634142750077
116,0.2292544973278395,-0.00819710654859351
