t,dim_1,dim_2
1,0.0002926002971938876,6.176233498302107e-7
2,0.0002916535900127948,6.16623360377084e-7
3,0.0002907099748818221,6.156233919490485e-7
4,0.0002897694467267687,6.146234550020976e-7
5,0.0002888320004576843,6.136235599575335e-7
6,0.00028789763096902384,6.126237172018586e-7
7,0.00028696633313980555,6.11623937086677e-7
8,0.0002860381018337649,6.106242299285888e-7
9,0.0002851129318995117,6.096246060090952e-7
10,0.00028419081817068244,6.086250755744974e-7
11,0.00028327175546609515,6.076256488358014e-7
12,0.00028235573858990406,6.066263359686247e-7
13,0.00028144276233175037,6.056271471131022e-7
14,0.00028053282146691695,6.046280923737971e-7
15,0.00027962591075647884,6.036291818196109e-7
16,0.00027872202494745433,6.026304254836939e-7
17,0.00027782115877295803,6.016318333633642e-7
18,0.00027692330695234857,6.006334154200173e-7
19,0.00027602846419137977,5.996351815790486e-7
20,0.00027513662518235027,5.986371417297706e-7
21,0.0002742477846042514,5.976393057253329e-7
22,0.00027336193712291574,5.966416833826448e-7
23,0.0002724790773911656,5.956442844823011e-7
24,0.0002715992000489591,5.94647118768505e-7
25,0.0002707222997235376,5.936501959489966e-7
26,0.00026984837102957116,5.926535256949814e-7
27,0.00026897740856930523,5.916571176410599e-7
28,0.00026810940693270486,5.90660981385161e-7
29,0.0002672443606975989,5.896651264884727e-7
30,0.0002663822644298261,5.886695624753802e-7
31,0.0002655231126833755,5.876742988333995e-7
32,0.0002646669000005324,5.866793450131164e-7
33,0.00026381362091201896,5.856847104281267e-7
34,0.0002629632699371366,5.846904044549755e-7
35,0.00026211584158390786,5.836964364331016e-7
36,0.0002612713303492168,5.827028156647796e-7
37,0.0002604297307189497,5.817095514150659e-7
38,0.00025959103716813385,5.807166529117456e-7
39,0.00025875524416107867,5.797241293452813e-7
40,0.0002579223461515125,5.787319898687612e-7
41,0.00025709233758272246,5.777402435978521e-7
42,0.000256265212887691,5.767488996107506e-7
43,0.00025544096648923414,5.757579669481389e-7
44,0.0002546195928001369,5.747674546131371e-7
45,0.00025380108622329007,5.737773715712626e-7
46,0.00025298544115182677,5.727877267503885e-7
47,0.0002521726519692554,5.717985290407004e-7
48,0.0002513627130495955,5.708097872946605e-7
49,0.00025055561875751204,5.698215103269669e-7
50,0.0002497513634484479,5.688337069145197e-7
51,0.0002489499414687584,5.678463857963856e-7
52,0.00024815134715584124,5.668595556737621e-7
53,0.00024735557483827127,5.65873225209948e-7
54,0.00024656261883592904,5.648874030303093e-7
55,0.0002457724734601343,5.63902097722253e-7
56,0.00024498513301377456,5.62917317835195e-7
57,0.00024420059179143544,5.61933071880536e-7
58,0.00024341884407952987,5.609493683316336e-7
59,0.0002426398841564271,5.599662156237783e-7
60,0.0002418637062925805,5.589836221541702e-7
61,0.00024109030475065539,5.580015962818972e-7
62,0.00024031967378565684,5.570201463279134e-7
63,0.00023955180764505485,5.560392805750199e-7
64,0.0002387867005689118,5.550590072678467e-7
65,0.00023802434679000785,5.540793346128346e-7
66,0.0002372647405339653,5.531002707782207e-7
67,0.000236507876019374,5.521218238940219e-7
68,0.00023575374745791477,5.511440020520231e-7
69,0.00023500234905448307,5.501668133057631e-7
70,0.00023425367500731184,5.491902656705243e-7
71,0.00023350771950809445,5.482143671233227e-7
72,0.00023276447674210608,5.472391256028992e-7
73,0.00023202394088832573,5.462645490097118e-7
74,0.00023128610611955605,5.452906452059277e-7
75,0.00023055096660254453,5.443174220154196e-7
76,0.000229818516498104,5.43344887223761e-7
77,0.00022908874996123036,5.42373048578223e-7
78,0.00022836166114122204,5.414019137877708e-7
79,0.00022763724418179915,5.404314905230646e-7
80,0.00022691549322121978,5.394617864164593e-7
81,0.00022619640239239804,5.384928090620044e-7
82,0.00022547996582302133,5.375245660154485e-7
83,0.00022476617763566583,5.365570647942412e-7
84,0.00022405503194791168,5.355903128775372e-7
85,0.00022334652287245917,5.346243177062027e-7
86,0.00022264064451724334,5.33659086682822e-7
87,0.0002219373909855475,5.326946271717046e-7
88,0.00022123675637611732,5.31730946498893e-7
89,0.00022053873478327364,5.307680519521746e-7
90,0.0002198433202970253,5.298059507810897e-7
91,0.00021915050700318102,5.288446501969451e-7
92,0.00021846028898346185,5.278841573728262e-7
93,0.00021777266031561038,5.269244794436103e-7
94,0.00021708761507350342,5.259656235059821e-7
95,0.00021640514732726028,5.250075966184472e-7
96,0.00021572525114335324,5.240504058013515e-7
97,0.00021504792058471724,5.23094058036898e-7
98,0.00021437314971085598,5.221385602691629e-7
99,0.000213700932577953,5.211839194041193e-7
100,0.00021303126323897676,5.202301423096537e-7
101,0.0002123641357437887,5.192772358155892e-7
102,0.00021169954413924953,5.183252067137079e-7
103,0.0002110374824693253,5.173740617577735e-7
104,0.00021037794477519298,5.164238076635563e-7
105,0.00020972092509534445,5.15474451108856e-7
106,0.0002090664174656925,5.145259987335308e-7
107,0.0002084144159196735,5.135784571395221e-7
108,0.00020776491448835167,5.126318328908825e-7
109,0.00020711790720052145,5.116861325138045e-7
110,0.00020647338808281029,5.107413624966502e-7
111,0.00020583135115978041,5.097975292899818e-7
112,0.00020519179045403021,5.088546393065914e-7
113,0.00020455469998629567,5.079126989215348e-7
114,0.00020392007377555046,5.069717144721639e-7
115,0.00020328790583910546,5.060316922581597e-7
116,0.00020265819019270862,5.050926385415665e-7
117,0.0002020309208506443,5.04154559546829e-7
118,0.00020140609182583115,5.032174614608266e-7
119,0.0002007836971299201,5.022813504329119e-7
120,0.0002001637307733919,5.01346232574947e-7
121,0.00019954618676565447,5.004121139613437e-7
122,0.00019893105911513896,4.994790006291015e-7
123,0.00019831834182939577,4.98546898577848e-7
124,0.00019770802891519,4.976158137698806e-7
125,0.00019710011437859695,4.966857521302075e-7
126,0.00019649459222509572,4.957567195465896e-7
127,0.00019589145645966408,4.948287218695856e-7
128,0.00019529070108687143,4.939017649125935e-7
129,0.0001946923201109725,4.929758544518972e-7
130,0.0001940963075359992,4.920509962267117e-7
131,0.0001935026573658529,4.911271959392275e-7
132,0.00019291136360439668,4.902044592546606e-7
133,0.0001923224202555453,4.892827918012968e-7
134,0.00019173582132335634,4.883621991705417e-7
135,0.00019115156081212084,4.874426869169698e-7
136,0.00019056963272645226,4.865242605583746e-7
137,0.0001899900310713758,4.856069255758171e-7
138,0.00018941274985241754,4.846906874136791e-7
139,0.00018883778307569207,4.837755514797136e-7
140,0.0001882651247479907,4.828615231450981e-7
141,0.00018769476887686828,4.819486077444862e-7
142,0.00018712670947073007,4.810368105760637e-7
143,0.00018656094053891883,4.80126136901601e-7
144,0.00018599745609179945,4.792165919465093e-7
145,0.00018543625014084492,4.783081808998956e-7
146,0.00018487731669872162,4.774009089146196e-7
147,0.00018432064977937275,4.7649478110735034e-7
148,0.0001837662433981032,4.755898025586242e-7
149,0.00018321409157166254,4.7468597831290265e-7
150,0.00018266418831832813,4.737833133786316e-7
151,0.00018211652765798769,4.7288181272830036e-7
152,0.0001815711036122214,4.719814812985015e-7
153,0.0001810279102043837,4.71082323989993e-7
154,0.00018048694145968348,4.701843456677569e-7
155,0.00017994819140526643,4.692875511610644e-7
156,0.0001794116540702937,4.683919452635346e-7
157,0.00017887732348602212,4.6749753273320015e-7
158,0.00017834519368588423,4.6660431829257016e-7
159,0.00017781525870556612,4.657123066286937e-7
160,0.00017728751258308604,4.648215023932252e-7
161,0.000176761949358873,4.6393191020248894e-7
162,0.00017623856307584312,4.6304353463754545e-7
163,0.00017571734777947762,4.621563802442571e-7
164,0.00017519829751789866,4.612704515333555e-7
165,0.00017468140634194598,4.6038575298050904e-7
166,0.00017416666830525192,4.595022890263894e-7
167,0.00017365407746431743,4.5862006407674233e-7
168,0.00017314362787858585,4.577390825024538e-7
169,0.00017263531361051787,4.568593486396209e-7
170,0.00017212912872566522,4.559808667896224e-7
171,0.00017162506729274382,4.5510364121918763e-7
172,0.0001711231233837072,4.5422767616046864e-7
173,0.00017062329107381827,4.533529758111104e-7
174,0.00017012556444172204,4.5247954433432287e-7
175,0.000169629937569517,4.516073858589549e-7
176,0.00016913640454282617,4.5073650447956517e-7
177,0.00016864495945086792,4.498669042564963e-7
178,0.00016815559638652582,4.489985892159475e-7
179,0.00016766830944641957,4.481315633500511e-7
180,0.00016718309273097335,4.4726583061694504e-7
181,0.00016669994034448479,4.464013949408484e-7
182,0.00016621884639519448,4.455382602121374e-7
183,0.0001657398049953529,4.4467643028742094e-7
184,0.0001652628102612888,4.4381590898961707e-7
185,0.0001647878563134761,4.4295670010803e-7
186,0.00016431493727660077,4.420988073984267e-7
187,0.00016384404727962736,4.412422345831154e-7
188,0.00016337518045586444,4.4038698535102306e-7
189,0.00016290833094303065,4.395330633577735e-7
190,0.00016244349288331938,4.3868047222576755e-7
191,0.00016198066042346368,4.378292155442605e-7
192,0.00016151982771480023,4.369792968694431e-7
193,0.00016106098891333353,4.3613071972452116e-7
194,0.00016060413817979842,4.3528348759979537e-7
195,0.00016014926967972408,4.344376039527431e-7
196,0.0001596963775834961,4.335930722080987e-7
197,0.00015924545606641805,4.3274989575793545e-7
198,0.00015879649930877407,4.319080779617474e-7
199,0.00015834950149588956,4.3106762214653105e-7
200,0.00015790445681819216,4.302285316068687e-7
201,0.00015746135947127237,4.29390809605011e-7
202,0.00015702020365594344,4.285544593709606e-7
203,0.0001565809835783006,4.277194841025544e-7
204,0.00015614369344978056,4.2688588696554894e-7
205,0.00015570832748722105,4.260536710937049e-7
206,0.00015527487991291781,4.252228395888706e-7
207,0.00015484334495468327,4.243933955210668e-7
208,0.0001544137168459043,4.235653419285735e-7
209,0.0001539859898255989,4.2273868181801367e-7
210,0.00015356015813847287,4.2191341816443976e-7
211,0.00015313621603497705,4.2108955391142094e-7
212,0.00015271415777136198,4.2026709197112754e-7
213,0.00015229397760973447,4.1944603522441977e-7
214,0.0001518756698181122,4.186263865209336e-7
215,0.00015145922867047866,4.178081486791679e-7
216,0.000151044648446837,4.169913244865728e-7
217,0.00015063192343326478,4.16175916699638e-7
218,0.00015022104792196682,4.1536192804397937e-7
219,0.0001498120162113289,4.145493612144286e-7
220,0.00014940482260596992,4.1373821887512156e-7
221,0.00014899946141679458,4.129285036595873e-7
222,0.00014859592696104558,4.121202181708374e-7
223,0.00014819421356235477,4.113133649814552e-7
224,0.00014779431555079426,4.1050794663368557e-7
225,0.0001473962272629277,4.097039656395249e-7
226,0.00014699994304186035,4.089014244808116e-7
227,0.00014660545723728908,4.0810032560931614e-7
228,0.00014621276420555255,4.073006714468323e-7
229,0.00014582185830967954,4.0650246438526747e-7
230,0.00014543273391943824,4.0570570678673366e-7
231,0.00014504538541138554,4.049104009836402e-7
232,0.0001446598071689133,4.0411654927878324e-7
233,0.00014427599358229798,4.033241539454397e-7
234,0.00014389393904874718,4.0253321722745806e-7
235,0.0001435136379724466,4.017437413393511e-7
236,0.00014313508476460619,4.009557284663867e-7
237,0.00014275827384350754,4.0016918076468335e-7
238,0.00014238319963454888,3.9938410036130097e-7
239,0.0001420098565702903,3.986004893543338e-7
240,0.00014163823909049995,3.9781834981300524e-7
241,0.00014126834164219783,3.970376837777598e-7
242,0.00014090015867970038,3.962584932603564e-7
243,0.00014053368466466497,3.954807802439636e-7
244,0.00014016891406613293,3.947045466832526e-7
245,0.00013980584136057323,3.939297945044916e-7
246,0.00013944446103192514,3.931565256056393e-7
247,0.00013908476757164073,3.923847418564404e-7
248,0.00013872675547872747,3.9161444509851986e-7
249,0.00013837041925978988,3.9084563714547726e-7
250,0.0001380157534290706,3.900783197829825e-7
251,0.0001376627525084922,3.893124947688695e-7
252,0.00013731141102769754,3.885481638332334e-7
253,0.00013696172352408988,3.8778532867852326e-7
254,0.00013661368454287378,3.870239909796401e-7
255,0.0001362672886370943,3.8626415238403155e-7
256,0.00013592253036767566,3.8550581451178654e-7
257,0.00013557940430346192,3.8474897895573337e-7
258,0.00013523790502125392,3.839936472815333e-7
259,0.00013489802710584846,3.8323982102777826e-7
260,0.00013455976515007638,3.824875017060873e-7
261,0.0001342231137548397,3.817366908012018e-7
262,0.0001338880675291492,3.809873897710827e-7
263,0.00013355462109016116,3.8023960004700673e-7
264,0.00013322276906321394,3.794933230336637e-7
265,0.00013289250608186466,3.7874856010925295e-7
266,0.00013256382678792438,3.780053126255802e-7
267,0.00013223672583149396,3.772635819081537e-7
268,0.00013191119787099993,3.765233692562837e-7
269,0.00013158723757322827,3.7578467594317745e-7
270,0.00013126483961335982,3.7504750321603756e-7
271,0.00013094399867500422,3.7431185229615873e-7
272,0.00013062470945023362,3.735777243790257e-7
273,0.00013030696663961653,3.728451206344104e-7
274,0.00012999076495225095,3.721140422064705e-7
275,0.00012967609910579744,3.713844902138457e-7
276,0.00012936296382651095,3.706564657497564e-7
277,0.00012905135384927443,3.6992996988210167e-7
278,0.00012874126391762948,3.6920500365355653e-7
279,0.00012843268878380874,3.684815680816699e-7
280,0.0001281256232087667,3.6775966415896374e-7
281,0.000127820061962211,3.670392928530292e-7
282,0.0001275159998226328,3.6632045510662734e-7
283,0.00012721343157733736,3.6560315183778434e-7
284,0.00012691235202247402,3.6488738393989287e-7
285,0.0001266127559630655,3.6417315228180687e-7
286,0.00012631463821303785,3.6346045770794354e-7
287,0.00012601799359524923,3.627493010383789e-7
288,0.00012572281694151843,3.620396830689476e-7
289,0.00012542910309265373,3.613316045713408e-7
290,0.00012513684689848074,3.606250662932046e-7
291,0.00012484604321787027,3.5992006895823974e-7
292,0.00012455668691876634,3.5921661326629843e-7
293,0.0001242687728782123,3.585146998934838e-7
294,0.00012398229598237912,3.578143294922486e-7
295,0.00012369725112659037,3.571155026914934e-7
296,0.00012341363321535006,3.5641822009666537e-7
297,0.00012313143716236762,3.557224822898572e-7
298,0.000122850657890584,3.5502828982990463e-7
299,0.00012257129033219698,3.543356432524872e-7
300,0.00012229332942868639,3.5364454307022453e-7
301,0.00012201677013083853,3.529549897727769e-7
302,0.00012174160739877109,3.5226698382694284e-7
303,0.00012146783620195731,3.5158052567675834e-7
304,0.00012119545151924958,3.5089561574359527e-7
305,0.00012092444833890327,3.5021225442626005e-7
306,0.00012065482165860006,3.4953044210109195e-7
307,0.00012038656648547102,3.488501791220629e-7
308,0.0001201196778361194,3.4817146582087513e-7
309,0.00011985415073664277,3.4749430250705985e-7
310,0.0001195899802226556,3.468186894680762e-7
311,0.00011932716133931087,3.461446269694097e-7
312,0.00011906568914132201,3.4547211525467113e-7
313,0.00011880555869298373,3.448011545456946e-7
314,0.00011854676506819373,3.4413174504263633e-7
315,0.00011828930335047268,3.4346388692407297e-7
316,0.00011803316863298523,3.4279758034710027e-7
317,0.00011777835601856022,3.421328254474315e-7
318,0.00011752486061971038,3.4146962233949595e-7
319,0.00011727267755865224,3.4080797111653685e-7
320,0.00011702180196732506,3.401478718507101e-7
321,0.00011677222898741097,3.3948932459318333e-7
322,0.00011652395377035235,3.3883232937423223e-7
323,0.0001162769714773712,3.3817688620333995e-7
324,0.00011603127727948805,3.3752299506929606e-7
325,0.00011578686635753856,3.368706559402925e-7
326,0.00011554373390219249,3.362198687640241e-7
327,0.0001153018751139705,3.3557063346778464e-7
328,0.00011506128520326198,3.349229499585661e-7
329,0.00011482195939034145,3.3427681812315525e-7
330,0.00011458389290538521,3.3363223782823275e-7
331,0.0001143470809884884,3.329892089204705e-7
332,0.00011411151888968102,3.3234773122662944e-7
333,0.00011387720186894327,3.3170780455365655e-7
334,0.00011364412519622181,3.310694286887837e-7
335,0.00011341228415144507,3.304326033996237e-7
336,0.0001131816740245383,3.2979732843426897e-7
337,0.00011295229011543847,3.2916360352138865e-7
338,0.00011272412773410899,3.2853142837032533e-7
339,0.00011249718220055406,3.279008026711924e-7
340,0.00011227144884483261,3.2727172609497204e-7
341,0.00011204692300707289,3.2664419829361153e-7
342,0.00011182360003748536,3.260182189001207e-7
343,0.0001116014752963763,3.25393787528668e-7
344,0.00011138054415416092,3.2477090377467824e-7
345,0.00011116080199137691,3.241495672149294e-7
346,0.00011094224419869612,3.2352977740764845e-7
347,0.0001107248661769376,3.229115338926088e-7
348,0.00011050866333707978,3.2229483619122587e-7
349,0.00011029363110027186,3.216796838066542e-7
350,0.00011007976489784648,3.210660762238839e-7
351,0.00010986706017133022,3.204540129098359e-7
352,0.00010965551237245511,3.198434933134588e-7
353,0.00010944511696317003,3.192345168658244e-7
354,0.00010923586941565123,3.1862708298022485e-7
355,0.00010902776521231253,3.1802119105226634e-7
356,0.00010882079984581608,3.1741684045996697e-7
357,0.00010861496881908225,3.1681403056385077e-7
358,0.00010841026764529917,3.1621276070704334e-7
359,0.00010820669184793285,3.156130302153685e-7
360,0.00010800423696073621,3.150148383974417e-7
361,0.00010780289852775839,3.144181845447673e-7
362,0.00010760267210335344,3.138230679318314e-7
363,0.00010740355325218917,3.132294878161982e-7
364,0.00010720553754925577,3.1263744343860426e-7
365,0.00010700862057987377,3.120469340230539e-7
366,0.00010681279793970255,3.1145795877691277e-7
367,0.0001066180652347471,3.108705168910026e-7
368,0.00010642441808136713,3.1028460753969613e-7
369,0.00010623185210628308,3.0970022988101036e-7
370,0.00010604036294658412,3.091173830567019e-7
371,0.00010584994624973458,3.085360661923594e-7
372,0.0001056605976735812,3.0795627839749854e-7
373,0.00010547231288635903,3.0737801876565553e-7
374,0.00010528508756669824,3.068012863744802e-7
375,0.0001050989174036299,3.0622608028582966e-7
376,0.00010491379809659206,3.056523995458623e-7
377,0.0001047297253554352,3.0508024318512944e-7
378,0.00010454669490042819,3.045096102186705e-7
379,0.00010436470246226265,3.039404996461034e-7
