t,dim_1,dim_2
1,0.0,6.283185307179586
2,0.31395259764656686,6.270786876233027
3,0.6266661678215213,6.233640514335991
4,0.936906572928623,6.171892821208328
5,1.243449435824274,6.085787486784972
6,1.545084971874737,5.975664329483111
7,1.8406227634233896,5.84195795509413
8,2.128896457825363,5.685196041593107
9,2.4087683705085765,5.5059972566349265
10,2.679133974894983,5.305068815955681
11,2.938926261462366,5.0832036923152595
12,3.1871199487434487,4.841277485996136
13,3.422735529643443,4.580244969209083
14,3.644843137107058,4.3011363180434445
15,3.8525662138789456,4.005053046832759
16,4.045084971874737,3.6931636609809133
17,4.221639627510076,3.3666990454051597
18,4.381533400219318,3.0269476067956806
19,4.524135262330098,2.675250188862998
20,4.648882429441256,2.3129947806404267
21,4.755282581475767,1.9416110387254666
22,4.842915805643155,1.5625646450783646
23,4.911436253643443,1.1773515226450202
24,4.960573506572389,0.7874919316325453
25,4.990133642141358,0.39452446973675565
26,5.0,3.8473413874435795e-16
27,4.990133642141358,-0.3945244697367548
28,4.960573506572389,-0.7874919316325446
29,4.911436253643443,-1.1773515226450193
30,4.842915805643156,-1.5625646450783637
31,4.755282581475768,-1.941611038725466
32,4.648882429441257,-2.3129947806404263
33,4.524135262330097,-2.675250188862998
34,4.381533400219318,-3.026947606795679
35,4.221639627510076,-3.366699045405159
36,4.045084971874737,-3.693163660980913
37,3.852566213878946,-4.005053046832758
38,3.644843137107057,-4.3011363180434445
39,3.422735529643444,-4.580244969209081
40,3.187119948743449,-4.841277485996136
41,2.9389262614623664,-5.0832036923152595
42,2.679133974894985,-5.30506881595568
43,2.408768370508576,-5.5059972566349265
44,2.1288964578253644,-5.685196041593105
45,1.8406227634233887,-5.84195795509413
46,1.5450849718747375,-5.975664329483111
47,1.2434494358242763,-6.085787486784972
48,0.9369065729286229,-6.171892821208328
49,0.6266661678215226,-6.23364051433599
50,0.3139525976465657,-6.270786876233027
51,6.123233995736766e-16,-6.283185307179586
52,-0.3139525976465645,-6.270786876233027
53,-0.6266661678215214,-6.233640514335991
54,-0.9369065729286217,-6.171892821208328
55,-1.2434494358242751,-6.085787486784972
56,-1.5450849718747364,-5.975664329483112
