t,dim_1,dim_2,dim_3
1,-0.1010833990503842,0.974392101500385,1.1927640889823663
2,0.002319631068129096,1.0936685104560115,1.1932997807115364
3,0.11765297982748196,1.2129984887035286,1.1931049859921143
4,0.24491835216635766,1.3323089876252525,1.1913511913033275
5,0.38410600513560406,1.4514441072530795,1.1870348863441114
6,0.5351855901261132,1.5701475964016307,1.1795572227700954
7,0.6980981339226198,1.6881033193885333,1.1682544424827137
8,0.8727497359785503,1.8049287645562297,1.1518600321036017
9,1.059001913843649,1.920114768561118,1.1301094985896623
10,1.2566639376572772,2.033125719268161,1.103225818545373
11,1.465492638713902,2.143448301967066,1.071053256695176
12,1.6851927349527247,2.2505536285050876,1.033527975612645
13,1.915415737942027,2.353906426908782,0.9906560282191857
14,2.155759663797527,2.452972030270779,0.9434637443359524
15,2.4057741875823955,2.54731840504084,0.893532260673507
16,2.664973689766736,2.636671631406969,0.8416156393287141
17,2.932848930787093,2.7208331956703162,0.7877325998664724
18,3.208870916009206,2.7996064557218703,0.7326140055437179
19,3.492494635993704,2.8728678559026846,0.6784599626710672
20,3.7831737231466294,2.9407138516213136,0.6271873128856191
21,4.08038104548077,3.0034325823006336,0.5795325811047067
22,4.383621967026422,3.061385839760848,0.5358137814027285
23,4.692439621168073,3.1149672171250153,0.4965523569684176
24,5.006419105676899,3.1646224519445973,0.46245769336312387
25,5.325193639525436,3.2108682203849277,0.43390439797079383
26,5.648449983072704,3.2542586593341456,0.4108006529308802
27,5.975929852973374,3.295338723709104,0.39321568391044864
28,6.307429802957788,3.334660291262617,0.38111716308152366
29,6.642801415758428,3.3727720069473395,0.37358412892701354
30,6.981946536006741,3.4101304193257227,0.369606555998891
31,7.324807608497539,3.4470910746334704,0.3681491874224035
32,7.671357459437943,3.483905993329569,0.36774895521209944
33,8.02158680376665,3.520680888782681,0.3677057456272849
34,8.375493420334955,3.5574514633811036,0.36776380472111414
35,8.733077386267555,3.5942278438318294,0.36777712702343973
36,9.09433905530684,3.631005556610687,0.3676181721438981
37,9.459277701559794,3.6677673739284744,0.3668969852726666
38,9.82788892403186,3.704457072543852,0.3655773198485449
39,10.200162516833768,3.741014804721994,0.36337827851451515
40,10.57608088956128,3.777352632680448,0.36024080334023184
41,10.95561735738127,3.813376713067965,0.35660176308766794
42,11.338738037722196,3.84903688940836,0.3526967606190218
43,11.725405210005645,3.884306565547932,0.3484502386407609
44,12.115578118624722,3.9191515894025564,0.3439905117702304
45,12.50921322708632,3.9535506408738876,0.3386405730695105
46,12.906261490451913,3.987414698833855,0.3303302179867325
47,13.306654608850087,4.020447721543064,0.3171337308853889
48,13.710285049225421,4.0521610955854745,0.29811094616937256
49,14.116991717624533,4.081972190745326,0.27441071173056913
50,14.526560994282795,4.109413262058786,0.24857514735951597
51,14.938745199407519,4.134270776616931,0.22285648172589914
52,15.353286561205623,4.156556424438933,0.1987890372719138
53,15.769936147492192,4.176435327949909,0.1764928439230051
54,16.188462146893897,4.19408461188729,0.15629396344931334
55,16.608652079971225,4.209714007570137,0.13958565836517986
