t,obs_term,prior_term,dyn_term,total
1,0.6445392696450057,9.848185897630588,0.0,10.492725167275593
2,0.14068050501153517,0.0,6.089983375108954e8,6.089983376515759e8
3,1.1727598424126746,0.0,4.789771278147607e8,4.789771289875205e8
4,0.06586700468537467,0.0,3.736386944517255e8,3.736386945175925e8
5,1.414332152104832,0.0,2.898703473198124e8,2.8987034873414457e8
6,2.0340312878029625,0.0,2.2463402099794364e8,2.2463402303197494e8
7,0.04719006491222054,0.0,1.750131578171136e8,1.7501315786430368e8
8,0.18709226197535,0.0,1.382662943444866e8,1.3826629453157887e8
9,0.3246197131804007,0.0,1.1187738811259073e8,1.1187738843721044e8
10,1.7150975397757526,0.0,9.359612627077024e7,9.359612798586778e7
11,0.3476787116425675,0.0,8.146436703899671e7,8.146436738667542e7
12,0.09858758509518445,0.0,7.38273379607859e7,7.382733805937348e7
13,0.1054526660562542,0.0,6.933016119260617e7,6.933016129805884e7
14,0.047697462228995624,0.0,6.690166237629435e7,6.6901662423991814e7
15,0.6795546058062653,0.0,6.5728266098507665e7,6.572826677806227e7
16,0.708006172216689,0.0,6.522114907490455e7,6.522114978291073e7
17,1.2761529472702664,0.0,6.497980054676341e7,6.497980182291636e7
18,0.2630089197644709,0.0,6.47548292251885e7,6.475482948819742e7
19,0.9366923561342619,0.0,6.4412359129322164e7,6.441236006601452e7
20,2.5255238275652228,0.0,6.3901765519989714e7,6.390176804551354e7
21,1.1187091001778233,0.0,6.32278942829826e7,6.3227895401691705e7
22,0.24548615146119637,0.0,6.242834260453697e7,6.242834285002313e7
23,0.3551479435414543,0.0,6.155589559268665e7,6.1555895947834596e7
24,0.22502862799566617,0.0,6.066583487494879e7,6.066583509997742e7
25,0.03075390495674365,0.0,5.980756823562325e7,5.980756826637715e7
26,0.15615538305418508,0.0,5.901986931382549e7,5.901986946998087e7
27,0.09564505533137155,0.0,5.83289502693842e7,5.832895036502925e7
28,1.1121733978932469,0.0,5.774860017960694e7,5.774860129178034e7
29,0.9977511615162186,0.0,5.728168778434909e7,5.728168878210025e7
30,0.03024869023422285,0.0,5.692242937946865e7,5.692242940971734e7
31,0.534992033688568,0.0,5.665894346057946e7,5.6658943995571494e7
32,0.03585148209739551,0.0,5.647573844928899e7,5.6475738485140465e7
33,0.10393754282546391,0.0,5.635589732184328e7,5.6355897425780825e7
34,0.07604209115879886,0.0,5.628282559758649e7,5.628282567362858e7
35,0.08206893505771629,0.0,5.624151259893868e7,5.6241512681007616e7
36,0.04122376714435418,0.0,5.621931861830871e7,5.621931865953247e7
37,0.04285156646889052,0.0,5.620634324362015e7,5.620634328647172e7
38,0.3988883724072022,0.0,5.619545475482226e7,5.619545515371063e7
39,0.14305426074562524,0.0,5.618207029330549e7,5.618207043635975e7
40,0.2609612576270529,0.0,5.616377491647143e7,5.6163775177432686e7
41,0.2772861409052188,0.0,5.6139858170629635e7,5.613985844791578e7
42,0.5139493525620553,0.0,5.6110832627399705e7,5.6110833141349055e7
43,0.031985553935600056,0.0,5.607798261851752e7,5.607798265050307e7
44,0.05956369870831016,0.0,5.604297526257158e7,5.604297532213528e7
45,0.12564244599399388,0.0,5.600755128755457e7,5.600755141319702e7
46,0.1304755650289337,0.0,5.597330102716825e7,5.597330115764382e7
47,1.5172361823872849,0.0,5.5941521735391796e7,5.5941523252627976e7
48,0.033127664923268824,0.0,5.591314605870949e7,5.591314609183715e7
49,0.13279918831566823,0.0,5.588872788485911e7,5.588872801765829e7
50,0.34642924614017645,0.0,5.5868470436713055e7,5.58684707831423e7
51,0.07821888962619392,0.0,5.585228188459609e7,5.585228196281498e7
52,0.03976510013784689,0.0,5.583984538006067e7,5.583984541982577e7
53,0.6958112043479889,0.0,5.5830692782383844e7,5.583069347819505e7
54,0.03502327984957421,0.0,5.582427403193514e7,5.582427406695842e7
55,0.4405110094184144,0.0,5.582001679253901e7,5.582001723305002e7
56,0.7019999946918976,0.0,5.581737339180428e7,5.581737409380427e7
57,0.940246704983193,0.0,5.581585409479248e7,5.581585503503919e7
58,1.7177781806768315,0.0,5.581504728259925e7,5.581504900037743e7
59,0.42341319204916894,0.0,5.581462815829588e7,5.581462858170907e7
60,1.5397773614873234,0.0,5.58143582154264e7,5.581435975520376e7
61,0.12089339921633943,0.0,5.581407793644437e7,5.581407805733777e7
62,0.0464036110935776,0.0,5.581369513565324e7,5.581369518205685e7
63,0.05141796472047867,0.0,5.581317110111528e7,5.581317115253324e7
64,0.030201639234010418,0.0,5.581250630243773e7,5.581250633263937e7
65,1.4377598524410355,0.0,5.5811726995352335e7,5.581172843311219e7
66,0.33610541495167123,0.0,5.5810873612791985e7,5.58108739488974e7
67,0.03175500279696349,0.0,5.580999143244164e7,5.580999146419664e7
68,0.22463505915712792,0.0,5.5809123679770954e7,5.580912390440601e7
69,0.029980464962265866,0.0,5.5808306968110904e7,5.580830699809137e7
70,0.27911338568340255,0.0,5.5807568799396254e7,5.5807569078509636e7
71,0.16432984583042556,0.0,5.5806926747008026e7,5.5806926911337875e7
72,0.15863832134414163,0.0,5.5806388899007e7,5.580638905764532e7
73,0.4704663064870694,0.0,5.580595514932805e7,5.580595561979436e7
74,0.03825369482983616,0.0,5.580561896640532e7,5.580561900465901e7
75,0.12894615100166304,0.0,5.580536932969013e7,5.580536945863628e7
76,1.2979660186778472,0.0,5.5805192599600494e7,5.580519389756651e7
77,0.1713653353643211,0.0,5.580507416033438e7,5.5805074331699714e7
78,0.2990714626900353,0.0,5.580499974188466e7,5.5805000040956125e7
79,0.63134178668415,0.0,5.580495638377937e7,5.5804957015121154e7
80,0.5103184469209258,0.0,5.5804933045510754e7,5.5804933555829205e7
81,0.1562724491561976,0.0,5.5804920902135246e7,5.5804921058407694e7
82,1.7269341434251368,0.0,5.580491338226075e7,5.580491510919489e7
83,0.03700668059692907,0.0,5.580490601255431e7,5.5804906049560994e7
84,0.3765166396638357,0.0,5.580489613495431e7,5.580489651147095e7
85,0.14889387634877205,0.0,5.580488255378945e7,5.580488270268333e7
86,0.3869168591134256,0.0,5.580486516148888e7,5.5804865548405744e7
