t,dim_1,dim_2,dim_3
1,2.8988775948938392,3.7969439193998547,-2.8168820115336937
2,3.0852036908902654,3.6560998187340705,-2.830058716838555
3,3.2644711102816624,3.514596882710536,-2.8399195576854317
4,3.4366510605221285,3.372600904367027,-2.8419303270224803
5,3.601728698103127,3.230504387293106,-2.8294616513493445
6,3.759717091543214,3.089031303945876,-2.798586765884048
7,3.9106704194327437,2.9491019650644303,-2.7509660270724092
8,4.054686805969384,2.8115536633326954,-2.6915197384149296
9,4.191900083908552,2.676977676311569,-2.626211927720045
10,4.322466199159943,2.5456670800078975,-2.560683098129795
11,4.446548700214955,2.417632925137389,-2.4966036957739743
12,4.564309590804412,2.2928027404370583,-2.4340474734073525
13,4.675907168324183,2.1711003668630564,-2.3737543397526153
14,4.7814949926467065,2.0524126500265973,-2.3164937564552135
15,4.881220007253408,1.93658796238996,-2.2633651602634006
16,4.975220201062797,1.8234197044559222,-2.2134858365966585
17,5.063624328227624,1.7127454127433228,-2.166011757725939
18,5.146554087346692,1.6044448248152885,-2.1194626122302176
19,5.224127005197401,1.4984716939182896,-2.0689051486960834
20,5.296464459970343,1.3950264361223492,-2.0104266358237717
21,5.363702744411382,1.294505104173537,-1.945593480251518
22,5.425996007386228,1.1972254300225122,-1.8771336443294553
23,5.483510859810916,1.1033687477686502,-1.8065199096950217
24,5.5364211432773764,1.0130427524482433,-1.7374615019395825
25,5.584901451546804,0.926169677639387,-1.6739460507606667
26,5.629117500322356,0.8424723755166261,-1.6190474065899734
27,5.669217306042775,0.7615200057922548,-1.576648907078067
28,5.705322492305333,0.6826875611881484,-1.5508484079880467
29,5.737518310639054,0.6051451414993174,-1.5429376166893847
30,5.76584689995506,0.5279982611623452,-1.5498257369407624
31,5.790309535104597,0.45050697459966066,-1.5662915110137277
32,5.8108770211965775,0.37219239924578784,-1.5886517549773516
33,5.827500827951064,0.29275981161943815,-1.614923998203108
34,5.840120164060324,0.21201361180549924,-1.6438759137455554
35,5.848666001041377,0.12981981615029167,-1.6743994895788397
36,5.853063994575224,0.04609984159902048,-1.7044298250134808
37,5.853238451834213,-0.039121649847010734,-1.7311808933706945
38,5.849118396084368,-0.1256806948538653,-1.75139448133382
39,5.840645118952138,-0.21325041929447716,-1.7628831338127602
40,5.827778995970753,-0.30139457645406337,-1.7640465493962687
41,5.810504209162892,-0.38959690440291117,-1.75359713721491
42,5.788832369480954,-0.47727676184069046,-1.730211095461616
43,5.762805767019716,-0.5637873171657896,-1.6929942657184325
44,5.732500157670317,-0.648437030970791,-1.642656436996673
45,5.698024984308108,-0.7305698532763372,-1.5803775209077258
46,5.659521017381959,-0.8095887296593747,-1.508380045297929
47,5.6171561023600765,-0.8850077320878017,-1.4302431460207112
48,5.571117912652648,-0.9565198895938438,-1.3475916659936855
49,5.521607429620246,-1.0238994731500217,-1.2592868006517413
50,5.4688383473576785,-1.0868638134338946,-1.1647616596522832
51,5.4130392025180925,-1.1451018965631397,-1.0653622598558392
52,5.35445240354884,-1.1983700096367442,-0.9631769859911032
53,5.2933299308691355,-1.2465288589688317,-0.8596033532583136
54,5.229928979878659,-1.2895090264717564,-0.7575910630595287
55,5.164506536128488,-1.327388579284851,-0.6617021478880881
56,5.097309978147125,-1.3604736862727715,-0.5749562428458074
57,5.028567600096128,-1.389221498086889,-0.4972100610138879
58,4.958485017555019,-1.4140820010563864,-0.424478860550608
59,4.887250319272724,-1.435305944020025,-0.35352514257813067
60,4.815043118207539,-1.4529822012132365,-0.2825663784748078
61,4.742040798393477,-1.4671105201122654,-0.211122530245067
62,4.668421368511192,-1.4776666465641164,-0.1407212783207866
63,4.59436213432528,-1.4847027104067698,-0.0719589967314541
64,4.520037049280703,-1.4883006601310365,-0.005471538103689928
65,4.445615176012661,-1.4885742368819719,0.057750574670141
66,4.37125865574306,-1.4856867081620182,0.11924918749058884
67,4.297123383219087,-1.4797242488710378,0.18193730221496185
68,4.223364593651094,-1.4706273839062225,0.24743654646496369
69,4.150142519826495,-1.4582555567132878,0.31631986614530777
70,4.0776251415414535,-1.4424395635222347,0.3882231741130178
71,4.0059884438158795,-1.4230284050069362,0.4638819857733469
