t,obs_term,prior_term,dyn_term,total
1,0.1365070726383572,10.258306649508723,0.0,10.39481372214708
2,0.6270230042646682,0.0,8.69652682907079e7,8.696526891773091e7
3,-0.0629705172502569,0.0,7.555940853021075e7,7.555940846724023e7
4,-0.08319110250518949,0.0,6.5499593170262285e7,6.549959308707118e7
5,-0.24270946618228792,0.0,5.667125089492056e7,5.667125065221109e7
6,0.3029072085017822,0.0,4.896528287431615e7,4.8965283177223355e7
7,4.726995957784481,0.0,4.227784898694129e7,4.227785371393725e7
8,1.3764328746162708,0.0,3.651028319907727e7,3.6510284575510144e7
9,1.420621589932889,0.0,3.156909771954162e7,3.156909914016321e7
10,0.20665594009190535,0.0,2.7366041559109256e7,2.7366041765765198e7
11,1.7904523879187388,0.0,2.381818478705434e7,2.381818657750673e7
12,-0.05499489400392893,0.0,2.08480051028907e7,2.0848005047895808e7
13,-0.11927843511410738,0.0,1.8383458312060688e7,1.8383458192782253e7
14,1.047890379148381,0.0,1.6358018879954355e7,1.6358019927844735e7
15,-0.25307036244647324,0.0,1.4710680903958322e7,1.471068065088796e7
16,0.8171282437086593,0.0,1.338591355741039e7,1.3385914374538632e7
17,0.0668352356163513,0.0,1.2333568299081221e7,1.2333568365916457e7
18,-0.2548093167755537,0.0,1.1508737895515295e7,1.1508737640705978e7
19,-0.2605926268569553,0.0,1.0871569570405878e7,1.0871569309813252e7
20,0.17566926881724249,0.0,1.0387036387695279e7,1.0387036563364549e7
21,-0.23671543527152436,0.0,1.0024672314567551e7,1.0024672077852115e7
22,-0.26192735512749915,0.0,9.758277329785882e6,9.758277067858526e6
23,0.4263236830483871,0.0,9.565599480212888e6,9.565599906536572e6
24,0.46565207112392026,0.0,9.428000987772109e6,9.42800145342418e6
25,0.11676000092994193,0.0,9.330115422767615e6,9.330115539527616e6
26,-0.05750343078759651,0.0,9.259502628893992e6,9.259502571390562e6
27,0.21439868001255563,0.0,9.206307568730377e6,9.206307783129057e6
28,1.180843174037616,0.0,9.162928599145148e6,9.162929779988322e6
29,-0.03964872196691402,0.0,9.12369992188846e6,9.123699882239737e6
30,-0.2584194946423687,0.0,9.084592147127444e6,9.084591888707949e6
31,2.1048707271948808,0.0,9.0429340669981e6,9.042936171868827e6
32,3.213230759327857,0.0,8.997157903488893e6,8.997161116719652e6
33,1.450498257050407,0.0,8.946569512839066e6,8.946570963337323e6
34,2.6168713945716857,0.0,8.891144292277023e6,8.891146909148417e6
35,0.9479089707897689,0.0,8.831348864498707e6,8.831349812407678e6
36,4.170662318518521,0.0,8.767988040625492e6,8.767992211287811e6
37,4.042299121121702,0.0,8.702076067278057e6,8.702080109577179e6
38,1.0733806055412218,0.0,8.634730764232973e6,8.634731837613579e6
39,-0.2684442176261616,0.0,8.567088852131283e6,8.567088583687065e6
40,-0.12810361581823035,0.0,8.500240536847146e6,8.50024040874353e6
41,1.723185710449342,0.0,8.43518127450175e6,8.43518299768746e6
42,-0.17983056719259383,0.0,8.372778577027942e6,8.372778397197375e6
43,-0.2516305363272521,0.0,8.313751721105156e6,8.313751469474619e6
44,-0.07622947464333885,0.0,8.258662257616538e6,8.258662181387063e6
45,5.419503562469502,0.0,8.207913316303348e6,8.20791873580691e6
46,0.17397808182011992,0.0,8.161755841729806e6,8.161756015707888e6
47,0.44094671106368344,0.0,8.12030006453699e6,8.120300505483701e6
48,0.3378041004884125,0.0,8.083530669836434e6,8.083531007640534e6
49,0.03851758770461289,0.0,8.0513243182400195e6,8.051324356757607e6
50,-0.12962276558820393,0.0,8.0234683734512385e6,8.023468243828473e6
51,0.15717278710981603,0.0,7.999679881372276e6,7.999680038545063e6
52,0.14949853389776702,0.0,7.979624034401433e6,7.979624183899966e6
53,-0.26664430447961424,0.0,7.962931510861018e6,7.962931244216713e6
54,0.9725721641099639,0.0,7.949214252533563e6,7.949215225105727e6
55,0.3078341448298941,0.0,7.938079376806839e6,7.938079684640984e6
56,-0.26096758923298286,0.0,7.929141038154672e6,7.929140777187083e6
57,-0.25875266531716706,0.0,7.92203018420427e6,7.922029925451605e6
58,-0.018912183613172262,0.0,7.916402224168223e6,7.916402205256039e6
59,0.27557706077190314,0.0,7.911942688584766e6,7.911942964161827e6
60,-0.25964540987492274,0.0,7.90837103194624e6,7.90837077230083e6
61,-0.154619878306089,0.0,7.905442757525258e6,7.90544260290538e6
62,-0.07555497394541666,0.0,7.90295007912416e6,7.902950003569186e6
