t,dim_1,dim_2,dim_3
1,0.0598891621198947,8.208032970951203,-7.146311567118614
2,0.4613579184771919,7.850717392813906,-7.147101380549077
3,0.8449599043377631,7.493362324357815,-7.148088698854687
4,1.2106929045305876,7.135957890244018,-7.149426096250289
5,1.5585540131111772,6.778486586426015,-7.151219357657954
6,1.8885393150370653,6.42092561969753,-7.153549853551061
7,2.2006436590098724,6.0632481281591515,-7.156453752348276
8,2.494860509053203,5.705425441139627,-7.159791920570606
9,2.7711820460092538,5.347435845468992,-7.163369038300344
10,3.029599637896443,4.989267393366294,-7.166988713056991
11,3.2701042858131784,4.630917956818779,-7.170337802872527
12,3.492687282296514,4.272401064735689,-7.172978361067109
13,3.6973411356361487,3.9137521435901554,-7.1743610104235325
14,3.8840608164075836,3.55503408873406,-7.173886886684851
15,4.052845192493476,3.196339738552026,-7.170867083541717
16,4.203698626355497,2.837796376987696,-7.164538521045725
17,4.336632807748188,2.4795694417634446,-7.154070155933491
18,4.451668730555267,2.121865922874097,-7.138535632692661
19,4.5488388960684745,1.764939128201282,-7.116968398864976
20,4.6281896812339465,1.409090693257151,-7.088391399940761
21,4.689783762768278,1.0546711064531544,-7.0518624435561845
22,4.733702525351715,0.7020779657026377,-7.006488571885965
23,4.7600483485392076,0.35175351675477956,-6.951383129265462
24,4.768946827159845,0.004184338353218846,-6.885704719355384
25,4.760548948905754,-0.3401009213392122,-6.808610568042844
26,4.735033172438103,-0.6805314751064867,-6.719243965130337
27,4.692607578691349,-1.0164937004763843,-6.616757731192016
28,4.633511984738597,-1.3473316160611328,-6.500236865710647
29,4.558020140416197,-1.672343489999949,-6.368796395555016
30,4.466442000735718,-1.9907833419466772,-6.221650361244832
31,4.359125800553089,-2.301865893671205,-6.058046509925802
32,4.236459970337349,-2.6047682539600445,-5.87732894792505
33,4.098874910264363,-2.8986347368393397,-5.679042485808903
34,3.9468443779452773,-3.182586896994341,-5.462919122715869
35,3.7808863838152464,-3.455732888975844,-5.228868193331283
36,3.601563648548979,-3.717176334209329,-4.976964106775376
37,3.4094836111970404,-3.966024574339612,-4.707470410727025
38,3.205298019170968,-4.2013981284026976,-4.42089715123657
39,2.989701960554868,-4.422443017953411,-4.117944985793029
40,2.7634323477618192,-4.6283402976987915,-3.799381665077962
41,2.5272660733634504,-4.818309409786815,-3.4659958793007095
42,2.2820180689393132,-4.991609230631696,-3.118681600352646
43,2.0285392149137373,-5.147543335504492,-2.7584335684861148
44,1.7677139650619436,-5.285465036728159,-2.3862719025408574
45,1.5004578301611824,-5.4047786524952635,-2.0032503792435015
46,1.2277147801328006,-5.504941189376018,-1.6105891953656986
47,0.9504544266022839,-5.58547066418451,-1.209688314320506
48,0.6696687214603012,-5.645955091863748,-0.802036578220614
49,0.3863683632770289,-5.68605692984463,-0.3891265767014419
50,0.10157904808187447,-5.705513264725442,0.02756232325750624
51,-0.1836622244931674,-5.704135151496164,0.44649606059517793
52,-0.4683109273129962,-5.681810348133968,0.8660800902557304
53,-0.7513189129777381,-5.6385063398702,1.2846432668901626
54,-1.0316384940229337,-5.574274169367949,1.700479263463719
55,-1.3082266662943347,-5.4892501958929,2.1119503595674645
56,-1.5800493046026023,-5.383652664289509,2.5174397375038726
57,-1.846085204181865,-5.257780660487468,2.915291150378974
58,-2.105330188824127,-5.112016082763878,3.30385969154626
59,-2.3568012315455475,-4.946823074822044,3.6815359419370672
60,-2.5995405250775936,-4.762746251374746,4.046783451199228
61,-2.8326194175904016,-4.5604070495014355,4.398115013854517
62,-3.0551421839606117,-4.34050126661224,4.734069123318147
63,-3.266249716475107,-4.103797775470464,5.053230148512419
64,-3.4651231226438663,-3.8511362303149252,5.3542147280967365
65,-3.6509872131867462,-3.583425453808311,5.63574138541998
66,-3.823113853920979,-3.3016383421967532,5.896657459856481
67,-3.9808249900105865,-3.006805424823143,6.135893199114864
68,-4.123495435955564,-2.7000107184264754,6.3524235118765375
69,-4.250555478438223,-2.382389494594167,6.545283974415155
70,-4.361493384852039,-2.0551252458023197,6.713567045340067
71,-4.455857723387843,-1.7194468417116089,6.856376418516357
72,-4.533259626125836,-1.376627967403309,6.972884244905346
73,-4.593374940081232,-1.0279837007309882,7.06243968797585
74,-4.635946087302633,-0.6748616613154018,7.124634170447293
75,-4.6607833878104925,-0.31862989726848917,7.159193317669793
76,-4.6677659000310205,0.0393298245897598,7.165877637878738
77,-4.656842065828427,0.3976237626621648,7.144523650608178
78,-4.628030218292239,0.7548500011290533,7.095140925500028
79,-4.581418784763615,1.1096071029747727,7.017881401501974
80,-4.517166063045747,1.4605012278797256,6.913021735494861
81,-4.435499703817578,1.806152368451082,6.781005453312423
82,-4.3367158071958345,2.145202693844192,6.62235814702581
83,-4.221177696946538,2.476320652529304,6.437695514818817
84,-4.08931451670885,2.79820547819318,6.227718694228805
85,-3.94161955949588,3.1095914610807722,5.993217100521683
86,-3.7786484284541193,3.409252362452407,5.735085078572687
87,-3.6010169146975257,3.6960066607623068,5.454271351177759
88,-3.4093986983272844,3.9687202704953033,5.1518187796958275
89,-3.2045228660244383,4.226311249389031,4.8288454468294475
90,-2.987171194683654,4.4677535590363,4.486568430786929
91,-2.758175255301428,4.69208201533684,4.126274665572992
92,-2.518413256773263,4.898395780655223,3.7492806672371732
93,-2.268806810825509,5.085859843252766,3.3569678145835113
94,-2.010317546227488,5.253708260084265,2.95082045885847
