t,dim_1,dim_2,dim_3
1,0.015421901478929544,0.08441570306610849,0.202155599673888
2,0.012789893854495336,0.07417537415917397,0.19220367089327606
3,0.010639862864449665,0.0649195465231189,0.1822796167692497
4,0.008902394230199024,0.05659720090190368,0.17241551473087272
5,0.007515120050464158,0.04915613388140509,0.16265161502777928
6,0.006422358030220492,0.04254292892604908,0.15303380195325464
7,0.005574740868382206,0.03670311321373566,0.14361120545295367
8,0.004928833698981465,0.03158145557442152,0.13443399361558594
9,0.004446739763272447,0.027122364972958023,0.12555138053114784
10,0.00409569622320862,0.02327035325526358,0.1170098814583063
11,0.00384766327119887,0.01997053029536748,0.10885184049093383
12,0.0036789105078346767,0.017169104189535152,0.10111424679093581
13,0.0035696050085857536,0.014813863665349826,0.09382784537265218
14,0.003503405641061114,0.012854624318531065,0.08701653843268622
15,0.003467068082851569,0.011243624567197472,0.0806970640610871
16,0.0034500646796711597,0.009935861237663846,0.07487893133439384
17,0.0034442228241407585,0.008889358395112047,0.06956458456017049
18,0.003443384972315255,0.008065366349303974,0.06474976493404108
19,0.0034430927882440803,0.007428490659403645,0.060424035074733186
20,0.0034402972515689845,0.006946753409466396,0.05657143071732477
21,0.003433095909150312,0.006591591019884299,0.05317120410110936
22,0.0034204978234069865,0.006337794407367991,0.05019862507592596
23,0.0034022161867256874,0.006163398426771974,0.04762580843701657
24,0.003378488047340169,0.006049528252455759,0.045422539244991324
25,0.0033499201374000472,0.005980210723027085,0.043557071662091384
26,0.0033173594143925903,0.005942158724916112,0.04199688092208687
27,0.003281786624955894,0.005924536474272269,0.040709352254468506
28,0.003244230974711279,0.0059187131214540134,0.03966239473615781
29,0.00320570383584316,0.00591801149572113,0.03882497200648169
30,0.003167149340597824,0.005917458075511083,0.038167545443570344
31,0.003129409687023034,0.00591353945461214,0.03766242868106517
32,0.003093203015488413,0.00590396971532366,0.03728405518826405
33,0.003059111792584167,0.005887472250340544,0.03700916301404993
34,0.00302757975444351,0.005863578724603142,0.036816902695963306
35,0.002998915606013248,0.005832447060533909,0.03668887576949153
36,0.002973301838298008,0.00579469958363451,0.036609112302728564
37,0.0029508072046675916,0.005751281794128707,0.03656399646313663
38,0.0029314015831901023,0.005703341643430294,0.0365421493396726
39,0.002914972138689036,0.005652128696779772,0.03653427814391533
40,0.0029013398807425585,0.00559891215688821,0.03653300054977301
41,0.002890275887960936,0.005544916406214552,0.036532652355183645
42,0.0028815166312883803,0.00549127249340534,0.036529085911978586
43,0.0028747779773187023,0.005438983836265998,0.03651946591997891
44,0.002869767585017784,0.005388904331750678,0.036502068262682354
45,0.0028661955248525045,0.005341727044200818,0.03647608661400949
46,0.002863783047808338,0.0052979816772135285,0.036441450602612654
47,0.0028622695133500046,0.005258039112687797,0.036398658410713464
48,0.002861417550701708,0.005222121413530062,0.03634862583120403
49,0.0028610165779141086,0.005190315825372402,0.03629255302725231
50,0.002860884839328812,0.005162591469257011,0.03623180954518216
51,0.0028608701457208414,0.005138817584145363,0.03616783753154777
52,0.002860849514179419,0.005118782348779309,0.036102072602510936
53,0.002860727908308564,0.005102211481260142,0.03603588140766842
54,0.0028604362752127654,0.005088785977091681,0.03597051461817521
55,0.0028599290655441714,0.005078158498678163,0.03590707384475481
56,0.0028591814080973785,0.0050699680686087135,0.03584649084753449
57,0.0028581860923946314,0.005063852843576619,0.0357895173278424
58,0.0028569504926152286,0.0050594608543170555,0.03573672358259724
59,0.0028554935451407747,0.00505645868902116,0.03568850434478273
60,0.0028538428708058334,0.005054538173394839,0.035645090218802016
61,0.0028520321123956084,0.005053421160453936,0.03560656323764499
62,0.0028500985385984242,0.005052862588241858,0.035572875210732186
63,0.0028480809479363525,0.005052651995167411,0.03554386768874472
64,0.002846017890464271,0.0050526137020374656,0.03551929253732017
65,0.002843946211429542,0.005052605878671444,0.03549883227878201
66,0.0028418999097007637,0.0050525187128562165,0.035482119524683255
67,0.0028399092945971946,0.005052271891950135,0.035468754977503514
68,0.0028380004177000636,0.0050518115942351505,0.03545832362395496
69,0.002836194751167651,0.005051107169617701,0.03545040887255598
70,0.002834509080828723,0.005050147668835797,0.03544460450280556
71,0.002832955580687401,0.005048938358144266,0.035440524391573046
72,0.002831542035212714,0.005047497333565856,0.03543781006399961
73,0.002830272176677682,0.0050458523260947016,0.03543613618163745
74,0.002829146106627536,0.00504403776743974,0.035435214130519026
75,0.002828160773076004,0.005042092165562088,0.03543479390749598
76,0.0028273104780478673,0.005040055820807367,0.035434664525905
77,0.0028265873934204874,0.005037968897142533,0.03543465317296452
78,0.00282598206650313,0.005035869849037841,0.03543462335292895
79,0.002825483900290202,0.0050337941929439285,0.03543447224359258
80,0.0028250815967170778,0.005031773603071314,0.03543412748087739
81,0.0028247635544416997,0.00502983530418157,0.035433543568511625
82,0.0028245182156013864,0.0050280017291874845,0.03543269808864249
83,0.002824334358602751,0.005026290406335395,0.0354315878659287
84,0.002824201336262643,0.005024714039379853,0.03543022521335884
85,0.002824109260515381,0.005023280744217395,0.03542863436371511
86,0.0028240491364368812,0.005021994406677265,0.03542684816704965
87,0.0028240129495210255,0.005020855128329926,0.03542490511239827
88,0.002823993710999448,0.005019859730039497,0.03542284671170711
89,0.0028239854665511326,0.005019002286339862,0.03542071526592273
90,0.002823983274035873,0.005018274667363843,0.03541855201760309
91,0.002823983155942269,0.005017667068830955,0.0354163956813323
92,0.002823982032103957,0.005017168514358673,0.03541428133266099
93,0.0028239776379444725,0.005016767317984627,0.03541223962815634
94,0.0028239684330979586,0.005016451498180584,0.03541029632327991
95,0.002823953504753161,0.005016209137731164,0.03540847205101845
