iteration,free_energy
1,11502.429287326275
2,11502.429287326275
3,11502.429287326275
4,11502.429287326275
5,11502.429287326275
6,11502.429287326275
7,11502.429287326275
8,11502.429287326275
9,11502.429287326275
10,11502.429287326275
11,11502.429287326275
12,11502.429287326275
13,11502.429287326275
14,11502.429287326275
15,11502.429287326275
16,11502.429287326275
17,11502.429287326275
18,11502.429287326275
19,11502.429287326275
20,11502.429287326275
21,11502.429287326275
22,11502.429287326275
23,11502.429287326275
24,11502.429287326275
25,11502.429287326275
26,11502.429287326275
27,11502.429287326275
28,11502.429287326275
29,11502.429287326275
30,11502.429287326275
31,11502.429287326275
32,11502.429287326275
33,11502.429287326275
34,11502.429287326275
35,11502.429287326275
36,11502.429287326275
37,11502.429287326275
38,11502.429287326275
39,11502.429287326275
40,11502.429287326275
41,11502.429287326275
42,11502.429287326275
43,11502.429287326275
44,11502.429287326275
45,11502.429287326275
46,11502.429287326275
47,11502.429287326275
48,11502.429287326275
49,11502.429287326275
50,11502.429287326275
51,11502.429287326275
52,11502.429287326275
53,11502.429287326275
54,11502.429287326275
55,11502.429287326275
56,11502.429287326275
57,11502.429287326275
58,11502.429287326275
59,11502.429287326275
60,11502.429287326275
61,11502.429287326275
62,11502.429287326275
63,11502.429287326275
64,11502.429287326275
65,11502.429287326275
66,11502.429287326275
67,11502.429287326275
68,11502.429287326275
69,11502.429287326275
70,11502.429287326275
71,11502.429287326275
72,11502.429287326275
73,11502.429287326275
74,11502.429287326275
75,11502.429287326275
76,11502.429287326275
77,11502.429287326275
78,11502.429287326275
79,11502.429287326275
80,11502.429287326275
81,11502.429287326275
82,11502.429287326275
83,11502.429287326275
84,11502.429287326275
85,11502.429287326275
86,11502.429287326275
87,11502.429287326275
88,11502.429287326275
89,11502.429287326275
90,11502.429287326275
91,11502.429287326275
92,11502.429287326275
93,11502.429287326275
94,11502.429287326275
95,11502.429287326275
96,11502.429287326275
97,11502.429287326275
98,11502.429287326275
99,11502.429287326275
100,11502.429287326275
