t,obs_term,prior_term,dyn_term,total
1,1.2947689462884757,12.906682113142894,0.0,14.20145105943137
2,1.232502116338949,0.0,3.17390016643476e8,3.173900178759781e8
3,0.32769487774962086,0.0,2.4465344608142093e8,2.446534464091158e8
4,1.3207345066099794,0.0,1.8818501237927255e8,1.8818501370000705e8
5,1.9497333062305375,0.0,1.451961102638909e8,1.451961122136242e8
6,0.34214828522716006,0.0,1.1318797746523578e8,1.1318797780738407e8
7,0.2647364478733979,0.0,8.994931605848333e7,8.994931632321978e7
8,0.5359032278833415,0.0,7.355559510807812e7,7.355559564398135e7
9,0.3004672484090326,0.0,6.236529709660609e7,6.2365297397073336e7
10,0.44860407287294324,0.0,5.5010537838892736e7,5.5010538287496805e7
11,0.35638782238532396,0.0,5.0381219015388876e7,5.03812193717767e7
12,0.41048286815095136,0.0,4.7603151329307646e7,4.7603151739790514e7
13,0.70350648152829,0.0,4.6011430017504975e7,4.601143072101146e7
14,0.37667402365827257,0.0,4.512079698037276e7,4.512079735704678e7
15,0.3853845188443048,0.0,4.45948508928788e7,4.459485127826332e7
16,0.5829075832266576,0.0,4.421584629459677e7,4.421584687750435e7
17,0.6096593269949581,0.0,4.3856535376019925e7,4.3856535985679254e7
18,1.4983411997920122,0.0,4.345512702988973e7,4.3455128528230935e7
19,0.6029750459502348,0.0,4.299403052882726e7,4.2994031131802306e7
20,0.4136289466169206,0.0,4.24826652680755e7,4.248266568170445e7
21,0.46232241980475663,0.0,4.1944287272452585e7,4.194428773477501e7
22,4.483390022076671,0.0,4.1406526858070225e7,4.140653134146025e7
23,2.839763335527439,0.0,4.089515666789037e7,4.0895159507653706e7
24,0.36314255750724334,0.0,4.043051212655103e7,4.043051248969359e7
25,0.25535293348268295,0.0,4.002595714768169e7,4.002595740303463e7
26,0.3300069452652219,0.0,3.968781275375859e7,3.968781308376553e7
27,1.1629903369957917,0.0,3.941622959194091e7,3.941623075493125e7
28,1.0157332457295165,0.0,3.920657197796794e7,3.920657299370118e7
29,1.7135982017046236,0.0,3.905097779688209e7,3.905097951048029e7
30,1.9439077453597022,0.0,3.893985447444936e7,3.8939856418357104e7
31,1.4020048763461759,0.0,3.886315848420333e7,3.886315988620821e7
32,0.25738366190887585,0.0,3.881137949097785e7,3.881137974836151e7
33,0.26443002374816976,0.0,3.877620775721384e7,3.877620802164386e7
34,0.4917196298766341,0.0,3.875090459858993e7,3.875090509030956e7
35,0.33202462327418525,0.0,3.873042166359045e7,3.873042199561508e7
36,0.4881351901501162,0.0,3.871132783696261e7,3.87113283250978e7
37,0.2785888908927338,0.0,3.8691605421457484e7,3.8691605700046375e7
38,0.25504958481629,0.0,3.867037279969251e7,3.86703730547421e7
39,1.4007385174818978,0.0,3.864758172772162e7,3.864758312846013e7
40,1.119040090222721,0.0,3.862372608372338e7,3.862372720276347e7
41,0.386731157555079,0.0,3.859958713481679e7,3.859958752154794e7
42,0.7862994124358857,0.0,3.857602952786564e7,3.8576030314165056e7
43,0.4266241237445093,0.0,3.8553853075886205e7,3.855385350251033e7
44,0.25841089829153996,0.0,3.853369842493794e7,3.853369868334884e7
45,0.2627284108224452,0.0,3.8515999922814354e7,3.851600018554276e7
46,0.2611104226828509,0.0,3.850097628564266e7,3.8500976546753086e7
47,0.26827417517840974,0.0,3.848864866461448e7,3.848864893288866e7
48,0.5621948919938822,0.0,3.847887603919247e7,3.847887660138736e7
49,0.8221791901265896,0.0,3.847139908994976e7,3.847139991212895e7
50,1.1996518366538558,0.0,3.846588545307413e7,3.8465886652725965e7
51,0.26623277236596643,0.0,3.846197120229389e7,3.846197146852666e7
52,1.5006583290462745,0.0,3.8459295293844454e7,3.845929679450278e7
53,0.3712781705782233,0.0,3.845752537221523e7,3.84575257434934e7
54,0.2687143167524677,0.0,3.845637466973038e7,3.84563749384447e7
55,1.6718924939600939,0.0,3.8455610719892405e7,3.84556123917849e7
56,2.9734891259226717,0.0,3.8455057225547954e7,3.845506019903708e7
57,1.2041705461458179,0.0,3.845459072049025e7,3.8454591924660794e7
58,0.5514282946466841,0.0,3.8454133724893786e7,3.845413427632208e7
59,0.4548020574397069,0.0,3.845364597391286e7,3.8453646428714916e7
60,0.4961360429601175,0.0,3.845311503841527e7,3.845311553455131e7
61,0.31584624535309463,0.0,3.845254734963704e7,3.845254766548328e7
62,0.3130495339005038,0.0,3.8451960323278345e7,3.845196063632788e7
63,0.32470990111563475,0.0,3.845137597952246e7,3.845137630423236e7
64,0.34810624477770225,0.0,3.8450816203478985e7,3.845081655158523e7
65,2.749747330561147,0.0,3.8450299595177025e7,3.845030234492435e7
66,0.37415730674733766,0.0,3.844983972331941e7,3.844984009747672e7
67,0.29436298255913806,0.0,3.8449444520392574e7,3.844944481475556e7
68,0.5787384746990163,0.0,3.844911652406939e7,3.8449117102807865e7
69,0.336660437531211,0.0,3.84488536761217e7,3.8448854012782134e7
70,0.3599854747810707,0.0,3.844865042341484e7,3.844865078340032e7
71,0.27674198505750625,0.0,3.844849891194991e7,3.844849918869189e7
72,0.2924649160651031,0.0,3.8448390118631035e7,3.8448390411095954e7
73,0.3327510727904261,0.0,3.8448314818304755e7,3.844831515105583e7
74,0.25439595220213007,0.0,3.844826433131854e7,3.84482645857145e7
75,0.26540987716416703,0.0,3.8448231035208344e7,3.8448231300618224e7
76,1.1724413398121718,0.0,3.844820865307949e7,3.844820982552083e7
77,1.118731895190959,0.0,3.844819235049191e7,3.8448193469223805e7
78,0.32231773855669615,0.0,3.844817868324212e7,3.844817900555986e7
79,0.3616400495645739,0.0,3.844816544164746e7,3.844816580328751e7
80,1.4929937734675591,0.0,3.8448151432858184e7,3.8448152925851956e7
81,0.6979327787065872,0.0,3.844813623798179e7,3.844813693591457e7
82,0.824286999194529,0.0,3.844811997356364e7,3.844812079785064e7
83,0.5170901527468982,0.0,3.8448103078563645e7,3.8448103595653795e7
84,0.36430178047475836,0.0,3.844808613942355e7,3.844808650372533e7
85,0.31816207063797264,0.0,3.844806975714884e7,3.844807007531091e7
86,0.4490631448392295,0.0,3.844805445613421e7,3.844805490519735e7
87,0.624169109683842,0.0,3.8448040631456405e7,3.8448041255625516e7
88,0.315276405983784,0.0,3.8448028527170986e7,3.844802884244739e7
89,1.6316492183156357,0.0,3.8448018240396835e7,3.844801987204605e7
90,1.5735076103056147,0.0,3.844800974128396e7,3.844801131479157e7
91,1.0100070941116448,0.0,3.844800289880091e7,3.8448003908808e7
92,0.31068990308897815,0.0,3.844799751341258e7,3.844799782410248e7
93,0.5370360342428743,0.0,3.844799334859554e7,3.844799388563157e7
94,0.37711900668834986,0.0,3.84479901568404e7,3.84479905339594e7
95,0.32797927157357804,0.0,3.844798770120814e7,3.844798802918741e7
96,0.42793077898610465,0.0,3.844798576988334e7,3.844798619781412e7
97,0.8558944909902682,0.0,3.844798418529176e7,3.844798504118625e7
98,0.6012384008593943,0.0,3.844798280797817e7,3.844798340921657e7
99,0.2569094243251695,0.0,3.8447981535925254e7,3.844798179283468e7
100,0.8341510318305986,0.0,3.844798030121095e7,3.844798113536198e7
101,1.1293050384999752,0.0,3.844797906399091e7,3.844798019329595e7
102,3.2304937034303607,0.0,3.8447977806744605e7,3.844798103723831e7
103,0.4973497249319319,0.0,3.8447976527273774e7,3.84479770246235e7
104,0.40634489464295676,0.0,3.844797523304672e7,3.8447975639391616e7
105,0.2722995697753207,0.0,3.844797393741073e7,3.84479742097103e7
106,1.7175687951033325,0.0,3.8447972655041836e7,3.844797437261063e7
107,0.4461134346234247,0.0,3.844797140017536e7,3.84479718462888e7
108,0.7538311173327591,0.0,3.8447970183923565e7,3.844797093775468e7
109,0.6659232273633431,0.0,3.844796901294674e7,3.844796967886997e7
110,0.6495323561637104,0.0,3.8447967889701836e7,3.844796853923419e7
111,0.5107261090412948,0.0,3.844796681327752e7,3.844796732400363e7
112,0.2923754271185673,0.0,3.84479657797769e7,3.844796607215233e7
113,0.25628087381601855,0.0,3.844796478329301e7,3.8447965039573886e7
114,0.31401417984796665,0.0,3.844796381706851e7,3.844796413108269e7
115,0.2743250863152989,0.0,3.844796287423084e7,3.844796314855593e7
116,0.36174339005598083,0.0,3.8447961948450804e7,3.8447962310194194e7
117,0.38511867721155457,0.0,3.844796103464978e7,3.844796141976846e7
118,0.28882255739660406,0.0,3.8447960129030205e7,3.844796041785276e7
119,1.8294622683742618,0.0,3.844795922879748e7,3.844796105825975e7
120,0.9338764245529857,0.0,3.8447958332083665e7,3.844795926596009e7
121,0.6542416702214623,0.0,3.844795743699479e7,3.8447958091236465e7
122,0.30722449211385894,0.0,3.8447956542160496e7,3.8447956849384986e7
123,0.26411432714885047,0.0,3.844795564714318e7,3.8447955911257505e7
124,1.486484830971913,0.0,3.844795475178348e7,3.8447956238268316e7
125,0.5369586038110514,0.0,3.844795385543582e7,3.844795439239442e7
126,0.26031267943028846,0.0,3.844795295771168e7,3.844795321802436e7
127,0.2971040592356775,0.0,3.8447952059392296e7,3.844795235649636e7
128,0.3145280095704617,0.0,3.8447951161149025e7,3.8447951475677036e7
129,0.46133854826923837,0.0,3.8447950263372436e7,3.8447950724710986e7
130,2.085039222785909,0.0,3.844794936664557e7,3.844795145168479e7
131,0.43833164363217825,0.0,3.844794847053666e7,3.84479489088683e7
132,0.25841780805953296,0.0,3.844794757482242e7,3.8447947833240226e7
133,3.0472909374171326,0.0,3.844794668072498e7,3.8447949728015915e7
134,0.2543017510405367,0.0,3.844794579004429e7,3.844794604434604e7
135,0.2551181513948122,0.0,3.844794490364245e7,3.844794515876061e7
136,0.2874802946376855,0.0,3.844794402109854e7,3.8447944308578834e7
137,0.29322107785864787,0.0,3.8447943141962856e7,3.8447943435183935e7
138,1.3187321461727324,0.0,3.844794226587129e7,3.844794358460343e7
139,0.3569168789393601,0.0,3.8447941392353065e7,3.844794174926995e7
140,0.40786699515113867,0.0,3.844794052058089e7,3.844794092844788e7
141,0.42660397389686755,0.0,3.8447939649968326e7,3.84479400765723e7
142,2.930494210451702,0.0,3.8447938780407704e7,3.8447941710901916e7
143,0.5076916728221086,0.0,3.844793791214485e7,3.844793841983652e7
144,0.441973953127563,0.0,3.844793704537005e7,3.8447937487344004e7
145,1.404420969379489,0.0,3.8447936180079326e7,3.84479375845003e7
146,1.0394154013423902,0.0,3.844793531611006e7,3.8447936355525464e7
147,0.6813797298241614,0.0,3.8447934453442976e7,3.8447935134822704e7
148,0.6916443180853907,0.0,3.844793359215958e7,3.8447934283803895e7
149,0.8490628176986158,0.0,3.844793273232226e7,3.8447933581385076e7
150,0.3830322068162664,0.0,3.8447931873961836e7,3.8447932256994046e7
151,0.9297836296925309,0.0,3.84479310166149e7,3.844793194639853e7
152,0.25566620445194455,0.0,3.844793016039306e7,3.844793041605926e7
153,0.2906694803997386,0.0,3.844792930569469e7,3.844792959636417e7
154,0.42262188076800505,0.0,3.844792845246308e7,3.844792887508497e7
155,0.3152515925699408,0.0,3.844792760090784e7,3.8447927916159436e7
156,0.35269709885452916,0.0,3.844792675126806e7,3.8447927103965156e7
157,0.258643004027903,0.0,3.844792590322467e7,3.844792616186767e7
158,0.397870366178088,0.0,3.844792505645694e7,3.844792545432731e7
159,0.7048073892800022,0.0,3.844792421046221e7,3.84479249152696e7
160,0.5678559696852068,0.0,3.8447923363979235e7,3.8447923931835204e7
161,1.9795536274356587,0.0,3.844792251663792e7,3.844792449619155e7
162,0.30888222675761184,0.0,3.844792166747659e7,3.8447921976358816e7
163,0.9710509912489742,0.0,3.844792081493637e7,3.844792178598736e7
164,0.6126888263099524,0.0,3.844791996029201e7,3.8447920572980836e7
165,2.3310826878481508,0.0,3.844791910575317e7,3.8447921436835855e7
166,4.418095972779151,0.0,3.8447918251562886e7,3.844792266965886e7
167,2.1660790266042436,0.0,3.844791739940749e7,3.844791956548652e7
168,0.3651075801490242,0.0,3.8447916551467225e7,3.8447916916574806e7
169,0.466674578315012,0.0,3.8447915707354605e7,3.844791617402919e7
170,0.6181510584482962,0.0,3.844791486586585e7,3.844791548401691e7
171,0.3522254334101421,0.0,3.844791402612226e7,3.844791437834769e7
172,0.2630696344101414,0.0,3.8447913187486604e7,3.844791345055624e7
173,1.4263800901535428,0.0,3.844791234967093e7,3.844791377605102e7
174,0.3781024237760155,0.0,3.844791151275638e7,3.84479118908588e7
175,0.5754291560018835,0.0,3.844791067691928e7,3.844791125234844e7
176,0.2545102851792977,0.0,3.844790984219607e7,3.844791009670635e7
177,0.2543163311565355,0.0,3.8447909008532956e7,3.8447909262849286e7
178,0.2870851694913623,0.0,3.8447908175881326e7,3.8447908462966494e7
179,0.5032907641867017,0.0,3.844790734422142e7,3.8447907847512186e7
180,0.2829056133780072,0.0,3.8447906513583966e7,3.844790679648958e7
181,0.4006879093017447,0.0,3.8447905684002e7,3.844790608468991e7
182,0.26219526169280266,0.0,3.844790485546502e7,3.844790511766028e7
183,1.160669444514777,0.0,3.8447904027941525e7,3.844790518861097e7
184,1.4587451553491095,0.0,3.844790320139202e7,3.844790466013717e7
185,1.3966418687641682,0.0,3.844790237587515e7,3.844790377251702e7
186,0.26715923823094234,0.0,3.8447901551427804e7,3.844790181858704e7
187,1.5424799500845987,0.0,3.8447900727959596e7,3.844790227043954e7
188,0.2748558425613598,0.0,3.844789990549082e7,3.844790018034667e7
189,0.30791968968168715,0.0,3.8447899084053054e7,3.844789939197274e7
190,0.34931481128869324,0.0,3.844789826363502e7,3.8447898612949826e7
191,0.2544608291961946,0.0,3.84478974442344e7,3.844789769869523e7
192,0.2543024796193387,0.0,3.8447896625864215e7,3.8447896880166695e7
193,0.25456983440841163,0.0,3.844789580855153e7,3.844789606312136e7
194,2.3192067392900366,0.0,3.84478949923355e7,3.8447897311542235e7
195,0.77471717812876,0.0,3.844789417711255e7,3.8447894951829724e7
196,0.3733114491508222,0.0,3.844789336275871e7,3.844789373607016e7
197,0.4018991113251775,0.0,3.844789254936559e7,3.84478929512647e7
198,0.5292109419110829,0.0,3.844789173694141e7,3.844789226615235e7
199,0.5086548849465986,0.0,3.844789092546618e7,3.8447891434121065e7
200,0.25790384943328104,0.0,3.8447890115084864e7,3.8447890372988716e7
201,0.33962582579556905,0.0,3.844788930599437e7,3.84478896456202e7
202,0.3663933821432271,0.0,3.844788849845209e7,3.844788886484547e7
203,0.6618326998099285,0.0,3.844788769279275e7,3.844788835462545e7
204,0.31561838089909344,0.0,3.844788688906637e7,3.844788720468475e7
205,1.896444447058461,0.0,3.844788608698502e7,3.844788798342947e7
206,0.2947044060416273,0.0,3.8447885285580695e7,3.84478855802851e7
207,1.175269982487869,0.0,3.8447884483799584e7,3.844788565906957e7
208,1.4410040709621632,0.0,3.844788368091153e7,3.84478851219156e7
209,0.4341811206487183,0.0,3.844788287715208e7,3.84478833113332e7
210,1.2122210996101503,0.0,3.84478820737966e7,3.84478832860177e7
211,0.789564155637378,0.0,3.84478812718447e7,3.8447882061408855e7
212,0.7804723067180666,0.0,3.84478804718786e7,3.844788125235091e7
213,0.2823997500092279,0.0,3.844787967366309e7,3.844787995606284e7
214,0.2705492311661366,0.0,3.8447878876956746e7,3.8447879147505976e7
215,0.9785590207893611,0.0,3.844787808168513e7,3.844787906024415e7
216,0.4442458273179145,0.0,3.844787728785035e7,3.844787773209618e7
217,1.1577186619763995,0.0,3.8447876495661296e7,3.8447877653379954e7
218,0.3226710453217292,0.0,3.844787570501569e7,3.844787602768674e7
219,0.28118323203770706,0.0,3.844787491541801e7,3.844787519660124e7
220,0.4022974881764079,0.0,3.8447874126407646e7,3.8447874528705135e7
221,0.25860514154315634,0.0,3.8447873337543815e7,3.844787359614896e7
222,2.297393203898459,0.0,3.8447872548617125e7,3.844787484601033e7
223,1.4102069974174198,0.0,3.844787176028463e7,3.844787317049163e7
224,0.3433829791126767,0.0,3.8447870973381914e7,3.844787131676489e7
225,3.3933873634658007,0.0,3.844787018797933e7,3.8447873581366695e7
226,0.2896549236348767,0.0,3.844786940353059e7,3.8447869693185516e7
227,0.8621060616978982,0.0,3.844786861975208e7,3.844786948185814e7
228,0.6069090962390613,0.0,3.844786783707883e7,3.844786844398793e7
229,1.188909026739466,0.0,3.844786705592454e7,3.8447868244833566e7
230,0.7466829001955941,0.0,3.844786627670969e7,3.844786702339259e7
231,0.4687921462342002,0.0,3.844786549978546e7,3.844786596857761e7
232,1.3850278062464734,0.0,3.844786472561582e7,3.8447866110643625e7
233,0.39592431788500326,0.0,3.844786395387116e7,3.8447864349795476e7
234,0.2775450843481909,0.0,3.844786318346477e7,3.844786346100986e7
235,0.4377195439047069,0.0,3.844786241362567e7,3.844786285134522e7
236,0.47479369318689735,0.0,3.84478616435959e7,3.844786211838959e7
237,1.5246133086998066,0.0,3.844786087220436e7,3.844786239681767e7
238,0.8725174364556199,0.0,3.844786009977551e7,3.8447860972292945e7
239,1.1147754362753313,0.0,3.844785932664032e7,3.844786044141576e7
240,0.45232643970254116,0.0,3.8447858553129405e7,3.8447859005455844e7
241,0.25530894661718667,0.0,3.844785778050034e7,3.8447858035809286e7
242,0.25947778959148654,0.0,3.8447857009125575e7,3.844785726860336e7
243,0.3981482972216814,0.0,3.84478562389993e7,3.84478566371476e7
244,0.39536227671704005,0.0,3.844785547032925e7,3.844785586569153e7
245,0.2638444447841556,0.0,3.844785470312117e7,3.8447854966965616e7
246,0.3097579599175144,0.0,3.8447853937244765e7,3.844785424700273e7
247,0.8576122322496125,0.0,3.8447853172756776e7,3.8447854030369006e7
248,0.5724033128050157,0.0,3.844785240993259e7,3.84478529823359e7
249,0.49112152094131867,0.0,3.844785164885513e7,3.844785213997665e7
250,0.4894192385587227,0.0,3.844785088925806e7,3.844785137867729e7
251,1.7670742557193704,0.0,3.844785013090921e7,3.844785189798347e7
252,1.70529119387427,0.0,3.844784937374141e7,3.844785107903261e7
253,0.4280437862167676,0.0,3.8447848617702425e7,3.844784904574621e7
254,0.6986108602956946,0.0,3.844784786255387e7,3.844784856116473e7
255,0.367357167318505,0.0,3.8447847108129166e7,3.844784747548633e7
256,0.2919542000042049,0.0,3.844784635429544e7,3.844784664624964e7
257,0.26616725934464636,0.0,3.844784560112952e7,3.844784586729678e7
258,0.6872289213347952,0.0,3.8447844848721035e7,3.844784553594995e7
259,0.331351758547345,0.0,3.8447844097415365e7,3.844784442876712e7
260,0.2558834291943134,0.0,3.844784334750003e7,3.844784360338346e7
261,0.45022506117296024,0.0,3.844784259905115e7,3.844784304927621e7
262,0.40716940373563265,0.0,3.844784185205204e7,3.844784225922144e7
263,0.2996379825967081,0.0,3.844784110628309e7,3.844784140592107e7
264,1.1303683847865205,0.0,3.8447840361507945e7,3.844784149187633e7
265,0.32546526489068134,0.0,3.844783961787877e7,3.8447839943344034e7
266,0.40789124690949596,0.0,3.844783887560541e7,3.8447839283496656e7
267,1.7428943269236845,0.0,3.8447838134518586e7,3.8447839877412915e7
268,0.39250710422174356,0.0,3.844783739392095e7,3.844783778642806e7
269,0.2694106758531453,0.0,3.844783665331316e7,3.844783692272384e7
270,0.5830126912479141,0.0,3.844783591290729e7,3.844783649591998e7
271,0.6734288298213063,0.0,3.844783517311202e7,3.844783584654085e7
272,0.26674456185743656,0.0,3.844783443445724e7,3.8447834701201804e7
273,0.2582877933262164,0.0,3.844783369709252e7,3.844783395538031e7
274,0.3586940223100325,0.0,3.844783296093009e7,3.844783331962411e7
275,0.28587857116301507,0.0,3.8447832225877665e7,3.8447832511756234e7
276,0.2605612568050871,0.0,3.844783149193713e7,3.844783175249839e7
277,0.33315548082832486,0.0,3.844783075916857e7,3.8447831092324056e7
278,0.4187315069806494,0.0,3.844783002757275e7,3.844783044630426e7
279,0.4009267362353475,0.0,3.8447829297183014e7,3.844782969810975e7
280,0.3009397234413831,0.0,3.844782856796201e7,3.844782886890174e7
281,0.31481086699572514,0.0,3.8447827839768104e7,3.844782815457897e7
282,1.4272265887403228,0.0,3.8447827112504505e7,3.844782853973109e7
283,2.6702728809421914,0.0,3.844782638627314e7,3.844782905654602e7
284,0.26863511763030434,0.0,3.8447825661460355e7,3.844782593009547e7
285,0.3114324034151152,0.0,3.8447824938868016e7,3.844782525030042e7
286,0.41098838727646536,0.0,3.844782421978568e7,3.844782463077407e7
287,2.9962297049903754,0.0,3.844782350581065e7,3.844782650204036e7
288,0.25960245350107264,0.0,3.844782279739279e7,3.844782305699524e7
289,0.2952916112946511,0.0,3.844782209374357e7,3.844782238903518e7
290,0.3976889285558058,0.0,3.8447821394427985e7,3.844782179211691e7
291,0.3419237572152839,0.0,3.8447820698328495e7,3.844782104025225e7
292,0.3291464418455648,0.0,3.8447820004712e7,3.8447820333858445e7
293,0.6891657868495296,0.0,3.8447819313016854e7,3.844782000218264e7
294,0.2705533761784009,0.0,3.844781862083386e7,3.844781889138723e7
295,0.5589534921130543,0.0,3.8447817925610624e7,3.844781848456412e7
296,1.1041587008482339,0.0,3.844781722490377e7,3.844781832906247e7
297,0.9734095979638839,0.0,3.8447816518777184e7,3.8447817492186785e7
298,0.6060481963093188,0.0,3.8447815807076275e7,3.844781641312447e7
