t,dim_1,dim_2,dim_3,dim_4
1,0.056481593365456245,1.1964796102840445,-1.263125471325019,-0.0984300314316861
2,0.1697975193128492,1.0696749132782628,-1.2746824416751579,-0.09843003143089427
3,0.27037519339638727,0.9417145192405391,-1.2880232452473224,-0.09843003142593562
4,0.3580901245187508,0.812420044802644,-1.3030231602888056,-0.09843003141401731
5,0.4328006057410517,0.6816255791057909,-1.3203139055166613,-0.09843003139221959
6,0.4943451903310077,0.5491020387650413,-1.340282697070666,-0.09843003135626203
7,0.5425375761474959,0.41458161922601544,-1.3624161739748135,-0.09843003130233555
8,0.5771672524923244,0.2778478519671105,-1.3864868734512934,-0.09843003122716981
9,0.5980032000966549,0.13870701458292647,-1.4118456086523203,-0.09843003112806091
10,0.6047982708512633,-0.0029696965553404893,-1.4372033653450702,-0.09843003100393231
11,0.5972988829351965,-0.1471821837193962,-1.460711354205333,-0.0984300308561623
12,0.5752607054827182,-0.29374547003830587,-1.4804111407227158,-0.09843003068935023
13,0.5384677015615557,-0.4422787353872593,-1.4942755293372358,-0.09843003051111966
14,0.4867520472790031,-0.5921984397875674,-1.5005234760852035,-0.09843003033238906
15,0.42001318185491077,-0.7427429389557935,-1.4982649527321137,-0.09843003016613734
16,0.33823116013641313,-0.8930615859824539,-1.4865981107856263,-0.09843003002661256
17,0.2414756063134846,-1.042213548847196,-1.4648104445421666,-0.0984300299295724
18,0.12991379621360097,-1.1891867452883575,-1.4321685839625682,-0.09843002989165682
19,0.0038178726210883083,-1.3328957555574845,-1.3883995122734405,-0.09843002993071381
20,-0.13643010830520083,-1.4722278583774748,-1.334735437971522,-0.09843003006369976
21,-0.290342978018419,-1.6061935535998784,-1.272577857235916,-0.09843003030523191
22,-0.4573416280637198,-1.7339434907105156,-1.202575109096999,-0.09843003066827395
23,-0.6367652638954648,-1.8546931523880672,-1.1267909996050662,-0.09843003116421173
24,-0.8278849408002112,-1.9678644029526404,-1.0476857836699522,-0.09843003179994843
25,-1.0299262176128277,-2.0731251316675037,-0.9665895932354835,-0.09843003257981124
26,-1.2420880862740244,-2.1702762410905367,-0.8851013476647911,-0.09843003350570058
27,-1.4635576238735808,-2.259278525786469,-0.8045552454956834,-0.09843003457711182
28,-1.693524662127717,-2.340226199826626,-0.7268853002444979,-0.09843003579121476
29,-1.9311981155923261,-2.413406879150255,-0.6540968263544716,-0.09843003714159784
30,-2.175825691203729,-2.479308711235796,-0.586356440705887,-0.09843003862003276
31,-2.42670475177182,-2.538436504540418,-0.5239119426725952,-0.09843004021855052
32,-2.683184366150819,-2.59131984812921,-0.467213155550009,-0.0984300419280655
33,-2.9446688208051035,-2.6385333131086326,-0.4157168027166796,-0.09843004373980675
34,-3.210617140473772,-2.6805971428800874,-0.3689208697543609,-0.09843004564587542
35,-3.4805378648324563,-2.717981379293402,-0.3268413665164605,-0.0984300476388527
36,-3.7539866145292926,-2.7511576654002026,-0.28967869145739467,-0.0984300497109665
37,-4.030567178094715,-2.780617684155462,-0.2569599715744661,-0.09843005185461404
38,-4.30993014949729,-2.8068058311210966,-0.22764781569314443,-0.09843005406347856
39,-4.5917653747469505,-2.8300627627046446,-0.20054553304259812,-0.09843005633306108
40,-4.875790778713771,-2.85060946653231,-0.1734880701089617,-0.09843005866130537
41,-5.161735568379163,-2.8684504243130697,-0.14418592478457246,-0.0984300610501903
42,-5.4493179420673075,-2.8833611679110636,-0.11084990308200252,-0.09843006350465323
43,-5.738224712070086,-2.894938309482501,-0.07201388677038194,-0.09843006603249305
44,-6.0280950173229355,-2.9026318494494423,-0.027223320981083734,-0.09843006864297124
45,-6.3185107235628974,-2.905846332882639,0.02366604017191062,-0.0984300713457154
46,-6.608993431081294,-2.9039718802721346,0.08093614279254899,-0.09843007415068786
47,-6.899002343059364,-2.8963704174483516,0.14487712041774253,-0.0984300770683487
48,-7.187931404201772,-2.88237485687796,0.2156016965365502,-0.09843008010948978
49,-7.475107287976492,-2.8613068385552642,0.2926276601641926,-0.09843008328470991
50,-7.7597912422327795,-2.8325362235169202,0.3743162735680155,-0.09843008660295759
51,-8.041189694668832,-2.795596746511005,0.45750333095665485,-0.09843009006939116
52,-8.318478264426895,-2.750338563108876,0.5380686787823581,-0.09843009368313778
53,-8.59083818594855,-2.6970238445833385,0.6127823802494443,-0.09843009743715563
54,-8.857493066143563,-2.6362377556676946,0.6797035776148475,-0.09843010132044847
55,-9.117734731800429,-2.568759546738805,0.7370875968021607,-0.09843010531918131
56,-9.37094165310153,-2.4955429359517955,0.7841360160525436,-0.09843010941717488
57,-9.616591666564288,-2.417621483767284,0.8225603113257615,-0.09843011359887292
58,-9.854257416089553,-2.335857602307744,0.8546680339572543,-0.09843011785255254
59,-10.083586240398194,-2.250882948683511,0.8814234851183523,-0.09843012216900722
60,-10.304283823355833,-2.163232749915318,0.902913375854906,-0.09843012653984826
61,-10.516108935592763,-2.073433562184963,0.9192633027420638,-0.09843013095663523
62,-10.718872378721217,-1.981999381947783,0.9312528248302314,-0.09843013541170949
63,-10.912432455530643,-1.8893662497524542,0.9400950442726574,-0.09843013989900747
64,-11.096685008774639,-1.795848895788624,0.9469827647589847,-0.09843014441451062
65,-11.271551387154249,-1.7016427700386956,0.9531449655052084,-0.09843014895600259
66,-11.436966346423967,-1.6068204240300075,0.9586850801127712,-0.09843015352277779
67,-11.592871369541283,-1.5114440664744588,0.9626162857005358,-0.09843015811296935
68,-11.739219101442053,-1.4156745882175374,0.9640808392944346,-0.09843016272336434
69,-11.875982561138864,-1.3197586546198368,0.9625475250538523,-0.09843016734945666
70,-12.003162094859633,-1.2239960523836992,0.9577349145148583,-0.0984301719862924
71,-12.120789430490705,-1.1287147112309632,0.9493952605898286,-0.09843017662834992
72,-12.228930329853124,-1.0342673355426864,0.9377006106953156,-0.09843018127008837
73,-12.327684964344327,-0.9409894249710433,0.9231281445904213,-0.09843018590647515
74,-12.41718467090194,-0.8491687610578296,0.9060801542868293,-0.09843019053329374
75,-12.49758755104948,-0.759052896219954,0.8867022952383947,-0.09843019514670255
76,-12.569075733710983,-0.6708748173616681,0.86522437052672,-0.09843019974313229
77,-12.63185349540079,-0.5848445313202455,0.8428163238680334,-0.09843020431993364
78,-12.68614026609078,-0.5010550505532406,0.8223168310171979,-0.09843020887766919
79,-12.732150586906782,-0.4193155196060303,0.8071558271526509,-0.09843021342219875
80,-12.77006276057487,-0.33909208948721853,0.8002431162655523,-0.09843021796446898
81,-12.799987157934218,-0.2595599305842581,0.8032151691325361,-0.0984302225192481
82,-12.8219434810236,-0.17973056633341272,0.8161359970713861,-0.09843022710256048
83,-12.835852265684398,-0.09860911901411434,0.8378135728598041,-0.09843023172954854
84,-12.841540516285113,-0.01531991398661529,0.866841667774131,-0.09843023641297695
85,-12.838754706847425,0.07087210075521065,0.9019740011380167,-0.09843024116368776
86,-12.8271740335547,0.16057734898450246,0.9418945084699292,-0.09843024599033529
87,-12.806423234151444,0.25427464822250023,0.9851204226050028,-0.09843025089949874
88,-12.776086576974741,0.35229453932113713,1.029241335001994,-0.09843025589468146
89,-12.735727325428517,0.45472652203633057,1.0715275575748695,-0.09843026097507332
90,-12.684913441179289,0.56138712705329,1.1105050133325558,-0.09843026613628333
91,-12.623238612399106,0.6719454780149517,1.1447217555191354,-0.0984302713721266
92,-12.550336862353872,0.7859255033179462,1.1724790109783758,-0.09843027667342191
93,-12.46589832417364,0.9026812543564111,1.192636474610883,-0.09843028202897787
94,-12.369683422068315,1.0214527517969727,1.204313926661688,-0.09843028742580537
95,-12.261532981968307,1.1413919943821358,1.2074109151318284,-0.09843029285017334
96,-12.141373131900535,1.2616409356769387,1.202376697062045,-0.09843029828864838
97,-12.009213559973153,1.3813864551451476,1.1895321497533604,-0.09843030372857571
98,-11.865143656642582,1.4998475196434853,1.1695154026680818,-0.09843030915778621
99,-11.70932773226451,1.6163069093609623,1.143129525504484,-0.0984303145655858
100,-11.54199779815667,1.7301277112753908,1.1107021912316437,-0.09843031994203388
101,-11.363447918375845,1.8407057794606114,1.0732793679170187,-0.09843032527812172
102,-11.17402734853973,1.9475415652772128,1.0317532841067691,-0.09843033056679049
103,-10.974130825662387,2.050224742187934,0.9877142113814735,-0.09843033580234052
104,-10.764186181852905,2.1485040114409637,0.9438415049113738,-0.09843034098301075
105,-10.544632973548415,2.242396009551806,0.9027234189518991,-0.09843034611104642
106,-10.315896155483932,2.3321761985338405,0.8674114846419922,-0.09843035119326413
107,-10.078357881615075,2.418425193894395,0.8400066487182628,-0.09843035624091985
108,-9.832331733629402,2.501933705596149,0.8211535397597484,-0.09843036126728355
109,-9.578049002018261,2.5835569065356117,0.8104849542864421,-0.09843036628591116
110,-9.3156572914267,2.664113248879903,0.8075760633339241,-0.09843037130940659
111,-9.045224492834492,2.74437870225887,0.8120134431022514,-0.09843037635000293
112,-8.766742963438688,2.825087893887749,0.8223803941261474,-0.09843038141844009
113,-8.480138680677697,2.9068337809471685,0.8366401308752479,-0.098430386522622
114,-8.185288510654052,2.990005642022073,0.8525439450396425,-0.09843039166698885
115,-7.88204163614417,3.074767884922924,0.8675876912070887,-0.09843039685222517
116,-7.57024331901458,3.1610345028898554,0.8789261101107823,-0.09843040207471218
117,-7.24976164706748,3.2484349631035756,0.8838785720287595,-0.09843040732629939
118,-6.920515165767249,3.3363306697630803,0.8803738857999128,-0.09843041259502729
119,-6.5824966377586875,3.4238759081061545,0.8664963124954713,-0.0984304178658757
120,-6.235792970233383,3.510033389070254,0.8412751888880502,-0.09843042312117552
121,-5.880599657898908,3.5936687573919692,0.8055778239791683,-0.09843042834327664
122,-5.517221297346416,3.67373438912021,0.7604411909825708,-0.09843043351639567
123,-5.146062056136204,3.7492863573813766,0.7065466383951062,-0.09843043862592062
124,-4.767617091143998,3.8194488702447176,0.644691267640745,-0.09843044365850001
125,-4.3824651485804,3.883425845579987,0.5765657232182207,-0.09843044860248722
126,-3.991256137709983,3.940590266171167,0.5043718677000363,-0.09843045344973668
127,-3.5946916542783374,3.990535300931139,0.4297730435169846,-0.09843045819508849
128,-3.193505662077644,4.033020453052445,0.35418111540069336,-0.09843046283587262
129,-2.788449113611983,4.067946412072856,0.27904199442781985,-0.0984304673715991
130,-2.3802756661369044,4.095358458835944,0.20561633651639125,-0.09843047180410815
131,-1.969728138448808,4.115427939265676,0.1359585483827516,-0.098430476137466
132,-1.5575219528725208,4.1285316404616585,0.07293979076680258,-0.0984304803800993
133,-1.1443204911471305,4.13533346549429,0.018995256192100168,-0.0984304845445935
134,-0.7307085743189855,4.136740837140784,-0.024973815224268454,-0.0984304886465824
135,-0.3171757656745924,4.133751301716339,-0.05954042666604703,-0.09843049270156788
136,0.09588525628811509,4.1273051052267915,-0.08530007854224031,-0.09843049672412393
137,0.5081728608570995,4.118282943577327,-0.10271266945763086,-0.09843050072793084
138,0.9194711857478232,4.1075195229199295,-0.11225146916672091,-0.09843050472601197
139,1.329645471655455,4.095802222667072,-0.11547606256223857,-0.09843050872996086
140,1.7386319036640614,4.083762463540692,-0.11514110753184524,-0.09843051274775182
141,2.1464160356429374,4.071756200272468,-0.11393803342081678,-0.09843051678283489
142,2.553005557838973,4.0598702446529735,-0.11384498069948114,-0.09843052083491849
143,2.9584069543630442,4.04799359408044,-0.11502722996502687,-0.09843052490170892
144,3.3626147760066583,4.035998718213739,-0.11575916991303058,-0.0984305289824274
145,3.765619449137837,4.02393064810708,-0.11425317133793783,-0.09843053307932673
146,4.167424842217228,4.012013177916022,-0.11005243778348181,-0.09843053719660586
147,4.568059494450789,4.000515780887782,-0.10286490096149684,-0.09843054133860107
148,4.967580342816504,3.9897371375338273,-0.09219294357634779,-0.09843054551064347
149,5.366076688503569,3.9800256897232815,-0.07753204814123293,-0.09843054971855596
150,5.763675191704738,3.9717803314790947,-0.058474824957799286,-0.09843055396922826
151,6.160544444181836,3.9654406956773696,-0.03561269050494379,-0.09843055826930606
152,6.55689404607495,3.961387273212326,-0.009127754119637324,-0.09843056262453785
153,6.95297073029786,3.9599823442874307,0.021491544041899274,-0.09843056704113808
154,7.3490600175788785,3.9616393451339555,0.05655539870939578,-0.09843057152601489
155,7.745490325377596,3.966802731286114,0.09656806099123483,-0.09843057608658613
156,8.14263703440383,3.975967383574771,0.14217819026176096,-0.09843058073134701
157,8.540928258417246,3.989693048787122,0.1935389406181304,-0.09843058546944984
158,8.940848852516297,4.0085547890499456,0.25046788287625865,-0.09843059030996566
159,9.342940264280351,4.033109423660056,0.3123893566671137,-0.0984305952614322
160,9.747796744975107,4.06385620596004,0.37779951410623497,-0.09843060033079276
161,10.15605495627003,4.101144004155742,0.445096187272122,-0.09843060552221497
162,10.568378427034366,4.145161470190746,0.5120111810960329,-0.0984306108372127
163,10.985438218709575,4.195870436196314,0.5749088083880678,-0.09843061627232176
164,11.407883397515514,4.252869165279219,0.6306951749575672,-0.09843062181843963
165,11.83630738275493,4.3154465311973045,0.6775538461338477,-0.09843062746259408
166,12.271223393865018,4.382709764818374,0.7129237646258946,-0.09843063318879143
167,12.713042583700245,4.453509990296417,0.7347737016637664,-0.09843063897654414
168,13.162051049678283,4.526495209094654,0.7440981514093098,-0.09843064480468966
169,13.618404660725481,4.600412872389483,0.7434079683527859,-0.09843065065511744
170,14.082146585882422,4.674261517030925,0.735100905614035,-0.0984306565138312
171,14.553231841894943,4.747279454880141,0.7217005434516787,-0.09843066237052041
172,15.031551888995457,4.818957356083252,0.705987020969613,-0.09843066821933362
173,15.516961158867932,4.889063904581896,0.6905466861626725,-0.0984306740586164
174,16.009303878853125,4.957626419449776,0.6770917835189599,-0.09843067989043153
175,16.50843557481567,5.0248434440028005,0.6660666271117436,-0.09843068571839357
176,17.014233845847656,5.09095795302492,0.6571036314534423,-0.09843069154622974
177,17.52659875284448,5.156176162586835,0.649347417653667,-0.09843069737655188
178,18.045446699741852,5.2206187508729345,0.6419601692631695,-0.09843070321061917
179,18.570701968712694,5.284322614475409,0.6339484727167254,-0.09843070904827006
180,19.102287566971448,5.347225308437441,0.6245999070001069,-0.0984307148878178
181,19.640116692275317,5.409193145794196,0.6137926250487008,-0.098430720726986
182,20.184088565986332,5.470080254813971,0.6018924872061592,-0.09843072656364353
183,20.73408964965768,5.5297773499327665,0.5895249606949922,-0.09843073239656264
184,21.28999860790016,5.588237692014562,0.5780784209353134,-0.0984307382258821
185,21.8516963645469,5.645553380044832,0.568812693850409,-0.09843074405434245
186,22.419079358337246,5.701942495593434,0.561072862185303,-0.09843074988516
187,22.99206256420228,5.757557628234418,0.5531590396977919,-0.09843075571944382
188,23.570567717428215,5.8123813785644485,0.5442742669050831,-0.09843076155601024
189,24.154510822227856,5.866316651512431,0.5347515316168859,-0.09843076739353869
190,24.74379983998986,5.919299650894359,0.5248458861587808,-0.09843077323126614
191,25.338337628589915,5.971292085780423,0.5143352282424053,-0.09843077906847571
192,25.93802210735113,6.0222334549285135,0.50271346407895,-0.09843078490379717
193,26.542742614195706,6.072012647714876,0.48945995157608607,-0.09843079073503701
194,27.152374772802656,6.120466489300827,0.4740657912365667,-0.09843079655917372
195,27.766775348829974,6.167380914496378,0.4573069728317098,-0.09843080237306383
