t,dim_1,dim_2,dim_3,dim_4
1,0.10055478702510338,1.0100790904549293,-0.27256969471615977,-2.833177936349078e-5
2,0.2001558985902892,0.9828135279160217,-0.3374907186614663,-3.173068401495914e-5
3,0.2968082630437935,0.949075382173333,-0.5498371178142951,-2.0854960402674496e-6
4,0.38894256346756056,0.8940738227271364,-0.7306170552169049,-1.6424847530584804e-5
5,0.4747096409378091,0.8210428031504264,-1.2524148187863635,-3.7375100116475433e-5
6,0.5505447386563823,0.6957736743389544,-1.144444302965541,-6.214337698024008e-5
7,0.6143726521188441,0.581312542645466,-1.3386152254181183,-7.39036352991193e-5
8,0.6657574455018909,0.44750003243682374,-1.6050751833082952,-8.970507008347189e-5
9,0.7025151544142143,0.2869959426969832,-1.7922945301576647,-0.00014329784132708213
10,0.7222133496505073,0.10777843946857578,-2.100460948475492,-0.00015015128689601555
11,0.7224932658034383,-0.10226332820703822,-2.2140055467814044,-0.00012459719519611478
12,0.7012255410343263,-0.3236436539994662,-2.2441170047126517,-8.82231466210561e-5
13,0.6576418691770205,-0.5480129260130014,-2.2151582714202087,-0.0001099929327702236
14,0.5917818835353522,-0.7695543555658846,-1.8935787394559227,-0.00010297804118486443
15,0.50538385992096,-0.9589357565887033,-1.78411966521634,-7.229903966042366e-5
16,0.4005180724816619,-1.1373361372592021,-1.6619338424028087,-3.56598338070637e-5
17,0.27847814583591535,-1.3035221437886229,-1.2329509927664604,-5.536999021994745e-5
18,0.14193468985115001,-1.426826487992576,-1.1325258088836392,-8.817005827932462e-5
19,-0.006455417388132344,-1.5401059475769974,-1.3733611353386308,-0.0001095752103631091
20,-0.16733912452900562,-1.6774608202556625,-1.3457089174612977,-9.678891328997351e-5
21,-0.3417840064236841,-1.8120762028012454,-1.1772971453970351,-0.00011710427189512214
22,-0.5289006331225872,-1.9298263318573212,-1.0568025338244755,-0.00010651291144163211
23,-0.7271650190417364,-2.035504926728248,-0.5285245397049778,-0.00013231245224426622
24,-0.9333307126046453,-2.0883213308636375,-0.1499534879938743,-0.00014022159465974264
25,-1.1429227225066731,-2.1033190033352254,-0.4722920251308752,-0.00012026683838828537
