t,dim_1,dim_2,dim_3,dim_4
1,-0.2231103472542997,8.761304978366724,-7.739506081889718,0.15583475642091543
2,0.20528376635277715,8.374524467768683,-7.7325229302062635,0.1558347564264378
3,0.6143475858384744,7.988093114594688,-7.725525210684589,0.15583475643599992
4,1.0040985783850964,7.602011647558158,-7.718513230698112,0.1558347564494629
5,1.3745542632773442,7.216280779646207,-7.711558638953784,0.15583475646694206
6,1.7257321013665574,6.830897641279074,-7.704682142382798,0.155834756488811
7,2.0576493853044573,6.445858327340811,-7.69777320767005,0.1558347565152583
8,2.370323338212412,6.0611644598135515,-7.690650740122708,0.15583475654565326
9,2.663771506324794,5.676826715064238,-7.683083708455731,0.15583475657840834
10,2.9380122454414686,5.292867321326234,-7.674779224725105,0.1558347566105624
11,3.1930654007981136,4.909323150936602,-7.665384721210392,0.1558347566376023
12,3.428953089264824,4.526248704959549,-7.654499850729164,0.15583475665306154
13,3.6457006686707936,4.143718501385863,-7.641653639129037,0.1558347566483852
14,3.8433377971975053,3.76183060719475,-7.626266550582456,0.1558347566123337
15,4.021899767590626,3.380712066097713,-7.607705921618826,0.15583475653064938
16,4.1814290160064695,3.0005215549009714,-7.585251505550563,0.15583475638570882
17,4.32197681042252,2.62145376278268,-7.558085164015258,0.155834756156034
18,4.443605177038964,2.2437442858221113,-7.525296016713244,0.15583475581582873
19,4.546389059211635,1.8676742641589736,-7.4858875641987375,0.1558347553345189
20,4.630418698842866,1.4935746631549174,-7.438851479351207,0.15583475467646668
21,4.695802154545927,1.1218268643755653,-7.383192034177965,0.1558347538010543
22,4.742667795972209,0.7528620357691177,-7.317883854069439,0.15583475266261523
23,4.771166831299679,0.3871626140767,-7.241883287707652,0.1558347512102983
24,4.781475895466163,0.02526321864983984,-7.154155157280953,0.15583474938804615
25,4.7737996435789425,-0.3322497719864743,-7.0537546555539,0.15583474713479048
26,4.748373236365888,-0.6847427389466483,-6.93989780638664,0.155834744385144
27,4.705464501334788,-1.0315428648327865,-6.811887540820262,0.1558347410700755
28,4.645375768793867,-1.3719424786232057,-6.669084025515555,0.15583473711717757
29,4.56844555422453,-1.7052019175452242,-6.510969681480415,0.15583473245112722
30,4.4750500064459215,-2.030555639953446,-6.337151005378432,0.15583472699434625
31,4.3656040395079465,-2.347218428926359,-6.147366707307838,0.15583472066759277
32,4.240562161761015,-2.6543920032800146,-5.941456956636023,0.15583471339061938
33,4.100418988582432,-2.9512700901904063,-5.719332359330198,0.1558347050825362
34,3.945709571984387,-3.2370419475860936,-5.480887553294126,0.15583469566205904
35,3.7770096138284903,-3.510891564797174,-5.226011124100613,0.15583468504726053
36,3.5949357639553297,-3.7719973603477075,-4.954730262482247,0.15583467315598126
37,3.400145721253436,-4.019539112411537,-4.667203671301448,0.15583465990655587
38,3.193337993998596,-4.25270453425286,-4.363706508791128,0.1558346452183888
39,2.9752513579371436,-4.470695096848621,-4.04469338106147,0.15583462901266656
40,2.746663957874307,-4.67273500182572,-3.7107619979281767,0.15583461121328074
41,2.508391971347811,-4.858078336143806,-3.3626066226047704,0.15583459174731867
42,2.2612880035585863,-5.02601389975714,-3.00109912983729,0.15583457054575037
43,2.006239128775631,-5.175874086136767,-2.6273856962454007,0.155834547544542
44,1.744164382047387,-5.307048598022862,-2.242832453399109,0.15583452268603357
