t,dim_1,dim_2,dim_3,dim_4,dim_5
1,-0.11447827656134224,1.782028114642592,-1.0383040549517757,-0.15081562300624826,0.0029216199914901602
2,0.05850789238760825,1.6774441178345474,-1.0536553255711776,-0.15052346100773414,0.0029216199916216557
3,0.22095895392727202,1.571326454629139,-1.0676823348053965,-0.15023129900966675,0.002921619991822344
4,0.37272816216574267,1.4638075512276991,-1.079672535834721,-0.14993913701473346,0.0029216199922634384
5,0.513685579152106,1.3550910883107539,-1.0886723283497906,-0.14964697502676913,0.0029216199934405896
6,0.6437264013276259,1.2454761065547146,-1.092743962544519,-0.14935481305184178,0.0029216199963363523
7,0.7627854106746221,1.135455422309107,-1.0910202658902437,-0.14906265109874356,0.002921620002702846
8,0.8708510188917709,1.0256085686469474,-1.0842146362876472,-0.1487704891757722,0.0029216200151936864
9,0.9679660200148571,0.9164437387198712,-1.07255663684848,-0.14847832729009694,0.0029216200372773793
10,1.0542228779279395,0.8084461694021624,-1.0554875976267128,-0.14818616544883192,0.0029216200732046496
11,1.1297653734333981,0.7021569646084234,-1.0319093937334447,-0.1478940036600287,0.0029216201280944953
12,1.194796887930694,0.5982270408297289,-1.0006012404334634,-0.147601841933156,0.002921620208104348
13,1.2495919961122572,0.4974293933462525,-0.9614798118214317,-0.14730968027837246,0.0029216203206085894
14,1.2945029950553508,0.4005453497215138,-0.9156257748166561,-0.14701751870404653,0.0029216204742115357
15,1.3299549082768156,0.3082481708181752,-0.8642962239328714,-0.1467253572158075,0.0029216206785876862
16,1.3564338007917291,0.2210854079501298,-0.8085926264867834,-0.14643319581634975,0.002921620944285027
17,1.3744749843564703,0.13949446570760532,-0.7491815700085689,-0.14614103450590435,0.0029216212825525097
18,1.3846541775528172,0.06384609000539235,-0.6865622204412904,-0.14584887328270987,0.0029216217052298364
19,1.3875816791055668,-0.005538889896578012,-0.6211196307385187,-0.14555671214306545,0.0029216222246669084
20,1.3838979461295966,-0.0683781501670869,-0.5525186394319874,-0.1452645510818818,0.0029216228536702513
21,1.3742733381890289,-0.12435585038735,-0.48066413366864896,-0.1449723900934965,0.002921623605543825
22,1.3594102807133488,-0.17314663903851404,-0.40649943544323536,-0.14468022917009254,0.0029216244940937076
23,1.3400390157774584,-0.2145194967967025,-0.33144134004144127,-0.1443880683005818,0.002921625533484566
24,1.3169058024600768,-0.2483850837668954,-0.2577053550709031,-0.14409590746963863,0.0029216267380087063
25,1.2907547619324637,-0.27487561127923504,-0.18716564596159369,-0.14380374665684856,0.00292162812174676
26,1.2623074189124384,-0.29431070722188923,-0.11985629729552699,-0.14351158583885146,0.0029216296982878336
27,1.2322531607366936,-0.3070134075392949,-0.05517966190732326,-0.1432194249917138,0.002921631480707921
28,1.2012520626127667,-0.31324698338037693,0.0065915555528803915,-0.14292726409051867,0.0029216334816454903
29,1.1699365116279767,-0.3133019765318756,0.06460827076238312,-0.14263510310804461,0.0029216357132617887
30,1.138905594059704,-0.30755383726460955,0.11814782591420432,-0.14234294201454986,0.0029216381871143247
31,1.1087172330691828,-0.2964502812019391,0.1654387672666744,-0.14205078077750646,0.0029216409140256773
32,1.079875730913984,-0.2806161697059094,0.20346291730397534,-0.14175861935916362,0.002921643903797301
33,1.0528078102036227,-0.2609781819922344,0.22941466420647658,-0.14146645771604296,0.002921647164746099
34,1.027833497633344,-0.23874355856729038,0.24136090989484704,-0.14117429579995577,0.0029216507032643747
35,1.005142431590934,-0.21531284997739933,0.23930725760261748,-0.14088213356034165,0.0029216545235247545
36,0.9847842202421851,-0.19208604635919183,0.22565483480765272,-0.1405899709482142,0.002921658627487094
37,0.9666804755017514,-0.17022302472769557,0.20376386186340142,-0.14029780791931742,0.0029216630152636117
38,0.950653627630931,-0.15054764018346214,0.17716456271686268,-0.14000564443478997,0.0029216676856459
39,0.9364613671101989,-0.13353072501413002,0.14862928351722218,-0.13971348046128698,0.0029216726366574886
40,0.9238281687996269,-0.11936587706203865,0.11939683130637604,-0.13942131596872404,0.0029216778659869828
41,0.9124653406996467,-0.10812281352390196,0.089886495149999,-0.13912915092852765,0.002921683371195866
42,0.9020793160456971,-0.0998293227993638,0.06022416920628518,-0.1388369853127137,0.0029216891497925736
43,0.892374378455339,-0.09450060395689283,0.0308499244181417,-0.13854481909392702,0.00292169519926072
44,0.8830554903808358,-0.09210784889399168,0.002543742440186374,-0.13825265224610542,0.0029217015171298807
45,0.8738343956903868,-0.0925442513357608,-0.02383492418407582,-0.1379604847447514,0.002921708101096911
46,0.8644378152893916,-0.09561705966073887,-0.04765621800580649,-0.137668316566865,0.002921714949159327
47,0.8546148963136553,-0.10107053658845593,-0.06853894355400124,-0.13737614769038334,0.0029217220597158263
48,0.8441422626063475,-0.10861082507743638,-0.08674995596687628,-0.13708397809367437,0.0029217294316219744
49,0.832824593746764,-0.11797075381686987,-0.10319429102528863,-0.1367918077541028,0.002921737064147633
50,0.8204887622303902,-0.1289736553872912,-0.11775789661421791,-0.13649963664820985,0.002921744956854222
51,0.806979870938466,-0.14143145680929947,-0.12941685320131568,-0.13620746475378376,0.002921753109611554
52,0.7921669560742712,-0.15505369344447612,-0.1364060741527392,-0.13591529205061112,0.002921761522759393
53,0.7759569146870033,-0.16937339118013683,-0.1378332130949687,-0.13562311852124526,0.002921770197368339
54,0.7583078170367209,-0.18383434186215394,-0.1343498751766887,-0.1353309441478287,0.0029217791353736665
55,0.7392300916311345,-0.1979454979929658,-0.1258460472357386,-0.1350387689117585,0.002921788339501803
56,0.7187838178419907,-0.21120481050533643,-0.111798763463905,-0.13474659279487802,0.002921797813283296
57,0.6970818964505414,-0.2230579336651327,-0.0923325823163794,-0.13445441577906808,0.002921807561122344
58,0.6742920419694521,-0.23296297769268412,-0.06814756077157734,-0.13416223784501669,0.002921817588277799
59,0.650632657706119,-0.24044805862526553,-0.039806001043577545,-0.13387005897177764,0.0029218279007607014
60,0.6263665212363925,-0.24509752257898734,-0.007805166294673525,-0.13357787913707572,0.0029218385052433363
61,0.6017954880404279,-0.24654544172676873,0.02616718304243672,-0.13328569831643391,0.0029218494089629002
62,0.5772495734304941,-0.24459466461053977,0.05944078087335091,-0.13299351648089688,0.0029218606194542918
63,0.553065156632396,-0.2393150667171996,0.09043014647579245,-0.13270133359706934,0.0029218721441503746
64,0.5295636957249584,-0.23093507132191213,0.11879672340508968,-0.1324091496295103,0.0029218839901304916
65,0.5070421155153947,-0.21971695724415177,0.14424959282300226,-0.13211696454164995,0.0029218961640502927
66,0.4857696594841881,-0.2059520952019939,0.16627978822015987,-0.1318247782956027,0.002921908672091673
67,0.46598388945947805,-0.1899827526044202,0.1843325497120359,-0.13153259085197805,0.0029219215198835915
68,0.44788536443775223,-0.172206672659695,0.19734228690048844,-0.13124040216968474,0.0029219347124071426
69,0.4316295448757219,-0.15312815780002098,0.20371807162185418,-0.13094821220485517,0.0029219482538248615
70,0.4173135084689884,-0.1334106036703723,0.2031591161445848,-0.13065602091136055,0.00292196214725037
71,0.4049664793906602,-0.11374748408332978,0.196002619966145,-0.13036382824329404,0.0029219763946915552
72,0.3945500310126285,-0.09479855335444294,0.18274761627373376,-0.13007163415484133,0.0029219909970982054
73,0.3859622467865754,-0.07717366196779682,0.1638688016735357,-0.12977943860129715,0.0029220059544393206
74,0.3790426082869046,-0.06143519120292492,0.1396408334742411,-0.12948724153818017,0.002922021265776772
75,0.37357572712315346,-0.04811805655221614,0.11138907274437895,-0.12919504292242803,0.002922036929325879
76,0.36929935102287675,-0.03762463743112572,0.08140859069375966,-0.12890284271402927,0.00292205294266642
77,0.3659224619995746,-0.030127805851210755,0.052174844592336025,-0.1286106408772667,0.002922069303099315
78,0.36314913941863186,-0.025552888540801743,0.026847516120184385,-0.1283184373808307,0.002922086008049401
79,0.360706716476191,-0.023509243313532033,0.008324933926072479,-0.1280262321991366,0.002922103055558373
80,0.35837608998012577,-0.02331639514648378,-0.0029999314123468654,-0.127734025309407,0.002922120444718626
81,0.3560081721452199,-0.024254572292482825,-0.008107981130961357,-0.12744181668820495,0.0029221381757511744
82,0.35352094497969144,-0.025702093173939684,-0.008167308465926802,-0.12714960631031522,0.0029221562498645687
83,0.3508887188844595,-0.027154085652980994,-0.004025890512698709,-0.12685739414869115,0.0029221746690747397
84,0.3481320497185869,-0.028190475230349555,0.003930391088666427,-0.12656518017515672,0.002922193436071224
85,0.34531157378360905,-0.02842977573993675,0.016085533354535882,-0.12627296436112462,0.0029222125541595325
86,0.34252799098863734,-0.027452100983722555,0.0330907638805838,-0.1259807466787796,0.00292223202731587
87,0.33992725114993005,-0.024772442188787686,0.055410405480481546,-0.12568852710064804,0.002922251860285299
88,0.3377061206533462,-0.01985935789333605,0.08262636507438044,-0.12539630559915743,0.0029222720586467377
89,0.3361124272907846,-0.012223216308574147,0.11330621349668778,-0.12510408214439336,0.002922292628744321
90,0.3354357982953069,-0.0015176287680830377,0.14678794071478654,-0.12481185670395945,0.002922313577481999
91,0.3359971849344686,0.012537592663691895,0.18297287223838982,-0.12451962924438716,0.0029223349122148618
92,0.33814506652276227,0.03021276848309199,0.22144478459874517,-0.12422739973106897,0.0029223566407216013
93,0.3422528725041435,0.05173659692969482,0.26115870664221325,-0.12393516812752534,0.0029223787711337677
94,0.34871168006109937,0.07723327894079574,0.30074456541421885,-0.12364293439437532,0.00292240131177262
95,0.3579181351606795,0.10669000806576967,0.33938143662724124,-0.1233506984895758,0.002922424270941572
96,0.37026349402390685,0.1400118857807479,0.37597681567787994,-0.12305846036901906,0.002922447656783906
97,0.38612406834953333,0.17699476267172135,0.40940013614015636,-0.12276621998564667,0.002922471477111089
98,0.40585009405641514,0.21732143305293802,0.4386683985893208,-0.12247397729023574,0.002922495739224336
99,0.42975517627467413,0.2605763911893418,0.46212260660468724,-0.12218173223063132,0.0029225204497463735
100,0.45810307613376305,0.3061782314414983,0.47858291744615755,-0.12188948475152568,0.0029225456143713827
101,0.49109350796539675,0.3534275643356809,0.486795926894381,-0.12159723479546206,0.0029225712376688756
102,0.5288499887687087,0.4014996595523684,0.4853868840439088,-0.12130498230207021,0.002922597322882496
103,0.5714066823445564,0.4494323118988277,0.47350692780195924,-0.12101272720905848,0.002922623871718704
104,0.6186972891767057,0.4961784301396285,0.44994777022950216,-0.12072046945237239,0.002922650884199129
105,0.6705447599554243,0.5405700942350552,0.4129680566840627,-0.12042820896558794,0.0029226783584649562
106,0.7266465513003679,0.5812652482001168,0.3618310658533367,-0.1201359456800834,0.0029227062905187997
107,0.7865622216515122,0.6168481643350359,0.29700863804882077,-0.1198436795277705,0.0029227346741095396
108,0.8497121195294638,0.6459502990227216,0.21872085686712592,-0.11955141044178354,0.0029227635007883653
