t,dim_1,dim_2,dim_3,dim_4,dim_5
1,0.07246843750456092,0.3381121574024528,0.6808765067615139,0.013611795667079013,1.6989997719456291e-6
2,0.05173385067373401,0.26534774067687134,0.616626364333177,0.013588288873364763,1.6979997722286905e-6
3,0.037740219872375164,0.205596270008562,0.5535833776786664,0.013564816049697805,1.696999772797649e-6
4,0.028693626350554648,0.15747218744652813,0.4926917723662309,0.013541377176125202,1.6959997737196598e-6
5,0.02315547175994811,0.1195507604445995,0.43497749092776056,0.013517972232728773,1.6949997751203208e-6
6,0.02000186886438335,0.09039581796997416,0.3814096011998581,0.013494601199627075,1.693999777215878e-6
7,0.018381543461788018,0.06859806318973724,0.3327940467233616,0.013471264056973988,1.692999780346439e-6
8,0.017673285701155873,0.05281552923812703,0.2897035068947101,0.013447960784954196,1.6919997850077415e-6
9,0.017444349328050487,0.04181001872214824,0.25244332715390605,0.013424691363776862,1.6909997918797466e-6
10,0.017411221718088867,0.034475546895384984,0.22104988172236112,0.013401455773667787,1.6899998018508206e-6
11,0.017403985722235563,0.029856759328436663,0.19531509121746332,0.013378253994860562,1.6889998160367144e-6
12,0.017335162420222577,0.02715691252619888,0.1748293935680191,0.01335508600758753,1.6879998357940082e-6
13,0.01717354067132518,0.025736230627855967,0.15903520505273885,0.013331951792070515,1.6869998627279181e-6
14,0.016923124716360382,0.025102270527580465,0.14728358017934662,0.01330885132851195,1.6859998986946673e-6
15,0.016607006016389373,0.024894369061591502,0.13888808280495782,0.013285784597086528,1.6849999457988102e-6
16,0.01625571377768676,0.02486436575774384,0.133171511894082,0.013262751577933505,1.6840000063860098e-6
17,0.0158994294422651,0.024855665957083963,0.1295028198281109,0.013239752251150047,1.6830000830319257e-6
18,0.015563361800908407,0.024782409973044175,0.12732311836124466,0.013216786596785338,1.682000178527818e-6
19,0.015265561464573182,0.024610118514527504,0.1261609556975009,0.013193854594835724,1.6810002958636085e-6
20,0.015016491743511419,0.024338756764782615,0.12563800132814737,0.013170956225240928,1.6800004382090747e-6
21,0.01481975119670128,0.023988749300883527,0.12546688100346473,0.013148091467881085,1.6790006088937932e-6
22,0.014673445181574062,0.023590120366651736,0.12544319059977097,0.013125260302574831,1.6780008113864882e-6
23,0.014571815419952203,0.02317464929769943,0.12543373871193797,0.013102462709078173,1.6770010492743016e-6
24,0.014506846389208112,0.022770726994022474,0.125362890499423,0.01307969866708391,1.6760013262424525e-6
