t,dim_1,dim_2,dim_3,dim_4,dim_5
1,0.10050359880384206,1.0099812189363129,-0.25780079482083784,-7.944006729276268e-5,-5.694883293099001e-5
2,0.20026200347561854,0.9841459490530041,-0.07025635477089945,-8.685139238561426e-5,-8.143906988287148e-6
3,0.2983220308220989,0.977054616738252,0.09269768306955574,-0.00010498977648806865,-6.061296349082748e-5
4,0.39646319772730926,0.9863361214240787,-0.13588825287918027,-0.0001094664596678487,8.509762443401013e-6
5,0.49440493874416025,0.9727219345293893,-0.35890087657522846,-0.0001076652624499689,-3.9566627212276074e-5
6,0.5898541421719674,0.9368352707801589,-0.0452967365997185,-0.00011448327635539288,6.169475315490046e-6
7,0.6833324312969008,0.932265596946377,0.11805310434449842,-9.047529659710522e-5,8.378852657524525e-5
8,0.7771947747597397,0.9440402528956917,-0.5897727394685671,-0.00011551982919203834,9.306345801852964e-5
9,0.868648777813343,0.885039690543586,-0.8046266565429032,-7.885769152131849e-5,7.557116337738082e-5
10,0.9531173078667214,0.8045836218197727,-0.48081312992483366,-8.702255360882658e-5,6.825169098624464e-5
11,1.03120247218005,0.7564773173432391,-0.2692497986236165,-7.253397179451971e-5,9.263544399513505e-5
12,1.1055411537009838,0.7295347654701521,-0.31130070885091127,-7.324325984974971e-5,5.5278641233848004e-5
13,1.176967897002705,0.6983991237559586,-0.4337726576324127,-8.366865499352628e-5,4.280322718117994e-5
14,1.2446189609434986,0.6550048846543453,-0.686553788765748,-8.32407874840821e-5,4.164482477485533e-5
15,1.306755810411206,0.5863775871065856,-1.1097703659807365,-8.793980043148613e-5,1.6095942383146898e-5
16,1.3598979898710333,0.4753886111588947,-0.8095642405101338,-4.735770338317583e-5,-2.579772576912828e-6
17,1.4034240946874388,0.3944366803683935,-1.0598991867401737,-3.717179594794858e-5,-2.2944691896269637e-5
18,1.4375396859923404,0.28843296223668896,-1.2651361303243736,-6.438643106630257e-5,-2.7785137644353556e-5
19,1.4600386018221212,0.16192138039124737,-1.432260471340523,-9.40060880059022e-5,1.1089800504501622e-5
20,1.4690525804234278,0.018707340084763616,-1.1724204181329372,-8.484723065522694e-5,3.5480464700829845e-5
21,1.4650323702750274,-0.0984911650924306,-0.9300763727643416,-7.721226432559184e-5,5.995756977101881e-6
22,1.4505287886975171,-0.19152471240681243,-0.7311872944032975,-5.0933800219135904e-5,7.58097659343649e-6
23,1.4277777617301672,-0.2646377511018202,-0.27644630498821987,-3.28848272558333e-5,1.7847977021323092e-5
24,1.3999687610741813,-0.2922697342090573,-0.2614502635652924,-3.344621398393984e-5,-1.2673528866028498e-6
25,1.3694323005960651,-0.3184306930001212,-0.6281071024374447,4.0303119234620804e-5,8.852084238257995e-6
26,1.334438665135559,-0.38124567631130984,-0.5572968252976125,9.314270048674811e-5,7.83877401710834e-6
27,1.2935119357306903,-0.43692594208284236,-0.36009017810838395,7.670165040517393e-5,-1.2028337760522036e-5
28,1.24804033755986,-0.47289682292023305,-0.1244318529939028,7.332985147809928e-5,1.3194811489002428e-5
29,1.200120364183812,-0.4852831511702138,0.49877809648239163,3.905813493130247e-5,-4.641133280220598e-5
30,1.1541139399510314,-0.4354333469797643,0.6309349490941689,1.6049200563337353e-5,-4.048694061814394e-5
31,1.1137165191504717,-0.37237331516371847,0.3647884637516968,5.638406140826983e-5,-5.592457546140541e-5
32,1.0783371399493178,-0.33588500850749836,0.45649484501938586,8.450527216745352e-5,-3.4669621624278625e-5
33,1.046949044122914,-0.2902319439678769,0.18285820784687495,8.603836442368804e-5,-1.0286619848677478e-5
34,1.0188710496389086,-0.2719338868382896,0.25032403622371024,4.397931470243791e-5,-4.7479912194555755e-5
35,0.9929612413003962,-0.24690536659308515,0.2390312581426332,9.32316907650912e-6,-2.1223537581969686e-5
36,0.9694706626321797,-0.22300288052672101,0.25935898381821154,-3.342092140407136e-5,-2.0942429812620784e-5
37,0.9484754596458564,-0.19707552890157093,0.35654217095433016,-4.501777369203097e-5,7.48689778297733e-7
38,0.9305737729601694,-0.16146642900790348,0.7725597221500551,-4.871719439897212e-5,5.932656456794549e-6
39,0.9182477770189976,-0.08422505576456238,0.24654936858368504,7.5815003056807145e-6,6.673208001870487e-6
40,0.9110613375697385,-0.05956622607981492,0.18333970588633844,-2.1465954703501163e-5,4.29637184247121e-5
41,0.9060478330488475,-0.04117418312692691,-0.11117041081007634,-4.464335962304663e-6,8.263931784616347e-5
42,0.9013253782534704,-0.05230465004788248,-0.3996858831669087,2.456530014023176e-5,4.950263711800863e-5
43,0.894081605717766,-0.09227111837825755,-0.587858764601323,4.73854365306637e-5,5.031971578356508e-5
44,0.8819011677001316,-0.15102325221914203,-0.5131862138358234,4.8978881879191415e-5,1.854139595172373e-5
45,0.8643169876842056,-0.20234035367739622,-0.31851973419239066,2.9057701330381973e-5,5.2892338917748515e-5
46,0.842519024397217,-0.23417489312294962,-0.019456148771853032,5.7837782306536224e-5,9.186167789107037e-5
47,0.8189764989706912,-0.2361605037406625,-0.060654717386157145,6.204990969126112e-5,0.00016767906242832917
48,0.7949888731954858,-0.2421680162476377,-0.16091498119470504,0.0001204200286952002,0.000161971642714653
49,0.7699966699682954,-0.2581947064449759,-0.18402716401838282,0.00017296806895986314,0.00014754755490065875
50,0.7432669706313825,-0.2765423401520836,0.07330027031878608,0.0001756840872976273,0.0002046667894228966
51,0.7159325982982627,-0.2692152007036186,0.13754524594334022,0.00023532894978509154,0.0001866271470092213
52,0.68972015418541,-0.25546005899823193,-0.008949472539419634,0.0002746921203983949,0.00021878311330469615
53,0.664134004805816,-0.2563890538582231,-0.15812391087903854,0.0002792202105427788,0.0002156626130531913
54,0.6376149466667282,-0.2721416691650008,-0.46042015635746736,0.0003260190031911234,0.00021001055249688614
55,0.6080897973048394,-0.3181395778542715,-0.6279406959167119,0.0003757221458141327,0.00023395388505063802
56,0.573133537712365,-0.38096574775473574,-0.3638103938187063,0.00040006541706311317,0.00022457404035393025
57,0.5332404732310051,-0.4173226072081876,-0.15395623188135113,0.0004434326033131189,0.0002177794592818936
58,0.4907198652880405,-0.4327089214322799,-0.007234719985662941,0.0004912309954287362,0.00024424545996089514
59,0.44740048789396264,-0.43347988678119703,0.22893178527865277,0.0005600326923901169,0.0003065619625477719
60,0.40523409348041983,-0.4105539882363039,0.38429286461427725,0.0006130917870687222,0.00029913701602872196
61,0.3661354742542761,-0.3721900003952525,0.8206070213646801,0.0007150593001134958,0.0002656309481277717
62,0.33300888842505844,-0.29009470870035914,0.6615753584437747,0.0007922440700330414,0.00024500100279994843
63,0.3073283955455538,-0.22397868214943467,0.6688222399326071,0.0008187447645899328,0.00021270300554268506
