t,dim_1,dim_2,dim_3,dim_4,dim_5
1,-0.2351498006994502,8.806045105141441,-7.774736730106757,0.17446745071098682,-0.0008016597627371715
2,0.19543766529657203,8.417526336480213,-7.76687184120478,0.1744273677286519,-0.0008016597629321774
3,0.6066090210637934,8.029400762407853,-7.759186817215916,0.17438728475098736,-0.0008016597635306066
4,0.9983837046889116,7.641659389622874,-7.751791451158762,0.17434720177914806,-0.0008016597647935513
5,1.3707805638415016,7.2542877351890125,-7.74477165095398,0.1743071188147641,-0.0008016597670535875
6,1.7238176211347522,6.8672670204663,-7.738116557355314,0.17426703585969822,-0.000801659770734621
7,2.0575119647494313,6.480579009923128,-7.731678151362647,0.17422695291536194,-0.0008016597763483464
8,2.3718799566307185,6.094212869098184,-7.725237826888731,0.17418686998220642,-0.0008016597844587484
9,2.6669376922951398,5.7081686938528176,-7.718541037936541,0.17414678705946068,-0.0008016597956279823
10,2.942701593215562,5.3224593072176125,-7.711269226158604,0.17410670414492413,-0.0008016598103523166
11,3.199189114895007,4.937113460275805,-7.703040979948118,0.17406662123459335,-0.000801659828982447
12,3.436419637864513,4.552178974290831,-7.693345818011153,0.17402653832230058,-0.0008016598516267627
13,3.65441555792638,4.167729194885268,-7.681517775356221,0.17398645539886748,-0.0008016598780231467
14,3.853203773415363,3.7838707660860553,-7.666847719662215,0.17394637245166364,-0.0008016599073749402
15,4.032817412502789,3.4007457881299015,-7.648520481301227,0.17390628946436693,-0.0008016599381721865
16,4.193297709655106,3.018537120212635,-7.625632720050073,0.17386620641633935,-0.0008016599679883517
17,4.334696184783386,2.6374727883534055,-7.597265406526375,0.17382612328254365,-0.0008016599932558985
18,4.457076899904838,2.2578267702518264,-7.562489703556182,0.17378604003346484,-0.0008016600090368078
19,4.5605187843558905,1.8799194853080008,-7.520380269754748,0.17374595663522485,-0.0008016600087904269
20,4.645117937331107,1.5041176202225484,-7.470033573660685,0.1737058730496505,-0.0008016599841425739
21,4.7109899258324015,1.1308330382976546,-7.410632840308494,0.17366578923468937,-0.0008016599246612161
22,4.7582719360239425,0.7605184413606485,-7.341399417464774,0.17362570514485898,-0.0008016598176509407
23,4.787124757797144,0.3936654638616179,-7.261539778792094,0.173585620731394,-0.0008016596479576112
24,4.797734758067959,0.03080541640852488,-7.170208593346611,0.17354553594219993,-0.0008016593977685746
25,4.7903159182917,-0.3274881236194597,-7.066525053041182,0.17350545072171547,-0.000801659046402125
26,4.765111999523277,-0.6805975382006306,-6.949688376809433,0.17346536501119134,-0.000801658570090156
27,4.722398649771805,-1.0278651702762176,-6.819033348519959,0.17342527874936395,-0.0008016579417779228
28,4.662485236173677,-1.3686001022342813,-6.6739629679613515,0.17338519187324844,-0.0008016571309574785
29,4.58571640772027,-1.7020815661923252,-6.513950122970532,0.17334510431849562,-0.0008016561035175918
30,4.492473512546363,-2.0275624384922613,-6.338644471525573,0.17330501602026582,-0.0008016548216151154
31,4.383175701567841,-2.3442780786415764,-6.1478477018707895,0.17326492691424142,-0.0008016532435855013
32,4.258280602367534,-2.6514539306634757,-5.9414210014307605,0.17322483693744525,-0.0008016513238934194
33,4.118284738663562,-2.9483084977977305,-5.719297859015197,0.17318474602858325,-0.0008016490130962977
34,3.963723798291274,-3.2340569578765668,-5.481484855063768,0.17314465412870042,-0.0008016462578282228
35,3.7951726948245996,-3.5079148175488557,-5.228075001701189,0.17310456118174442,-0.0008016430008025707
36,3.6132454551244346,-3.7691022341088822,-4.959289329232448,0.173064467135293,-0.0008016391808352368
37,3.4185948281864498,-4.016850416719227,-4.675378822998453,0.17302437194128398,-0.0008016347328990323
38,3.211911671968197,-4.250403123320812,-4.376658372349044,0.1729842755561904,-0.0008016295881859457
39,2.993924274357331,-4.469019856404879,-4.063608338512452,0.17294417794190917,-0.0008016236741880478
40,2.765397348466004,-4.671984136646817,-3.736823128830025,0.17290407906671543,-0.0008016169148175561
41,2.5271306904105724,-4.858609205314582,-3.3969241742802416,0.17286397890572522,-0.0008016092305521321
42,2.2799576443316907,-5.028239374793894,-3.044611362899765,0.17282387744132696,-0.0008016005385934962
43,2.0247434767526746,-5.18025395208454,-2.68071774229902,0.17278377466384928,-0.000801590753040925
44,1.7623834428877194,-5.314073896546659,-2.306161568314507,0.17274367057236054,-0.0008015797851009207
45,1.4938006024313024,-5.4291660803251425,-1.9219531226511888,0.17270356517508612,-0.0008015675433140849
46,1.2199434118521746,-5.525047889804874,-1.52915775783407,0.17266345849011233,-0.0008015539338096891
47,0.9417831182647944,-5.601289978734435,-1.1289228271376939,0.1726233505457048,-0.0008015388605716346
48,0.6603110068582965,-5.65752036851155,-0.7225469982075431,0.17258324138096975,-0.0008015222257253845
49,0.3765353411057151,-5.693432014035524,-0.3114540414813325,0.17254313104685692,-0.0008015039298652365
50,0.09147796028380388,-5.708789059010215,0.10290775775989407,0.172503019606451,-0.0008014838724049988
51,-0.19382932505009948,-5.7034280611276085,0.5190672381407359,0.17246290713511378,-0.0008014619519413501
52,-0.47834836058365443,-5.677259136401378,0.9355246723638634,0.17242279372075595,-0.0008014380666216147
53,-0.761038376037024,-5.630267387284972,1.3508338105073967,0.17238267946376806,-0.0008014121145171357
54,-1.0408596764057267,-5.562510228185381,1.7634850109814464,0.1723425644768906,-0.0008013839939867674
55,-1.3167773044680693,-5.474120556046373,2.1718839872237075,0.17230244888584584,-0.0008013536040558319
56,-1.5877649529922984,-5.365310981982473,2.57442686637179,0.17226233282935174,-0.0008013208448121563
57,-1.8528089427153243,-5.2363743109656875,2.969514543220337,0.17222221645916636,-0.0008012856178068675
58,-2.1109122360830987,-5.087683303313558,3.3556276492719213,0.17218209993975753,-0.0008012478264522827
59,-2.3610983407354795,-4.919686687455449,3.7312696919783326,0.17214198344793552,-0.0008012073764040278
60,-2.602415065879253,-4.732908016408297,4.0948789793594775,0.17210186717285456,-0.0008011641759361586
61,-2.8339383410251906,-4.5279489282217265,4.444927195249604,0.17206175131608167,-0.0008011181363299534
62,-3.054776103441773,-4.3054874764139655,4.779942997053243,0.17202163609101997,-0.0008010691722547374
63,-3.2640720217422596,-4.066275281818961,5.0984737306515555,0.17198152172270514,-0.0008010172021373795
64,-3.461009163884077,-3.811136598038246,5.399147451817782,0.17194140844734176,-0.0008009621485240942
65,-3.644813521817028,-3.5409642761271765,5.680749112244755,0.1719012965114819,-0.0008009039384208555
66,-3.814757262228572,-3.2567119191302205,5.942174789074217,0.17186118617107646,-0.0008008425035994894
67,-3.9701616095931445,-2.9593883259221196,6.182247092905829,0.17182107769111205,-0.0008007777808766447
68,-4.110399684738407,-2.6500611653010564,6.39975052666129,0.17178097134580433,-0.0008007097124074601
69,-4.234899520355225,-2.329858880920106,6.593545286077821,0.17174086741816008,-0.0008006382459874075
70,-4.343146994630178,-1.999966906718644,6.762585938851832,0.1717007661992783,-0.0008005633353367129
71,-4.434688566105618,-1.6616229482307452,6.905934776595665,0.17166066798751853,-0.0008004849403612691
72,-4.509133751202936,-1.316111596366175,7.022745976081017,0.17162057308767878,-0.0008004030273872358
73,-4.566157345141908,-0.9647597335537124,7.112344251041166,0.17158048181014585,-0.0008003175693715881
74,-4.605501351219412,-0.6089280059006291,7.174155732789258,0.17154039446962333,-0.0008002285460714977
75,-4.6269765020167215,-0.25000575333157327,7.207645213259153,0.17150031138470365,-0.0008001359441899217
76,-4.630463672984123,0.11059092378567473,7.212422064198228,0.17146023287696133,-0.0008000397575066868
77,-4.615915034754176,0.4714263937247039,7.188236890671544,0.17142015926985693,-0.0007999399869761415
78,-4.583354845545142,0.8310525547792527,7.135026505858907,0.17138009088764813,-0.0007998366407889881
79,-4.53287985398239,1.1880181459857773,7.052951480744976,0.17134002805391596,-0.0007997297343869498
80,-4.464659171638317,1.5408799350444016,6.942346808132277,0.17129997109020897,-0.0007996192904238377
81,-4.378933656240468,1.8882114395737508,6.803623894578737,0.17125992031501458,-0.0007995053386836971
82,-4.276014960731598,2.2286067470665794,6.637314608548084,0.17121987604307962,-0.0007993879159773258
83,-4.156284386156244,2.560686538850558,6.4440819994371275,0.1711798385842246,-0.000799267066008655
84,-4.020191358482237,2.883104648524996,6.2246670982848356,0.17113980824261774,-0.0007991428392103781
85,-3.8682516891120406,3.194551961213132,5.979945658141733,0.17109978531586112,-0.000799015292557291
86,-3.701045554509609,3.4937631498632022,5.710892239980459,0.17105977009407503,-0.000798884489348748
87,-3.5192151762004844,3.7795216154899776,5.41853280845897,0.17101976285918083,-0.0007987504989650427
88,-3.323462320846298,4.050662057241148,5.10396541664009,0.1709797638843597,-0.0007986133966112689
89,-3.1145456496430395,4.306074076920504,4.7683846317444045,0.17093977343328629,-0.0007984732630417712
90,-2.8932778517547715,4.544707004759193,4.413064393851841,0.17089979175942166,-0.0007983301842622259
91,-2.660522554876931,4.765573867931979,4.03935668286351,0.17085981910537182,-0.0007981842512110202
92,-2.4171910451700622,4.9677552925383095,3.6487243507380023,0.17081985570217956,-0.0007980355594206974
93,-2.164238754002692,5.150405047459066,3.2427129960187573,0.1707799017685413,-0.0007978842086525486
94,-1.9026614830084243,5.312754181221135,2.8229755231516487,0.17073995751022988,-0.0007977303025099324
95,-1.6334914273940133,5.454116387898988,2.3912612346074793,0.1707000231192761,-0.0007975739480253976
96,-1.3577929060130522,5.5738928267649195,1.949316064380482,0.17066009877359095,-0.0007974152552250568
97,-1.0766579928006619,5.671571953638236,1.4989022952661428,0.17062018463685877,-0.0007972543366921083
98,-0.7912021358442782,5.746730338315224,1.041877533218644,0.1705802808581066,-0.0007970913071241985
99,-0.5025596420884416,5.799037431194739,0.5801592925297151,0.1705403875711287,-0.0007969262828700402
100,-0.2118789374080864,5.828258558112258,0.115718361534731,0.17050050489424134,-0.000796759381450157
101,0.07968226892998694,5.83425758470044,-0.3494467351635508,0.17046063292989236,-0.0007965907210648137
102,0.3709619748919268,5.816998302412762,-0.8133024431777781,0.1704207717645994,-0.0007964204200936842
103,0.6607988928565127,5.776546180867843,-1.2737892281372054,0.17038092146865327,-0.0007962485965883271
104,0.9480375974092173,5.7130696661331895,-1.7288655659747352,0.1703410820962501,-0.000796075367758066
105,1.2315336257084082,5.62683928079182,-2.176518530202271,0.17030125368551144,-0.0007959008494594562
106,1.510158559997507,5.518226193923364,-2.614884851429897,0.17026143625905027,-0.0007957251556960066
107,1.7828048805822128,5.387694737723064,-3.0422054850252787,0.17022162982478634,-0.0007955483981510687
108,2.0483904796880554,5.235797196438669,-3.4566923557455658,0.1701818343762377,-0.0007953706857456973
109,2.3058630877283184,5.063175258456887,-3.8565777824534613,0.17014204989250054,-0.000795192124192274
110,2.5542047394207357,4.870558996083897,-4.240174340401375,0.1701022763387761,-0.0007950128155540097
111,2.7924360741538816,4.658762853137096,-4.605908994765529,0.17006251366695235,-0.0007948328578237519
112,3.0196204269862146,4.428679925089657,-4.95237023302172,0.1700227618165804,-0.0007946523445318094
113,3.234867555043874,4.18127388281033,-5.278229086901118,0.1699830207157256,-0.0007944713643913123
114,3.43733705359674,3.91757484568118,-5.582206487585524,0.16994329028148136,-0.0007942900009653944
115,3.626241625928324,3.638676886464614,-5.863083139809724,0.16990357042052914,-0.0007941083323475585
116,3.8008501906178287,3.3457350432487853,-6.119825058584721,0.1698638610298929,-0.0007939264308594505
117,3.9604907332401718,3.03995605280329,-6.351582248842448,0.16982416199839087,-0.0007937443627924006
118,4.104552621625538,2.7225891519369316,-6.557618222233542,0.16978447320749757,-0.0007935621881933657
119,4.2324886196912885,2.3949204014799874,-6.737282523169143,0.1697447945323057,-0.0007933799606803872
120,4.343816594894213,2.0582683852747334,-6.889969945663608,0.16970512584203407,-0.0007931977272789601
121,4.438121103965542,1.713981947516546,-7.015192209391498,0.16966546700081073,-0.0007930155282723813
122,4.515054757545511,1.3634343464034533,-7.112588089622201,0.16962581786862416,-0.0007928333970797248
123,4.57433927927645,1.0080169014283014,-7.1819346706123195,0.16958617830232092,-0.000792651360165889
124,4.615766239255526,0.6491320778376273,-7.223153639081026,0.16954654815667766,-0.0007924694369859578
125,4.639197435414041,0.2881862561745176,-7.236211131221982,0.16950692728529623,-0.0007922876399635674
126,4.644565009675231,-0.07341248932686466,-7.221151139117657,0.1694673155410752,-0.00079210597448307
127,4.631871467140835,-0.434258284258576,-7.178165267984752,0.1694277127772782,-0.0007919244389019956
128,4.601189363694502,-0.7929548345240043,-7.107524681901243,0.16938811884842578,-0.0007917430245977121
129,4.5526607265341585,-1.1481194040591505,-7.009610392154846,0.16934853361105653,-0.0007915617160355543
130,4.486496249144829,-1.4983883074805169,-6.884927138555258,0.16930895692473122,-0.0007913804908646338
131,4.402974177732478,-1.842423096480039,-6.734053214022533,0.16926938865284757,-0.0007911993200427672
132,4.302438952929774,-2.1789142372244528,-6.557662114432143,0.16922982866335035,-0.0007910181679815999
