t,dim_1,dim_2,dim_3,dim_4,dim_5
1,0.015576333481190467,0.08684709409104402,0.21126260751076964,0.008632499595845633,3.300570691044398e-6
2,0.012891479623999752,0.07616933002327342,0.20044804578008807,0.008618650184515915,3.299570691252644e-6
3,0.010703190562509159,0.06653798654944305,0.18970608953047535,0.008604817273552173,3.2985706916119704e-6
4,0.008939023204873083,0.05789586132445394,0.1790697241917099,0.008591000857963427,3.2975706921364155e-6
5,0.007534046083931633,0.05018488253742571,0.16858013814186362,0.00857720093276647,3.2965706928506454e-6
6,0.006430429689467299,0.043346085737246215,0.15828402612285322,0.008563417492987224,3.2955706937967723e-6
7,0.005577029506679581,0.0373197792805957,0.14823108126234752,0.008549650533661853,3.2945706950422825e-6
8,0.004928959705838118,0.0320458515520852,0.13847170256323182,0.008535900049837333,3.293570696688676e-6
9,0.004447157740933826,0.027464177732781196,0.12905494861090222,0.008522166036571752,3.2925706988805867e-6
10,0.004097941856365113,0.023515088610374955,0.12002676560748912,0.008508448488934188,3.2915707018150624e-6
11,0.0038525647366390277,0.020139868728645285,0.11142851103479678,0.008494747402004335,3.290570705750815e-6
12,0.0036867673302461114,0.01728125601643231,0.10329578513317074,0.008481062770871937,3.2895707110172854e-6
13,0.0035803372994800773,0.01488391984097678,0.09565757238413677,0.008467394590635882,3.2885707180232536e-6
14,0.0035166766551881605,0.012894899109126907,0.08853568535070451,0.0084537428564033,3.2875707272650297e-6
15,0.0034823829886125378,0.011263986503823032,0.0819444942981099,0.008440107563288394,3.2865707393339354e-6
16,0.0034668483673566063,0.009944049110898882,0.07589091846814368,0.008426488706411155,3.2855707549231117e-6
17,0.003461879470513316,0.008891279493680529,0.0703746489813477,0.008412886280896021,3.284570774833533e-6
18,0.0034613419456508343,0.008065374656852288,0.06538856919674937,0.008399300281870595,3.2835707999792335e-6
19,0.0034608313188826227,0.007429643270509015,0.06091933594521975,0.008385730704464014,3.2825708313916116e-6
20,0.0034573721142989516,0.006951043981242045,0.05694808425350627,0.008372177543805781,3.2815708702229726e-6
21,0.003449146170604305,0.006600159616746267,0.053451218810757574,0.008358640795024009,3.2805709177490633e-6
22,0.0034352505053088945,0.0063511136055637366,0.0504012572772323,0.008345120453244231,3.2795709753708854e-6
23,0.00341548448931767,0.006181436008307326,0.04776769335484781,0.008331616513587901,3.2785710446155865e-6
24,0.0033901655712649695,0.006071887225277172,0.04551785108660967,0.008318128971171039,3.2775711271365694e-6
25,0.0033599723408567627,0.006006247749396708,0.04361770588969663,0.008304657821103054,3.2765712247128624e-6
26,0.0033258133490871025,0.005971082319851891,0.042032652136366304,0.008291203058485314,3.2755713392476906e-6
27,0.0032887198121709744,0.005955486550332904,0.04072820148227478,0.008277764678410213,3.274571472766466e-6
28,0.0032497601140359556,0.005950823606987525,0.03967060043595121,0.008264342675959931,3.273571627414084e-6
29,0.003209973885413908,0.005950457844794679,0.03882735972879108,0.008250937046205544,3.2725718054516823e-6
30,0.0031703233702076086,0.005949491524249518,0.0381676917743156,0.008237547784206007,3.2715720092528577e-6
31,0.0031316597847010274,0.00594450986683891,0.037662855820898886,0.008224174885007495,3.27057224129951e-6
32,0.0030947024242020515,0.005933338807014968,0.03728641325259076,0.008210818343642493,3.269572504177172e-6
33,0.003060028366208375,0.005914818894631052,0.03701439785205366,0.008197478155129305,3.268572800570118e-6
34,0.0030280707503649077,0.005888597924053702,0.036825407702971755,0.008184154314471365,3.2675731332561035e-6
35,0.0029991237746936905,0.005854944038034187,0.03670062679000782,0.008170846816656873,3.266573505100965e-6
36,0.0029733527266007044,0.005814580294184691,0.03662378528014883,0.00815755565665837,3.265573919052988e-6
37,0.0029508075583891684,0.005768541002798634,0.03658106797908537,0.008144280829432412,3.2645743781371817e-6
38,0.0029314387135916326,0.005718049555353149,0.03656098059710563,0.00813102232991936,3.2635748854494795e-6
39,0.002915114106389987,0.005664416967682525,0.03655418328264621,0.00811778015304324,3.2625754441509453e-6
40,0.002901636346654539,0.005608959961243047,0.03655330044251423,0.008104554293711635,3.2615760574619575e-6
41,0.0028907594835629593,0.005552937097699287,0.03655271522032852,0.008091344746815695,3.260576728656485e-6
42,0.0028822047081305314,0.005497501261323713,0.03654835620142923,0.008078151507230052,3.2595774610564234e-6
43,0.00287567460694114,0.005443666643596523,0.036537483003133975,0.008064974569813109,3.2585782580261264e-6
44,0.002870865694361514,0.00539228831655863,0.03651847643835382,0.008051813929407037,3.2575791229670323e-6
45,0.002867479067725938,0.005344052476764014,0.036490637948628286,0.00803866958083798,3.2565800593124875e-6
46,0.0028652291292055577,0.0052994754903378655,0.03645400202333547,0.00802554151891632,3.255581070522807e-6
47,0.002863850399677825,0.005258909961904408,0.03640916438389314,0.008012429738436917,3.254582160080523e-6
48,0.002863102514684754,0.005222556176400743,0.03635712783743899,0.007999334234179478,3.253583331485936e-6
49,0.002862773541658581,0.005190477413979836,0.03629916691084261,0.007986255000908656,3.2525845882527885e-6
