t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,0.07382598011328166,0.35787498949608987,0.746226152899957,0.07012697300432966,0.00025549468306946144,4.0923308878645627e-7
2,0.052311109752866874,0.2788510905603867,0.6705209367212243,0.06942718474723707,0.0002538202394425004,4.082330888205357e-7
3,0.037923243351848726,0.21446401922007868,0.5972591449167406,0.06873421784490258,0.0002521539704855861,4.0723308890030164e-7
4,0.028719859340271478,0.16301393787375065,0.5274035044152255,0.06804802231943058,0.00025049585620037394,4.0623308904903504e-7
5,0.023157597123905742,0.12279723405389278,0.4619766580314413,0.06736854843772849,0.00024884587659001513,4.052330892964712e-7
6,0.02004225734636069,0.09213517219746907,0.40191421898036217,0.06669574671091415,0.00024720401165999594,4.0423308968381425e-7
7,0.018478485757812593,0.06941252189954042,0.3479570483216462,0.06602956789370196,0.00024557024141894947,4.0323309027093607e-7
8,0.017820206602389872,0.05311730302058365,0.30058458526329024,0.06536996298377934,0.0002439445458793904,4.0223309114573034e-7
9,0.017623202033108156,0.04187537659076867,0.2599873733164969,0.06471688322117494,0.00024232690505832024,4.012330924354661e-7
10,0.017601218113473593,0.034476008270886226,0.22607354728607104,0.06407028008761585,0.00024071729897762021,4.0023309431979547e-7
11,0.017586736056262972,0.029886615734193336,0.19850170087687788,0.06343010530589056,0.00023911570766428183,3.9923309704516493e-7
12,0.01749718237779305,0.027256591856273694,0.17673146472006954,0.06279631083920341,0.00023752211115038408,3.98233100940161e-7
13,0.017306946016005135,0.02591132813316927,0.16008319896860707,0.06216884889053541,0.00023593648947287354,3.972331064314598e-7
14,0.017025185103464534,0.025338350744651836,0.1477991836844443,0.06154767190200697,0.00023435882267313366,3.962331140599804e-7
15,0.016679081274267343,0.025167867661972102,0.13910025084036262,0.060932732554245965,0.00023278909079635726,3.952331244968778e-7
16,0.016301957012711178,0.025150078485812216,0.13323362785489,0.060323983765759204,0.0002312272738907364,3.9423313855904704e-7
17,0.015925518400073724,0.02513140244869616,0.1295095877473351,0.059721378692311644,0.00022967335200650468,3.932331572238725e-7
18,0.015575417073321048,0.02503141969056964,0.12732612877248137,0.05912487072631124,0.00022812730519485166,3.9223318164297e-7
19,0.01526932902240355,0.024821875310030755,0.12618221447141145,0.05853441349619938,0.0002265891135067179,3.912332131547239e-7
20,0.015016807541312046,0.024508630918907003,0.12568103879409429,0.057949960865849776,0.00022505875699153276,3.902332532955152e-7
21,0.014820265363927486,0.02411701476728904,0.12552534055300332,0.057371466933969786,0.00022353621569587247,3.8923330380949257e-7
22,0.014676559722834468,0.02368065270351767,0.12550701675217832,0.056798886033510326,0.00022202146966210376,3.8823336665688894e-7
23,0.014578779027336716,0.023233576639636797,0.12549323933288137,0.05623217273108146,0.00022051449892701225,3.8723344402083823e-7
24,0.014517949459347758,0.02280521014101196,0.12541103928772407,0.05567128182636878,0.00021901528352042798,3.8623353831272166e-7
25,0.014484485852706383,0.022417717589062493,0.12523196048057872,0.055116168351558456,0.00021752380346388728,3.8523365217611115e-7
