t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,0.10048288732348717,1.0099980563911386,0.14410705179533906,2.6714119565550066e-6,7.854503844306027e-6,-4.354784538714388e-5
2,0.2022386539437819,1.0243919546133702,0.309908246886346,9.657738247974828e-6,5.324331050626544e-5,-4.054119544478574e-5
3,0.30620987116308895,1.0554269784605126,0.03950547542014049,2.2863157810982968e-5,-4.976304123200169e-6,-4.406279612037021e-5
4,0.41201383584558954,1.0593681814611198,0.08081937477582771,4.980483652990643e-6,2.8862384162798973e-5,-5.378721936551173e-5
5,0.5183747932696767,1.0674020613549955,0.433030315287318,2.551305448022963e-5,4.804490749127512e-5,-3.820826824228575e-5
6,0.6272946965852054,1.110684529526532,0.47997714519419543,4.402025497013107e-5,6.170081887940989e-5,1.3099936204610395e-6
7,0.7408131066244261,1.1587027580784015,0.4383822833736369,0.00011838682601666775,-3.336697622518777e-6,1.5656244458200214e-5
8,0.8589122323296425,1.2025209928040024,0.31587143925507866,0.00011565858817475133,2.0973706722183627e-5,1.2751282211979733e-5
9,0.9807019350007177,1.2340652187739871,0.5364337094279683,0.00020179379335260317,4.7386701228086275e-5,3.3388865419138457e-6
10,1.1068071294151294,1.2877094810726912,0.29534098938257436,0.0002276623326885518,5.5768947370985776e-5,-2.3720868303834693e-5
11,1.2371105902290327,1.3172338323888124,0.34695431331850907,0.00018508138223763334,7.338880054617693e-5,-1.799522741414184e-5
12,1.370641496038515,1.3519512975444565,0.7622061198281447,0.00019736174425864097,6.836857530625399e-5,-2.259466074652352e-5
13,1.5096439970704632,1.4281546322977772,0.3863642689722129,0.00024294215274236184,6.158676218896619e-5,-3.098319316861884e-5
14,1.65440791073591,1.4668238926881563,0.43021778374540587,0.0002449462502834295,2.5331770275952416e-5,-1.8088476928350356e-5
15,1.8032616979349096,1.5098572205664897,0.36298704167404033,0.0002733383259102051,2.236431024673618e-5,-3.572762875110304e-5
16,1.9560587981150752,1.5461555148423596,0.13546544053491197,0.00025500154734334424,-6.608767332218018e-6,-3.0218339672056325e-5
17,2.111305521358718,1.5596951586711636,0.017265024440495297,0.0002221391481982904,-2.34782872482928e-5,-1.0142739507479682e-5
18,2.2673811584876122,1.5613993402387045,-0.11870335139935276,0.00026720877151157,-1.020738044096836e-6,2.4758539220377787e-5
19,2.4229106069421538,1.5495157377181696,0.02713562819043279,0.0002669573315804358,1.2678835551710479e-5,5.5315451942040644e-5
20,2.5780215050432496,1.5522551917644494,-0.07101426400692114,0.00028993535526308485,-2.3406952124365914e-5,6.311991173264507e-5
21,2.732820578779769,1.5451147847409585,0.24577148103155458,0.0002924919738754329,1.699801068249603e-5,8.057787408411051e-5
22,2.888553460200398,1.5696810501225267,0.40278410439228574,0.0002741500527763267,6.123222096384591e-5,8.312272944803651e-5
23,3.0475500654492866,1.6099421127582498,0.49660834062356696,0.00026101719662112747,0.00010049578524989886,4.8408383024371004e-5
24,3.2109856566169226,1.6596142253958615,-0.0205232552802333,0.00020225914621299862,0.00017165419816941703,3.339855417328906e-5
25,3.376900779433188,1.6575732289015306,-0.023954720290626223,0.0002747069035920779,0.00011906833709635415,-1.9638760632767767e-5
26,3.5425753043192674,1.6551838380720783,-0.2139577452657029,0.000287867779999905,0.00011100416134936079,-4.9830996341709185e-5
27,3.7070385453931505,1.6337512914231285,-0.09039178727508757,0.000275235243973689,0.00011791419530005072,-4.550932017214005e-5
28,3.8699529666701684,1.6247219706061558,-0.392081465148301,0.00035000314391841906,0.00012959406535369679,-5.385219358548487e-5
29,4.030497297670204,1.5855465138349178,-0.5822771621820173,0.0003771422147714181,0.00019573387899751103,-5.651953537296609e-5
30,4.186144532605435,1.5273151888455445,-0.38354336333153355,0.0003896521130577463,0.0001855793422461172,-8.256177461780618e-5
31,4.336959190897951,1.4889444224403736,-0.8588622119106049,0.00038665596447483086,0.00014863552374149997,-0.00011180582035447365
32,4.4815502141078065,1.4030619070830848,-1.1351174950677185,0.00042122543057022824,7.390238949848141e-5,-0.0001369201299297891
33,4.616111500394159,1.2895364939876204,-1.2803138893337975,0.0005026336942522333,2.5986821018710582e-5,-0.000166127136039009
34,4.738725532290953,1.1615311851249301,-1.3446191458604617,0.00047542632622449093,2.6346099085689328e-5,-0.00016286753284340273
35,4.848181465521533,1.027108790776943,-1.4214012530058984,0.0005372499406044611,-1.9246716558566523e-5,-0.00021230209549034161
36,4.943816649407522,0.8849796534931724,-1.6669746930057296,0.0005410808345423719,-4.425644310823152e-6,-0.00019399375798896125
37,5.023977189949087,0.7182649835940658,-1.8744671702101474,0.0004811987838506671,-6.849592574856404e-5,-0.00019996086204813177
38,5.086400579533737,0.5308100637503671,-1.9685085357608143,0.0004822012128409263,-9.362926078527623e-5,-0.00021283497601955046
39,5.129638243448389,0.33395590001463965,-1.6191478057725543,0.0004657910624513532,-0.00014827453991423642,-0.00020748295932343755
40,5.154943424916699,0.1720534945339199,-1.8188517993131992,0.0004017566939430566,-0.00013525779631763226,-0.00012631275615701909
41,5.163067651677106,-0.009805418505242802,-2.1374558715345673,0.00038437800979182517,-0.00015995506599806607,-0.00021505753039352077
42,5.151392453293881,-0.22354027729715598,-2.0437941788575578,0.0003739815861592505,-0.0001583169761639977,-0.00020494976842340182
43,5.118841575892974,-0.4279129902747436,-2.3270698372338137,0.0003623134016494927,-0.00015702925306894264,-0.00020212784147693297
44,5.0643610344826016,-0.6606310457598913,-2.2247319302231703,0.0003954053142892743,-0.00020482769896550303,-0.00020519246202827296
45,4.9871857395689165,-0.8830973221918923,-1.8435860648329174,0.0003637392708895963,-0.00021654295398772385,-0.00023486092548981403
46,4.889629419271969,-1.067482504456168,-1.8989766508716883,0.0003620886166314955,-0.0002477384809604129,-0.00021551599878441574
47,4.773417183216497,-1.2573627065291924,-2.1608767458799263,0.0003632511059711673,-0.0002664616351591615,-0.0002079244011084907
48,4.636892736251174,-1.47343741739237,-2.124433422644999,0.00036055689012431485,-0.00035671327607394857,-0.00023490597482307417
49,4.478938679729987,-1.6858743066882025,-1.9266078874698065,0.0003180456344424544,-0.00036815502033611723,-0.0002710551062785199
50,4.300713237421643,-1.8785454884433388,-1.7655271637830472,0.0002836786708439113,-0.0004704440375176025,-0.0002803068256582599
51,4.104032710762213,-2.055101879143231,-1.8003456539870462,0.0001902610874220209,-0.0005464989921137291,-0.0003058899366033464
52,3.8894725397564387,-2.2350533508853294,-1.8182753490208408,0.00010308155452129355,-0.0005429462380748295,-0.00037850626989000875
