t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,2.8391074327883614,3.165841395520124,-1.31332099594892,-0.45426077564583023,0.0402549512368637,-0.0010105262365517208
2,2.995748398517173,3.099608358142275,-1.3428985168285132,-0.45224929124563373,0.04020442492564852,-0.001010526236587343
3,3.1490407836720213,3.031898957933973,-1.3714645332279713,-0.4502403331603277,0.04015389861460751,-0.0010105262366581394
4,3.2989120322218124,2.962763767007068,-1.3973904176304006,-0.4482339013900811,0.04010337230370837,-0.0010105262367720886
5,3.4452941548214713,2.892334788845269,-1.4201194624599216,-0.4462299959351843,0.040052845992931733,-0.0010105262369359714
6,3.5881264584447115,2.8207718622942153,-1.4399113929447094,-0.44422861679594094,0.04000231968227298,-0.001010526237156079
7,3.727355914856237,2.74822184004589,-1.458955586660956,-0.4422297639725402,0.039951793371740894,-0.0010105262374389616
8,3.862934105763669,2.6747221058198005,-1.4815437882112876,-0.4402334374648409,0.039901267061346564,-0.0010105262377918963
9,3.9948091170552686,2.600095456027825,-1.5119730790340988,-0.43823963727223636,0.03985074075108201,-0.0010105262382224883
10,4.122914801094313,2.523949833032157,-1.553868836724263,-0.4362483633937196,0.0398002144408986,-0.001010526238737196
11,4.247160878407317,2.445711910199046,-1.609034025207589,-0.43425961582798456,0.0397496881306888,-0.0010105262393388366
12,4.367426147186677,2.3647182126972015,-1.6760108566647727,-0.43227339457371605,0.03969916182027892,-0.00101052624002344
13,4.483558050380158,2.2803781552719715,-1.7523391175974872,-0.43028969962986136,0.03964863550943491,-0.0010105262407769711
14,4.595377581547332,2.1922241632988246,-1.8362817249632302,-0.42830853099554295,0.03959810919787379,-0.0010105262415726097
15,4.702684526961463,2.0998755162560454,-1.9256722719490666,-0.4263298886701298,0.03954758288527625,-0.001010526242368623
16,4.80526234266232,2.0030598140239904,-2.018064027544744,-0.42435377265322094,0.039497056571295854,-0.001010526243106595
17,4.902883925882827,1.9016269929558431,-2.1105301467372652,-0.4223801829447177,0.039446530255574194,-0.0010105262437103922
18,4.995318323823221,1.7955733318479121,-2.201069380477336,-0.4204091195448097,0.039396003937754644,-0.0010105262440856847
19,5.082336908087693,1.6849951716963663,-2.287870373396995,-0.4184405824538745,0.03934547761749576,-0.001010526244120222
20,5.163718122315723,1.5700794214736211,-2.368763314628626,-0.4164745716725132,0.03929495129447877,-0.001010526243684462
21,5.239252475576429,1.4511214805174963,-2.4415850018571796,-0.41451108720156116,0.03924442496842275,-0.0010105262426328369
22,5.30874794641929,1.32852490832794,-2.502566759871676,-0.41255012904216026,0.03919389863909353,-0.0010105262408054692
23,5.372037402364274,1.2028816982042918,-2.5473793470008523,-0.4105916971958835,0.039143372306326536,-0.001010526238030702
24,5.428988724787795,1.0750003054363526,-2.5704684568334177,-0.40863579166481206,0.039092845970047765,-0.0010105262341286666
25,5.479517158933524,0.9459669006304332,-2.5638639890598385,-0.40668241245173586,0.039042319630304564,-0.001010526228916066
26,5.523602212536372,0.8172661598374008,-2.522386715021359,-0.4047315595601475,0.0389917932873012,-0.0010105262222126678
27,5.561304113681926,0.6906417203446239,-2.4464981275757296,-0.4027832329937633,0.03894126694142744,-0.0010105262138495848
28,5.59276969146544,0.5678141447994389,-2.3399295438175387,-0.4008374327560769,0.03889074059325517,-0.0010105262036780734
29,5.61822714130016,0.45031742988084233,-2.2083259003986577,-0.3988941588500486,0.03884021424351892,-0.0010105261915778006
30,5.63797430044005,0.3394033254127165,-2.0575774204850377,-0.39695341127796524,0.038789687893084915,-0.0010105261774639067
31,5.652364229633866,0.23602907009901014,-1.894013202380184,-0.39501519004151336,0.03873916154292258,-0.0010105261612926545
32,5.661789940228535,0.1408354477649544,-1.725318531802851,-0.3930794951416083,0.038688635194067865,-0.0010105261430654706
33,5.666666880673694,0.05407897776046291,-1.5586625952523048,-0.39114632657829673,0.038638108847581586,-0.00101052612283119
34,5.667414359431595,-0.024342279855246205,-1.3987975089690134,-0.38921568435093684,0.03858758250450984,-0.001010526100686379
35,5.664440647174255,-0.09476787076841123,-1.2492931232264286,-0.387287568458496,0.03853705616586338,-0.0010105260767743344
36,5.658132577646184,-0.15771583324583224,-1.1125335127441909,-0.38536197889955043,0.03848652983259148,-0.0010105260512827316
37,5.648848101100867,-0.21382340928294463,-0.9889874374617209,-0.383438915672511,0.03843600350557063,-0.0010105260244407416
38,5.636912717403094,-0.26375127874790705,-0.8788205488684955,-0.38151837877566674,0.03838547718559497,-0.0010105259965155799
39,5.62261868876544,-0.3081684041292766,-0.7828543399680031,-0.3796003682072638,0.03833495087337888,-0.0010105259678092205
40,5.6062238015336,-0.3477848225680436,-0.7019758658830267,-0.3776848839653914,0.03828442456954677,-0.001010525938654748
41,5.587949230065723,-0.38335492389790665,-0.6378874840715258,-0.37577192604800197,0.03823389827462929,-0.00101052590941267
42,5.567976309507116,-0.41571821617342103,-0.5896217288147401,-0.37386149445296607,0.0381833719890567,-0.001010525880466855
43,5.546445592256492,-0.44566583367719464,-0.5552320163469403,-0.37195358917831917,0.03813284571315564,-0.0010105258522202204
44,5.523460523130249,-0.47389158181276425,-0.5339573760473338,-0.37004821022209117,0.03808231944715882,-0.0010105258250909595
45,5.499090797803301,-0.5010512172576611,-0.5248239490297931,-0.36814535758260997,0.03803179319121884,-0.0010105257995092535
46,5.473374548802013,-0.5277518039180649,-0.5269142300309447,-0.3662450312580777,0.037981266945395734,-0.0010105257759137423
47,5.446320696887342,-0.5545545303375164,-0.5384664150227866,-0.36434723124702256,0.037930740709677724,-0.0010105257547487782
48,5.417912305762929,-0.581932494764364,-0.5592425725643605,-0.3624519575478971,0.0378802144839737,-0.0010105257364615
49,5.388109087912049,-0.6103468990949493,-0.5889813610152329,-0.36055921015939246,0.037829688268132884,-0.0010105257214997815
50,5.356848017269707,-0.6402458781072282,-0.6251480592187789,-0.3586689890799987,0.03777916206192115,-0.0010105257103093792
51,5.324046828378681,-0.6719508304321178,-0.6644730787775699,-0.35678129430886707,0.03772863586506437,-0.0010105257033325146
52,5.2896112734355905,-0.7056196752215123,-0.7047690938803304,-0.3548961258453173,0.03767810967724237,-0.0010105257010062276
53,5.253441945570165,-0.7413009654142435,-0.7447064971262878,-0.3530134836889032,0.03762758349811048,-0.0010105257037620193
54,5.215438671758737,-0.7789767736308179,-0.7822304953332181,-0.3511333678392577,0.03757705732729952,-0.0010105257120255945
55,5.175504743073452,-0.8185264328461065,-0.8137624299449151,-0.34925577829640964,0.037526531164434954,-0.0010105257262173508
56,5.1335539525066585,-0.8596503428829111,-0.8367814100621653,-0.3473807150606731,0.03747600500914782,-0.0010105257467532868
57,5.08951823089519,-0.9019228591309899,-0.8512006918365129,-0.3455081781325444,0.03742547886109186,-0.0010105257740469276
58,5.043350901569685,-0.9449139999912287,-0.855503826481838,-0.3436381675127057,0.0373749527199501,-0.001010525808511583
59,4.995028670350942,-0.9881179610211739,-0.849200152988388,-0.34177068320178966,0.03732442658542458,-0.0010105258505623534
60,4.94455416176771,-1.0310044050819251,-0.8334374099927965,-0.33990572520059364,0.037273900457260575,-0.0010105259006191996
61,4.891955072204471,-1.0731003818039198,-0.808654965326709,-0.3380432935096739,0.037223374335221444,-0.0010105259591090831
62,4.837282198647518,-1.113954909161523,-0.7771583538670277,-0.33618338812957305,0.037172848219098636,-0.0010105260264685568
63,4.78060600920289,-1.1532322820219947,-0.7418778232791202,-0.3343260090604516,0.037122322108690854,-0.0010105261031455829
64,4.722010091823644,-1.1907433076549292,-0.7043079544753936,-0.3324711563022868,0.03707179600379564,-0.001010526189600971
65,4.661585626881152,-1.2263735224450558,-0.6634224499217523,-0.3306188298552467,0.03702126990420939,-0.0010105262863092707
66,4.599430800302608,-1.2599571479450697,-0.6142758904723102,-0.32876902971949273,0.03697074380970919,-0.001010526393759021
67,4.535658258473752,-1.291081134283134,-0.55318043209209,-0.32692175589594874,0.036920217720097764,-0.0010105265124546025
68,4.470405924900504,-1.3191480396594693,-0.48007492982085603,-0.32507700838553244,0.03686969163520554,-0.0010105266429185629
69,4.4038416644341485,-1.343557364941382,-0.39621106771015496,-0.3232347871891557,0.03681916555489772,-0.0010105267856947312
70,4.336161804574129,-1.3637711952285807,-0.304828008768404,-0.32139509230763036,0.03676863947907198,-0.00101052694135123
71,4.267585522573443,-1.3794135739492257,-0.20860598182652107,-0.3195579237413223,0.0367181134076303,-0.0010105271104825684
72,4.198347438801062,-1.3902425559296987,-0.10801674468303535,-0.3177232814904985,0.03666758734047286,-0.0010105272937113207
73,4.1286936800976966,-1.396039783788441,-0.003052758805442521,-0.3158911655553499,0.03661706127748656,-0.0010105274916891664
74,4.058881302130046,-1.3965865231961763,0.10531562075796273,-0.3140615759360643,0.03656653521854919,-0.00101052770509809
75,3.989177088081367,-1.3917125577420815,0.2169155078474595,-0.3122345126328216,0.036516009163524654,-0.0010105279346513832
76,3.9198561110115913,-1.3812563152475723,0.3334778388501351,-0.31040997564587713,0.03646548311225721,-0.0010105281810943835
77,3.8512036874419526,-1.3649696766980894,0.4575054876648472,-0.3085879649756122,0.036414957064574566,-0.0010105284452054217
78,3.7835206674874753,-1.3424793793199565,0.59128383194143,-0.3067684806227939,0.03636443102030788,-0.0010105287277975663
79,3.7171294229513303,-1.3132978914843334,0.7364291473331737,-0.30495152258831765,0.036313904979293675,-0.0010105290297206502
80,3.6523787185364105,-1.2768568676055705,0.8920901811778001,-0.3031370908732188,0.03626337894138475,-0.0010105293518640345
81,3.589644683512806,-1.2326305251248197,1.0576377981860876,-0.30132518547834003,0.03621285290644094,-0.0010105296951593188
82,3.529328931711468,-1.1801245377339202,1.2311931555798716,-0.29951580640449355,0.036162326874323907,-0.0010105300605828937
83,3.4718554631937115,-1.1189385216732337,1.408352165234058,-0.29770895365218963,0.036111800844890546,-0.0010105304491583652
84,3.417662780763005,-1.0488922974322539,1.585278770931871,-0.2959046272214351,0.036061274817958636,-0.0010105308619577599
85,3.367193607545983,-0.969997488475105,1.7587860918853644,-0.29410282711197333,0.036010748793296646,-0.0010105313001021884
86,3.3208860972365755,-0.882425062236095,1.9274951980265211,-0.2923035533231982,0.03596022277059326,-0.001010531764761098
87,3.2791681293286827,-0.7864149324755022,2.088814037397422,-0.2905068058545292,0.03590969674946129,-0.0010105322571514923
88,3.242452352487767,-0.6823366156202766,2.237606128801097,-0.28871258470494926,0.03585917072941089,-0.0010105327785361392
89,3.211126515448658,-0.5708164520505749,2.3657270019077288,-0.28692088987269354,0.03580864470981834,-0.001010533330220977
90,3.18553688014612,-0.4528880060968348,2.4660313105901532,-0.2851317213552731,0.035758118689893974,-0.0010105339135510554
91,3.1659690877091298,-0.3299421092841643,2.536318851552443,-0.28334507914965884,0.0357075926686353,-0.001010534529904116
92,3.152636487887247,-0.2034796032134759,2.576876503226343,-0.2815609632530032,0.03565706664482726,-0.0010105351806834592
93,3.145677746279959,-0.0749869854415595,2.587887179113955,-0.27977937366247135,0.03560654061702862,-0.0010105358673100583
94,3.1451574373742166,0.05405839201611357,2.56956768845288,-0.2780003103752239,0.03555601458357217,-0.0010105365912149917
95,3.151066533771673,0.18219001773709798,2.522200854249091,-0.2762237733886122,0.035505488542571476,-0.0010105373538320129
96,3.1633230401586823,0.3079555213739966,2.445451612314336,-0.2744497627001021,0.035454962491921545,-0.0010105381565900851
97,3.1817719219956064,0.4298857793885761,2.3390604322280226,-0.27267827830718216,0.035404436429292516,-0.0010105390009058088
98,3.2061843666799668,0.5464986916139596,2.203934071923478,-0.27090932020749636,0.03535391035213409,-0.001010539888175954
99,3.2362585875040395,0.6563574957994379,2.0432257781299143,-0.26914288839903655,0.03530338425768018,-0.0010105408197699707
100,3.2716249004186073,0.7581830920896353,1.8613748296383341,-0.2673789828802679,0.035252858142962716,-0.0010105417970229617
101,3.311855218419651,0.8509183444806797,1.6644642508554919,-0.2656176036504503,0.035202332004845384,-0.0010105428212298982
102,3.3564761997712522,0.9338102681865227,1.4613302225418605,-0.26385875070967807,0.03515180584004657,-0.0010105438936407634
103,3.404987894422562,1.0065476876717478,1.2609880422832824,-0.2621024240591878,0.03510127964519143,-0.0010105450154579128
104,3.4568860678378415,1.069270192234336,1.0705899339377671,-0.26034862370116285,0.0350507534168561,-0.001010546187835578
105,3.5116824070594608,1.1224749822276305,0.8976723680204673,-0.258597349638752,0.03500022715161277,-0.0010105474118815587
106,3.5689228762749363,1.1670360815661536,0.7514066762326302,-0.25684860187608605,0.03494970084606521,-0.001010548688660589
107,3.628208601260192,1.2042860809736045,0.639419692150158,-0.2551023804183939,0.034899174496900214,-0.0010105500192000008
108,3.6892168736426676,1.2359389129378064,0.5640027606403076,-0.2533586852716168,0.034848648100925965,-0.0010105514044974697
109,3.751713553241922,1.26382307690609,0.5245437505622788,-0.2516175164417381,0.03479812165507958,-0.0010105528455299215
110,3.8155551504284277,1.2897364659476032,0.5188131491566611,-0.24987887393499753,0.03474759515644093,-0.0010105543432630253
111,3.880685290019326,1.3153654973382851,0.5426739672036675,-0.24814275775728517,0.03469706860220563,-0.0010105558986597755
112,3.947126740882635,1.3421897390166555,0.5904701528741041,-0.24640916791420178,0.03464654198967373,-0.0010105575126887157
113,4.014969184999072,1.3714059562142829,0.6549275614793877,-0.24467810441081084,0.0345960153162177,-0.0010105591863306905
114,4.084353046589413,1.403847206979833,0.7279368609640767,-0.24294956725152136,0.034545488579244894,-0.0010105609205840057
115,4.155450271321757,1.4399410825502874,0.8024813776937472,-0.2412235564400635,0.034494961776157004,-0.0010105627164676367
116,4.228445403373172,1.479764340782472,0.8715019139746537,-0.23950007197964635,0.03444443490431133,-0.001010564575022453
117,4.303518010497658,1.5230407794660952,0.9264371660198197,-0.2377791138728001,0.03439390796098602,-0.001010566497310759
118,4.380823146099819,1.569066131149567,0.9600957724977168,-0.23606068212129402,0.03434338094332979,-0.0010105684844136415
119,4.46047166150406,1.6167765602379085,0.9682328648365005,-0.2343447767264652,0.034292853848330924,-0.001010570537426542
120,4.542515905968249,1.6648959878409673,0.9488560719625078,-0.23263139768961624,0.03424232667279758,-0.0010105726574533395
121,4.626941939816883,1.7120487163745104,0.9023117835602895,-0.23092054501202008,0.03419179941333999,-0.0010105748455994032
122,4.713667465021405,1.7568763679211372,0.8307675060582003,-0.2292122186952453,0.03414127206637293,-0.001010577102964623
123,4.802544976862385,1.7981289399265101,0.7354653468261262,-0.22750641874127353,0.03409074462812965,-0.0010105794306367987
124,4.893366027228707,1.8346185350411266,0.6182163042711751,-0.22580314515238276,0.03404021709466665,-0.0010105818296853699
125,4.98586503181997,1.8652478059258877,0.48230166484968745,-0.2241023979313727,0.03398968946187782,-0.001010584301155611
126,5.079725642798481,1.8890834695433096,0.3316298566509483,-0.22240417708164606,0.033939161725511306,-0.001010586846063421
127,5.17458973525277,1.9053876641621401,0.1721991072164277,-0.22070848260718406,0.03388863388118319,-0.0010105894653908822
128,5.27006978309166,1.9137224396238055,0.010905173462216738,-0.21901531451292422,0.033838105924417834,-0.0010105921600833956
129,5.36576498791761,1.913994633535846,-0.14587887083090745,-0.21732467280469636,0.0337875778506823,-0.0010105949310482722
130,5.461277853115886,1.9064297374371237,-0.2942951616492275,-0.21563655748910812,0.03373704965541882,-0.0010105977791550192
