t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,-0.264506088043459,9.187594771589165,-8.637685391732308,1.0938961573945187,-0.06752392388061162,0.002071494305779431
2,0.1840993137989924,8.757076466178303,-8.584008672884309,1.0905225505837854,-0.0674203491666553,0.0020714943058494214
3,0.6112458249224817,8.329237782009717,-8.530632136044222,1.0871541225137127,-0.06731677445358744,0.0020714943060072964
4,1.0170670483961672,7.904063716654635,-8.47768037336935,1.0837908731851789,-0.06721319974167188,0.0020714943063041727
5,1.4016956881752676,7.481533037882718,-8.425328642920014,1.08043280259987,-0.06710962503123731,0.0020714943068061544
6,1.7652631687412,7.061615750306381,-8.373690880824729,1.0770799107601963,-0.06700605032271388,0.0020714943075984694
7,2.1078992623169617,6.644276161980769,-8.322818446079902,1.0737321976689231,-0.06690247561666283,0.002071494308791712
8,2.4297319029115245,6.229476012731361,-8.27269245187091,1.070389663328928,-0.06679890091378801,0.002071494310528965
9,2.7308871273045634,5.817177986835947,-8.223181685863242,1.0670523077426595,-0.0666953262149294,0.0020714943129931662
10,3.0114892710136854,5.407351329275166,-8.174092036223707,1.0637201309116808,-0.06659175152102696,0.0020714943164134685
11,3.2716613803850434,4.99997499041048,-8.125135313421717,1.0603931328363714,-0.06648817683307273,0.0020714943210697525
12,3.5115258061111554,4.595042330039461,-8.075866433218689,1.0570713135152132,-0.06638460215203097,0.00207149432729385
13,3.7312051209986987,4.192568962242723,-8.025691095073178,1.0537546729440497,-0.06628102747872895,0.0020714943354664984
14,3.9308234195665364,3.7926002162924775,-7.973924692506543,1.0504432111154396,-0.06617745281370337,0.0020714943460075465
15,4.110507921378365,3.395215651808204,-7.919839278247327,1.0471369280183938,-0.0660738781570309,0.002071494359358364
16,4.270390731515248,3.0005312259161703,-7.862705211461432,1.0438358236382281,-0.06597030350814376,0.0020714943759552
17,4.410610673633779,2.6086993774941805,-7.801754424214111,1.0405398979566185,-0.06586672886564861,0.002071494396193666
18,4.531315145482997,2.219910948923386,-7.736134540141217,1.0372491509512354,-0.06576315422713577,0.0020714944203837596
19,4.6326621545299345,1.8343994014033564,-7.664935591597223,1.033963582595465,-0.06565957958896942,0.0020714944486947256
20,4.714822515554825,1.4524436946763684,-7.587230210071444,1.0306831928582454,-0.06555600494606958,0.002071494481088994
21,4.777982149512742,1.0743691571219869,-7.502166682076417,1.027407981704289,-0.06545243029169219,0.002071494517244587
22,4.822344312127991,0.70054370282026,-7.40902843676546,1.024137949094702,-0.06534885561723076,0.002071494556466364
23,4.84813155876551,0.33137107400877625,-7.307144389903105,1.0208730949876694,-0.06524528091205714,0.00207149459758761
24,4.85558745988822,-0.032711432704628673,-7.195832364019546,1.017613419338482,-0.06514170616337366,0.0020714946388628226
25,4.844978312125873,-0.3912324121110681,-7.07437069182816,1.014358922099529,-0.06503813135606493,0.0020714946778518217
26,4.816594872345291,-0.7436843753037766,-6.942013479788292,1.0111096032203652,-0.0649345564725697,0.0020714947112959814
27,4.770754203472859,-1.0895225383285052,-6.7981666240231915,1.0078654626478587,-0.06483098149271857,0.0020714947349839844
28,4.707801364455594,-1.4281724123757922,-6.642395822161412,1.0046265003275168,-0.06472740639365282,0.0020714947436104862
29,4.628110681319917,-1.7590377938448671,-6.4742601591594875,1.0013927162036464,-0.06462383114974184,0.0020714947306269098
30,4.532086829733614,-2.081500433125146,-6.293294711982204,0.9981641102197585,-0.06452025573256762,0.002071494688088755
31,4.42016598747007,-2.394918834620817,-6.099033294482629,0.994940682318439,-0.06441668011085828,0.0020714946064953883
32,4.292816982563411,-2.698628193232632,-5.891015957938466,0.9917224324413322,-0.06431310425044366,0.0020714944746245793
33,4.1505424669099495,-2.9919407066625605,-5.668778745980783,0.9885093605294515,-0.06420952811423025,0.0020714942793614768
34,3.993880049241634,-3.274145374370032,-5.431900368035937,0.9853014665237058,-0.06410595166221122,0.0020714940055228744
35,3.823403420447712,-3.5445101311379026,-5.180145218596165,0.9820987503649712,-0.06400237485141831,0.0020714936356730825
36,3.6397231721092225,-3.802291131471877,-4.9135008825239215,0.9789012119958196,-0.06389879763601361,0.0020714931499387305
37,3.4434871082163565,-4.046743909349369,-4.6321213955648775,0.9757088513614764,-0.06379521996739265,0.0020714925258201867
38,3.235380061157803,-4.277131700646633,-4.336242284162009,0.9725216684102319,-0.06369164179433112,0.0020714917380037084
39,3.0161234017876626,-4.492729517406062,-4.026191741024815,0.969339663094986,-0.0635880630632558,0.002071490758179178
40,2.7864743436434303,-4.692828781326354,-3.70242437921532,0.9661628353726879,-0.06348448371839069,0.002071489554855897
41,2.5472249641125613,-4.87674364494023,-3.3654708883600275,0.9629911852053817,-0.06338090370205589,0.002071488093187288
42,2.2992009598408853,-5.0438147949546375,-3.0159695899127157,0.9598247125615175,-0.06327732295502868,0.0020714863348028027
43,2.043260202448459,-5.193414834202841,-2.65472976200917,0.9566634174155962,-0.06317374141679802,0.0020714842376422424
44,1.7802909236499744,-5.324956829570574,-2.282681897214693,0.9535072997496903,-0.06307015902599881,0.002071481755803685
45,1.5112095334053746,-5.437900372451995,-1.9008712175826699,0.9503563595531153,-0.06296657572077488,0.0020714788393984287
46,1.2369581596307981,-5.5317573154276065,-1.510466707639474,0.9472105968250051,-0.06286299143937252,0.002071475434425061
47,0.9585018790655518,-5.606097960521574,-1.1126859451863973,0.9440700115724043,-0.06275940612047305,0.00207147148264711
48,0.6768257232850847,-5.660553488461062,-0.7087875241483398,0.9409346038121391,-0.06265581970383206,0.0020714669214954816
49,0.3929315998668533,-5.694818009896159,-0.30006109870385783,0.9378043735702507,-0.06255223213075504,0.0020714616839802684
50,0.10783508776831596,-5.708650117861709,0.11214833647549088,0.9346793208818858,-0.06244864334463378,0.0020714556986201125
51,-0.17743783517469922,-5.701875655291293,0.5264005863276667,0.9315594457920608,-0.06234505329153578,0.002071448889389287
52,-0.4618542847371749,-5.674392474974579,0.9412273079962946,0.9284447483563226,-0.0622414619208246,0.002071441175682343
53,-0.7443781104069461,-5.6261718466652715,1.355113252387487,0.925335228638788,-0.06213786918562245,0.00207143247229121
54,-1.0239736181963481,-5.5572608024446914,1.7664197522230594,0.9222308867147296,-0.06203427504358505,0.00207142268941122
55,-1.2996095049293248,-5.467788308086848,2.173435097187518,0.9191317226691591,-0.06193067945741669,0.002071411732656875
56,-1.5702630637717383,-5.357968914789441,2.5744337992375015,0.916037736598812,-0.061827082395672736,0.002071399503107974
57,-1.834924468481957,-5.228103448251806,2.9676785093359066,0.9129489286089115,-0.061723483833206076,0.002071385897364663
