t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1,0.07680282377332862,0.40482809251809726,0.9133344631120164,0.2350157976477695,0.005823085952734849,6.006631329068094e-5,2.572251490283985e-7
2,0.05352730166996397,0.3104756050184009,0.8066038331388528,0.22863816950091545,0.0057139354084480105,5.940462684948133e-5,2.5622514904306796e-7
3,0.038279659439763164,0.23489394671857888,0.7061325392645346,0.2224256702762674,0.005606474613565622,5.874807491314733e-5,2.5522514907456486e-7
4,0.028758395474930462,0.17553392681467278,0.6127993318778833,0.21637487356391566,0.005500683881490423,5.809663748228124e-5,2.5422514913269533e-7
5,0.023171448109860937,0.12995305023982542,0.5274940351068202,0.21048240800755866,0.005396543679072397,5.745029455762583e-5,2.5322514923027695e-7
6,0.020161134865489802,0.09584219469482358,0.4509536594794594,0.20474495665342668,0.005294034626013799,5.680902614016748e-5,2.5222514938399144e-7
7,0.01873236114804957,0.07106091458097424,0.38365430816006046,0.1991592563042707,0.005193137494274829,5.6172812231300166e-5,2.5122514961587267e-7
8,0.01818508785460764,0.05367162527047953,0.32575543905562987,0.19372209687841338,0.005093833207478605,5.55416328330292e-5,2.5022514995555737e-7
9,0.018052311892803527,0.04196625583056855,0.27708993047009833,0.18843032077384042,0.004996102840315541,5.4915467948222494e-5,2.49225150443572e-7
10,0.01804471174500315,0.034481851264687675,0.23719077251562454,0.18328082223724515,0.004899927617943349,5.429429758085449e-5,2.4822515113568545e-7
11,0.018002787176463763,0.030003971620383006,0.20534373322756358,0.17827054673817733,0.004805288915388751,5.367810173629515e-5,2.472251521086219e-7
12,0.017856895764189792,0.02755852612348084,0.1806551655839993,0.173396490348143,0.004712168256945867,5.306686042158089e-5,2.462251534671123e-7
13,0.017595148514761842,0.026393895496810718,0.16212505720597384,0.1686556991247031,0.004620547315573216,5.246055364566867e-5,2.452251553523532e-7
14,0.017238734483782554,0.025955880092114855,0.14871715484933984,0.16404526850053947,0.004530407912289597,5.1859161419667623e-5,2.4422515795192444e-7
15,0.016823937352352446,0.025858245247590925,0.13942015706529484,0.1595623426774656,0.004441732015568592,5.126266375702795e-5,2.43225161511104e-7
16,0.016389901933694623,0.025851518598904322,0.1332962274892973,0.1552041140253819,0.004354501740731831,5.06710406736738e-5,2.422251663455171e-7
17,0.015971105996970793,0.025792333601434354,0.1295151748119212,0.15096782248614632,0.004268699349342751,5.008427218809347e-5,2.41225172855089e-7
18,0.015593481633732757,0.025615110795146567,0.1273743953053778,0.14685075498232694,0.004184307248598512,4.950233832134647e-5,2.4022518153910647e-7
19,0.015273192752102767,0.025307311361420896,0.126305985148358,0.1428502448308414,0.0041013079907229275,4.8925219097012705e-5,2.3922519301232495e-7
20,0.015017190171004911,0.024888955817536744,0.1258732798942823,0.1389636711614344,0.004019684272358572,4.8352894541057406e-5,2.3822520802192888e-7
21,0.014824812153817825,0.024396623505427217,0.12575949926471,0.13518845833996462,0.00393941893395917,4.778534468162081e-5,2.3722522746520525e-7
22,0.01468985713591109,0.02387176546253318,0.12575123535347943,0.13152207539656927,0.0038604949591840958,4.722254954874497e-5,2.3622525240781648e-7
23,0.014602711387783122,0.023352886722797412,0.1257193086767854,0.12796203545852045,0.0037828954742913207,4.6664489174005284e-5,2.352252841024176e-7
24,0.014552256010503048,0.022870982770833066,0.1255991212727984,0.12450589518789218,0.003706603747532245,4.611114359007694e-5,2.3422532400753447e-7
25,0.014527397686055965,0.022447537606231558,0.12537214495494095,0.12115125422399703,0.003631603188548681,4.556249283024396e-5,2.3322537380657251e-7
26,0.014518162431058955,0.022094390455236788,0.12504966819646168,0.11789575463046582,0.0035578773477687865,4.5018516927821784e-5,2.3222543542671486e-7
27,0.014516360739244685,0.02181483466134855,0.12465944222467593,0.11473708034709035,0.003485409915805767,4.447919591553295e-5,2.3122551105768398e-7
