t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1,0.10052654297661179,1.010011436375558,-0.021595341009160968,-1.6827659513722514e-5,-3.7613575238263474e-6,-3.431154185272716e-5,2.4302677882608362e-5
2,0.20145566066032458,1.0078242641815283,-0.23489683403190198,7.009806077682709e-5,3.1819882257589764e-7,-6.058661923583704e-5,3.430057787574078e-5
3,0.301072126715539,0.98436538607414,-0.008458365928063177,0.00013857454780079217,4.076094882386741e-5,-8.525505354396175e-5,-7.97725942453583e-8
4,0.3994238349907546,0.9835046352895945,0.08475154859925378,0.00016591763550973809,3.9743903435689305e-5,-9.305281686158566e-5,2.344299205310626e-6
5,0.4981954883005581,0.9919600129979403,-0.3724595266019189,0.00012796072859492884,7.580720257540543e-5,-7.564373502668173e-5,-2.0221912438171668e-5
6,0.5955506847199036,0.9546921537827645,-0.5766004785251218,0.00018293750600250692,7.617363853919444e-5,-7.91658476254204e-5,3.1161676083699985e-6
7,0.6881097492175058,0.8970109129274207,-0.8890489469157314,0.00022954401373037733,8.070610737568888e-5,-0.00010061945207452902,1.979455957286774e-5
8,0.7733587095675072,0.8079909781637487,-0.7378489136894109,0.00024043683705506872,0.00011407306169107371,-0.00010910900201197749,6.997522203861519e-5
9,0.8505166681122671,0.7342302392195134,-0.9428691824472392,0.00024163775010524683,9.435776897542819e-5,-0.0001047681746123405,6.771387249022308e-5
10,0.9191666407852486,0.6399658082299102,-0.9988403078009105,0.00022134121217660328,0.00014964421701781783,-8.779174132768941e-5,5.648857684150176e-5
11,0.9781709011908474,0.5400349624318239,-0.9054468825836746,0.00024925780032398386,0.00013829412125569598,-4.855651812872753e-5,2.835919215070441e-5
12,1.0275993555324485,0.4494259208316082,-0.6335350549610013,0.0003340205658689964,0.00016715556999926016,-5.7653765939951585e-5,3.5331428652189106e-5
13,1.0693603375299052,0.3860835983055961,-0.4304797158385043,0.00036637885212667537,0.00018339682023118192,-0.00011564760518800526,2.676594690101416e-5
14,1.105803711588479,0.34300876599682006,-0.5825506797810007,0.0003663850150018655,0.00013111878926838822,-0.00010053576029761535,3.262375585116749e-5
15,1.1371612786046779,0.2847478908652869,-0.7112312613721816,0.0004137305815590073,8.288789086643763e-5,-8.834122735745193e-5,6.458317255954294e-5
16,1.1620526418668504,0.21363696417014322,-0.8473545282099186,0.00045202042922453945,9.141357411968077e-6,-0.00012511122957496675,3.502487643899276e-5
17,1.1791895523865104,0.12888414696560804,-0.6542157227159674,0.0004537690113270636,-4.91175926657174e-5,-0.0001080330855844557,-2.0906425740392003e-7
18,1.1888253132201965,0.06341045787559545,-0.7664412580665081,0.00046109409436546255,-4.156923523223405e-5,-8.178426443464855e-5,4.184649899377043e-6
19,1.191391275851457,-0.013243977509115629,-1.0622212210903277,0.0004811166970290341,-7.05408915335248e-5,-9.406577970250372e-5,7.122577687292185e-6
20,1.1848102560496137,-0.11939285108072346,-0.738451215939,0.0004939387491276658,-0.00010805654042691116,-8.963154432414474e-5,1.8667528830748746e-5
21,1.1691887879579832,-0.1932172527136219,-0.04863115115387251,0.0005582867579451243,-0.00011407010038895554,-9.451361510435133e-5,8.08145136592958e-6
22,1.1497151571674913,-0.1980900968138048,0.2800961713160842,0.0005138783988251235,-0.0001516683819125458,-0.00011300837574006103,4.8604119984643285e-5
23,1.1313160696393463,-0.1701629996149201,0.3317130343110397,0.0005169558587221582,-0.00017199685629008178,-8.203395980916722e-5,6.820037498499174e-5
24,1.1159597789330482,-0.1370002652080761,0.2573738542989997,0.000512237653709152,-0.00018909866711236306,-7.677042611670273e-5,7.731818052493027e-5
25,1.1036084480550594,-0.11120795441906164,0.6807821023052598,0.0005007462547378349,-0.00013288377624618813,-2.7788813676204687e-5,4.6689107861529603e-5
