t,obs_1
1,3.4159849202362227
2,3.369067182589152
3,3.0370430630029945
4,4.01816629276974
5,2.94087831223293
6,4.072714237698648
7,3.9610290100644376
8,4.414388925031684
9,3.7642244201506787
10,4.184343278717563
11,4.7553893928276825
12,4.576815541803717
13,4.5671060302152835
14,4.603301722417632
15,4.7829105727910655
16,5.172791819969219
17,5.387720984717604
18,4.805801391100757
19,4.872519072034289
20,5.427749204172453
21,5.358292771321011
22,5.642364496477713
23,6.18538385962716
24,4.641869038795896
25,5.665664148791823
26,5.391646038345942
27,5.765016675771243
28,5.5063580754424395
29,5.468272679970149
30,6.11928075390278
31,6.209380828630864
32,5.2571409404621905
33,6.007793321412268
34,6.30154197081777
35,5.384790263721036
36,6.115236984341025
37,6.104188161998302
38,5.928028154856044
39,5.487820629810036
40,6.307458155350392
41,5.610025420333537
42,6.279201012666405
43,5.788746977142826
44,5.5861518565759924
45,5.562481851211634
46,5.703065321918546
47,5.968577211111846
48,5.572042821703236
49,5.4865124707854
50,5.7373295238437905
51,5.70008658216801
52,5.1909305505672965
53,4.677588898182375
54,4.942400344188717
55,4.417270482959749
56,4.162952371769138
57,5.177249985632579
58,4.809711737734433
59,4.352743878803711
60,4.308665777382101
61,4.552613629600896
62,4.4329907949355984
63,4.344769469596657
64,4.651574227609199
65,5.307714684974888
66,4.481045459871223
67,4.064948336965527
68,4.0852595895668244
69,4.046941624670214
70,4.51367493172105
71,4.8535622128349205
72,3.8387857609657736
73,4.1872913423562705
74,4.7891709462312875
75,3.7213530414389564
76,4.168685998812278
77,3.029902086273803
78,3.453012253528956
79,3.1460479954628724
80,3.1232030996593743
81,2.89171002725565
82,2.981599171186395
83,3.5245615570714093
84,4.273724263445756
85,3.3578401173111385
86,3.6221782411493586
87,3.041439967661674
88,3.7194420571783287
89,3.5468713099529863
90,3.4627829264665944
91,3.0865777020919607
92,3.3780233899182246
93,3.4343441324360238
94,2.87285427628094
95,2.785547312783925
96,3.8211038495927427
97,3.709177685288487
98,2.944654728187624
99,3.770388901693419
100,3.7401317009643993
101,3.3122833081806387
102,4.0559787866303685
103,3.6762555617079675
104,3.249454085697864
105,3.6338062723041213
106,2.8498492945786205
107,3.3924928401726473
108,4.266138853931004
109,3.125950253735789
110,3.1669551543593917
111,2.7577037265866924
112,4.328221834344961
113,3.702746562657453
114,3.8548035036330695
115,4.258376675710615
