t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1,-0.47676984249247656,10.11224080564213,-10.508308391241664,3.0279561694235593,-0.4811610979006048,0.04597619262565142,-0.002199983637999798
2,0.01576976807271058,9.59060031924388,-10.358630786184468,3.00395553897198,-0.47886503825532406,0.045866193444491284,-0.0021999836380514385
3,0.48241395124166525,9.07641376022304,-10.2102641972206,2.9800695740096206,-0.47657447857104573,0.04575619426370039,-0.0021999836381490427
4,0.9235337632206085,8.569615721214483,-10.063311800149071,2.956297999539094,-0.4742894188480319,0.04564619508337679,-0.002199983638313433
5,1.339496868601588,8.070135635522067,-9.91793859249753,2.932640540564016,-0.47200985908665993,0.04553619590364225,-0.002199983638571547
6,1.730667193797416,7.577894686211503,-9.774317550981921,2.909096922088619,-0.46973579928734494,0.045426196724630816,-0.0021999836389563535
7,2.0974045115912756,7.092805406979001,-9.632577640001657,2.885666869117965,-0.4674672394506421,0.04531619754650209,-0.002199983639508629
8,2.4400640548200707,6.6147738830378975,-9.4927765219855,2.8623501066577597,-0.4652041795773169,0.04520619836945357,-0.002199983640278681
9,2.7589962876546004,6.1437033162594155,-9.354951553660053,2.839146359713731,-0.4629466196682803,0.04509619919372019,-0.0021999836413277934
10,3.0545467929787513,5.679495040191789,-9.21911480538173,2.8160553532919277,-0.4606945597246751,0.044986200019592415,-0.002199983642731197
11,3.3270562081794934,5.222049784232658,-9.08514507399152,2.793076812397863,-0.45844799974776396,0.04487620084741188,-0.0021999836445801137
12,3.576860349951429,4.7712743377379105,-8.952751659696569,2.770210462036226,-0.4562069397390349,0.04476620167759835,-0.002199983646986403
13,3.8042907348433452,4.327090025002621,-8.821583681610228,2.747456027209781,-0.45397137970000434,0.04465620251063926,-0.002199983650085318
14,4.009675392329241,3.889435713909833,-8.691275237655486,2.7248132329197325,-0.4517413196322565,0.04454620334710864,-0.0021999836540408167
15,4.193339752501029,3.458268566997558,-8.561390977185612,2.702281804164948,-0.4495167595371902,0.0444362041876441,-0.0021999836590483506
16,4.355607642675003,3.03356751414151,-8.431437088796587,2.6798614659422655,-0.4472976994160972,0.04432620503296357,-0.002199983665340568
17,4.496802456891249,2.615336175444331,-8.300898708393385,2.657551943245629,-0.4450841392698461,0.04421620588382689,-0.002199983673189205
18,4.61724841595638,2.2036039137608854,-8.16921284592835,2.6353529610664452,-0.44287607909887594,0.044106206741031405,-0.002199983682908912
19,4.717271909109029,1.7984282411679366,-8.035757006476334,2.6132642443931213,-0.44067351890301815,0.04399620760538079,-0.002199983694858823
20,4.797202978032584,1.3998977942716362,-7.899896743637652,2.5912855182109378,-0.43847645868133794,0.04388620847764956,-0.0021999837094426955
21,4.8573768930215975,1.0081329315948646,-7.76100250580174,2.5694165075021362,-0.43628489843200907,0.043776209358545794,-0.002199983727107872
22,4.898135729387486,0.6232854888299041,-7.618417912960388,2.5476569372458617,-0.43409883815211586,0.0436662102486537,-0.002199983748341006
23,4.919829974199713,0.24554012028297226,-7.471432270286972,2.5260065324180117,-0.4319182778375307,0.043556211148382915,-0.0021999837736624557
24,4.922820228254803,-0.12488298501701142,-7.319351167968289,2.504465017991058,-0.4297432174826993,0.04344621205789332,-0.002199983803616199
25,4.907478985574801,-0.48772891835780713,-7.161461874743662,2.483032118934517,-0.4275736570805705,0.043336212977035576,-0.0021999838387583783
26,4.874192363678168,-0.8427071346287583,-6.996962231444237,2.4617075602144105,-0.4254095966223481,0.04322621390525534,-0.0021999838796396645
27,4.823362011330028,-1.1894869809906194,-6.825033914992984,2.4404910667930912,-0.4232510360973464,0.043116214841509,-0.002199983926785025
