t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1,0.016699124253734945,0.10635432136146301,0.29164984295713675,0.09986517006685702,0.003850730400669829,6.189149824965863e-5,4.129423564080396e-7
2,0.013613770027900155,0.09201325184834204,0.2725636662978429,0.09815701653061401,0.003805506734188289,6.146519788819442e-5,4.1194235642124626e-7
3,0.01114060811331031,0.0792669109153276,0.2540789463636516,0.09647647686070801,0.003760720544657212,6.104095973908116e-5,4.109423564409316e-7
4,0.009182029588761988,0.06799815318411404,0.23622362005502254,0.09482319362328141,0.0037163686527880474,6.0618778802402215e-5,4.099423564688577e-7
5,0.007652035022524652,0.058092855124011425,0.21903408380792466,0.0931968129645234,0.003672447894722812,6.0198650078256046e-5,4.0894235650707863e-7
6,0.006475351945636478,0.04943983940893233,0.2025512580390818,0.09159698458430059,0.0036289551219962435,5.978056856674658e-5,4.0794235655789667e-7
7,0.005586576757528713,0.041931009494008985,0.18681718142866272,0.09002336170993781,0.0035858872014994437,5.936452926800091e-5,4.0694235662395955e-7
8,0.004929338573483921,0.03546163060192489,0.17187212062841503,0.08847560107012195,0.0035432410154434767,5.8950527182187014e-5,4.0594235670834593e-7
9,0.004455485060168976,0.029930702223558828,0.15775218588339723,0.08695336286890902,0.003501013461321951,5.853855730952141e-5,4.049423568146578e-7
10,0.004124292100254541,0.025241375691659705,0.14448744139792524,0.08545631075988029,0.0034592014518748395,5.812861465029862e-5,4.039423569472173e-7
11,0.00390170029118817,0.021301378399906694,0.13210049370226426,0.0839841118203983,0.0034178019150507724,5.772069420490076e-5,4.029423571112291e-7
12,0.003759581920633926,0.018023413787547578,0.12060553379799893,0.08253643652601682,0.003376811793971213,5.7314790973843024e-5,4.0194235731315193e-7
13,0.0036750422687675827,0.01532551324254818,0.11000780095821353,0.0811129587249856,0.0033362280468924995,5.691089995778762e-5,4.0094235756099597e-7
14,0.0036297589547441052,0.013131322536308512,0.10030342877436468,0.07971335561290935,0.0032960476471698254,5.650901615759449e-5,3.9994235786485404e-7
