t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
1,0.0,6.283185307179586,-0.0,0.0,0.0,0.0,0.0
2,0.31395259764656686,6.270786876233027,-0.49577407031455883,0.0,0.0,0.0,0.0
3,0.6266661678215213,6.233640514335991,-0.9895915468712142,0.0,0.0,0.0,0.0
4,0.936906572928623,6.171892821208328,-1.4795035576937416,0.0,0.0,0.0,0.0
5,1.243449435824274,6.085787486784972,-1.9635766438949334,0.0,0.0,0.0,0.0
6,1.545084971874737,5.975664329483111,-2.439900390155509,0.0,0.0,0.0,0.0
7,1.8406227634233896,5.84195795509413,-2.9065949642605986,0.0,0.0,0.0,0.0
8,2.128896457825363,5.685196041593107,-3.3618185359386796,0.0,0.0,0.0,0.0
9,2.4087683705085765,5.5059972566349265,-3.803774545724206,0.0,0.0,0.0,0.0
10,2.679133974894983,5.305068815955681,-4.230718795157048,0.0,0.0,0.0,0.0
11,2.938926261462366,5.0832036923152595,-4.640966330336969,0.0,0.0,0.0,0.0
12,3.1871199487434487,4.841277485996136,-5.032898091666885,0.0,0.0,0.0,0.0
13,3.422735529643443,4.580244969209083,-5.404967303541414,0.0,0.0,0.0,0.0
14,3.644843137107058,4.3011363180434445,-5.755705578763545,0.0,0.0,0.0,0.0
15,3.8525662138789456,4.005053046832759,-6.083728713598049,0.0,0.0,0.0,0.0
16,4.045084971874737,3.6931636609809133,-6.387742150591253,0.0,0.0,0.0,0.0
17,4.221639627510076,3.3666990454051597,-6.666546087597869,0.0,0.0,0.0,0.0
18,4.381533400219318,3.0269476067956806,-6.919040212851936,0.0,0.0,0.0,0.0
19,4.524135262330098,2.675250188862998,-7.14422804739467,0.0,0.0,0.0,0.0
20,4.648882429441256,2.3129947806404267,-7.341220877721666,0.0,0.0,0.0,0.0
21,4.755282581475767,1.9416110387254666,-7.509241263129088,0.0,0.0,0.0,0.0
22,4.842915805643155,1.5625646450783646,-7.647626103916944,0.0,0.0,0.0,0.0
23,4.911436253643443,1.1773515226450202,-7.755829258340666,0.0,0.0,0.0,0.0
24,4.960573506572389,0.7874919316325453,-7.833423697983059,0.0,0.0,0.0,0.0
25,4.990133642141358,0.39452446973675565,-7.8801031930403855,0.0,0.0,0.0,0.0
26,5.0,3.8473413874435795e-16,-7.895683520871486,0.0,0.0,0.0,0.0
27,4.990133642141358,-0.3945244697367548,-7.8801031930403855,0.0,0.0,0.0,0.0
28,4.960573506572389,-0.7874919316325446,-7.833423697983059,0.0,0.0,0.0,0.0
29,4.911436253643443,-1.1773515226450193,-7.755829258340666,0.0,0.0,0.0,0.0
30,4.842915805643156,-1.5625646450783637,-7.647626103916945,0.0,0.0,0.0,0.0
31,4.755282581475768,-1.941611038725466,-7.509241263129089,0.0,0.0,0.0,0.0
32,4.648882429441257,-2.3129947806404263,-7.341220877721667,0.0,0.0,0.0,0.0
33,4.524135262330097,-2.675250188862998,-7.1442280473946695,0.0,0.0,0.0,0.0
34,4.381533400219318,-3.026947606795679,-6.919040212851937,0.0,0.0,0.0,0.0
35,4.221639627510076,-3.366699045405159,-6.66654608759787,0.0,0.0,0.0,0.0
36,4.045084971874737,-3.693163660980913,-6.387742150591253,0.0,0.0,0.0,0.0
37,3.852566213878946,-4.005053046832758,-6.08372871359805,0.0,0.0,0.0,0.0
38,3.644843137107057,-4.3011363180434445,-5.7557055787635445,0.0,0.0,0.0,0.0
39,3.422735529643444,-4.580244969209081,-5.404967303541416,0.0,0.0,0.0,0.0
40,3.187119948743449,-4.841277485996136,-5.032898091666886,0.0,0.0,0.0,0.0
41,2.9389262614623664,-5.0832036923152595,-4.64096633033697,0.0,0.0,0.0,0.0
42,2.679133974894985,-5.30506881595568,-4.230718795157051,0.0,0.0,0.0,0.0
43,2.408768370508576,-5.5059972566349265,-3.8037745457242056,0.0,0.0,0.0,0.0
44,2.1288964578253644,-5.685196041593105,-3.361818535938682,0.0,0.0,0.0,0.0
45,1.8406227634233887,-5.84195795509413,-2.9065949642605973,0.0,0.0,0.0,0.0
46,1.5450849718747375,-5.975664329483111,-2.43990039015551,0.0,0.0,0.0,0.0
