t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,-0.37465363869056917,1.9813043584700185,-1.5250477408268308,0.6088815465494617,-0.26307336777604207,0.06468210461719665,-0.010812418997127387,0.00135481703352224
2,-0.18404805364890944,1.8318004153477998,-1.4670396755006614,0.5828958238783867,-0.2566589936098756,0.06360763680361073,-0.010676937293964215,0.0013548170335504275
3,-0.008107122631110157,1.687968414473124,-1.4118805702041195,0.557546188867794,-0.25035138881737923,0.06254671716069485,-0.010541455590907618,0.0013548170336024309
4,0.15372220399150974,1.5495266226518583,-1.3581705132596553,0.5328220323208113,-0.24414919858188924,0.06149934568857299,-0.010405973888001473,0.0013548170336917706
5,0.30197180863292383,1.4163332447430896,-1.3042715527344362,0.5087128805197946,-0.23805106808644033,0.06046552238736114,-0.01027049218529705,0.0013548170338366023
6,0.4371675770743234,1.2884102288760995,-1.2480746296583303,0.48520839522594394,-0.23205564251370228,0.059445247257176995,-0.010135010482858729,0.0013548170340613795
7,0.5598481337916337,1.165990377800871,-1.1882771412991842,0.46229837367872395,-0.22616156704534202,0.05843852029801389,-0.009999528780751372,0.0013548170343974607
8,0.6705818981435525,1.0494367036130026,-1.1245376033414236,0.4399727485990068,-0.22036748686236424,0.057445341509764596,-0.009864047079042973,0.0013548170348845067
9,0.7699752946731849,0.9391463167667861,-1.0571570589778476,0.4182215881894211,-0.21467204714471372,0.0564657108920462,-0.009728565377773394,0.0013548170355687362
10,0.8586729518660255,0.8354861740255375,-0.9873892040356068,0.3970350961355623,-0.2090738930713324,0.055499628444103374,-0.009593083676923773,0.0013548170364993744
11,0.9373499293433032,0.7386978133190287,-0.9160854535427175,0.37640361160783137,-0.20357166982072594,0.054547094164802135,-0.009457601976387238,0.0013548170377224026
12,1.0067011751096653,0.6489375831737966,-0.8427038636394307,0.35631760925870315,-0.1981640225707846,0.053608108052496724,-0.009322120275911904,0.0013548170392684998
13,1.0674399799217313,0.566415979303176,-0.7664955446286735,0.33676769922161054,-0.19284959649886915,0.052682670105006615,-0.009186638575054284,0.0013548170411372352
14,1.1203044277942518,0.4914183397886066,-0.6875162101560894,0.31774462711208273,-0.18762703678197146,0.05177078031960579,-0.009051156873128319,0.0013548170432756382
15,1.1660608608070815,0.42422438498667886,-0.6060253537685216,0.29923927402804357,-0.18249498859637284,0.050872438692885734,-0.008915675169133302,0.0013548170455495298
16,1.2055022877271853,0.36508784085296514,-0.5225118913028103,0.28124265655033964,-0.1774520971180899,0.0499876452207816,-0.008780193461696848,0.0013548170477090413
17,1.2394446472865854,0.31421349704652746,-0.438634296828274,0.2637459267442468,-0.17249700752299554,0.04911639989853498,-0.008644711749004321,0.0013548170493458153
18,1.2687160662102117,0.27164025149736337,-0.35618991540824096,0.24674037216034517,-0.16762836498704214,0.04825870272067042,-0.00850923002872587,0.0013548170498417316
19,1.294139566976341,0.23722722457129974,-0.27702225800312297,0.23021741583434846,-0.16284481468667195,0.047414553681031965,-0.008373748297947741,0.001354817048308872
20,1.3165148693209088,0.2106491427376533,-0.20344960356052674,0.21416861628772282,-0.1581450017991216,0.04658395277283769,-0.008238266553107138,0.001354817043520373
21,1.3365975728095223,0.19134886245010144,-0.13738782898986726,0.19858566752804996,-0.1535275715030735,0.04576689998883633,-0.008102784789944455,0.0013548170338328104
22,1.3550779791973602,0.17857761129723504,-0.08032130305983733,0.18346039904736847,-0.14899116897872047,0.04496339532139372,-0.007967303003455712,0.0013548170170991779
23,1.3725640925680962,0.17143813921702483,-0.033249715952416534,0.16878477582213636,-0.14453443940826805,0.04417343876270979,-0.007831821187874939,0.0013548169905748567
24,1.3895691904313832,0.1689331872112757,0.003673279898187627,0.15455089831119828,-0.14015602797590845,0.04339703030499017,-0.007696339336670319,0.0013548169508165876
25,1.4065060548500599,0.1700500917952712,0.030952295349596544,0.14075100245498423,-0.13585457986811683,0.04263416994070328,-0.007560857442572955,0.0013548168935764889
26,1.423688719773112,0.1738266123573629,0.0484670501837051,0.12737745967467215,-0.13162874027332244,0.04188485766273737,-0.007425375497616888,0.001354816813691323
27,1.4413343993303602,0.17928844203805117,0.05524471421788851,0.11442277687338023,-0.1274771543819246,0.04114909346461257,-0.007289893493213757,0.0013548167049697278
28,1.4595580083564978,0.18536395373234263,0.050386557184669035,0.10187959643761016,-0.12339846738668891,0.04042687734072905,-0.007154411420254096,0.001354816560078175
29,1.4783628060171432,0.19089161056731405,0.03358781986580575,0.08974069623473652,-0.11939132448223791,0.03971820928647166,-0.007018929269218997,0.00135481637042611
