t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,0.0810267283957459,0.4809004369153465,1.2189250650813852,0.6033021588983488,0.05084387043569272,0.0018680391416419737,3.0115343377803017e-5,2.0569797268793837e-7
2,0.05513448101449277,0.3604506846650386,1.0502912577405663,0.5724211866916287,0.04901133603697157,0.0018234569943319948,2.969216587302203e-5,2.0469797269787328e-7
3,0.03868513826414973,0.26625964236843,0.8969510383325376,0.5430147901305424,0.04723524365508184,0.0017797371757300364,2.9273092328469844e-5,2.0369797271756153e-7
4,0.028780395892557063,0.1940951100536571,0.7591761957822456,0.5150247762286374,0.045514173368117264,0.001736867123585109,2.8858102744443396e-5,2.0269797275260985e-7
5,0.023227036258945677,0.14009434514320523,0.6372005388125088,0.4883948213337647,0.04384673339041866,0.0016948343981656212,2.844717712128922e-5,2.0169797281047936e-7
6,0.02041323729285323,0.10077258537441028,0.531034920825643,0.4630704229730606,0.042231559658006894,0.0016536266816603855,2.804029545942019e-5,2.0069797290092178e-7
7,0.019196444771467758,0.07303895585134382,0.44036510858881855,0.4389988526648786,0.04066731541804472,0.0016132317775787155,2.7637437759321695e-5,1.9969797303642072e-7
8,0.018803177788670723,0.05420885761394463,0.3645187786423536,0.41612910968448064,0.03915269082242876,0.0015736376101545403,2.7238584021629332e-5,1.9869797323305898e-7
9,0.01874133243784551,0.04200646109475697,0.3024865832261485,0.3944118757677153,0.03768640252528915,0.0015348322237459255,2.684371424714599e-5,1.976979735113246e-7
10,0.018725356491137927,0.034554546088502426,0.2529814714851696,0.373799470739725,0.03626719328453236,0.001496803782236928,2.6452808436915146e-5,1.966979738974427e-7
11,0.018614270889076044,0.030351648920889908,0.2145208496748165,0.3542458090547606,0.0348938315673978,0.0014595405684408554,2.6065846592334903e-5,1.956979744253045e-7
12,0.018362050062461804,0.028238340746700837,0.18551773527618157,0.3357063572325867,0.03356511115990249,0.0014230309835001078,2.5682808715230697e-5,1.9469797513866798e-7
13,0.017979439028199797,0.02735555466364935,0.1643695274000622,0.3181380921784382,0.03227985078026496,0.001387263546288076,2.5303674807990053e-5,1.9369797609433256e-7
