t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,0.10052091080687299,1.0100110767127004,-0.005990610967828394,-4.5352793211608676e-5,-1.3551092309881777e-5,-1.9008109117449796e-6,-3.4968980131480184e-6,5.655621004451679e-6
2,0.20149029265211096,1.0093953719495548,-0.3001562565043646,-3.638535984963599e-5,-4.784202958555015e-5,2.0165670976703548e-5,8.42572255102973e-5,4.107579855353112e-5
3,0.30089206213132397,0.9794420256901696,-0.4249424066681897,-1.9983144049310564e-5,-1.960797773217738e-5,2.1348131765523737e-6,0.00011924959582092085,5.740196591745098e-5
4,0.39671019503700483,0.9369087100071161,-0.5724598998865256,-2.577491960855722e-5,1.9562901778916873e-6,1.5339549614812954e-5,9.659580639138579e-5,6.41480531519797e-5
5,0.4875434500922804,0.8796901803996302,-0.31502308536377466,-5.31210745173824e-5,-2.123918043433606e-5,-2.7032360834186313e-5,6.596439905248e-5,6.367676722878696e-5
6,0.5739024160674973,0.848085008988935,-0.9637149440118764,4.33189706444679e-6,-5.063237905111383e-5,-1.3189532721962346e-5,0.0001396835609880082,0.0001011448668327434
7,0.6539474849602973,0.7517147097979661,-1.1342888061018614,-2.4763205403343094e-5,-9.710019933966969e-5,-3.784281681069999e-5,0.00016420841279148063,0.00010534395490801308
8,0.7234141048817836,0.6382495009490472,-0.9570271154072814,-5.601324553603377e-5,-9.264478828258836e-5,-5.770986799396646e-5,0.00011912975790767941,0.00012679158786197734
9,0.7824419549926256,0.5424943576008102,-0.6344530860653201,-0.00010643500744619868,-1.6112326520845922e-5,-8.216780903924169e-5,0.00016397924780433795,0.00016658849596062441
10,0.8335125653907491,0.4790561012036531,-0.24906490271447268,-4.992264627456047e-5,-3.975631675246653e-5,-5.2293290343720524e-5,0.000165748884667627,0.00022995564229040256
11,0.8801719947087486,0.4540976886672886,0.06018673822318993,-7.611205702608698e-5,-4.187777348754033e-5,8.411177189242917e-6,0.00017901944398961118,0.0001836116189412171
12,0.9258656365111091,0.4601181112573008,-0.40571649670533516,-9.30722854583204e-5,-1.6715009182594438e-5,1.1172592048182836e-5,0.00021026816190726415,0.00022701808368003515
13,0.9698105082827664,0.41954431611522514,-0.5403690142054816,-9.911047408459361e-5,7.720693995780155e-6,-2.671274840436206e-5,0.00020615788091343353,0.00023222788108250898
14,1.0090711631553588,0.36551452267148804,0.11900520144353033,-8.583349021413448e-5,2.96596792196841e-5,-3.540397859771731e-5,0.00023496562301674384,0.00017712655010758822
15,1.0462345136196163,0.3774605952595539,0.24508358129515104,-4.978708629835347e-5,3.378313962717425e-5,1.771235498049718e-5,0.00022899999448078144,0.0002114938949971911
16,1.0852032576408677,0.4019653393193361,0.4217428949970448,-5.252197302402784e-5,6.929382831985635e-5,2.7259574015076388e-5,0.0002738393517618901,0.00026573305155431896
17,1.1274884865648496,0.44414754621351454,0.09533214433248827,-4.200355631229992e-5,4.9043448878415914e-5,4.8265998937795505e-5,0.0002880009004446171,0.00026085308197065684
18,1.1723557966369194,0.45372214425731205,-0.05801079461442826,-1.3548136644628209e-5,-3.572859832632532e-5,8.868245155015872e-5,0.00038521133680302335,0.00028375156341793064
19,1.2174409767215562,0.44791958637449797,-0.09436801747844607,-2.3365668446149578e-5,2.9244313417125193e-5,0.00015168442100386612,0.0004074978598464967,0.0002607085874778792
20,1.261777164773499,0.4384783377710879,-0.38147004754041647,-1.4784162169640194e-5,2.4066005032340748e-5,0.00023448128204779165,0.00042882725971204273,0.0002654203536998836
21,1.3037595446783636,0.40032396665326875,-0.35122967772225794,-1.7675194813139496e-6,9.983615807426086e-5,0.0002158006511357858,0.0004267366891884113,0.00027761437731671024
22,1.3420461871945422,0.36522423343505833,-0.5428652621857846,3.6420199102451425e-5,8.095555488468658e-5,0.0002928726715430926,0.0004617091947756304,0.0002553125263102389
23,1.3758630401117262,0.3109086149344478,-0.8774817966011977,1.750690148447771e-5,8.109334218074022e-5,0.0003529038473736341,0.0004804692972584313,0.0002768126948545453
24,1.4026017793268626,0.22317419262225402,-0.4217403846800459,3.7620831540400104e-5,9.361285588009332e-5,0.0003867304873323038,0.0004766843114120327,0.00018698846675831195
25,1.4228354274831017,0.18103261512747626,-0.2005158617153239,3.172393313009351e-5,0.00010327004390555849,0.0004301832477617974,0.00048052087431327213,0.00023587422245053668
26,1.4398650847688301,0.16098548541516053,0.061521338124807506,8.895374045491441e-5,0.00018810086531865095,0.0004919581843887982,0.0005194390942796991,0.00023911030878113982
27,1.4563114740195766,0.16710175406765113,-0.02459704311265362,9.16216376038547e-5,0.00020985602492467267,0.0005561947886794074,0.0005994210034986745,0.000248123229814614
28,1.4729165552969343,0.16463812002302664,-0.2839826622515555,9.87014398021674e-5,0.0002875182926753085,0.0006054609011360306,0.0006330893446828624,0.0003011839568192329
29,1.487938480108934,0.13623848484045292,-0.23971376196864969,0.00010043256942598652,0.0003221190687957494,0.000694661245257619,0.0006389480045552317,0.0003332856803634931
30,1.5003537901641053,0.11223421759864817,-0.4382963101281846,0.0001536851699126772,0.00035225352486772135,0.0007381744818923511,0.0007468756893325663,0.00027522642486513575
31,1.5094315953003405,0.06839673162742557,-0.21547651934435255,0.00014721997943374586,0.00038057398285439427,0.0008100299823125127,0.0007934615709002592,0.00028891006110388153
32,1.5151900701300285,0.04688398427655725,-0.21430919609105267,0.00018816873999645504,0.00039166378968145103,0.0009028519315270609,0.0008170619904013101,0.00028689658857131134
33,1.5188473542076535,0.025410937746842006,-0.07253278645286312,0.0002231568178384656,0.00048204270327434844,0.0009566031734688097,0.0008243590125595639,0.00024696132567419125
34,1.5210580459192384,0.018093578646409723,-0.14997949353786044,0.0002642508616839576,0.000543230411015316,0.0010284172069324623,0.0008979641545922429,0.0002952332874003339
35,1.522084499151379,0.0031367830724391174,0.34855639706799924,0.0003187292298940782,0.0006146980291639844,0.0011783048792957222,0.0009107072970790731,0.0002987699826450772
36,1.5241373055793335,0.03801383390874228,0.260066736755447,0.0004463071044892739,0.000714289952232655,0.0012699923843532482,0.0009038108147841012,0.00031000161808359365
37,1.529194150553614,0.06402789606393129,0.12109532876231405,0.0005400522938648721,0.0008559942281568628,0.0014045161926895281,0.0009080190969760669,0.00031136658499046946
38,1.5362268388301261,0.07614958256681904,0.04915812544840291,0.0006368934577708607,0.0009772451280352578,0.0014660214540157656,0.0009481728508015132,0.00033228604150114377
39,1.5440489652149216,0.08103250697459251,-0.3346336478048576,0.0007161120106311899,0.0010808734506993951,0.0016033773559523629,0.0009591249644281052,0.0003154288697357956
40,1.550456300862951,0.047594193181049044,-0.23317622703004137,0.0008112333277084079,0.001236698902264215,0.0016611064581706371,0.0009861814837485475,0.00037170595367712084
41,1.5540561063323743,0.024241925709679226,-0.347797754273551,0.0009521026540782098,0.0014066422525144612,0.0017243256714059533,0.0010524054922698412,0.0003839456709099654
42,1.5547429514251274,-0.010498970420124728,-0.734128487192609,0.0011147024006712503,0.0016027134016184076,0.0018208932805910748,0.00104096948373303,0.0003844577260254182
43,1.5499513100271038,-0.08391835036401674,-0.7746606149147591,0.0012503297363305554,0.0018167273689461113,0.001889233790387126,0.0010752837399125245,0.0004214376263955102
44,1.5377233061954099,-0.16133482940474297,-0.6776213258690482,0.001477384145346821,0.002017664745413051,0.00201781443644267,0.0011308137160818432,0.00046282852749513187
45,1.5181891677961097,-0.2291284026067172,-0.9392907592749387,0.0017166740468968,0.0022078123547462926,0.0021140889161437412,0.0012141345429591327,0.0005402733874448992
46,1.490511336632389,-0.323013655882275,-1.2157272359150297,0.0019644697085143673,0.0024343372027919295,0.0022345699439474363,0.0012507312167672768,0.0005656138988014603
47,1.4521627649664401,-0.4446154056389311,-1.2677253813634564,0.002253500257686683,0.002662308223778496,0.002343810354162766,0.001342698195458862,0.0005795327095837928
48,1.4013412844134183,-0.5713786003052768,-1.5165925577401045,0.002539739708237144,0.0028914787522661936,0.002463189008389107,0.0014235150466130587,0.000546462414459745
49,1.3365832285756611,-0.7230265660177654,-1.382395801199197,0.0028120582582227675,0.0031586275584372667,0.0026167565673914784,0.0015154410326417183,0.0004908516411940044
50,1.2573347752671185,-0.8612840983755176,-1.4857904487415696,0.003190398869395649,0.0034434070255817003,0.002834969766234632,0.0015474990913098006,0.0004860763331693863
51,1.1637994225621429,-1.0098514271096752,-1.3438763395294238,0.0034990950405053888,0.0037043758059221027,0.003041470688802158,0.001523451671676051,0.0005118449402244117
52,1.0560792738270672,-1.1442486574172361,-1.3913052730398103,0.0038936320923868215,0.003983030939777006,0.003214510621707295,0.0015908441376685223,0.0005517211617985569
53,0.9347049448044275,-1.2833840737017739,-1.6556235537228075,0.004342450580892105,0.004309686086766428,0.003449974526690094,0.00165884130151533,0.000557867776595389
54,0.7981082667288822,-1.4489693828017198,-1.4925465982139436,0.0047761311080985955,0.004629086046023673,0.00360867567812441,0.0016824832943563685,0.0005833883867177917
55,0.6457023008061576,-1.5981710181821869,-1.0900499138464768,0.005213123189438394,0.005067023856333211,0.0037731554984625237,0.0017532397434413636,0.0006007243909300327
56,0.48044363099088966,-1.7071761414375581,-1.293227033390908,0.005760237629451995,0.005410770935553645,0.003948840449712134,0.00176940906770521,0.0006447940949944112
57,0.30328734313671457,-1.836484567032486,-1.5006868409965612,0.006366368794619452,0.005888421136025995,0.004136868622932427,0.0017840105073180874,0.0006098771861217142
58,0.11212120128802268,-1.9865550373368832,-1.5359920008804773,0.006944115196251698,0.00637063129235546,0.004256160468423095,0.0019108981599809782,0.0006053380147570258
59,-0.09418539567709118,-2.140154818256218,-1.765385902432324,0.007622931561462326,0.006805094250151164,0.004394121030282043,0.0020094031728843586,0.0006321223309113911
60,-0.31701387997573166,-2.3166560246175756,-1.4167748125573227,0.008288382099142172,0.007264530762630419,0.004670651208737861,0.0020782532205744627,0.0006163568954574092
61,-0.5557965192650388,-2.458257896577259,-1.5103056217559336,0.009044937969359713,0.00776412201756688,0.004836647376605958,0.0021404698500696265,0.0006986098723454493
62,-0.8091896489025605,-2.6092587266669014,-1.1618370058431342,0.009905950639853419,0.00829596086053643,0.005061611384672797,0.0022334830010691553,0.0007028427986541837
63,-1.0759532406380585,-2.7253418707674535,-1.307829627323301,0.010748308882549726,0.008847325673744683,0.00528964838137828,0.0022387174031273907,0.0006677566678139582
64,-1.354992489399855,-2.8561060272381127,-1.6454145593970795,0.011698792987812756,0.009386657772935268,0.005532129108324503,0.0023616051358586964,0.0006449710721196751
