t,obs_1
1,0.023186960117468666
2,-1.2536200742810746
3,0.2640148523169722
4,-0.3096752913897243
5,0.38765119585105734
6,0.9958315407508629
7,0.7692681015141535
8,0.9743839741290381
9,1.2275062017374128
10,0.07853911952402848
11,0.6020292044329757
12,1.1757086216742956
13,1.5413694374351712
14,0.8086639598332819
15,1.660515067909717
16,1.6459814122743923
17,0.9093599025618626
18,1.6350419518611163
19,1.3069473332757302
20,0.9811155735492894
21,1.326131295816517
22,0.9771531654352651
23,1.073021325569185
24,1.1618747798792461
25,2.1334976204536007
26,1.378132258829086
27,1.427016899366593
28,0.9981154794629601
29,1.1565142115448228
30,1.3044004687779307
31,1.6282447633104347
32,2.0599435130489545
33,1.239227523161462
34,1.3318302609957984
35,1.4181083513522745
36,0.6182061304592474
37,1.828550280833189
38,1.9415138775359977
39,3.2203534648101493
40,2.057968468446813
41,1.532860733788198
42,1.1266493789727015
43,1.363198138662899
44,1.8778208879416645
45,1.2863793257090872
46,0.815765848591834
47,1.6886987220685346
48,1.4189388801339027
49,1.520745775845001
50,1.2201144109194313
51,0.5749571682462834
52,1.0461008541184713
53,1.2229841032243676
54,0.35637251273671444
55,0.708160217040399
56,0.037762588635457006
57,0.39176905486592245
58,0.4354183378872621
59,-0.1047158406298589
60,-1.1723647138747875
61,-0.4556769125565242
62,-0.5912821368879386
63,-1.1966785894952665
64,-1.2363069210836477
65,-1.5108108214638845
66,-1.9947030443915539
67,-1.7736703268005143
68,-2.1682666664540524
69,-3.7318536488750347
70,-3.625716554786357
71,-3.67997912166219
72,-4.1322495356047
73,-3.8609175621809984
74,-5.943060373192481
75,-5.521713453669663
76,-6.4608258746241995
77,-6.508369914102226
78,-7.5488914464228785
79,-8.213511242544335
80,-8.60698148227634
81,-8.056323631202272
82,-9.436775109140504
83,-10.286998620379983
84,-10.30231278261744
85,-11.88258945795983
86,-11.29282609500956
87,-12.02879955985781
88,-12.764001102711218
89,-12.722417440009293
90,-13.94595706018586
91,-14.628508300005649
92,-15.673283188648735
93,-17.127836893268476
94,-16.561714353656
95,-17.957452529968354
96,-19.26820726844648
97,-19.27350162546723
98,-20.377684684317142
99,-20.874871650993693
100,-22.08709900455962
101,-23.83311717916954
102,-24.40616658549592
103,-25.19415246546388
104,-26.672946988727567
105,-26.39976207403603
106,-27.422186774950323
107,-28.90991634534349
108,-29.77477600594097
109,-30.31526190474507
110,-33.13670061631123
111,-33.31057170813085
112,-34.04572915197414
113,-35.51442611584643
114,-35.9045216853396
115,-37.2015035131564
116,-38.32173331380084
117,-39.02749306271252
118,-40.38993132548844
119,-42.05869861349558
120,-42.340906663041295
121,-43.18230993916958
122,-44.40358354349593
123,-44.764621207742294
124,-46.473244104311156
125,-47.779803020200106
126,-48.58148940755572
127,-49.076459527082484
128,-50.05607529839252
129,-51.357049820458634
130,-52.43307516160579
131,-53.945355393555595
132,-54.61396725231194
133,-55.916360751241584
134,-56.89628074799884
135,-57.70954268914968
136,-59.12135023127647
137,-59.47256714058508
138,-60.812933423825044
139,-61.03999707675708
140,-63.206362527399456
141,-63.33589517375636
142,-64.28078026002179
143,-65.23455216384154
144,-66.1641377177474
145,-67.87520984713285
146,-67.25058901102534
147,-69.18082738934334
148,-69.78220320241473
149,-70.09225194692887
150,-71.237462799766
151,-71.61941298261158
152,-72.67665085690125
153,-74.05637215928625
154,-74.41782832931965
155,-75.8166694907666
156,-76.0506800718063
157,-76.44022827298946
158,-76.41352037839314
159,-76.99541139429074
160,-78.36993126962034
161,-79.20611675939897
162,-80.04601558615623
163,-80.32762139553438
164,-81.39295385892649
165,-82.02269092378252
166,-81.73484011170932
167,-82.0876702384081
168,-83.20382387149272
169,-84.03454733187255
170,-84.07994172312112
171,-84.27943630775498
172,-85.25612401528562
173,-85.5888766668762
174,-85.74040947753136
175,-85.89958212761101
176,-86.62510011169074
177,-86.77766979873442
178,-87.05367196580599
179,-87.30307627744871
180,-88.56510065639416
181,-88.9116506432573
182,-89.51582819453697
183,-89.71082700747058
184,-90.73271882010567
185,-90.30941283267596
186,-89.59254435228377
187,-89.66064466400222
188,-89.31973381309597
189,-91.236102402593
190,-90.33156958704211
191,-90.56056623694698
192,-89.78796635027336
193,-90.01286314252603
194,-90.25450567240051
195,-90.25506197534794
196,-90.70436359266694
197,-88.40806871292868
198,-89.09234133176342
199,-89.20721432969623
200,-88.84870819085668
201,-87.95834550884021
202,-87.29330409428285
203,-87.13480164496102
204,-85.76149430740084
205,-84.84205638436035
206,-84.61507972448855
207,-83.17688172630227
208,-82.02697494281729
209,-81.24283888470771
210,-78.73370294378061
211,-77.98777738428312
212,-76.89373921054717
213,-75.03987370422878
214,-73.58097652077227
215,-71.35980027859988
216,-70.00910098505857
217,-67.09874778486511
218,-65.58410676230604
219,-63.551901667126515
220,-61.46657628970367
221,-59.20003634008552
222,-55.467082802516394
223,-52.45229956760035
224,-49.361495736596176
225,-45.644853802908045
226,-42.615268722580716
227,-38.925964908735224
228,-34.782430741848756
229,-31.174898958974023
230,-27.33595933913705
231,-23.375794504781933
232,-18.94215969846308
233,-13.273929735135757
234,-8.253532162541113
235,-3.1522884060179908
236,2.14025129155206
237,6.7404970491887335
238,13.96265180011394
239,20.02976701201002
240,26.638972020764857
241,32.8562865777231
242,40.924184757509785
243,46.60628046824483
244,55.04795067690528
245,62.905882489081655
246,71.01237073815929
247,78.48134868588014
248,87.97174839622856
249,96.58462201858042
250,105.01706696092391
251,116.09327274202381
252,125.53429911923669
253,135.84294392310434
254,147.87434579497847
255,159.72712971034915
256,170.20056180300395
257,182.71540094097233
258,194.7261546650931
259,207.71620063770922
260,220.93677518843077
261,233.38593532726313
262,247.53402397399216
263,262.69108879303974
264,277.41421398440326
265,292.86740901541623
266,307.85645606025696
267,325.20149356339937
268,341.1117153065523
269,359.05540125616426
270,375.0493736201088
271,394.2390207287336
272,413.00112062471044
273,432.46128256845714
274,453.20105196631084
275,472.549837786209
276,493.03675288324155
277,516.1087126978845
278,538.0914821149066
279,560.468419918177
280,583.8966154030835
281,609.5159644642085
282,632.950132016531
283,659.1289985129677
284,684.4145488494518
285,711.8196925774565
286,739.407687742458
287,767.1684650788261
288,796.9934442339553
289,826.2747788023761
290,857.059629533236
291,888.567891744038
292,920.4235055523613
293,953.9723854876398
294,987.7345217377806
295,1023.2984276008076
296,1057.9942651453161
297,1095.050480857648
298,1133.0698969325529
299,1170.6822887296278
300,1210.6702718988315
301,1250.7673389319768
302,1292.8079604668274
303,1333.8658385401347
304,1378.0062589661782
305,1421.9831717123209
