t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,0.04590223298528427,0.8340392607537602,6.598216118573727,5.16563267195396,0.32390915987955904,0.008681359363528415,0.00010001081463208091,4.870574700617158e-7
2,0.03286062294507576,0.6537482487193109,5.918106439749013,5.054291756888364,0.31891169577584283,0.008593527797558441,9.941749663741406e-5,4.860574700785421e-7
3,0.024019599460538544,0.506352854400685,5.267111110311772,4.945288485119399,0.3139801236851942,0.008506415822399471,9.882661143135073e-5,4.850574701053671e-7
4,0.018263799682752893,0.3879436293855645,4.65146801581062,4.838582805859028,0.30911373824160066,0.00842001900891515,9.823815401415636e-5,4.84057470145576e-7
5,0.014702876903789098,0.29468457312946855,4.077868744496206,4.734135220159856,0.30431183999527756,0.008334332946176658,9.765211938612568e-5,4.830574702033012e-7
6,0.012642781674227124,0.2228566265886849,3.5524350744924496,4.631906774873368,0.29957373537599574,0.008249353241425613,9.706850254756647e-5,4.820574702833713e-7
7,0.01155751992895206,0.16892013197382943,3.079970363843033,4.531859056658807,0.2948987366566196,0.008165075520042106,9.648729849887145e-5,4.810574703916184e-7
8,0.011061785303511379,0.12958067482090024,2.663488944358515,4.433954186039411,0.29028616191635986,0.008081495425497697,9.590850224041114e-5,4.80057470534662e-7
9,0.010885030038185028,0.10184717686095089,2.3040077158490546,4.33815481151452,0.2857353350047276,0.007998608619325769,9.53321087726212e-5,4.790574707202364e-7
10,0.010847551434123066,0.08307518218435532,2.0005656886417817,4.244424103716725,0.28124558550510825,0.00791641078107572,9.475811309590881e-5,4.780574709569731e-7
11,0.010839080305583275,0.07099181852844264,1.7504237598631307,4.152725749625971,0.2768162486992207,0.007834897608289471,9.418651021080614e-5,4.770574712549449e-7
12,0.010800208293404345,0.06370179805839896,1.5493902240451198,4.063023946823584,0.27244666553063,0.007754064816444634,9.361729511776445e-5,4.760574716251984e-7
