t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,3.031088913245535,3.354424506661589,-1.7231413523478503,0.0,0.0,0.0,0.0,0.0
2,3.196637040186865,3.267122284573711,-1.7685348252869886,0.0,0.0,0.0,0.0,0.0
3,3.357764351456709,3.177612734484237,-1.811425795616048,0.0,0.0,0.0,0.0,0.0
4,3.514363630103076,3.0860222532506736,-1.851763992394288,0.0,0.0,0.0,0.0,0.0
5,3.666334040353151,2.9924796609963358,-1.889502766965023,0.0,0.0,0.0,0.0,0.0
6,3.813581244221691,2.8971160183840414,-1.9245991565741576,0.0,0.0,0.0,0.0,0.0
7,3.9560175089057386,2.8000644408394235,-1.9570139427528426,0.0,0.0,0.0,0.0,0.0
8,4.093561804819745,2.7014599099877343,-1.9867117043819598,0.0,0.0,0.0,0.0,0.0
9,4.226139894138432,2.6014390825719564,-2.013660865363682,0.0,0.0,0.0,0.0,0.0
10,4.3536844097282374,2.5001400971235657,-2.0378337368330355,0.0,0.0,0.0,0.0,0.0
11,4.476134924361844,2.3977023786604765,-2.059206553850136,0.0,0.0,0.0,0.0,0.0
12,4.593438010124036,2.2942664416894383,-2.077759506521616,0.0,0.0,0.0,0.0,0.0
13,4.705547287931119,2.1899736917925643,-2.0934767655076842,0.0,0.0,0.0,0.0,0.0
14,4.812423467100137,2.084966226079617,-2.106346501879218,0.0,0.0,0.0,0.0,0.0
15,4.914034374918237,1.979386632789284,-2.1163609012973366,0.0,0.0,0.0,0.0,0.0
16,5.010354976176749,1.8733777903238344,-2.1235161724959544,0.0,0.0,0.0,0.0,0.0
17,5.101367382648775,1.7670826660023264,-2.1278125500559057,0.0,0.0,0.0,0.0,0.0
18,5.187060852503349,1.6606441148179094,-2.1292542914673667,0.0,0.0,0.0,0.0,0.0
19,5.267431779663509,1.5542046784847043,-2.1278496684853776,0.0,0.0,0.0,0.0,0.0
20,5.342483673129902,1.4479063850593419,-2.1236109527914064,0.0,0.0,0.0,0.0,0.0
21,5.412227126305746,1.3418905494213367,-2.116554395981969,0.0,0.0,0.0,0.0,0.0
22,5.476679776373185,1.2362975748952747,-2.1067002039133818,0.0,0.0,0.0,0.0,0.0
23,5.535866253785164,1.1312667562960992,-2.0940725054397484,0.0,0.0,0.0,0.0,0.0
24,5.589818121950961,1.0269360846767426,-2.0786993155892244,0.0,0.0,0.0,0.0,0.0
25,5.63857380720744,0.9234420540549084,-2.0606124932315386,0.0,0.0,0.0,0.0,0.0
26,5.6821785191818295,0.8209194703929343,-2.0398476932975407,0.0,0.0,0.0,0.0,0.0
27,5.720684161665474,0.7195012631014799,-2.0164443136193024,0.0,0.0,0.0,0.0,0.0
28,5.754149234131436,0.6193182993341095,-1.9904454364669395,0.0,0.0,0.0,0.0,0.0
29,5.782638724042079,0.5204992013359002,-1.9618977648658409,0.0,0.0,0.0,0.0,0.0
