t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,-0.7990273361875475,11.102892092548657,-12.739996639123259,5.963929264172832,-1.6559607227561584,0.2981615543177788,-0.033592391177383385,0.001875110657159579
2,-0.25968391963383186,10.473312751177849,-12.445322651454816,5.88150323069161,-1.6410945964843424,0.29648427865116367,-0.03349863564503881,0.0018751106571996661
3,0.2485471503427717,9.85836438687216,-12.155302712532455,5.799818408890365,-1.626312216804667,0.29481169076217123,-0.033404880112903365,0.0018751106572697334
4,0.7263916338446746,9.257815221729018,-11.870315337474716,5.718870617304781,-1.6116133493294513,0.2931437906511358,-0.03331112458105537,0.001875110657383717
5,1.174563210272489,8.671414547126096,-11.590685601329069,5.638655686187982,-1.5969977596696825,0.2914805783180599,-0.03321736904953297,0.001875110657555288
6,1.5937626229368282,8.09889539545313,-11.316742635612508,5.559169457518031,-1.5824652134382062,0.289822053763351,-0.03312361351843636,0.0018751106578053548
7,1.9846768494352591,7.539974337593159,-11.048877872144555,5.480407784992791,-1.5680154762476457,0.28816821698732326,-0.03302985798785748,0.001875110658157656
8,2.347978218050172,6.994348367346437,-10.787532222636784,5.40236653403028,-1.5536483137104449,0.28651906799020327,-0.03293610245788005,0.001875110658639135
9,2.6843233489081295,6.461692427782457,-10.533122050337228,5.325041581773987,-1.539363491441352,0.28487460677274123,-0.032842346928671245,0.0018751106592876942
10,2.994352097381811,5.9416606382446195,-10.285939986002084,5.248428817084085,-1.5251607750538636,0.28323483333535665,-0.03274859140035708,0.0018751106601435537
11,3.27868664677063,5.433892481599262,-10.046099917400777,5.172524140544816,-1.5110399301638007,0.28159974767901375,-0.03265483587315244,0.0018751106612601063
12,3.5379310167687503,4.938021741163785,-9.813575352857063,5.097323464457895,-1.4970007223868727,0.2799693498046686,-0.03256108034728447,0.0018751106626996297
13,3.7726709499544215,4.453683519659823,-9.58817046987435,5.0228227128456755,-1.483042917340485,0.27834363971377407,-0.032467324823075315,0.0018751106645415554
14,3.983474179517131,3.9805227062293973,-9.369597781302765,4.949017821447824,-1.469166280642432,0.27672261740798215,-0.03237356930090299,0.0018751106668816234
15,4.170891061276737,3.518198558737335,-9.157434790129159,4.875904737719958,-1.4553705779104569,0.27510628288910877,-0.032279813781209435,0.0018751106698358356
16,4.335455428400391,3.0663914549584907,-8.951014194037596,4.803479420837664,-1.4416555747644708,0.27349463615974556,-0.03218605826460456,0.0018751106735520726
17,4.477685961252096,2.624815133143985,-8.749555570783286,4.7317378416882425,-1.428021036823053,0.27188767722245255,-0.0320923027517608,0.0018751106782068708
18,4.598088014555388,2.1932223474323456,-8.552218721295208,4.660675982877432,-1.4144667297064937,0.27028540608058416,-0.03199854724355507,0.0018751106840218946
19,4.69715562288238,1.7714078571065983,-8.358107269448992,4.5902898387232165,-1.4009924190338419,0.2686878227376166,-0.03190479174098981,0.0018751106912650087
20,4.775373686318877,1.3592112351033165,-8.166283021182078,4.520575415259969,-1.3875978704247118,0.26709492719763894,-0.03181103624528487,0.0018751107002648096
21,4.8332202479052,0.9565189593420402,-7.975795185950022,4.451528730235769,-1.3742828494978854,0.2655067194650661,-0.03171728075786154,0.0018751107114192255
22,4.871168873474378,0.5632650420390071,-7.785682851931797,4.383145813113354,-1.3610471218714553,0.26392319954467897,-0.031623525280368076,0.00187511072520723
23,4.889691018822737,0.17943153637132345,-7.594992625885853,4.315422705069744,-1.3478904531624791,0.26234436744159273,-0.031529769814704366,0.0018751107422032506
24,4.889258440577497,-0.19495183976311745,-7.402861168856481,4.248355458996684,-1.3348126089866046,0.2607702231611161,-0.03143601436301556,0.0018751107630886764
25,4.870345468848444,-0.5598122068704262,-7.208410119360496,4.181940139501608,-1.3218133549584776,0.25920076670890363,-0.03134225892774455,0.0018751107886706567
26,4.833431166522187,-0.9150327722661924,-7.010648162893838,4.116172822905627,-1.3088924566904776,0.2576359980905733,-0.031248503511588643,0.0018751108198934263
27,4.7790016678255975,-1.2604471820415237,-6.808578391098587,4.051049597245878,-1.2960496797937295,0.25607591731193863,-0.031154748117552446,0.0018751108578584726
28,4.707552685844103,-1.5958392421118897,-6.6012087391875225,3.9865665622721065,-1.283284789876195,0.25452052437849365,-0.031060992748884395,0.0018751109038364516
29,4.619591966221599,-1.9209431595231208,-6.38758787950579,3.9227198294516974,-1.2705975525447952,0.25296981929588913,-0.03096723740915821,0.0018751109592908793
30,4.515641744590094,-2.235445579857146,-6.166914661986731,3.8595055219643295,-1.2579877334023313,0.2514238020690894,-0.030873482102151576,0.0018751110258865768
31,4.396240927280281,-2.538993096176861,-5.938486520383362,3.7969197747084715,-1.2454550980498695,0.2498824727028626,-0.03077972683191806,0.0018751111055130556
32,4.261946968896875,-2.831197178193459,-5.7016301203370645,3.7349587342982096,-1.2329994120851482,0.24834583120130768,-0.03068597160271403,0.0018751112002970056
33,4.1133375884724055,-3.1116356336618347,-5.455680439355469,3.6736185590646078,-1.2206204411027244,0.2468138775677354,-0.030592216418963633,0.0018751113126167626
34,3.951012442453437,-3.3798530237896323,-5.200048230180539,3.6128954190562754,-1.2083179506941937,0.24528661180463243,-0.030498461285238625,0.0018751114451178
35,3.775594698722967,-3.6353644521353807,-4.934292219716348,3.5527854960387666,-1.1960917064474363,0.24376403391332213,-0.03040470620617844,0.0018751116007221327
36,3.5877323242381105,-3.8776629634384783,-4.658119337696727,3.4932849834979116,-1.1839414739474365,0.24224614389398988,-0.030310951186455923,0.0018751117826395817
37,3.3880989968844233,-4.106226953591933,-4.371389359818462,3.4343900866389023,-1.171867018775636,0.24073294174538198,-0.03021719623069286,0.0018751119943741295
38,3.1773946500253647,-4.320527811928782,-4.074157324732601,3.376097022388259,-1.1598681065105094,0.23922442746477918,-0.030123441343402634,0.0018751122397293908
39,2.956345587424234,-4.520039684793166,-3.766605765001125,3.318402019391726,-1.1479445027261528,0.2377206010474571,-0.03002968652884868,0.0018751125228053818
40,2.725704170697819,-4.70424584989124,-3.4489499611869556,3.261301318022963,-1.1360959729957547,0.23622146248730497,-0.029935931791059463,0.0018751128480035033
41,2.486248322016728,-4.872640353357553,-3.121505282388859,3.204791170373256,-1.1243222828875392,0.23472701177571698,-0.029842177133592496,0.0018751132200099329
42,2.2387808777443214,-5.02473301470694,-2.7846994347323117,3.148867840257251,-1.1126231979670327,0.233237248901946,-0.029748422559494773,0.0018751136437891707
