t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8
1,0.01776421695043302,0.12798399862063076,0.39495842855887575,0.24979745040012383,0.029753537132100036,0.0015512157566636938,3.5591682915036334e-5,3.457020251239194e-7
2,0.01427321662088291,0.109301998945695,0.3639551687345137,0.24207991110324628,0.029110123327538366,0.0015290399124917187,3.529288772133986e-5,3.4470202513426234e-7
3,0.011520077970746776,0.09292047985823136,0.3345135523026325,0.23458256765418073,0.028478564376314932,0.0015071203554240143,3.4995818538040346e-5,3.4370202514891784e-7
4,0.009377769951443665,0.07863511272494075,0.30662354441746564,0.2273002355758633,0.027858682200417036,0.0014854548599398658,3.470047036519787e-5,3.427020251690705e-7
5,0.007736094599167748,0.06625188185740788,0.28028483535734533,0.2202278296604715,0.027250300824975336,0.0014640412134246184,3.4406838202846035e-5,3.417020251959313e-7
6,0.006500121014906206,0.05558668892709136,0.2555015548122033,0.21336036244712134,0.026653246359888364,0.0014428772161352928,3.4114917051052974e-5,3.407020252310558e-7
7,0.005588703250055966,0.04646519791815629,0.23227795246904265,0.20669294271718816,0.0260673469814588,0.0014219606811609737,3.382470190987838e-5,3.39702025276153e-7
8,0.004933076915812219,0.038722838394646915,0.2106149618262766,0.20022077400787444,0.025492432914175477,0.0014012894343853406,3.353618777937187e-5,3.387020253330621e-7
9,0.004475532160666642,0.03220489910395413,0.19050757417243291,0.19393915314383395,0.02492833641264253,0.0013808613144516944,3.324936965962776e-5,3.3770202540409867e-7
10,0.004168162564448256,0.02676665687651911,0.17194295282696861,0.18784346878597535,0.024374891743513215,0.0013606741727220392,3.296424255071198e-5,3.367020254916654e-7
11,0.003971690644631488,0.02227349750100102,0.1548992169706559,0.18192919999843582,0.02383193516764297,0.0013407258732426673,3.2680801452725656e-5,3.357020255986153e-7
12,0.003854371210142207,0.018600995795835074,0.13934482183791227,0.17619191483248325,0.02329930492226581,0.001321014292705139,3.2399041365774093e-5,3.347020257281216e-7
13,0.003790973863064136,0.015634931479286126,0.12523845923117038,0.17062726892792665,0.022776841203328364,0.0013015373204104917,3.211895729000782e-5,3.337020258839589e-7
14,0.003761845657825647,0.013271225669371143,0.11252940026219574,0.16523100413143496,0.022264386147885066,0.0012822928582304535,3.184054422559242e-5,3.327020260703638e-7
15,0.0037520543842646456,0.011415789934796782,0.10115820154378684,0.15999894713182786,0.021761783816613048,0.0012632788205699547,3.1563797172714764e-5,3.317020262921593e-7
16,0.0037506122347616528,0.009984285790928842,0.0910576970474273,0.1549270081123655,0.021268880176475973,0.0012444931343323037,3.128871113164667e-5,3.30702026555202e-7
17,0.003749778821956841,0.008901797427666419,0.08215420057495448,0.15001117941922304,0.0207855230833952,0.0012259337388783036,3.1015281102674246e-5,3.29702026866092e-7
18,0.0037444416948704666,0.008102424321343338,0.07436884816182761,0.1452475342469568,0.020311562265136463,0.001207598585992465,3.074350208618917e-5,3.2870202723284546e-7
19,0.0037315717076080654,0.007528803287553788,0.06761901551668167,0.14063222533983644,0.01984684930419774,0.001189485639842789,3.0473369082637172e-5,3.2770202766479206e-7
20,0.003709749864939778,0.007131571556402321,0.06181975251883349,0.13616148370972053,0.019391237620881213,0.0011715928769455142,3.0204877092574785e-5,3.267020281730855e-7
21,0.003678761631155357,0.00686878368656257,0.056885184518146885,0.13183161736971855,0.018944582456415764,0.0011539182861269018,2.9938021116671105e-5,3.2570202877103764e-7
22,0.003639254161718964,0.006705295677523161,0.052729838381304774,0.12763901008384917,0.018506740856200368,0.0011364598684857063,2.9672796155713367e-5,3.2470202947440546e-7
23,0.0035924515122394782,0.006612129592155931,0.04926985958944956,0.12358012013241239,0.018077571653154424,0.001119215637356534,2.9409197210649343e-5,3.237020303020856e-7
24,0.003539922600076879,0.006565831466849166,0.04642409492901781,0.11965147909293043,0.017656935451152114,0.0011021836182713246,2.914721928257138e-5,3.2270203127639565e-7
25,0.0034833965386937274,0.006547834364334712,0.04411502318376082,0.1158496906366063,0.017244694608589642,0.0010853618489235937,2.888685737278119e-5,3.217020324240077e-7
26,0.003424619927192744,0.006543837210914119,0.04226952353012296,0.11217142933997243,0.016840713222012197,0.001068748379129336,2.8628106482767486e-5,3.207020337763766e-7
27,0.0033652507473616506,0.006543208644206827,0.04081947790569883,0.10861343951180798,0.01644485710988146,0.0010523412707908845,2.837096161425878e-5,3.1970203537072044e-7
28,0.0033067836854384905,0.0065384235607536655,0.03970220935372362,0.105172534034977,0.01605699379640582,0.0010361385978579457,2.811541776920819e-5,3.1870203725066573e-7
29,0.003250501941518409,0.006524538466184728,0.03886076318086141,0.10184559322325357,0.01567699249551732,0.0010201384462920776,2.7861469949865016e-5,3.1770203946754046e-7
30,0.003197450900998481,0.006498710155642176,0.038244041677546955,0.09862956369274456,0.015304724094893932,0.0010043389140269802,2.7609113158739885e-5,3.16702042081051e-7
31,0.003148429404469784,0.006459760739488575,0.037806806148983504,0.09552145724803765,0.014940061140130974,0.000988738110932504,2.735834239866628e-5,3.1570204516071657e-7
32,0.003103994750175356,0.006407790619730316,0.03750956213118347,0.09251834978272626,0.014582877818982862,0.0009733341587764683,2.710915267280644e-5,3.1470204878701563e-7
33,0.003064477982559943,0.006343839746550029,0.03731834498180888,0.08961738019426937,0.014233049945709652,0.000958125191186738,2.6861538984661772e-5,3.1370205305268433e-7
34,0.0030300064487377527,0.006269596363260403,0.03720442362061508,0.08681574931306041,0.01389045494553374,0.0009431093536143246,2.6615496338113393e-5,3.1270205806432505e-7
35,0.0030005310305257155,0.006187151494632642,0.03714394014037064,0.08411071884548736,0.013554971839177202,0.0009282848032949437,2.6371019737418882e-5,3.1170206394383207e-7
36,0.0029758558732648943,0.006098796653315886,0.03711750241542611,0.08149961033097307,0.013226481227513808,0.0009136497092116972,2.612810418723663e-5,3.107020708300956e-7
37,0.0029556688258781686,0.006006861630783148,0.03710974580231916,0.07897980411271363,0.012904865276306706,0.0008992022520571448,2.5886744692639953e-5,3.0970207888081537e-7
38,0.002939571173076414,0.005913588796449526,0.037108878655146484,0.07654873832214679,0.012590007701060172,0.0008849406241961618,2.5646936259141496e-5,3.087020882744237e-7
39,0.00292710557554489,0.005821040040558929,0.0371062247627263,0.07420390787681638,0.012281793751940061,0.000870863029626924,2.540867389267556e-5,3.0770209921191057e-7
40,0.0029177814340685306,0.005731032349078584,0.037095774043422625,0.07194286349169463,0.011980110198825125,0.0008569676839444242,2.517195259964155e-5,3.0670211191915907e-7
41,0.00291109715706049,0.005645097975963495,0.03707375098622541,0.06976321070376336,0.011684845316429748,0.0008432528143016043,2.493676738688001e-5,3.057021266489233e-7
42,0.0029065590372539924,0.0055644652620581775,0.03703820847236605,0.06766260890967232,0.011395888869541786,0.000829716659372379,2.4703113261700807e-5,3.0470214368331044e-7
43,0.0029036966329066627,0.005490056322393316,0.03698865280988398,0.06563877041636439,0.011113132098341883,0.0008163574693134554,2.4470985231878318e-5,3.037021633361637e-7
44,0.0029020747031560275,0.005422498066552293,0.03692570411094967,0.0636894595045758,0.010836467703822655,0.0008031735057262518,2.4240378305641497e-5,3.0270218595548907e-7
45,0.002901301868280359,0.0053621433126492795,0.0368507945761927,0.06181249150514727,0.010565789833313542,0.0007901630416195296,2.4011287491684048e-5,3.0170221192618826e-7
46,0.002901036256246492,0.005309099087891051,0.03676590584809885,0.06000573188779259,0.010300994066087482,0.0007773243613714143,2.378370779915658e-5,3.007022416727581e-7
47,0.0029009884601391054,0.005263259562733606,0.03667334537461397,0.05826709536237301,0.010041977399057931,0.0007646557606908684,2.3557634237641445e-5,2.9970227566199453e-7
48,0.002900922170177062,0.005224341428063302,0.03657556069284817,0.056594544992767316,0.009788638232607784,0.0007521555465812297,2.3333061817167716e-5,2.987023144060452e-7
49,0.0029006528624420883,0.005191919884173059,0.036474989703020995,0.054986091322483506,0.009540876356449918,0.0007398220373007983,2.310998554816975e-5,2.9770235846527414e-7
50,0.0029000449276082507,0.005165463757040358,0.03637394434995561,0.05343979151299619,0.009298592935655442,0.0007276535623265884,2.2888400441493795e-5,2.967024084514434e-7
51,0.0028990076101389926,0.0051443685838847035,0.036274524653134715,0.05195374849332458,0.009061690496690611,0.0007156484623145521,2.2668301508345092e-5,2.957024650307284e-7
52,0.002897490104774861,0.00512798681037135,0.0361785597138557,0.05052611012231426,0.008830072913644491,0.0007038050890638968,2.244968376029721e-5,2.947025289270868e-7
53,0.002895476125516812,0.005115654511944439,0.03608757216129003,0.04915506836205833,0.00860364539448494,0.0006921218054789325,2.223254220926392e-5,2.9370260092560785e-7
54,0.002892978225336659,0.005106714289116043,0.036002762461536435,0.04783885846277228,0.008382314467371033,0.0006805969855287062,2.2016871867417723e-5,2.9270268187561486e-7
55,0.0028900321047927832,0.005100534189891623,0.035925009583955156,0.046575758159949215,0.008165987967170633,0.0006692290142121635,2.1802667747207075e-5,2.9170277269434763e-7
56,0.0028866911065425255,0.005096522681762063,0.035854884678652325,0.04536408688224065,0.0079545750219803,0.0006580162875192638,2.1589924861302075e-5,2.9070287437040806e-7
