iteration,free_energy,delta,relative_delta
1,1773.232570582244,,,
2,1773.232570582244,0.0,0.0
3,1773.232570582244,0.0,0.0
4,1773.232570582244,0.0,0.0
5,1773.232570582244,0.0,0.0
6,1773.232570582244,0.0,0.0
7,1773.232570582244,0.0,0.0
8,1773.232570582244,0.0,0.0
9,1773.232570582244,0.0,0.0
10,1773.232570582244,0.0,0.0
11,1773.232570582244,0.0,0.0
12,1773.232570582244,0.0,0.0
13,1773.232570582244,0.0,0.0
14,1773.232570582244,0.0,0.0
15,1773.232570582244,0.0,0.0
16,1773.232570582244,0.0,0.0
17,1773.232570582244,0.0,0.0
18,1773.232570582244,0.0,0.0
19,1773.232570582244,0.0,0.0
20,1773.232570582244,0.0,0.0
21,1773.232570582244,0.0,0.0
22,1773.232570582244,0.0,0.0
23,1773.232570582244,0.0,0.0
24,1773.232570582244,0.0,0.0
25,1773.232570582244,0.0,0.0
26,1773.232570582244,0.0,0.0
27,1773.232570582244,0.0,0.0
28,1773.232570582244,0.0,0.0
29,1773.232570582244,0.0,0.0
30,1773.232570582244,0.0,0.0
31,1773.232570582244,0.0,0.0
32,1773.232570582244,0.0,0.0
33,1773.232570582244,0.0,0.0
34,1773.232570582244,0.0,0.0
35,1773.232570582244,0.0,0.0
36,1773.232570582244,0.0,0.0
37,1773.232570582244,0.0,0.0
38,1773.232570582244,0.0,0.0
39,1773.232570582244,0.0,0.0
40,1773.232570582244,0.0,0.0
41,1773.232570582244,0.0,0.0
42,1773.232570582244,0.0,0.0
43,1773.232570582244,0.0,0.0
44,1773.232570582244,0.0,0.0
45,1773.232570582244,0.0,0.0
46,1773.232570582244,0.0,0.0
47,1773.232570582244,0.0,0.0
48,1773.232570582244,0.0,0.0
49,1773.232570582244,0.0,0.0
50,1773.232570582244,0.0,0.0
51,1773.232570582244,0.0,0.0
52,1773.232570582244,0.0,0.0
53,1773.232570582244,0.0,0.0
54,1773.232570582244,0.0,0.0
55,1773.232570582244,0.0,0.0
56,1773.232570582244,0.0,0.0
57,1773.232570582244,0.0,0.0
58,1773.232570582244,0.0,0.0
59,1773.232570582244,0.0,0.0
60,1773.232570582244,0.0,0.0
61,1773.232570582244,0.0,0.0
62,1773.232570582244,0.0,0.0
63,1773.232570582244,0.0,0.0
64,1773.232570582244,0.0,0.0
65,1773.232570582244,0.0,0.0
66,1773.232570582244,0.0,0.0
67,1773.232570582244,0.0,0.0
68,1773.232570582244,0.0,0.0
69,1773.232570582244,0.0,0.0
70,1773.232570582244,0.0,0.0
71,1773.232570582244,0.0,0.0
72,1773.232570582244,0.0,0.0
73,1773.232570582244,0.0,0.0
74,1773.232570582244,0.0,0.0
75,1773.232570582244,0.0,0.0
76,1773.232570582244,0.0,0.0
77,1773.232570582244,0.0,0.0
78,1773.232570582244,0.0,0.0
79,1773.232570582244,0.0,0.0
80,1773.232570582244,0.0,0.0
81,1773.232570582244,0.0,0.0
82,1773.232570582244,0.0,0.0
83,1773.232570582244,0.0,0.0
84,1773.232570582244,0.0,0.0
85,1773.232570582244,0.0,0.0
86,1773.232570582244,0.0,0.0
87,1773.232570582244,0.0,0.0
88,1773.232570582244,0.0,0.0
89,1773.232570582244,0.0,0.0
90,1773.232570582244,0.0,0.0
91,1773.232570582244,0.0,0.0
92,1773.232570582244,0.0,0.0
93,1773.232570582244,0.0,0.0
94,1773.232570582244,0.0,0.0
95,1773.232570582244,0.0,0.0
96,1773.232570582244,0.0,0.0
97,1773.232570582244,0.0,0.0
98,1773.232570582244,0.0,0.0
99,1773.232570582244,0.0,0.0
100,1773.232570582244,0.0,0.0
