step,up,right,down,left,action
1,0.25,0.25,0.25,0.25,3
2,0.25,0.25,0.25,0.25,1
3,0.2500000000000018,0.24999999999999944,0.24999999999999944,0.24999999999999944,1
4,0.24999999999999942,0.2500000000000002,0.2500000000000002,0.2500000000000002,1
5,0.25000000000000056,0.24999999999999983,0.24999999999999983,0.24999999999999983,2
6,0.24999999999999947,0.25000000000000044,0.2500000000000001,0.2500000000000001,1
7,0.2500000000000004,0.2500000000000003,0.24999999999999967,0.24999999999999967,2
8,0.24999999999999986,0.24999999999999992,0.2500000000000001,0.2500000000000001,1
9,0.2499999999999999,0.25000000000000033,0.24999999999999992,0.24999999999999992,3
10,0.25000000000000033,0.25000000000000017,0.25000000000000017,0.2499999999999994,2
11,0.24999999999999967,0.25,0.2500000000000001,0.2500000000000001,1
12,0.24999999999999978,0.24999999999999983,0.24999999999999986,0.2500000000000005,3
13,0.24999999999999978,0.24999999999999986,0.2500000000000001,0.2500000000000002,4
14,0.2500000000000003,0.25,0.2499999999999996,0.25000000000000006,4
15,0.25000000000000006,0.2500000000000001,0.2499999999999997,0.2500000000000001,1
16,0.2499999999999996,0.24999999999999992,0.25000000000000056,0.24999999999999994,2
17,0.24999999999999545,0.24999999999999883,0.25000000000000266,0.25000000000000305,3
18,0.249999999999904,0.2499999999999986,0.2499999999999979,0.25000000000009953,4
19,0.2499999999985303,0.25000000000049016,0.2500000000004896,0.25000000000049,4
20,0.24999999998396188,0.25000000001604167,0.2500000000160394,0.24999999998395692,2
21,0.24999999988838906,0.2499999998883564,0.25000000033493575,0.24999999988831884,2
22,0.24999999991337238,0.2499999950330622,0.2500000051410232,0.24999999991254224,3
23,0.25000001289086066,0.2499999613444717,0.2500000128825846,0.250000012882083,3
24,0.2500002365768314,0.24999976348190975,0.24999976344498626,0.25000023649627273,1
25,0.24999902394465442,0.2499990236565476,0.24999902335096288,0.2500029290478351,1
26,0.24997241663304934,0.24999953320353266,0.24999953094057817,0.2500285192228399,4
27,0.24986028503045496,0.2500465828031182,0.25004656721712626,0.2500465649493006,4
28,0.24940176727211547,0.2505983828083647,0.2505982824996174,0.24940156741990252,2
29,0.24793474465471743,0.247934233753463,0.2561975661170101,0.24793345547480955,2
30,0.24987062467776402,0.24206211082904674,0.258197935790694,0.2498693287024953,3
