step,free_energy,delta
1,1.5042254767894179,
2,1.2243298554843718,-0.2798956213050461
3,1.2125861012213228,-0.0117437542630490
4,1.2122932254224967,-0.0002928757988261
5,1.2122735297222882,-0.0000196957002085
6,1.2122938416697624,0.0000203119474742
7,1.2123205837090909,0.0000267420393285
8,1.2123457387427277,0.0000251550336368
9,1.2123668596232078,0.0000211208804801
10,1.2123833993659181,0.0000165397427103
11,1.2123957547736954,0.0000123554077773
12,1.2124046984171604,0.0000089436434649
13,1.2124110393397021,0.0000063409225417
14,1.2124154738066444,0.0000044344669423
15,1.2124185469833599,0.0000030731767156
16,1.2124206639054527,0.0000021169220927
17,1.2124221162185145,0.0000014523130618
18,1.2124231098598157,0.0000009936413012
19,1.2124237884354097,0.0000006785755939
20,1.2124242512690291,0.0000004628336194
