step,free_energy,delta
1,15434.4403958816328668,
2,2093.1992164031989887,-13341.2411794784347876
3,530.5412272659270911,-1562.6579891372718976
4,397.4670393483830821,-133.0741879175440090
5,387.9269773950306899,-9.5400619533523923
6,385.5908138474646876,-2.3361635475660023
7,384.1196409153611739,-1.4711729321035136
8,383.1985780091822562,-0.9210629061789177
9,382.6146593486489564,-0.5839186605332998
10,382.2295698961503376,-0.3850894524986188
11,381.9628543767790916,-0.2667155193712460
12,381.7690894615877824,-0.1937649151913092
13,381.6225038483404433,-0.1465856132473391
14,381.5080871129388242,-0.1144167354016190
15,381.4167340054833630,-0.0913531074554612
16,381.3426412116911024,-0.0740927937922606
17,381.2819080298876315,-0.0607331818034709
18,381.2317742062977004,-0.0501338235899311
19,381.1901962741120542,-0.0415779321856462
20,381.1556054580553337,-0.0345908160567205
21,381.1267642706857259,-0.0288411873696077
22,381.1026777072022469,-0.0240865634834790
23,381.0825353712548349,-0.0201423359474120
24,381.0656716909984425,-0.0168636802563924
25,381.0515371593120335,-0.0141345316864090
26,381.0396766323631255,-0.0118605269489080
27,381.0297123985383223,-0.0099642338248032
28,381.0213306476349544,-0.0083817509033679
29,381.0142704804367213,-0.0070601671982331
30,381.0083148887520110,-0.0059555916847103
31,381.0032833062355166,-0.0050315825164944
32,380.9990254350678924,-0.0042578711676242
33,380.9954161209665244,-0.0036093141013680
34,380.9923510957574990,-0.0030650252090254
35,380.9897434404040268,-0.0026076553534722
36,380.9875206474126799,-0.0022227929913470
37,380.9856221820216433,-0.0018984653910366
38,380.9839974583238700,-0.0016247236977733
39,380.9826041603539579,-0.0013932979699121
40,380.9814068496837081,-0.0011973106702499
41,380.9803758108178044,-0.0010310388659036
42,380.9794860937940939,-0.0008897170237105
43,380.9787167201641296,-0.0007693736299643
44,380.9780500243610959,-0.0006666958030337
45,380.9774711071073625,-0.0005789172537334
46,380.9769673815847000,-0.0005037255226625
47,380.9765281964270116,-0.0004391851576884
48,380.9761445222268321,-0.0003836742001795
49,380.9758086907056622,-0.0003358315211699
50,380.9755141774561480,-0.0002945132495142
